ID,SENMS18,SEN2MS18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEFACTOR,REGION,RUNOFFMS18,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
47991.0,Other,Chris McDaniel,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,Call 2,4.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,2.0,,,,,,,,,,No,,Excellent,Excellent or good,45+,65+,,,,,,,,,57.0,,,White,White,State questionnaire,White,White,White,,South,,,Other,Female,White women,,,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,Before that,Before that,Before that,,,,,Version 1,,0.873030841350555,,,,39437.0
49891.0,Other,Chris McDaniel,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,4.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Neither party,Unfavorable,About the same,To express support for Donald Trump,No,2.0,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,57.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Minorities are favored over whites,South,Mike Espy,,Other,Male,White men,Somewhat serious,Serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,0.975086510181427,,Not too important,Not important,39437.0
47621.0,Other,Chris McDaniel,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,3.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,2.0,Major changes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration,,Yes,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,95.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,,South,,Politically motivated,Other,Male,White men,,,Married men,Suburbs,Suburbs, Mississippi,White suburban men,No impact,Election day exit poll,Before that,Before that,Before that,Helped,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,1.08087539672852,No,,,39047.0
63192.0,Other,Chris McDaniel,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,4.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,No,2.0,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,21.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,No group is favored,South,Would not vote in U.S. Senate runoff,,Other,Female,White women,Somewhat serious,Serious,,Suburbs,Suburbs, Mississippi,White suburban women,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.870025157928467,,Not too important,Not important,39465.0
48272.0,Other,Chris McDaniel,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 2,3.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,,,2.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",,No,,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,98.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,,South,,,Other,Female,White women,,,,Suburbs,Suburbs, Mississippi,White suburban women,Helped,Election day exit poll,,,,Helped,,,,Version 4,,0.794681966304779,No,,,39042.0
62785.0,Other,Chris McDaniel,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,2.0,Minor changes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,31.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,,South,,Politically motivated,Other,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,Helped,Election day exit poll,In the last month,In the last month,Before that,Hurt,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1,Other,1.0501389503479,No,,,39507.0
50018.0,Other,Chris McDaniel,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,4.0,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,2.0,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,21.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Minorities are favored over whites,South,Mike Espy,,Other,Female,White women,Somewhat serious,Serious,,Suburbs,Suburbs, Mississippi,White suburban women,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,0.631332814693451,,Very important,Important,39465.0
60651.0,Other,Chris McDaniel,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,2.0,Major changes,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,Yes,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,57.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,,South,,Politically motivated,Other,Female,White women,,,Married women,Rural,Small Cities/Rural, Mississippi,Other,Helped,Election day exit poll,Before that,Before that,Before that,Helped,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.870025157928467,No,,,39437.0
40751.0,Other,Chris McDaniel,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 1,4.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,No,2.0,,No,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,57.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Minorities are favored over whites,South,Cindy Hyde-Smith,,Other,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.675375163555145,,Not too important,Not important,39437.0
63803.0,Other,Chris McDaniel,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,4.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,2.0,No changes at all,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Gun policy,No,No,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,31.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,,South,,Politically motivated,Other,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,Helped,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Didn't vote,1.0501389503479,No,,,39507.0
67380.0,Roger Wicker,Chris McDaniel,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,4.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,2.0,No changes at all,,,,,,,,Immigration,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,57.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,,South,,Politically motivated,The Republican candidate,Female,White women,,,Married women,Rural,Small Cities/Rural, Mississippi,Other,No impact,Election day exit poll,In the last month,In the last month,Before that,No impact,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.783870398998261,,,,39437.0
48780.0,Roger Wicker,Chris McDaniel,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,4.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,2.0,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,23.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,No group is favored,South,Cindy Hyde-Smith,,The Republican candidate,Female,White women,Not too serious,Not serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,1.14867997169495,,Somewhat important,Important,39452.0
50196.0,Roger Wicker,Chris McDaniel,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,1.0,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,3.0,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,109.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,No group is favored,South,Cindy Hyde-Smith,,The Republican candidate,Female,White women,Not too serious,Not serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,0.761997103691101,,Not at all important,Not important,39750.0
50195.0,Roger Wicker,Chris McDaniel,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,1.0,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,3.0,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,109.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,No group is favored,South,Cindy Hyde-Smith,,The Republican candidate,Female,White women,Not too serious,Not serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,0.761997103691101,,Not at all important,Not important,39750.0
49442.0,Roger Wicker,Chris McDaniel,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,2.0,Major changes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",The economy,No,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,,57.0,,,White,White,State questionnaire,White,White,White,,South,,Politically motivated,The Republican candidate,Male,White men,,,Non married men,Rural,Small Cities/Rural, Mississippi,Other,No impact,Election day exit poll,Before that,Before that,Before that,No impact,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,0.875503361225128,Yes,,,39437.0
67878.0,Roger Wicker,Chris McDaniel,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,2.0,Major changes,,,,,,,,Health care,No,No,Not so good,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,57.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,,South,,Omit,The Republican candidate,Female,White women,,,Non married women,Rural,Small Cities/Rural, Mississippi,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,Omit,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Didn't vote,0.608495712280273,,,,39437.0
48228.0,Roger Wicker,Chris McDaniel,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,4.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,No,2.0,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,31.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Minorities are favored over whites,South,Cindy Hyde-Smith,,The Republican candidate,Female,White women,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,1.50905013084412,,Not too important,Not important,39507.0
40499.0,Roger Wicker,Chris McDaniel,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,4.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,No,2.0,,No,,,,,,,,No,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,57.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,No group is favored,South,Mike Espy,,The Republican candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural, Mississippi,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.568814754486084,,Somewhat important,Important,39437.0
61211.0,Roger Wicker,Chris McDaniel,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 3,1.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,3.0,Minor changes,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Gun policy,No,No,Excellent,Excellent or good,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,1.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,,South,,Justified,The Republican candidate,Male,White men,,,Non married men,Rural,Small Cities/Rural, Mississippi,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,Helped,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,0.626669704914093,No,,,38834.0
48194.0,Roger Wicker,Chris McDaniel,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,3.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,No,2.0,,,,,,,,,,No,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,98.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,,South,,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs, Mississippi,White suburban men,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 1,Donald Trump,0.618635475635529,,,,39042.0
64032.0,Roger Wicker,Chris McDaniel,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,3.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,No,2.0,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,93.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Minorities are favored over whites,South,Mike Espy,,The Republican candidate,Male,White men,Somewhat serious,Serious,,Suburbs,Suburbs, Mississippi,White suburban men,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 2,,1.01902854442596,,Not at all important,Not important,39232.0
