ID,SENMT18,HOUMT18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVGIANFORTE,FAVHOUMT18,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVROSENDALE,FAVSENMT18,FAVTESTER,FAVWILLIAMS,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HOU,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVMT18,KAVMT18A,KAVMT18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,ROSENDALELIB,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TESTERLIB,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
54002.0,Other,Other,Keep it as is,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,Call 2,1.0,The Republican Party,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Unfavorable,Neither,Favorable,,Unfavorable,,,,,Unfavorable,,,,5.0,,,The Democratic Party,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,105.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,West,About right,,Other,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,,Election day exit poll,Too liberal,,,,,,,,Version 3,,0.0,,All others,,
54036.0,Other,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 2,1.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,,,,Neither party,,Unfavorable,Unfavorable,Neither,Unfavorable,,About the same,Donald Trump was not a factor,Yes,3.0,,,,Other,No,,,,,,,,,,,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,35.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,Other,Male,White men,Somewhat serious,Serious,Non married men,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.0,,,Somewhat important,Important
54051.0,Other,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,,Call 2,1.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,,,,Omit,,Omit,Favorable,Omit,Omit,,Worse,Donald Trump was not a factor,No,5.0,,,,Other,No,,,,,,,,,,,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Conservative,95.0,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,,Other,Non-white,American Indian,West,,,Other,Male,All other races,Very serious,Serious,Married men,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,Helped,Strongly or somewhat approve,Strongly approve,,Version 2,,0.0,,,Very important,Important
54887.0,Other,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,1.0,,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,,,,Only Democratic Party,,Unfavorable,Unfavorable,Only Jon Tester,Favorable,,Worse,Donald Trump was not a factor,No,5.0,,,,Other,No,,,,,,,,,,,No,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,108.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,Other,Male,White men,Somewhat serious,Serious,Non married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,,Election day exit poll,,,,,Hurt,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,0.0,,,Somewhat important,Important
68360.0,Other,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,,,,Neither party,,Unfavorable,Omit,Omit,Omit,,About the same,Donald Trump was not a factor,No,1.0,,,,Other,Omit,,,,,,,,,,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,24.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,Other,Female,White women,Somewhat serious,Serious,Married women,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,0.0,,,Somewhat important,Important
68363.0,Other,Other,Keep it as is,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 3,1.0,Omit,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,Omit,Omit,Omit,,Omit,,,,,Omit,,,,5.0,,,The Democratic Party,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,,,,,,,,Moderate,105.0,,,White,White,State questionnaire,Cares about people like me,White,White,White,West,Omit,,Other,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,,Election day exit poll,Omit,,,,,,,,Version 3,,0.0,,All others,,
68486.0,Other,Other,Overturn it,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 3,1.0,The Republican Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Neither,Unfavorable,,Unfavorable,,,,,Unfavorable,,,,2.0,,,Omit,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,55.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Is willing to compromise,White,White,White,West,Too conservative,,Other,Male,White men,,,,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,Too liberal,,,,,,,,Version 3,,0.0,,All others,,
68520.0,Other,Other,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,,,,Only Republican Party,,Favorable,Unfavorable,Neither,Unfavorable,,Better,Donald Trump was not a factor,Yes,2.0,,,,Other,No,,,,,,,,,,,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,49.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,Other,Male,White men,Very serious,Serious,Married men,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,Helped,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.0,,,Somewhat important,Important
68797.0,Other,Other,Keep it as is,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 3,1.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,Omit,Omit,Unfavorable,,Unfavorable,,,,,Omit,,,,3.0,,,Omit,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,,40.0,,,White,White,State questionnaire,Shares my view of government,White,White,White,West,Too conservative,,Other,Male,White men,,,,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,Too liberal,,,,,,,,Version 3,,0.0,,All others,,
68870.0,Other,Other,,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,1.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,,,,Only Republican Party,,Favorable,Unfavorable,Neither,Unfavorable,,About the same,Donald Trump was not a factor,No,1.0,,,,Other,No,,,,,,,,,,,No,Yes,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,28.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,West,,,Other,Female,White women,Not too serious,Not serious,Married women,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,Helped,Strongly or somewhat approve,Strongly approve,,Version 2,,0.0,,,Not too important,Not important
6475.0,Matt Rosendale,Other,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 65+,Complete,,,1.0,,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,,,,Neither party,,Unfavorable,Unfavorable,Neither,Unfavorable,,Better,Donald Trump was not a factor,No,5.0,,,,Other,No,,,,,,,,,,,Yes,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,,,,,Other,Other,State questionnaire,,Hispanic/Latino,Non-white,Hispanic/Latino,West,,,The Republican candidate,Male,Latino men,Somewhat serious,Serious,Married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,,Telephone survey,,,,,Helped,Strongly or somewhat approve,Strongly approve,,Version 2,,6.68921899795532,,,Not at all important,Not important
6555.0,Matt Rosendale,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,White 30-44,Complete,,,1.0,,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,,,,Neither party,,Unfavorable,Favorable,Only Matt Rosendale,Unfavorable,,About the same,Donald Trump was not a factor,No,5.0,,,,Other,No,,,,,,,,,,,Yes,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,White,State questionnaire,,Hispanic/Latino,Non-white,Hispanic/Latino,West,,,The Republican candidate,Male,Latino men,Not too serious,Not serious,Married men,Rural,Small Cities/Rural,Montana,Other,,Telephone survey,,,,,Hurt,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,9.18433856964111,,,Not too important,Not important
41367.0,Matt Rosendale,Other,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,1.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,,,,Neither party,,Unfavorable,Favorable,Only Matt Rosendale,Unfavorable,,About the same,Donald Trump was not a factor,No,1.0,,,,Other,No,,,,,,,,,,,No,Yes,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,28.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,The Republican candidate,Male,White men,Somewhat serious,Serious,Married men,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,Helped,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.0,,,Not too important,Not important
42327.0,Matt Rosendale,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Not complete,Yes,Call 1,1.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,,,,,2.0,,,The Republican Party,Other,,,,,,,,,,,,No,,,,18-44,18-64,,,,,,,,,60.0,,,White,White,State questionnaire,,White,White,White,West,,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs,Montana,White suburban men,,Election day exit poll,,,,,,,,,Version 3,,0.0,,White Born-again/Evangelical Christians,,
54798.0,Matt Rosendale,Other,Overturn it,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Yes,Call 2,1.0,The Republican Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Only Kathleen Williams,Favorable,,Unfavorable,,,,,Favorable,,,,2.0,,,The Democratic Party,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,67.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,Shares my view of government,White,White,White,West,About right,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs,Montana,White suburban men,,Election day exit poll,Too liberal,,,,,,,,Version 3,,0.0,,White Born-again/Evangelical Christians,,
68416.0,Matt Rosendale,Other,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 3,1.0,,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,,,,,5.0,Yes,Major changes,,Other,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,,,,No,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,103.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,Politically motivated,The Republican candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,Hurt,Election day exit poll,,In the last week,In the last month,In the last week,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Didn't vote,0.0,No,,,
69085.0,Matt Rosendale,Other,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,,,,Neither party,,Unfavorable,Unfavorable,Neither,Unfavorable,,About the same,Donald Trump was not a factor,No,1.0,,,,Other,No,,,,,,,,,,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,23.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,West,,,The Republican candidate,Female,White women,Somewhat serious,Serious,Married women,Rural,Small Cities/Rural,Montana,Other,,Election day exit poll,,,,,Helped,Strongly or somewhat approve,Somewhat approve,,Version 2,,0.0,,,Very important,Important
6248.0,Jon Tester,Other,Keep it as is,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,1.0,Omit,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Favorable,Omit,Unfavorable,,Unfavorable,,,,,Omit,,,,2.0,,,The Democratic Party,Other,,,,,,,,,Not a factor at all,Not important,Not a factor,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Omit,White,White,White,West,Too conservative,,The Democratic candidate,Male,White men,,,,Rural,Small Cities/Rural,Montana,Other,,Telephone survey,About right,,,,,,,,Version 3,,0.918163597583771,,All others,,
6470.0,Jon Tester,Other,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,White 45-64,Complete,,,1.0,,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,,,,Only Democratic Party,,Unfavorable,Unfavorable,Only Jon Tester,Favorable,,Worse,Donald Trump was not a factor,No,2.0,,,,Other,Yes,,,,,,,,,,,Yes,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,White,State questionnaire,,Hispanic/Latino,Non-white,Hispanic/Latino,West,,,The Democratic candidate,Male,Latino men,Very serious,Serious,Married men,"Cities 50,000-500,000","Cities over 50,000",Montana,Other,,Telephone survey,,,,,Hurt,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,2.05185508728027,,,Very important,Important
