ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,GOVGA06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,BRNAGAIN,LATINO,BUSH4,IRAQWAR,NEWTPRES,STECGA,STEC2,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,WHTEVANG,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
13428.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47486698627472,Sonny Perdue (Rep),Female,White,45-49,Republican,Conservative,,Yes,No,Strongly approve,Strongly approve,No,Excellent,Excellent/Good,Offered a chance to apply for legal status,White female,White female,45-59,40-49,18-64,30-59,Republican,,,White Evangelical Born Again Christians,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13445.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.288862556219101,Mark Taylor (Dem),Female,White,30-39,Democratic,Liberal,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,No answer,White female,White female,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13466.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.397244691848755,Mark Taylor (Dem),Male,Black,60-64,Democratic,Moderate,Under $15k,,No,,Strongly disapprove,,,,,Non-white male,Non-white,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,,,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13484.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.875432252883911,Sonny Perdue (Rep),Male,Black,45-49,Something else,Moderate,$75k-$100k,Yes,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Deported to the country they came from,Non-white male,Non-white,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,All others,Disapprove,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13499.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.261991411447525,Mark Taylor (Dem),Male,White,50-59,Something else,Liberal,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Poor,Good/Not so good,Offered a chance to apply for legal status,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13530.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47486698627472,Sonny Perdue (Rep),Female,White,40-44,Republican,Conservative,$150k-$200k,No,No,Somewhat approve,Somewhat approve,No,Good,Excellent/Good,Deported to the country they came from,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,All others,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13533.0, Georgia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.75744295120239,Sonny Perdue (Rep),Male,White,45-49,Republican,Conservative,$100k-$150k,Yes,No,Strongly approve,Strongly approve,Yes,Excellent,Excellent/Good,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,White Evangelical Born Again Christians,Approve,Approve,White,Suburbs,Suburbs,6.0,Strong Republican,Atlanta Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30127.0
13545.0, Georgia,134.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.01148521900177,Sonny Perdue (Rep),Male,White,60-64,Republican,Conservative,$150k-$200k,,No,,Somewhat disapprove,,,,,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,,,Disapprove,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13555.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.189044952392578,Mark Taylor (Dem),Female,Black,40-44,Democratic,Liberal,$30k-$50k,Yes,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13565.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.388952553272247,Mark Taylor (Dem),,Black,65-74,Democratic,Conservative,,,,,Strongly disapprove,,,,,,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,,,,,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13567.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.33766901493073,Sonny Perdue (Rep),Male,White,45-49,Republican,Conservative,$75k-$100k,Yes,No,Somewhat approve,Somewhat disapprove,No,Good,Excellent/Good,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,White Evangelical Born Again Christians,Approve,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13628.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47699785232544,Sonny Perdue (Rep),Male,White,60-64,Something else,Conservative,$200k or more,No,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Deported to the country they came from,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,$100k or more,All others,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13632.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.288862556219101,Mark Taylor (Dem),Female,White,50-59,Democratic,Liberal,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Poor,Good/Not so good,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13642.0, Georgia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.75744295120239,Sonny Perdue (Rep),Male,White,50-59,Republican,Conservative,$100k-$150k,No,No,Somewhat approve,Somewhat approve,No,Good,Excellent/Good,Deported to the country they came from,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,All others,Approve,Approve,White,Suburbs,Suburbs,6.0,Strong Republican,Atlanta Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30127.0
13672.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47486698627472,Sonny Perdue (Rep),Female,White,40-44,Republican,Conservative,$75k-$100k,Yes,No,Strongly approve,Strongly approve,Yes,Good,Excellent/Good,Offered a chance to apply for legal status,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,White Evangelical Born Again Christians,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13683.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,White,50-59,Democratic,Moderate,$75k-$100k,No,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,Deported to the country they came from,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
13691.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.139092728495598,Mark Taylor (Dem),Male,Black,25-29,Democratic,Conservative,$15k-$30k,Yes,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white male,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13693.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.606993734836578,Mark Taylor (Dem),Male,White,75 or over,Republican,Moderate,$15k-$30k,,,,Somewhat approve,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,,,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13695.0, Georgia,134.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.916069328784943,Sonny Perdue (Rep),Male,White,30-39,Republican,Moderate,$100k-$150k,,No,,Strongly approve,,,,,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,,,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13713.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.33766901493073,Sonny Perdue (Rep),Male,White,50-59,Independent,Conservative,$75k-$100k,No,No,Somewhat approve,Somewhat approve,Yes,Good,Excellent/Good,Deported to the country they came from,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,All others,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13754.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47486698627472,Sonny Perdue (Rep),Female,White,50-59,Republican,Moderate,$75k-$100k,Yes,No,Somewhat approve,Somewhat disapprove,Yes,Excellent,Excellent/Good,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,White Evangelical Born Again Christians,Approve,Disapprove,White,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
13771.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.33766901493073,Sonny Perdue (Rep),Male,White,45-49,Republican,Conservative,$150k-$200k,No,No,Strongly approve,Strongly approve,No,Good,Excellent/Good,Offered a chance to apply for legal status,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,All others,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13784.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.189044952392578,Mark Taylor (Dem),Female,Black,50-59,Democratic,,$75k-$100k,No,No,Somewhat approve,Somewhat approve,No Answer,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Approve,Approve,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13792.0, Georgia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.75744295120239,Sonny Perdue (Rep),Male,White,50-59,Independent,Moderate,$200k or more,Yes,No,Somewhat approve,Somewhat disapprove,Yes,Good,Excellent/Good,Offered a chance to apply for legal status,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,White Evangelical Born Again Christians,Approve,Disapprove,White,Suburbs,Suburbs,6.0,Strong Republican,Atlanta Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30127.0
13794.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.606118023395538,Mark Taylor (Dem),Female,White,30-39,Republican,Moderate,$30k-$50k,,No,,Somewhat approve,,,,,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,,,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13809.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,Black,45-49,Democratic,Moderate,$100k-$150k,Yes,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white male,Non-white,45-59,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,All others,Disapprove,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13811.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,White,50-59,Democratic,Moderate,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Deported to the country they came from,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
13834.0, Georgia,134.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.01148521900177,Sonny Perdue (Rep),Male,White,60-64,Republican,Moderate,$150k-$200k,,No,,Strongly approve,,,,,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,,,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13842.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.288862556219101,Mark Taylor (Dem),Female,White,40-44,Democratic,Liberal,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,Offered a chance to apply for legal status,White female,White female,30-44,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13854.0, Georgia,98.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,Black,30-39,Democratic,Moderate,$100k-$150k,Yes,No,Somewhat approve,Somewhat disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white male,Non-white,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,All others,Approve,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,8.0,Competitive,Central,Suburb,Rural,Rural,Very upscale,31005.0
13876.0, Georgia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.93769490718842,Sonny Perdue (Rep),Female,White,30-39,Republican,Moderate,$50k-$75k,No,No,Somewhat approve,Somewhat approve,No,Good,Excellent/Good,Offered a chance to apply for legal status,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Approve,Approve,White,Suburbs,Suburbs,6.0,Strong Republican,Atlanta Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30127.0
13881.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,Black,50-59,Democratic,Conservative,$30k-$50k,Yes,No,Somewhat disapprove,Somewhat disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
13888.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.359771639108658,Mark Taylor (Dem),Male,Black,30-39,Democratic,Moderate,$50k-$75k,,No,,Strongly disapprove,,,,,Non-white male,Non-white,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,,,Disapprove,Black,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
13905.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.189044952392578,Mark Taylor (Dem),Female,Black,50-59,Independent,Moderate,$30k-$50k,Yes,No,Strongly disapprove,Somewhat disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
13942.0, Georgia,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.270085841417313,Mark Taylor (Dem),Male,Black,45-49,Democratic,Liberal,$30k-$50k,Yes,No,Strongly disapprove,Strongly disapprove,Yes,Poor,Good/Not so good,Deported to the country they came from,Non-white male,Non-white,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,"Cities 50,000-500,000","Cities over 50,000",12.0,Competitive,South,Suburb,Urban,Urban Core,Very downscale,31404.0
13976.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47486698627472,Sonny Perdue (Rep),Female,White,45-49,Republican,Moderate,$30k-$50k,,No,Strongly approve,Strongly approve,No Answer,Good,Excellent/Good,No answer,White female,White female,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,All others,Approve,Approve,White,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
13982.0, Georgia,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.75744295120239,Sonny Perdue (Rep),Male,White,30-39,Republican,Conservative,$100k-$150k,No,No,Somewhat disapprove,Somewhat disapprove,Yes,Excellent,Excellent/Good,No answer,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,All others,Disapprove,Disapprove,White,Suburbs,Suburbs,6.0,Strong Republican,Atlanta Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,30127.0
13984.0, Georgia,67.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03470587730408,Mark Taylor (Dem),Female,Black,25-29,Democratic,Liberal,$15k-$30k,Yes,No,Strongly disapprove,Strongly disapprove,,,,Offered a chance to apply for legal status,Non-white female,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,"Cities 50,000-500,000","Cities over 50,000",5.0,Unoppsed Democratic,Atlanta,Suburb,Urban,Urban Core,Downscale,30318.0
13986.0, Georgia,134.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.743142008781433,Sonny Perdue (Rep),Male,White,25-29,Republican,Conservative,$75k-$100k,,No,,Strongly approve,,,,,White male,White male,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,,,Approve,White,Suburbs,Suburbs,8.0,Competitive,North,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30223.0
13991.0, Georgia,40.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.403587430715561,Sonny Perdue (Rep),Male,White,30-39,Republican,Conservative,$15k-$30k,,No,,Strongly approve,,,,,White male,White male,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,,,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,South,Extremely Low Density Rural,Rural,Rural,Very downscale,31554.0
14002.0, Georgia,54.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.189044952392578,Mark Taylor (Dem),Female,Black,45-49,Democratic,Liberal,$50k-$75k,No,No,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,Offered a chance to apply for legal status,Non-white female,Non-white,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,All others,Disapprove,Disapprove,Black,Suburbs,Suburbs,4.0,Strong Democratic,Atlanta,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,30083.0
14014.0, Georgia,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.236127585172653,Mark Taylor (Dem),Male,Black,25-29,,Moderate,$30k-$50k,No,No,Somewhat disapprove,Strongly disapprove,No,Poor,Good/Not so good,No answer,Non-white male,Non-white,18-29,25-29,18-64,18-29,,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,Black,"Cities 50,000-500,000","Cities over 50,000",12.0,Competitive,South,Suburb,Urban,Urban Core,Very downscale,31404.0
14045.0, Georgia,144.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.33773803710938,Mark Taylor (Dem),Male,White,65-74,Democratic,Moderate,,Yes,No,Strongly disapprove,Strongly disapprove,No,Not so good,Good/Not so good,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,,,White Evangelical Born Again Christians,Disapprove,Disapprove,White,Rural,Small Cities/Rural,9.0,Strong Republican,Central,Extremely Low Density Rural,Rural,Rural,Very downscale,30673.0
