ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENOH06,GOVOH06,AMD2OH,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,MARRIED,BUSH4,COUNTACC,IRAQTRP,IRAQWAR,VOTE2004,IMPIRAQS,IMPTERRS,IMPECONS,PTYETH,ETHDEM,ETHREP,STECOH,STEC2,JOBSIT2,FALLBHND,FORBUSHS,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
8750.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,2.35162878036499,Mike DeWine (Rep),Ted Strickland (Dem),No,Female,White,40-44,Independent,Liberal,$75k-$100k,,,Some college or associate degree,No one does,,,Very confident,,Somewhat approve,George W. Bush (Rep),,,,,,,,,,Are getting ahead financially,,,,,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,,,Did not graduate from college,At least some college,,,Approve,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
8764.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09414923191071,Sherrod Brown (Dem),J. Kenneth Blackwell (Rep),No,Male,White,45-49,Republican,Moderate,,None,A few time a year,,,Yes,Somewhat approve,,Maintain the same number of troops,Somewhat approve,,,,,,,,,,,,,,,,White male,White male,45-59,40-49,18-64,30-59,Republican,,,None,White None,Ocassionally,All others,,,Approve,Same number or more troops,Approve,,,,,All others,Married men,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8796.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.37006807327271,Sherrod Brown (Dem),Ted Strickland (Dem),No,Female,White,50-59,Independent,Moderate,$50k-$75k,,,High school graduate,No one does,,,Somewhat confident,,Strongly disapprove,John Kerry (Dem),,,,,,,,,,Have just enough money to maintain your standard of living,,,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,,,Did not graduate from college,High school graduate or less,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
8829.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.833883881568909,Sherrod Brown (Dem),J. Kenneth Blackwell (Rep),Yes,Male,White,60-64,Independent,Moderate,,,,Postgraduate study,No one does,,,Very confident,,Somewhat disapprove,George W. Bush (Rep),,,,,,,,,,Are getting ahead financially,,,,,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,,,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
8830.0,Ohio,55.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.30220663547516,Sherrod Brown (Dem),Ted Strickland (Dem),No,Male,White,40-44,Democratic,Moderate,$200k or more,,,Postgraduate study,No one does,,,Somewhat confident,,Somewhat disapprove,John Kerry (Dem),,,,,,,,,,Have just enough money to maintain your standard of living,,,,,White male,White male,30-44,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,12.0,Strong Republican,Central,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43054.0
8841.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,3.54190683364868,Mike DeWine (Rep),Ted Strickland (Dem),No,Male,White,50-59,Republican,Conservative,,Jewish,Once a week,Postgraduate study,No one does,Yes,Somewhat disapprove,Somewhat confident,Withdraw some troops,Somewhat approve,Did not vote,Somewhat important,Somewhat important,Somewhat important,Neither does,"No, the Democratic Party does not","No, the Republican Part does not",Not so good,Not so good/Poor,Worse today,Are getting ahead financially,No answer,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Republican,,,Jewish,White Jewish,Weekly,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
8858.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.906119227409363,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,25-29,Something else,Liberal,$30k-$50k,,,Postgraduate study,No one does,,,Very confident,,Strongly disapprove,John Kerry (Dem),,,,,,,,,,Have just enough money to maintain your standard of living,,,,,White male,White male,18-29,25-29,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
8860.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.25635945796967,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),No,Female,White,,Republican,Conservative,$50k-$75k,Catholic,More than once a week,,,Yes,Strongly approve,,Send more troops,Strongly approve,,,,,,,,,,,,,,,,White female,White female,,,,,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,,,Approve,Same number or more troops,Approve,,,,,Married women,Married women,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8904.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.554933965206146,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,30-39,Independent,Moderate,$75k-$100k,,,College graduate,No one does,,,Very confident,,Somewhat disapprove,John Kerry (Dem),,,,,,,,,,Are getting ahead financially,,,,,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
8929.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66667699813843,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,60-64,Democratic,Liberal,$200k or more,Jewish,A few time a year,Postgraduate study,No one does,Yes,Strongly disapprove,Somewhat confident,Send more troops,Somewhat disapprove,John Kerry (Dem),Somewhat important,Not at all important,Extremely important,Only the Democratic Party does,"Yes, the Democratic Party does","No, the Republican Part does not",Poor,Not so good/Poor,Better today,Are getting ahead financially,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
8949.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.554933965206146,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,30-39,Independent,Moderate,$75k-$100k,,,College graduate,No one does,,,Very confident,,Somewhat disapprove,John Kerry (Dem),,,,,,,,,,Are getting ahead financially,,,,,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
8953.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01424777507782,Sherrod Brown (Dem),Ted Strickland (Dem),No,Female,White,50-59,Independent,Conservative,$50k-$75k,Catholic,A few time a year,,,Yes,No answer,,No answer,Somewhat approve,,,,,,,,,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,,,No answer,No answer,Approve,,,,,Married women,Married women,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
8959.0,Ohio,55.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.898694276809692,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,30-39,Independent,Liberal,$200k or more,Other Christian,A few time a year,,,Yes,Strongly disapprove,,Withdraw some troops,Somewhat disapprove,,,,,,,,,,,,,,,,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,,,Disapprove,Withdraw all or some troops,Disapprove,,,,,All others,Married men,White,Suburbs,Suburbs,12.0,Strong Republican,Central,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43054.0
8969.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.858442902565002,,,Yes,Male,White,75 or over,Independent,Conservative,,,,Some college or associate degree,No one does,,,Somewhat confident,,Somewhat approve,George W. Bush (Rep),,,,,,,,,,No Answer,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,,,,,Did not graduate from college,At least some college,,,Approve,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
8993.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.22562885284424,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,50-59,Independent,Moderate,$200k or more,Jewish,A few times a month,Postgraduate study,No one does,Yes,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,John Kerry (Dem),Somewhat important,Somewhat important,Extremely important,Neither does,"No, the Democratic Party does not","No, the Republican Part does not",Not so good,Not so good/Poor,Better today,Are getting ahead financially,To express opposition to George W Bush, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
9016.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.705458045005798,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,,,,,,,,,,Strongly disapprove,,,,,,,,,,,,,,,,,,,White female,White female,,,,,,,,,,,,,,Disapprove,,,,,,,,,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
9028.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.855994701385498,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,45-49,Democratic,Liberal,$75k-$100k,,,Some college or associate degree,"Yes, I do",,,Very confident,,Strongly approve,John Kerry (Dem),,,,,,,,,,Have just enough money to maintain your standard of living,,,,,White male,White male,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,,,,,Did not graduate from college,At least some college,,,Approve,Very/Somewhat confident,Yes,Yes,I am (voter is member),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
9054.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.22562885284424,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,50-59,Independent,Liberal,$150k-$200k,Jewish,A few times a month,Postgraduate study,No one does,Yes,Somewhat disapprove,Very confident,Withdraw some troops,Strongly disapprove,John Kerry (Dem),Somewhat important,Not at all important,Somewhat important,Both do,"Yes, the Democratic Party does","Yes, the Republican Party does",Not so good,Not so good/Poor,About the same,Are getting ahead financially,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
9058.0,Ohio,64.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.992426872253418,Mike DeWine (Rep),J. Kenneth Blackwell (Rep),Yes,Male,White,40-44,Republican,Moderate,$200k or more,,,College graduate,No one does,,,Very confident,,Somewhat approve,George W. Bush (Rep),,,,,,,,,,Are getting ahead financially,,,,,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,,,,,College graduate,At least some college,,,Approve,Very/Somewhat confident,No,No,No (no union member in household),,,White,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Southwest,High Density Urban,Urban,Urban Core,Very upscale,45208.0
9078.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.813749194145203,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Female,White,50-59,Democratic,Moderate,$50k-$75k,,,Some college or associate degree,"Yes, I do",,,Somewhat confident,,Somewhat disapprove,John Kerry (Dem),,,,,,,,,,Are falling behind financially,,,,,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,,,,,Did not graduate from college,At least some college,,,Disapprove,Very/Somewhat confident,Yes,Yes,I am (voter is member),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
9084.0,Ohio,55.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.30220663547516,Sherrod Brown (Dem),Ted Strickland (Dem),No,Male,White,45-49,Republican,Moderate,$200k or more,,,Postgraduate study,No one does,,,Somewhat confident,,Somewhat disapprove,George W. Bush (Rep),,,,,,,,,,Are getting ahead financially,,,,,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,,,,,College graduate,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,12.0,Strong Republican,Central,Suburb,80s Suburbs,Urban Perimeter,Very upscale,43054.0
9109.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,3.45922541618347,Mike DeWine (Rep),Other,Yes,Male,White,65-74,Republican,Moderate,,Catholic,Once a week,,,Yes,Strongly disapprove,,Withdraw all troops,Strongly disapprove,,,,,,,,,,,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,,,Catholic,White Catholic,Weekly,Catholic/Attend weekly,,,Disapprove,Withdraw all or some troops,Disapprove,,,,,All others,Married men,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
9111.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66667699813843,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,60-64,Democratic,Liberal,$200k or more,Other Christian,A few time a year,Postgraduate study,No one does,Yes,Strongly disapprove,Not very confident,Withdraw all troops,Strongly disapprove,John Kerry (Dem),Extremely important,Somewhat important,Somewhat important,Neither does,"No, the Democratic Party does not","No, the Republican Part does not",Poor,Not so good/Poor,Worse today,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
9172.0,Ohio,33.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.855994701385498,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,50-59,Democratic,Moderate,Under $15k,,,College graduate,No one does,,,Not at all confident,,Strongly disapprove,John Kerry (Dem),,,,,,,,,,Are falling behind financially,,,,,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,,,,,College graduate,At least some college,,,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),,,White,Suburbs,Suburbs,10.0,Strong Democratic,Cuyahoga County,Suburb,80s Suburbs,Urban Perimeter,Very upscale,44145.0
9175.0,Ohio,88.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.748983681201935,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,50-59,,,,,,,,,Strongly disapprove,,,,,,,,,,,,,,,,,,,White male,White male,45-59,50-64,18-64,30-59,,,,,,,,,,Disapprove,,,,,,,,,White,"Cities 50,000-500,000","Cities over 50,000",13.0,Competitive,Northeast,Suburb,Urban,Urban Core,Downscale,44035.0
9179.0,Ohio,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.22562885284424,Sherrod Brown (Dem),Ted Strickland (Dem),Yes,Male,White,30-39,Democratic,Liberal,$100k-$150k,Jewish,A few times a month,Postgraduate study,No one does,Yes,Strongly disapprove,Not very confident,No answer,Strongly disapprove,John Kerry (Dem),Somewhat important,Not at all important,Somewhat important,No Answer,No Answer,No Answer,Not so good,Not so good/Poor,About the same,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,No answer,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others,Married men,White,Suburbs,Suburbs,11.0,Strong Democratic,Cuyahoga County,Suburb,60s Suburbs,Urban Perimeter,Very upscale,44122.0
9183.0,Ohio,50.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.757311701774597,Sherrod Brown (Dem),Ted Strickland (Dem),No,Male,White,30-39,Independent,Liberal,$75k-$100k,Something else,A few time a year,College graduate,No one does,No,Strongly disapprove,Not very confident,No answer,Somewhat disapprove,John Kerry (Dem),Not at all important,Somewhat important,Not at all important,Neither does,"No, the Democratic Party does not","No, the Republican Part does not",Good,Excellent/Good,Better today,Are getting ahead financially,George W Bush was not a factor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Something else,White Something else,Ocassionally,All others,College graduate,At least some college,Disapprove,No answer,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others,Single men,White,"Cities over 500,000","Cities over 50,000",12.0,Strong Republican,Central,Suburb,Urban,Urban Core,Very downscale,43219.0
