ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMD06,GOVMD06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,MARRIED,CHILD,BUSH4,COUNTACC,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,DESCRIBS,RACEREL,STECMD,STEC2,TIMESEN,TIMESEN3D,TIMESENWK,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
10633.0, Maryland,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04300737380981,Michael Steele (Rep),Robert Ehlich (Rep),Male,White,65-74,Republican,Conservative,$30k-$50k,Catholic,Once a week,High school graduate,No one does,Yes,No,Strongly approve,Very confident,Maintain the same number of troops,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Only the Republican Party,Excellent,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express support for George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,2.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21237.0
10641.0, Maryland,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.837901413440704,Michael Steele (Rep),Robert Ehlich (Rep),Female,White,50-59,Republican,Moderate,$75k-$100k,Catholic,Never,Some college or associate degree,No one does,No,No,No answer,Very confident,Withdraw some troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,No Answer,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Never,Catholic/Do not attend weekly,Did not graduate from college,At least some college,No answer,Withdraw all or some troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,3.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21136.0
10687.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.507162809371948,Ben Cardin (Dem),Martin O'Malley (Dem),Female,White,50-59,Democratic,Liberal,$100k-$150k,Other Christian,Once a week,Some college or associate degree,No one does,Yes,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,I strongly favor my candidate,Only the Democratic Party,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Married women,All others,All others,Other women, Women without children,Married women,White,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10695.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.357875049114227,Ben Cardin (Dem),Martin O'Malley (Dem),Female,White,30-39,Democratic,Moderate,$75k-$100k,Protestant,A few times a month,Postgraduate study,No one does,Yes,No,Strongly disapprove,Very confident,Withdraw some troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,I like my candidate but with reservations,No Answer,Not so good,Not so good/Poor,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,To express opposition to George W Bush,White female,White female,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Married women,All others,All others,Other women, Women without children,Married women,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10715.0, Maryland,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.849238216876984,Michael Steele (Rep),Robert Ehlich (Rep),Male,White,50-59,Republican,Moderate,$75k-$100k,Catholic,Never,College graduate,No one does,Yes,Yes,Strongly approve,Very confident,Maintain the same number of troops,Strongly approve,Somewhat important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Only the Republican Party,Excellent,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express support for George W Bush,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Never,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,2.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21237.0
10733.0, Maryland,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.867889881134033,Michael Steele (Rep),Robert Ehlich (Rep),Female,Black,50-59,Republican,Conservative,$30k-$50k,Catholic,Once a week,High school graduate,No one does,Yes,Yes,Strongly approve,Very confident,Send more troops,Somewhat approve,Not at all important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,Only the Republican Party,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,Non-white female,Non-white,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,Non-White,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,Black,Suburbs,Suburbs,3.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21136.0
10785.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.542467415332794,Ben Cardin (Dem),Martin O'Malley (Dem),Male,Black,50-59,Democratic,Moderate,,Other Christian,More than once a week,College graduate,No one does,Yes,Yes,Strongly disapprove,Not very confident,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,Neither does,Not so good,Not so good/Poor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,,,Protestant/Other Christian,Non-White,Weekly,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,Black,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10787.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.369560807943344,Ben Cardin (Dem),Martin O'Malley (Dem),Male,White,45-49,Democratic,Moderate,$30k-$50k,Something else,A few time a year,,"Yes, I do",No,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Extremely important,I strongly favor my candidate,Both do,Not so good,Not so good/Poor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White male,White male,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Something else,White Something else,Ocassionally,All others,,,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,Yes,Yes,I am (voter is member),All others,All others,All others,All men,Men without children,Single men,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10789.0, Maryland,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.840082705020905,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Black,,Democratic,Moderate,,Other Christian,A few times a month,College graduate,No one does,No,Yes,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Not at all important,I strongly favor my candidate,Both do,Not so good,Not so good/Poor,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,Non-white female,Non-white,,,,,Democratic,,,Protestant/Other Christian,Non-White,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,Suburbs,Suburbs,2.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21237.0
10823.0, Maryland,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.843780338764191,Ben Cardin (Dem),Martin O'Malley (Dem),Male,White,30-39,Democratic,Liberal,$100k-$150k,Jewish,A few time a year,College graduate,No one does,Yes,Yes,Strongly disapprove,Somewhat confident,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,Only the Democratic Party,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,3.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21136.0
10848.0, Maryland,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.857794463634491,Ben Cardin (Dem),Martin O'Malley (Dem),Male,Black,50-59,Democratic,Moderate,$30k-$50k,Other Christian,Once a week,High school graduate,No one does,No,No,No answer,Somewhat confident,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,I like my candidate but with reservations,Only the Democratic Party,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,Weekly,All others,Did not graduate from college,High school graduate or less,No answer,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Single men,Black,Suburbs,Suburbs,2.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21237.0
10856.0, Maryland,134.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.453882843255997,Ben Cardin (Dem),Martin O'Malley (Dem),Male,White,65-74,Democratic,Moderate,$30k-$50k,None,Never,High school graduate,No one does,Yes,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,I dislike the other candidate,Both do,Good,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,None,White None,Never,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,6.0,Strong Republican,Rest of State,Suburb,60s Suburbs,Urban Perimeter,Very downscale,21795.0
10857.0, Maryland,87.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.525314211845398,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Black,30-39,Democratic,Moderate,$75k-$100k,Other Christian,Once a week,College graduate,"Yes, I do",Yes,Yes,Strongly approve,Not at all confident,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Extremely important,I strongly favor my candidate,Only the Democratic Party,Not so good,Not so good/Poor, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,Non-white female,Non-white,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,Weekly,All others,College graduate,At least some college,Approve,Withdraw all or some troops,Disapprove,Not very/Not at all confident,Yes,Yes,I am (voter is member),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,Black,Suburbs,Suburbs,4.0,Strong Democratic,DC Suburbs,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20874.0
10919.0, Maryland,115.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09243297576904,Michael Steele (Rep),Robert Ehlich (Rep),Male,White,50-59,Republican,Conservative,$100k-$150k,Protestant,A few time a year,Postgraduate study,No one does,Yes,Yes,Strongly approve,Very confident,Maintain the same number of troops,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,I strongly favor my candidate,Both do,Excellent,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,To express support for George W Bush,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,5.0,Strong Democratic,DC Suburbs,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,20782.0
10920.0, Maryland,15.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.49520671367645,Ben Cardin (Dem),Martin O'Malley (Dem),Female,Black,30-39,Democratic,Moderate,$30k-$50k,,,Some college or associate degree,No one does,,Yes,,Somewhat confident,,Strongly disapprove,,,,,,,,,,,,,Non-white female,Non-white,30-44,30-39,18-64,30-59,Democratic,Less than $50k,Less than $100k,,,,,Did not graduate from college,At least some college,,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),,Women with children,,,Women with children,,Black,Suburbs,Suburbs,7.0,Unoppsed Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21244.0
10927.0, Maryland,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.837901413440704,Michael Steele (Rep),Robert Ehlich (Rep),Female,White,50-59,Republican,Moderate,$200k or more,Catholic,A few time a year,College graduate,No one does,Yes,No,Somewhat approve,Very confident,No answer,Somewhat disapprove,Not at all important,Somewhat important,Somewhat important,Somewhat important,I like my candidate but with reservations,Both do,Excellent,Excellent/Good,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,No answer,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Married women,All others,All others,Other women, Women without children,Married women,White,Suburbs,Suburbs,3.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,21136.0
10930.0, Maryland,24.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05329155921936,Ben Cardin (Dem),Martin O'Malley (Dem),Female,White,18-24,Democratic,Moderate,$100k-$150k,Other Christian,Once a week,Some college or associate degree,No one does,No,No,Strongly disapprove,Somewhat confident,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,I strongly favor my candidate,Both do,Good,Excellent/Good, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,To express opposition to George W Bush,White female,White female,18-29,18-24,18-64,18-29,Democratic,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,2.0,Strong Democratic,Baltimore Suburbs,Suburb,70s Suburbs,Urban Perimeter,Downscale,21237.0
