ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWI06,GOVWI06,AMD1WI,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORR,FEINPRES,STECWI,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
19046.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.785410165786743,Herb Kohl (Dem),Mark Green (Rep),Yes,Female,White,30-39,Republican,Conservative,$15k-$30k,Catholic,Once a week,Some college or associate degree,No one does,Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Somewhat important,No,Good,Excellent/Good,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
19055.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.35543239116669,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,65-74,Republican,Conservative,$50k-$75k,Protestant,Once a week,High school graduate,"Yes, someone else does",Somewhat approve,Strongly disapprove,Somewhat important,Extremely important,Somewhat important,Somewhat important,No Answer,Poor,Not so good/Poor,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
19064.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.728915214538574,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,18-24,Independent,Liberal,$100k-$150k,,No answer,College graduate,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Not so good,Not so good/Poor,White male,White male,18-29,18-24,18-64,18-29,Independent/Something else,$50k or more,$100k or more,,,No answer,No answer,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
19089.0,Wisconsin,61.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.07742142677307,Robert Lorge (Rep),Mark Green (Rep),No,Female,White,60-64,Republican,Conservative,$30k-$50k,Protestant,Never,College graduate,No one does,Strongly approve,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,No,Good,Excellent/Good,White female,White female,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Never,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,8.0,Competitive,Northeast,Suburb,70s Suburbs,Urban Perimeter,Very upscale,54914.0
19093.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14219832420349,Robert Lorge (Rep),Mark Green (Rep),Yes,Female,White,30-39,,,,,No answer,,No one does,Strongly approve,No answer,Somewhat important,Somewhat important,Somewhat important,Extremely important,No Answer,Good,Excellent/Good,White female,White female,30-44,30-39,18-64,30-59,,,,,,No answer,No answer,,,Approve,No answer,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
19107.0,Wisconsin,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12590098381042,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,65-74,Democratic,Moderate,$50k-$75k,Protestant,A few time a year,College graduate,"Yes, someone else does",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Extremely important,No,Excellent,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,South,Suburb,Urban,Urban Core,Upscale,53546.0
19126.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.766265332698822,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,65-74,Democratic,Conservative,Under $15k,Mormon/LDS,Once a week,High school graduate,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
19132.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.772563099861145,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,75 or over,Republican,Moderate,$15k-$30k,Catholic,More than once a week,High school graduate,No one does,Somewhat approve,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,No,Not so good,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
19138.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3027184009552,Robert Lorge (Rep),Mark Green (Rep),Yes,Female,White,65-74,Democratic,Moderate,$30k-$50k,Other Christian,A few times a month,High school graduate,"Yes, someone else does",Strongly approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
19146.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.766265332698822,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,65-74,Independent,Liberal,$15k-$30k,Protestant,A few time a year,High school graduate,"Yes, I do",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Extremely important,Yes,Not so good,Not so good/Poor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
19148.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.728915214538574,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,25-29,Democratic,Liberal,$15k-$30k,None,A few time a year,Postgraduate study,"Yes, I do",Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,Good,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,White None,Ocassionally,All others,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
19155.0,Wisconsin,96.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.561521530151367,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,50-59,Republican,Conservative,$150k-$200k,Catholic,A few time a year,,,Somewhat approve,Somewhat approve,,,,,,,,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,,,Approve,Approve,,,,White,Suburbs,Suburbs,5.0,Strong Republican,Milwaukee Vicinity,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
19174.0,Wisconsin,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,3.12481331825256,Robert Lorge (Rep),Mark Green (Rep),Yes,Male,White,30-39,Republican,Moderate,$75k-$100k,Catholic,A few times a month,College graduate,"Yes, someone else does",Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Extremely important,No,Excellent,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Approve,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,South,Suburb,Urban,Urban Core,Upscale,53546.0
19175.0,Wisconsin,39.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.96112167835236,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,65-74,,,,,,,No one does,Somewhat disapprove,,,,,Extremely important,No,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,Disapprove,,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,7.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Upscale,54403.0
19188.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.758718073368073,Herb Kohl (Dem),Jim Doyle (Dem),No,Female,White,25-29,Democratic,Liberal,$30k-$50k,None,Never,Postgraduate study,"Yes, I do",Strongly disapprove,Somewhat disapprove,Extremely important,Somewhat important,Extremely important,Somewhat important,Yes,Good,Excellent/Good,White female,White female,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
19190.0,Wisconsin,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.513192057609558,Robert Lorge (Rep),Mark Green (Rep),Yes,Female,White,65-74,Republican,Moderate,$30k-$50k,Catholic,More than once a week,Some college or associate degree,No one does,Somewhat approve,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No Answer,Good,Excellent/Good,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Approve,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,7.0,Strong Democratic,Northwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,54729.0
19210.0,Wisconsin,61.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.97536075115204,Herb Kohl (Dem),Mark Green (Rep),No,Male,White,50-59,Independent,Moderate,$75k-$100k,Catholic,A few times a month,Some college or associate degree,"Yes, I do and someone else does",Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,No Answer,Good,Excellent/Good,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,8.0,Competitive,Northeast,Suburb,70s Suburbs,Urban Perimeter,Very upscale,54914.0
19227.0,Wisconsin,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.876594424247742,Herb Kohl (Dem),Jim Doyle (Dem),Yes,Female,White,50-59,Democratic,,Under $15k,Catholic,A few time a year,High school graduate,No one does,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,No Answer,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,7.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54005.0
19232.0,Wisconsin,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.645456194877625,Herb Kohl (Dem),Jim Doyle (Dem),No,Male,White,45-49,Independent,Moderate,$150k-$200k,None,Never,Postgraduate study,"Yes, I do",Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Not at all important,Yes,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,None,White None,Never,All others,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Democratic,South,Extremely High Density Urban,Urban,Urban Core,Very downscale,53715.0
19233.0,Wisconsin,26.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.713408887386322,Herb Kohl (Dem),Mark Green (Rep),No,Male,White,45-49,Something else,Moderate,$15k-$30k,Other Christian,A few time a year,Some college or associate degree,No one does,Strongly approve,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,No,Good,Excellent/Good,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,"Cities 10,000-50,000",Small Cities/Rural,6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Rural,Rural,Upscale,54935.0
19256.0,Wisconsin,82.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.740742027759552,Robert Lorge (Rep),Mark Green (Rep),Yes,Female,White,50-59,Something else,Conservative,$75k-$100k,Other Christian,More than once a week,High school graduate,"Yes, someone else does",Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,No,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,No,"Else in HH (member in household, but not voter",White,"Cities 50,000-500,000","Cities over 50,000",6.0,Unopposed Republican,Milwaukee Vicinity,Suburb,Urban,Urban Core,Downscale,53081.0
