ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMN06,GOVMN06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCRIMES,IMPVALUES,TIMESEN,TIMESEN3D,TIMESENWK,UNFRMN06,UNFRKLOB,UNFRKENN,VOTE2004,FORBUSHS,STECMN,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,MOMS,PARENTS,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
20999.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.871991395950317,Amy Klobuchar (Dem),Mike Hatch (Dem),Female,White,25-29,Democratic,Liberal,$30k-$50k,None,Never,College graduate,Yes,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Very important,Extremely important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Not so good,Not so good/Poor,White female,White female,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Women with children,Women with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
21026.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38186359405518,Mark Kennedy (Rep),Tim Pawlenty (Rep),Female,White,60-64,Republican,Moderate,$50k-$75k,Protestant,Once a week,Some college or associate degree,No,No answer,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Good,Excellent/Good,White female,White female,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,No answer,Same number or more troops,Approve,All others, Women without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21064.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02903378009796,Amy Klobuchar (Dem),Tim Pawlenty (Rep),Male,White,50-59,Independent,Moderate,$100k-$150k,Catholic,A few times a month,College graduate,Yes,Strongly disapprove,No answer,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Not at all important,Not at all important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Good,Excellent/Good,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,No answer,Disapprove,All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21088.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.42776966094971,Other,Mike Hatch (Dem),Male,White,50-59,Something else,Liberal,$50k-$75k,Protestant,Once a week,Postgraduate study,Yes,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Not at all important,Extremely important,Very important,Not at all important,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",Someone else,To express opposition to George W Bush,Poor,Not so good/Poor,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
21101.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.32273530960083,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,60-64,Republican,Conservative,$75k-$100k,Catholic,Once a week,Some college or associate degree,No,Strongly approve,Send more troops,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,No Answer,No Answer,No Answer,George W. Bush (Rep),To express support for George W Bush,Good,Excellent/Good,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,All others,Men without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21144.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01309561729431,Mark Kennedy (Rep),Tim Pawlenty (Rep),Female,White,50-59,Independent,Conservative,$75k-$100k,Protestant,Once a week,College graduate,No,Somewhat approve,Maintain the same number of troops,Somewhat approve,Not at all important,Not at all important,Somewhat important,Extremely important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21166.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12235510349274,Amy Klobuchar (Dem),Tim Pawlenty (Rep),Female,White,45-49,Independent,Moderate,$15k-$30k,Protestant,A few time a year,Some college or associate degree,Yes,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Not so good,Not so good/Poor,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,Women with children,Women with children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21225.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05219542980194,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,25-29,Republican,Moderate,$50k-$75k,Other Christian,Once a week,Postgraduate study,No,Somewhat disapprove,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Very important,Not at all important,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Excellent,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Weekly,All others,College graduate,At least some college,Disapprove,Same number or more troops,Approve,All others,Men without children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21231.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12235510349274,Amy Klobuchar (Dem),Tim Pawlenty (Rep),Female,White,40-44,Something else,Moderate,$100k-$150k,Catholic,A few time a year,College graduate,Yes,Somewhat disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Extremely important,Extremely important,Extremely important,Not at all important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,No Answer,No Answer,No Answer,Someone else,George W Bush was not a factor,Good,Excellent/Good,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Women with children,Women with children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21301.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.96974641084671,Mark Kennedy (Rep),Tim Pawlenty (Rep),Male,White,30-39,Republican,Moderate,$100k-$150k,Protestant,A few times a month,Postgraduate study,Yes,No answer,No answer,No answer,No answer,Somewhat important,Extremely important,Very important,Not at all important,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Both did,"Yes, Klobuchar did","Yes, Kennedy did",,George W Bush was not a factor,Excellent,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,No answer,No answer,No answer,All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21310.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.07433080673218,Amy Klobuchar (Dem),Tim Pawlenty (Rep),Male,White,50-59,Independent,Conservative,$75k-$100k,Catholic,More than once a week,Some college or associate degree,No,Somewhat approve,Withdraw all troops,Somewhat approve,Not at all important,Not at all important,Somewhat important,Very important,Somewhat important,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),George W Bush was not a factor,Good,Excellent/Good,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Approve,Withdraw all or some troops,Approve,All others,Men without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21344.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.871991395950317,Amy Klobuchar (Dem),Mike Hatch (Dem),Female,White,25-29,Democratic,Liberal,$15k-$30k,None,Never,Postgraduate study,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Very important,Somewhat important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Good,Excellent/Good,White female,White female,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,White None,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
21374.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.6430960893631,Amy Klobuchar (Dem),Peter Hutchinson (Independence),Female,White,50-59,Independent,Liberal,$30k-$50k,Other Christian,A few time a year,College graduate,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Somewhat important,Not at all important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",Did not vote,To express opposition to George W Bush,Not so good,Not so good/Poor,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others, Women without children,White,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21383.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.08568358421326,Other,Other,Male,White,30-39,Something else,,$50k-$75k,Other Christian,A few time a year,Some college or associate degree,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Very important,Not at all important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",Someone else,To express opposition to George W Bush,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,All others,Men without children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21409.0,Minnesota,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.74695253372192,Other,Tim Pawlenty (Rep),Female,White,60-64,Republican,Moderate,$50k-$75k,Protestant,A few times a month,Postgraduate study,No,Somewhat disapprove,No answer,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Both did,"Yes, Klobuchar did","Yes, Kennedy did",George W. Bush (Rep),To express opposition to George W Bush,Good,Excellent/Good,White female,White female,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,No answer,Disapprove,All others, Women without children,White,Suburbs,Suburbs,8.0,Strong Democratic,Twin City Suburbs,Extremely Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Downscale,55080.0
21412.0,Minnesota,83.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.803663015365601,Amy Klobuchar (Dem),Mike Hatch (Dem),Female,White,45-49,Democratic,Liberal,$100k-$150k,None,A few time a year,Postgraduate study,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Extremely important,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Both did,"Yes, Klobuchar did","Yes, Kennedy did",John Kerry (Dem),To express opposition to George W Bush,Good,Excellent/Good,White female,White female,45-59,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,None,White None,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Women with children,Women with children,White,"Cities 50,000-500,000","Cities over 50,000",4.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Very upscale,55105.0
21444.0,Minnesota,31.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.39475619792938,Amy Klobuchar (Dem),Peter Hutchinson (Independence),Male,,60-64,Something else,Moderate,$30k-$50k,Protestant,A few times a month,High school graduate,No,Somewhat disapprove,Maintain the same number of troops,Somewhat approve,Not at all important,Somewhat important,Somewhat important,Very important,Not at all important,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Neither did,"No, Klobuchar did not","No, Kennedy did not",George W. Bush (Rep),George W Bush was not a factor,Not so good,Not so good/Poor,,,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Same number or more troops,Approve,All others,Men without children,,Rural,Small Cities/Rural,2.0,Competitive,East,Low Density Rural,Rural,Rural,Downscale,55009.0
21466.0,Minnesota,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.687280297279358,Amy Klobuchar (Dem),Peter Hutchinson (Independence),Male,White,30-39,Democratic,Liberal,$75k-$100k,Catholic,Once a week,Postgraduate study,Yes,Strongly disapprove,Send more troops,Somewhat disapprove,No answer,Somewhat important,Somewhat important,Very important,Somewhat important,In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,Only Mark Kennedy did,"No, Klobuchar did not","Yes, Kennedy did",John Kerry (Dem),George W Bush was not a factor,Good,Excellent/Good,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Minneapolis/St. Paul,High Density Urban,Urban,Urban Core,Upscale,55406.0
21467.0,Minnesota,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.704023778438568,Other,Tim Pawlenty (Rep),Male,White,60-64,Independent,Moderate,$30k-$50k,Something else,A few times a month,Some college or associate degree,No,Somewhat disapprove,Maintain the same number of troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not at all important, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,No Answer,No Answer,No Answer,,No answer,Good,Excellent/Good,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Something else,White Something else,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Same number or more troops,Disapprove,All others,Men without children,White,Rural,Small Cities/Rural,7.0,Strong Democratic,West,Low Density Rural,Rural,Rural,Very downscale,55336.0
