ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNM06,GOVNM06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,LATINO,BUSH4,IRAQWAR,RICHPRES,STECNM,STEC2,IMMFENCE,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,BUSH,IRAQWAR2,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4402.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.723367989063263,Allen McCulloch (Rep),Bill Richardson (Dem),Female,White,50-59,Independent,Moderate,$100k-$150k,No,Somewhat approve,Somewhat disapprove,No,Good,Excellent/Good,Somewhat,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Approve,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very downscale
4403.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.24527204036713,Allen McCulloch (Rep),John Dendahl (Rep),Female,White,50-59,Independent,Conservative,$30k-$50k,No,Somewhat approve,Somewhat approve,No,Good,Excellent/Good,Not much,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Approve,Approve,White,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Upscale
4404.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.53265452384949,Allen McCulloch (Rep),John Dendahl (Rep),Female,Hispanic/Latino,40-44,Independent,Conservative,$100k-$150k,Yes,Somewhat approve,Strongly approve,No,Good,Excellent/Good,A great deal,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Approve,Approve,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4405.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.22458100318909,Allen McCulloch (Rep),John Dendahl (Rep),Male,Hispanic/Latino,45-49,Something else,Moderate,$100k-$150k,Yes,Strongly approve,Strongly approve,No,Good,Excellent/Good,A great deal,Deported to the country they came from,Non-white male,Non-white,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Approve,Approve,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Republican,South/East,Low Density Rural,Urban,Urban Core,Very upscale
4406.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.05292773246765,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,50-59,Republican,Conservative,$75k-$100k,No,Somewhat disapprove,Somewhat disapprove,No Answer,Good,Excellent/Good,Somewhat,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4407.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.740568697452545,Allen McCulloch (Rep),John Dendahl (Rep),Male,Other,65-74,Republican,Conservative,,No,Strongly approve,Strongly approve,Yes,Good,Excellent/Good,A great deal,Deported to the country they came from,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Republican,,,Approve,Approve,Other,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Upscale
4408.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.608071804046631,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,75 or over,Republican,Conservative,$30k-$50k,No,Somewhat approve,Somewhat approve,No Answer,Good,Excellent/Good,No answer,Offered a chance to apply for legal status,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Approve,Approve,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,South/East,Extremely Low Density Rural,Rural,Rural,Downscale
4409.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.495997101068497,Allen McCulloch (Rep),John Dendahl (Rep),Female,White,50-59,Republican,Moderate,$50k-$75k,No,Strongly approve,Somewhat approve,No,Good,Excellent/Good,A great deal,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4410.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,5.08797454833984,Other,Other,Female,Hispanic/Latino,40-44,Something else,Moderate,$15k-$30k,Yes,Strongly approve,Somewhat approve,Yes,Not so good,Not so good/Poor,Somewhat,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Democratic,Northwest,Suburb,Urban,Urban Core,Upscale
4411.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.6108545064926099,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,65-74,Independent,Moderate,,No,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,Somewhat,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,Disapprove,Disapprove,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Town,Rural,Rural,Upscale
4412.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.09536099433899,Allen McCulloch (Rep),Bill Richardson (Dem),Male,White,50-59,Republican,Conservative,$50k-$75k,No,Somewhat approve,Somewhat approve,Yes,Good,Excellent/Good,Somewhat,Offered a chance to apply for legal status,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4413.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.23533093929291,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,75 or over,Democratic,Liberal,$100k-$150k,No,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,Not at all,Offered a chance to apply for legal status,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,$100k or more,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Democratic,Northwest,Suburb,Urban,Urban Core,Upscale
4414.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.2066054344177197,Allen McCulloch (Rep),John Dendahl (Rep),Male,White,65-74,Republican,Conservative,$150k-$200k,No,Strongly approve,Strongly approve,No,Good,Excellent/Good,A great deal,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4415.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.529932677745819,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,Hispanic/Latino,65-74,Democratic,Liberal,$50k-$75k,Yes,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,Somewhat,Offered a chance to apply for legal status,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Disapprove,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4416.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.22214937210083,Allen McCulloch (Rep),John Dendahl (Rep),Female,White,75 or over,Republican,Conservative,$200k or more,No,Somewhat approve,Somewhat approve,No,Not so good,Not so good/Poor,Somewhat,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4417.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.955422937870026,Allen McCulloch (Rep),John Dendahl (Rep),Male,Hispanic/Latino,65-74,Democratic,Moderate,$150k-$200k,Yes,Somewhat approve,Somewhat approve,No,Good,Excellent/Good,A great deal,Offered a chance to apply for legal status,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,$100k or more,Approve,Approve,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Downscale
4418.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.375532180070877,Allen McCulloch (Rep),John Dendahl (Rep),Male,White,50-59,Republican,Conservative,$150k-$200k,No,Strongly approve,Somewhat approve,No,Good,Excellent/Good,Somewhat,No answer,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Approve,Approve,White,English,Suburbs,Suburbs,3.0,Strong Democratic,Albuquerque Area,Suburb,80s Suburbs,Urban Perimeter,Very upscale
4419.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.01276278495789,Jeff Bingaman (Dem),John Dendahl (Rep),Male,Hispanic/Latino,25-29,Democratic,Liberal,$15k-$30k,Yes,Somewhat disapprove,Somewhat disapprove,Yes,Good,Excellent/Good,Somewhat,Offered a chance to apply for legal status,Non-white male,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Republican,South/East,Low Density Rural,Urban,Urban Core,Upscale
4420.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.48103868961334,Allen McCulloch (Rep),John Dendahl (Rep),Male,White,45-49,Republican,Conservative,$75k-$100k,No,Strongly approve,Strongly approve,No,Good,Excellent/Good,Somewhat,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Approve,Approve,White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Democratic,Northwest,Suburb,Urban,Urban Core,Upscale
4421.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.03639876842499,Did not vote,Bill Richardson (Dem),Female,Hispanic/Latino,45-49,Democratic,Liberal,$30k-$50k,Yes,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,Somewhat,Deported to the country they came from,Non-white female,Non-white,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Disapprove,Disapprove,Hispanic/Latino,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,Suburb,Urban,Urban Core,Very upscale
4422.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.432406723499298,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,75 or over,Democratic,Liberal,,No,Strongly disapprove,Strongly disapprove,No Answer,No Answer,No Answer,No answer,No answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,,,Disapprove,Disapprove,White,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Competitive,Albuquerque Area,High Density Urban,Urban,Urban Core,Very upscale
4423.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.1749120950698901,Jeff Bingaman (Dem),Did not vote,Male,White,45-49,Something else,Moderate,$50k-$75k,No,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,Not at all,Offered a chance to apply for legal status,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Disapprove,Disapprove,White,English,Suburbs,Suburbs,1.0,Competitive,Albuquerque Area,Suburb,60s Suburbs,Urban Perimeter,Very downscale
4424.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.9918771982193,Jeff Bingaman (Dem),Bill Richardson (Dem),Male,White,45-49,Independent,Moderate,$150k-$200k,No,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,Not much,No answer,White male,White male,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Disapprove,Disapprove,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Low Density Rural,Rural,Rural,Very upscale
4425.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.991518795490265,Jeff Bingaman (Dem),John Dendahl (Rep),Female,Hispanic/Latino,40-44,Republican,Moderate,$75k-$100k,Yes,Strongly disapprove,Strongly disapprove,Yes,Good,Excellent/Good,Not much,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Disapprove,Disapprove,Hispanic/Latino,English,Suburbs,Suburbs,2.0,Strong Republican,Albuquerque Area,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale
4426.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.063796043396,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,65-74,Independent,Liberal,$30k-$50k,No,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,Not much,No answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Disapprove,Disapprove,White,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,Strong Democratic,Northwest,Extremely Low Density Rural,Rural,Rural,Downscale
4427.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.980469346046448,Jeff Bingaman (Dem),Bill Richardson (Dem),Female,White,45-49,Independent,Moderate,$75k-$100k,No,Somewhat disapprove,Somewhat disapprove,No,Good,Excellent/Good,Somewhat,Offered a chance to apply for legal status,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Disapprove,Disapprove,White,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Strong Republican,South/East,Extremely Low Density Rural,Rural,Rural,Upscale
4428.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.50212872028351,Allen McCulloch (Rep),John Dendahl (Rep),Male,White,50-59,Independent,Moderate,,No,Somewhat disapprove,Somewhat disapprove,No,Good,Excellent/Good,A great deal,Deported to the country they came from,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,,,Disapprove,Disapprove,White,English,Suburbs,Suburbs,3.0,Strong Democratic,Albuquerque Area,Suburb,80s Suburbs,Urban Perimeter,Very upscale
