ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,HOUMT06,SENMT06,INIT151,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORRS,GUNOWNER,BURNSTOOLONG,TESTLIB,ETHMT06,ETHTEST,ETHBURNS,FORCANDS,FALLBHND,FORBUSHS,VOTE2004,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
21690.0,Montana,15.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.847458600997925,Denny Rehberg (Rep),Conrad Burns (Rep),Yes,Female,White,30-39,Republican,Conservative,$30k-$50k,Protestant,Once a week,Yes,Some college or associate degree,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Extremely important,Extremely important,Somewhat important,No,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,Rural West,Low Density Rural,Rural,Rural,Upscale,59901.0
21691.0,Montana,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24089992046356,Denny Rehberg (Rep),Jon Tester (Dem),No,Female,White,60-64,Independent,Moderate,$50k-$75k,Protestant,A few times a month,No,College graduate,Somewhat approve,Withdraw all troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No,No,About right,Both do,"Yes, Tester does","Yes, Burns does",For your candidate,Are getting ahead financially,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Rural West,Extremely Low Density Rural,Rural,Rural,Downscale,59436.0
21714.0,Montana,2.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.921171188354492,Monica Lindeen (Dem),Jon Tester (Dem),No,Male,White,50-59,Independent,Liberal,$100k-$150k,None,A few times a month,No,Postgraduate study,Strongly disapprove,Send more troops,Strongly disapprove,Extremely important,Not at all important,Extremely important,Extremely important,No,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,To express opposition to George W Bush,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,None,White None,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59523.0
21728.0,Montana,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.6401880979538,Denny Rehberg (Rep),Conrad Burns (Rep),Yes,Male,White,45-49,Republican,Conservative,$15k-$30k,Catholic,A few times a month,,High school graduate,Somewhat approve,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,No,About right,No Answer,No Answer,No Answer,Against his opponent,Are falling behind financially,George W Bush was not a factor,George W. Bush (Rep), During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Rural West,Extremely Low Density Rural,Rural,Rural,Very downscale,59923.0
21737.0,Montana,29.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.973147809505463,Monica Lindeen (Dem),Jon Tester (Dem),No,Female,White,50-59,Independent,Liberal,$100k-$150k,,,,Postgraduate study,,,Strongly disapprove,,,,,,,,,,,,Have just enough money to maintain your standard of living,,John Kerry (Dem),,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,,,,,,,College graduate,At least some college,,,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Urban West,Extremely Low Density Rural,Rural,Rural,Upscale,59635.0
21748.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.919058918952942,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Female,Other,25-29,Something else,Moderate,$15k-$30k,None,Never,No,Postgraduate study,Strongly disapprove,No answer,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Not at all important,No,Yes,About right,Neither does,No Tester does not,"No, Burns does not",For your candidate,Are getting ahead financially,George W Bush was not a factor,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white female,Non-white,18-29,25-29,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,None,Non-White,All others,All others,Never,All others,College graduate,At least some college,Disapprove,No answer,Disapprove,Other,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21755.0,Montana,41.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.937238752841949,Monica Lindeen (Dem),Jon Tester (Dem),Yes,Male,White,18-24,,,,,,,,Strongly disapprove,,,,,,,Yes,Yes,About right,,,,For your candidate,Are getting ahead financially,George W Bush was not a factor,John Kerry (Dem), During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,18-29,18-24,18-64,18-29,,,,,,,,,,,,Disapprove,,,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21771.0,Montana,15.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.03423869609833,Monica Lindeen (Dem),Jon Tester (Dem),Did not vote,Female,White,75 or over,,,,,,,,Strongly disapprove,,,,,,,Yes,Yes,About right,,,,Against his opponent,Have just enough money to maintain your standard of living,To express opposition to George W Bush,John Kerry (Dem), During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,,,Disapprove,,,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,Rural West,Low Density Rural,Rural,Rural,Upscale,59901.0
21773.0,Montana,25.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38675045967102,Denny Rehberg (Rep),Conrad Burns (Rep),Yes,Female,White,50-59,Republican,Conservative,$50k-$75k,Protestant,More than once a week,Yes,Postgraduate study,Strongly approve,Send more troops,No answer,Somewhat important,Extremely important,Extremely important,Somewhat important,Yes,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",Against his opponent,Are getting ahead financially,To express support for George W Bush,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,No answer,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59501.0
21805.0,Montana,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24433267116547,Denny Rehberg (Rep),Conrad Burns (Rep),No,,White,65-74,Republican,Conservative,$50k-$75k,Protestant,More than once a week,Yes,Did not complete high school,Strongly approve,Maintain the same number of troops,Strongly approve,Extremely important,Somewhat important,Somewhat important,Somewhat important,Yes,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",Against his opponent,Are getting ahead financially,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,,Non-white,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Rural West,Extremely Low Density Rural,Rural,Rural,Downscale,59436.0
21818.0,Montana,8.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.92820572853088,Denny Rehberg (Rep),Jon Tester (Dem),Yes,Male,Hispanic/Latino,50-59,Republican,Moderate,$50k-$75k,Catholic,Once a week,Yes,College graduate,Somewhat approve,Withdraw all troops,Somewhat disapprove,Not at all important,Somewhat important,Extremely important,Extremely important,Yes,Yes,About right,Neither does,No Tester does not,"No, Burns does not",No Answer,Have just enough money to maintain your standard of living,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,Non-White,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Disapprove,Hispanic/Latino,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Very downscale,59401.0
21825.0,Montana,2.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.783195495605469,Monica Lindeen (Dem),Conrad Burns (Rep),Yes,Female,White,40-44,Independent,Moderate,$15k-$30k,None,A few time a year,No,High school graduate,Somewhat disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Yes,No Answer,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,None,White None,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59523.0
21831.0,Montana,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.92849349975586,Denny Rehberg (Rep),Conrad Burns (Rep),Yes,Female,White,60-64,Republican,Conservative,$30k-$50k,Catholic,Once a week,,High school graduate,Somewhat approve,Maintain the same number of troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No,No,About right,Both do,"Yes, Tester does","Yes, Burns does",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,George W. Bush (Rep),Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Rural West,Extremely Low Density Rural,Rural,Rural,Very downscale,59923.0
21845.0,Montana,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.954433381557465,Monica Lindeen (Dem),Jon Tester (Dem),No,Female,White,50-59,Democratic,Moderate,$15k-$30k,Protestant,Once a week,No,Some college or associate degree,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Extremely important,No,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Are falling behind financially,George W Bush was not a factor,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21868.0,Montana,29.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.27266597747803,Denny Rehberg (Rep),Conrad Burns (Rep),No,Male,White,60-64,Republican,Conservative,$50k-$75k,,,,Some college or associate degree,,,Strongly approve,,,,,,,,,,,,Have just enough money to maintain your standard of living,,George W. Bush (Rep),,,,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,,,,,,,Did not graduate from college,At least some college,,,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Urban West,Extremely Low Density Rural,Rural,Rural,Upscale,59635.0
21880.0,Montana,41.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.875060558319092,Denny Rehberg (Rep),Jon Tester (Dem),Yes,Female,White,45-49,Democratic,Moderate,,Catholic,A few time a year,No,Postgraduate study,Strongly disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,Yes,About right,Only Jon Tester does,"Yes, Tester does","No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,John Kerry (Dem),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,40-49,18-64,30-59,Democratic,,,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Republican,Urban West,High Density Urban,Urban,Urban Core,Downscale,59801.0
21889.0,Montana,15.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.983528435230255,Denny Rehberg (Rep),Conrad Burns (Rep),No,Male,White,45-49,Republican,Conservative,$15k-$30k,Other Christian,A few time a year,No,College graduate,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Extremely important,Not at all important,No,No,Too liberal,Both do,"Yes, Tester does","Yes, Burns does",For your candidate,Are getting ahead financially,To express support for George W Bush,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,All others,College graduate,At least some college,Approve,Same number or more troops,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,Rural West,Low Density Rural,Rural,Rural,Upscale,59901.0
21890.0,Montana,25.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.66484606266022,Denny Rehberg (Rep),Conrad Burns (Rep),No,Female,White,25-29,Republican,Conservative,$75k-$100k,Other Christian,More than once a week,No,College graduate,Somewhat approve,Withdraw some troops,Somewhat approve,Somewhat important,Extremely important,Extremely important,Somewhat important,Yes,No,Too liberal,Neither does,No Tester does not,"No, Burns does not",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,All others,College graduate,At least some college,Approve,Withdraw all or some troops,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59501.0
21918.0,Montana,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.22443306446075,Denny Rehberg (Rep),Conrad Burns (Rep),No,Female,White,60-64,Republican,Conservative,$15k-$30k,Other Christian,More than once a week,Yes,High school graduate,Strongly approve,Maintain the same number of troops,Somewhat approve,Not at all important,Not at all important,Somewhat important,Not at all important,Yes,No,Too liberal,Only Conrad Burns does,No Tester does not,"Yes, Burns does",For your candidate,Have just enough money to maintain your standard of living,George W Bush was not a factor,George W. Bush (Rep),Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Rural West,Extremely Low Density Rural,Rural,Rural,Downscale,59436.0
21928.0,Montana,2.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.783195495605469,Monica Lindeen (Dem),Conrad Burns (Rep),Yes,Female,White,50-59,Independent,Moderate,$15k-$30k,Other Christian,Once a week,No,Did not complete high school,Strongly disapprove,Withdraw all troops,Somewhat disapprove,Extremely important,Somewhat important,Extremely important,Extremely important,Yes,Yes,Too liberal,Neither does,No Tester does not,"No, Burns does not",Against his opponent,Have just enough money to maintain your standard of living,George W Bush was not a factor,Someone else,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,East,Extremely Low Density Rural,Rural,Rural,Upscale,59523.0
