ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENCA06,GOVCA06,AGCA06,PROOP85CA,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,UNION4,CHILD,LATINO,BUSH4,IRAQWAR,ARNDJOB4,ARNDJOB2,ARNLDLIB,SAFER06,BORNUSA,STECCA,STEC2,ABORTION,ABORT2,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
613.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.62595546245575,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,White,45-49,Democratic,Liberal,Under $15k,College graduate,No one does,Yes,No,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,Disapprove,No Answer,No Answer,No,Not so good,Not so good/Poor,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),Women with children,Women with children,White,English,Suburbs,Suburbs,7.0,Unopposed Democratic,Bay Area,Suburb,80s Surburbs,Urban Perimeter,Very upscale
614.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.604096055030823,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),Yes,Female,White,75 or over,,,Under $15k,High school graduate,No one does,No,No,No Answer,Strongly disapprove,Strongly Approve,Approve,No Answer,Safer from terrorism,Yes,Good,Excellent/Good,No Answer,No Answer,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,No Answer,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",5.0,Strong Democratic,Inland/Valley,Extremely High Density Urban,Urban,Urban Core,Downscale
615.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.5655802488327,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),Yes,Female,White,50-59,Independent,Conservative,$150k-$200k,College graduate,No one does,No,No,Somewhat approve,Somewhat approve,Strongly Approve,Approve,About right,Safer from terrorism,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),All others,Women without children,White,English,"Cities over 500,000","Cities over 50,000",50.0,Competitive,Southern California,Suburb,Urban,Urban Core,Very upscale
616.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.03110611438751,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),Yes,Female,Hispanic/Latino,25-29,Democratic,Moderate,$30k-$50k,Some college or associate degree,No one does,No,Yes,Somewhat disapprove,Somewhat approve,Somewhat approve,Approve,Too conservative,Safer from terrorism,Yes,Not so good,Not so good/Poor,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,Non-white female,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Approve,No,No,No (no union member in household),All others,Women without children,Hispanic/Latino,English,Rural,Small Cities/Rural,51.0,Strong Democratic,Southern California,Low Density Rural,Rural,Rural,Very downscale
617.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.28329348564148,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),,Male,Hispanic/Latino,50-59,Republican,Conservative,,High school graduate,"Yes, I do",Yes,Yes,Strongly approve,Strongly approve,Somewhat approve,Approve,Too liberal,Safer from terrorism,No,Good,Excellent/Good,Illegal in all cases,Illegal in all/most cases,Deported to the country they came from,Non-white male,Non-white,45-59,50-64,18-64,30-59,Republican,,,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,Yes,I am (voter is member),All others,Men with children,Black,English,Suburbs,Suburbs,26.0,Strong Republican,Southern California,High Density Urban,80s Surburbs,High-Growth Suburban Perimeter,Upscale
618.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.33104169368744,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),No,Female,White,50-59,Democratic,Moderate,$100k-$150k,College graduate,No one does,No,No,Strongly disapprove,Strongly disapprove,Somewhat approve,Approve,About right,Safer from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",10.0,Strong Democratic,Bay Area,Suburb,Urban,Urban Core,Very upscale
619.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.41005992889404,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),Yes,Female,Hispanic/Latino,65-74,Republican,Liberal,$15k-$30k,Did not complete high school,No one does,No,Yes,Strongly approve,Strongly disapprove,Strongly Approve,Approve,No Answer,Less safe from terrorism,No,Excellent,Excellent/Good,Legal in all cases,Legal in all/most cases,Deported to the country they came from,Non-white female,Non-white,60+,65+,65+,60+,Republican,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Disapprove,No,No,No (no union member in household),All others,Women without children,Hispanic/Latino,English,"Cities over 500,000","Cities over 50,000",31.0,Unopposed Democratic,Los Angeles County,Extremely High Density Urban,Urban,Urban Core,Downscale
620.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.03442883491516,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,White,65-74,Democratic,Moderate,,Some college or associate degree,No one does,No,No,Strongly disapprove,Strongly disapprove,Strongly disapprove,Disapprove,No Answer,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,Democratic,,,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,Suburbs,Suburbs,17.0,Strong Democratic,Coastal,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
621.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.77318274974823,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,White,60-64,Democratic,Moderate,$15k-$30k,Some college or associate degree,"Yes, someone else does",Yes,No,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Disapprove,Too conservative,Safer from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,50-64,18-64,60+,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter)",Women with children,Women with children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",29.0,Strong Democratic,Los Angeles County,High Density Urban,Urban,Urban Core,Very upscale
622.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.25060832500458,,,,Yes,Female,,,Democratic,Moderate,,,No one does,No,,Strongly approve,Strongly disapprove,Strongly disapprove,Disapprove,No Answer,Less safe from terrorism,Yes,Not so good,Not so good/Poor,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,,,,,,,Democratic,,,,,Approve,Disapprove,No,No,No (no union member in household),All others,Women without children,,,"Cities over 500,000","Cities over 50,000",31.0,Unopposed Democratic,Los Angeles County,Extremely High Density Urban,Urban,Urban Core,Very downscale
623.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.804380357265472,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),,Female,White,75 or over,Independent,Moderate,$30k-$50k,Some college or associate degree,No one does,No,No,Strongly disapprove,Strongly disapprove,Somewhat approve,Approve,No Answer,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",10.0,Strong Democratic,Bay Area,Suburb,Urban,Urban Core,Very upscale
624.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.84089231491089,Did not vote for U.S. senator,Did not vote for governor,Did not vote for attorney general,Did not vote on Proposition 85,Female,Hispanic/Latino,50-59,,,,,,,Yes,,,,,,,,,,,,,Non-white female,Non-white,45-59,50-64,18-64,30-59,,,,,,,,,,,,,Hispanic/Latino,English,Suburbs,Suburbs,34.0,Strong Democratic,Los Angeles County,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale
625.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.61547362804413,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,Asian,65-74,Democratic,,Under $15k,Did not complete high school,No one does,No,No,No Answer,Strongly disapprove,No Answer,No Answer,No Answer,Less safe from terrorism,No,Good,Excellent/Good,Illegal in most cases,Illegal in all/most cases,No Answer,Non-white female,Non-white,60+,65+,65+,60+,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,No Answer,Disapprove,No,No,No (no union member in household),All others,Women without children,Asian,English,"Cities over 500,000","Cities over 50,000",31.0,Unopposed Democratic,Los Angeles County,Extremely High Density Urban,Urban,Urban Core,Very downscale
626.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.870066702365875,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),Did not vote on Proposition 85,Female,White,75 or over,Independent,Moderate,,High school graduate,,No,No,Strongly disapprove,Somewhat approve,Somewhat approve,Approve,About right,Safer from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,No Answer,White female,White female,60+,65+,65+,60+,Independent/Something else,,,Did not graduate from college,High school graduate or less,Disapprove,Approve,,,,All others,Women without children,White,English,Suburbs,Suburbs,45.0,Strong Republican,Southern California,Suburb,80s Surburbs,High-Growth Suburban Perimeter,Upscale
627.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.13904893398285,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),Did not vote on Proposition 85,Female,White,60-64,Independent,Moderate,$30k-$50k,High school graduate,No one does,No,No,Somewhat approve,Strongly disapprove,Somewhat approve,Approve,About right,Safer from terrorism,Yes,Good,Excellent/Good,No Answer,No Answer,No Answer,White female,White female,60+,50-64,18-64,60+,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities over 500,000","Cities over 50,000",53.0,Strong Democratic,Southern California,High Density Urban,Urban,Urban Core,Upscale
628.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.966587245464325,Dianne Feinstein (Dem),Other,Jerry Brown (Dem),No,Female,White,75 or over,Democratic,Moderate,,College graduate,No one does,No,No,Strongly disapprove,Strongly disapprove,Strongly Approve,Approve,No Answer,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,Democratic,,,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,Suburbs,Suburbs,18.0,Strong Democratic,Inland/Valley,Suburb,70s Suburbs,Urban Perimeter,Downscale
629.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.04059588909149,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,White,50-59,Democratic,Moderate,$75k-$100k,Some college or associate degree,"Yes, I do",No,No,Strongly approve,Somewhat disapprove,Strongly Approve,Approve,Too liberal,Safer from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,No Answer,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Did not graduate from college,At least some college,Approve,Disapprove,Yes,Yes,I am (voter is member),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",18.0,Strong Democratic,Inland/Valley,High Density Urban,Urban,Urban Core,Downscale
630.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.47769141197205,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),Yes,Male,White,45-49,Republican,Moderate,$100k-$150k,Postgraduate study,No one does,Yes,No,Somewhat approve,Somewhat approve,Somewhat disapprove,Disapprove,Too liberal,Safer from terrorism,Yes,Not so good,Not so good/Poor,Legal in all cases,Legal in all/most cases,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),All others,Men with children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",24.0,Strong Republican,Southern California,Suburb,Urban,Urban Core,Very upscale
631.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.33104169368744,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Jerry Brown (Dem),No,Female,White,50-59,Independent,Conservative,$100k-$150k,College graduate,No one does,No,No,Strongly disapprove,Strongly disapprove,Strongly Approve,Approve,About right,No Answer,No,Good,Excellent/Good,Legal in all cases,Legal in all/most cases,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",10.0,Strong Democratic,Bay Area,Suburb,Urban,Urban Core,Very upscale
632.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.79373526573181,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),,Yes,Male,White,45-49,Democratic,Liberal,,College graduate,,Yes,No,Strongly approve,Somewhat approve,Somewhat approve,Approve,About right,Less safe from terrorism,Yes,Good,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White male,White male,45-59,40-49,18-64,30-59,Democratic,,,College graduate,At least some college,Approve,Approve,,,,All others,Men with children,White,English,Suburbs,Suburbs,41.0,Strong Republican,Southern California,Low Density Rural,60s Suburbs,High-Growth Suburban Perimeter,Downscale
633.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.56058347225189,Dick Mountjoy (Rep),Arnold Schwarzenegger (Rep),Chuck Poochigian (Rep),Yes,Male,White,30-39,Republican,Moderate,$30k-$50k,College graduate,No one does,,No,Somewhat disapprove,Somewhat approve,Somewhat approve,Approve,About right,Less safe from terrorism,Yes,Good,Excellent/Good,Illegal in all cases,Illegal in all/most cases,Offered a chance to apply for legal status,White male,White male,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,College graduate,At least some college,Disapprove,Approve,No,No,No (no union member in household),All others,,White,English,Suburbs,Suburbs,24.0,Strong Republican,Coastal,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
634.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.859036445617676,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),,Female,White,50-59,Democratic,Moderate,$100k-$150k,Postgraduate study,No one does,No,No,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Disapprove,Too conservative,Less safe from terrorism,Yes,Not so good,Not so good/Poor,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,Suburbs,Suburbs,11.0,Competitive,Bay Area,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
635.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.451484054327011,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Female,White,75 or over,Democratic,Liberal,$30k-$50k,Some college or associate degree,No one does,No,No,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Disapprove,Too conservative,Less safe from terrorism,Yes,Excellent,Excellent/Good,Legal in most cases,Legal in all/most cases,Offered a chance to apply for legal status,White female,White female,60+,65+,65+,60+,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Women without children,White,English,"Cities 50,000 - 500,000","Cities over 50,000",37.0,Unopposed Democratic,Los Angeles County,High Density Urban,Urban,Urban Core,Very downscale
636.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.387987107038498,Dianne Feinstein (Dem),Arnold Schwarzenegger (Rep),Other,Yes,Female,Black,30-39,Republican,Conservative,$50k-$75k,Postgraduate study,"Yes, I do",Yes,No,Somewhat approve,Somewhat approve,Strongly Approve,Approve,About right,Safer from terrorism,Yes,Excellent,Excellent/Good,Illegal in most cases,Illegal in all/most cases,Offered a chance to apply for legal status,Non-white female,Non-white,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,College graduate,At least some college,Approve,Approve,Yes,Yes,I am (voter is member),Women with children,Women with children,Black,English,Suburbs,Suburbs,3.0,Strong Republican,Inland/Valley,Suburb,80s Surburbs,Urban Perimeter,Very upscale
637.0,California,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.770837187767029,Dianne Feinstein (Dem),Phil Angelides (Dem),Jerry Brown (Dem),No,Male,White,45-49,Democratic,Liberal,$15k-$30k,Some college or associate degree,No one does,No,No,Strongly disapprove,Strongly disapprove,Strongly disapprove,Disapprove,Too conservative,Less safe from terrorism,Yes,Not so good,Not so good/Poor,Legal in most cases,Legal in all/most cases,Deported to the country they came from,White male,White male,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),All others,Men without children,White,English,Suburbs,Suburbs,22.0,Strong Republican,Inland/Valley,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale
