ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMO06,AMEND2MO,PROPBMO,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,MARRIED,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPVALUES,ABORTION,ABORT2,TIMESEN,TIMESEN3D,TIMESENWK,FALLBHND,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
8590.0,Missouri,127.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.33322739601135,Claire McCaskill (Dem),,Yes,Female,Black,60-64,Democratic,Moderate,$50k-$75k,Other Christian,A few times a month,No,Some college or associate degree,No one does,No,Yes,Strongly disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,High Density Urban,60s Suburbs,Urban Perimeter,Upscale
8625.0,Missouri,119.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.802431285381317,Claire McCaskill (Dem),Yes,Yes,Female,,30-39,,,,,,,,"Yes, someone else does",Yes,Yes,Strongly disapprove,,,,,,,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,,To express opposition to George W Bush,,,30-44,30-39,18-64,30-59,,,,,,,,,,,,Disapprove,,,Yes,No,"Else in HH (member in household, but not voter",Married women,Women with children,Married with children,Married women with children,Women with children,Married women,,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
8634.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.358351141214371,Claire McCaskill (Dem),Yes,Yes,Female,Black,50-59,Democratic,Conservative,$30k-$50k,Other Christian,Once a week,No,Some college or associate degree,"Yes, I do",No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Illegal in most cases,Illegal in most/all cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,Other women, Women without children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale
8641.0,Missouri,25.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.19173812866211,Jim Talent (Rep),No,No,Female,,50-59,Republican,Conservative,$15k-$30k,Protestant,A few time a year,Yes,,,Yes,No,Somewhat approve,Maintain the same number of troops,Strongly approve,,,,,,,,,,,,,,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,Protestant/Do not attend weekly,,,Approve,Same number or more troops,Approve,,,,Married women,All others,All others,Other women, Women without children,Married women,,Suburbs,Suburbs,7.0,Strong Republican,Southwest,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale
8646.0,Missouri,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.961188554763794,Claire McCaskill (Dem),Yes,Yes,Male,White,25-29,Democratic,Liberal,$75k-$100k,Other Christian,A few time a year,No,College graduate,"Yes, someone else does",Yes,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Not at all important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,18-29,25-29,18-64,18-29,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,No,"Else in HH (member in household, but not voter",All others,All others,Married with children,All men,Men with children,Married men,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Kansas City Area,Suburb,Urban,Urban Core,Downscale
8649.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03952419757843,Claire McCaskill (Dem),No,Yes,Female,White,50-59,Democratic,Moderate,$50k-$75k,Catholic,More than once a week,No,Postgraduate study,No one does,No,No,Somewhat disapprove,No answer,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Illegal in all cases,Illegal in most/all cases,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,No answer,Approve,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
8679.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.358351141214371,Claire McCaskill (Dem),Yes,Yes,Female,Black,50-59,Democratic,Moderate,Under $15k,Other Christian,A few times a month,No,High school graduate,No one does,No,Yes,Strongly disapprove,Withdraw some troops,Strongly approve,Not at all important,Extremely important,Extremely important,Somewhat important,Legal in all cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are falling behind financially,To express opposition to George W Bush,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Approve,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale
8700.0,Missouri,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.837854444980621,Claire McCaskill (Dem),Yes,Yes,Male,White,50-59,Independent,Moderate,$150k-$200k,Protestant,A few time a year,Yes,College graduate,,Yes,Yes,Strongly disapprove,Withdraw all troops,Somewhat disapprove,Extremely important,Somewhat important,Extremely important,Not at all important,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,,,,All others,All others,Married with children,All men,Men with children,Married men,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Kansas City Area,Suburb,Urban,Urban Core,Downscale
8704.0,Missouri,119.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934529960155487,Claire McCaskill (Dem),Yes,Yes,Male,White,50-59,Something else,Moderate,$75k-$100k,Catholic,A few time a year,No,High school graduate,No one does,Yes,No,Somewhat disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Extremely important,Somewhat important,Not at all important,Legal in most cases,Legal in all/most cases,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Are getting ahead financially,George W Bush was not a factor,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale
8708.0,Missouri,127.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06090331077576,Claire McCaskill (Dem),Yes,Yes,Female,Black,40-44,Democratic,Liberal,$30k-$50k,Other Christian,A few time a year,No,Postgraduate study,No one does,Yes,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Not at all important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are falling behind financially,To express opposition to George W Bush,Non-white female,Non-white,30-44,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Married women,Women with children,Married with children,Married women with children,Women with children,Married women,Black,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,High Density Urban,60s Suburbs,Urban Perimeter,Upscale
