ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNJ06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,LATINO,BUSH4,VOTE2004,FORCANDS,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORRS,TERRWORR,TERWORR2,CORZJOB4,CORZJOB2,SENCNTL,ETHNJ06,ETHMEN,ETHKEAN,UNFRNJ06,UNFRMEN,UNFRKEAN,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
7360.0,New Jersey,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.86637145280838,Bob Menendez (Dem),Male,Black,50-59,Democratic,Moderate,$100k-$150k,Other Christian,A few times a month,College graduate,"Yes, I do",No,Somewhat approve,John Kerry (Dem),For your candidate,Send more troops,Strongly disapprove,Somewhat important,Not at all important,Extremely important,Somewhat important,Somewhat worried,Very/Somewhat worried,Strongly approve,Approve,Democrats,Both do,"Yes, Bob Menendez does","Yes, Thomas Kean, Jr does","Only Thomas Kean, Jr did","No, Bob Menendez did not","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,Non-White,Ocassionally,All others,College graduate,At least some college,Approve,Same number or more troops,Disapprove,Yes,Yes,I am (voter is member),Black,Suburbs,Suburbs,5.0,Strong Republican,Bergen/Passaic Counties,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7465.0
7362.0,New Jersey,45.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.31074118614197,"Thomas Kean, Jr (Rep)",Female,White,30-39,Republican,Conservative,$100k-$150k,Protestant,Once a week,College graduate,"Yes, I do",No,Strongly approve,George W. Bush (Rep),Against his opponent,Withdraw some troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Republicans,Neither does,"No, Bob Menedez does not","No, Thomas Kean, Jr does not",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Withdraw all or some troops,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,2.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,8322.0
7363.0,New Jersey,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.10699033737183,"Thomas Kean, Jr (Rep)",Female,White,25-29,Republican,Conservative,$200k or more,Protestant,A few time a year,College graduate,"Yes, someone else does",No,Strongly approve,George W. Bush (Rep),For your candidate,Send more troops,Strongly approve,Extremely important,Extremely important,Somewhat important,Somewhat important,Not at all worried,Not too/Not at all worried,Strongly disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Only Bob Menendez did,"Yes, Bob Menendez did","No, Thomas Kean, Jr did not",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,18-29,25-29,18-64,18-29,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,3.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0
7369.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14788103103638,"Thomas Kean, Jr (Rep)",Male,Asian,50-59,Republican,Conservative,$100k-$150k,None,A few time a year,Postgraduate study,No one does,No,Somewhat disapprove,George W. Bush (Rep),Against his opponent,Withdraw some troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,None,Non-White,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Approve,No,No,No (no union member in household),Asian,Suburbs,Suburbs,12.0,Strong Democratic,Central,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
7372.0,New Jersey,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.10638904571533,"Thomas Kean, Jr (Rep)",Male,White,18-24,Republican,Conservative,$50k-$75k,Catholic,A few time a year,High school graduate,"Yes, someone else does",No,Strongly approve,Did not vote,For your candidate,Maintain the same number of troops,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Not too worried,Not too/Not at all worried,Strongly disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did", During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,18-29,18-24,18-64,18-29,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,6.0,Strong Democratic,Central,Suburb,60s Suburbs,Urban Perimeter,Downscale,8879.0
7380.0,New Jersey,45.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28941881656647,"Thomas Kean, Jr (Rep)",Male,White,50-59,Independent,Moderate,$30k-$50k,Catholic,A few time a year,High school graduate,"Yes, I do",No,Strongly approve,George W. Bush (Rep),For your candidate,Send more troops,Strongly approve,Extremely important,Extremely important,Extremely important,Somewhat important,Not too worried,Not too/Not at all worried,Strongly disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Only Bob Menendez did,"Yes, Bob Menendez did","No, Thomas Kean, Jr did not",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,2.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,8322.0
7382.0,New Jersey,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04765284061432,"Thomas Kean, Jr (Rep)",Male,White,50-59,Republican,Moderate,$100k-$150k,Catholic,A few time a year,High school graduate,"Yes, I do and someone else does",No,Strongly approve,George W. Bush (Rep),For your candidate,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat worried,Very/Somewhat worried,Somewhat approve,Approve,Republicans,No Answer,No Answer,No Answer,Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,3.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0
7383.0,New Jersey,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02627301216125,"Thomas Kean, Jr (Rep)",Female,White,50-59,Republican,Moderate,$100k-$150k,Catholic,A few time a year,Some college or associate degree,"Yes, someone else does",No,Somewhat approve,George W. Bush (Rep),For your candidate,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Somewhat important,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Republicans,Neither does,"No, Bob Menedez does not","No, Thomas Kean, Jr does not",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,5.0,Strong Republican,Bergen/Passaic Counties,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7465.0
7386.0,New Jersey,77.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.82139790058136,Did not vote,Male,White,,,,,,,,,No,No answer,,No Answer,,,,,,,No Answer,No Answer,Somewhat disapprove,Disapprove,No answer,,,,No Answer,No Answer,No Answer,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,,,,,,,,,,,,,,No answer,,,,,,White,Suburbs,Suburbs,6.0,Strong Democratic,Central,Suburb,60s Suburbs,Urban Perimeter,Downscale,8879.0
7391.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.843330085277557,Bob Menendez (Dem),Male,White,50-59,Democratic,Moderate,$150k-$200k,Jewish,Never,Postgraduate study,No one does,No,Strongly disapprove,John Kerry (Dem),For your candidate,Withdraw all troops,Strongly disapprove,Extremely important,Not at all important,Extremely important,Somewhat important,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Democrats,Neither does,"No, Bob Menedez does not","No, Thomas Kean, Jr does not","Only Thomas Kean, Jr did","No, Bob Menendez did not","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Jewish,White Jewish,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,12.0,Strong Democratic,Central,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
7400.0,New Jersey,45.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47551250457764,"Thomas Kean, Jr (Rep)",Male,White,60-64,Independent,Moderate,$30k-$50k,Protestant,Never,High school graduate,No one does,No,Somewhat approve,George W. Bush (Rep),For your candidate,No answer,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very worried,Very/Somewhat worried,Strongly disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Never,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Approve,No answer,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,8322.0
7401.0,New Jersey,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.19885385036469,"Thomas Kean, Jr (Rep)",Male,White,65-74,Republican,Conservative,$100k-$150k,Catholic,Once a week,High school graduate,No one does,No,Somewhat approve,George W. Bush (Rep),Against his opponent,Send more troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Somewhat important,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,3.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0
7408.0,New Jersey,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.78199702501297,Bob Menendez (Dem),Male,White,30-39,Democratic,Liberal,$200k or more,Catholic,Once a week,Some college or associate degree,"Yes, I do",No,Strongly disapprove,John Kerry (Dem),For your candidate,Withdraw some troops,Somewhat disapprove,Not at all important,Somewhat important,Somewhat important,Somewhat important,Very worried,Very/Somewhat worried,Strongly approve,Approve,Democrats,Both do,"Yes, Bob Menendez does","Yes, Thomas Kean, Jr does",Neither did,"No, Bob Menendez did not","No, Thomas Kean, Jr did not",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,6.0,Strong Democratic,Central,Suburb,60s Suburbs,Urban Perimeter,Downscale,8879.0
7409.0,New Jersey,94.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.1099919080734302,Bob Menendez (Dem),Female,White,50-59,Democratic,Liberal,$50k-$75k,Jewish,A few time a year,,,No,Somewhat disapprove,,,Withdraw some troops,Somewhat disapprove,,,,,,,,,,,,,,,,,,,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Jewish,White Jewish,Ocassionally,All others,,,Disapprove,Withdraw all or some troops,Disapprove,,,,White,Suburbs,Suburbs,11.0,Strong Republican,Northwest,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,7869.0
7413.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.857275724411011,Bob Menendez (Dem),Female,White,40-44,Independent,Liberal,$75k-$100k,Jewish,Never,College graduate,No one does,No,Strongly disapprove,John Kerry (Dem),Against his opponent,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat worried,Very/Somewhat worried,Somewhat approve,Approve,Democrats,Neither does,"No, Bob Menedez does not","No, Thomas Kean, Jr does not",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Jewish,White Jewish,Never,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,12.0,Strong Democratic,Central,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
7421.0,New Jersey,45.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.4999121427536,"Thomas Kean, Jr (Rep)",Female,White,75 or over,Independent,Moderate,Under $15k,Catholic,Once a week,High school graduate,No one does,No,Somewhat approve,George W. Bush (Rep),For your candidate,No answer,Somewhat approve,Extremely important,Somewhat important,Somewhat important,Extremely important,Very worried,Very/Somewhat worried,Somewhat approve,Approve,Republicans,Both do,"Yes, Bob Menendez does","Yes, Thomas Kean, Jr does",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did", During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Approve,No answer,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,8322.0
