ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENWV06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,BRNAGAIN,UNION4,BUSH4,IRAQWAR,BYRDAGE,MANCHJOB,MANCJOB2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
13105.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.21066534519196,John Raese (Rep),Male,White,60-64,Republican,Liberal,Under $15k,Other Christian,Yes,No one does,Strongly approve,Strongly disapprove,Yes,Somewhat approve,Approve,White male,White male,60 or over,50-64,18-64,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13106.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.918371975421906,Robert Byrd (Dem),Male,White,25-29,Democratic,Conservative,$15k-$30k,Other Christian,Yes,No one does,Strongly disapprove,Strongly disapprove,Yes,Somewhat approve,Approve,White male,White male,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13144.0,West Virginia,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,3.33612871170044,Robert Byrd (Dem),Female,White,60-64,Democratic,,,Other Christian,Yes,"Yes, I do",No answer,No answer,No Answer,Strongly approve,Approve,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,No answer,No answer,Yes,Yes,I am (voter is member),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Extremely Low Density Rural,Rural,Rural,Very downscale
13145.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.900229036808014,Robert Byrd (Dem),Female,White,65-74,Democratic,Liberal,$50k-$75k,Protestant,No,No one does,Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13169.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.851501286029816,Robert Byrd (Dem),Female,White,30-39,Republican,Moderate,$30k-$50k,Other Christian,Yes,No one does,Strongly approve,Somewhat approve,No,Somewhat approve,Approve,White female,White female,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13194.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17967128753662,Other,Female,White,50-59,Independent,Liberal,$30k-$50k,None,No,"Yes, I do",Strongly disapprove,Strongly disapprove,No,Somewhat approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,None,White None,All others,All others,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13221.0,West Virginia,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,3.10083222389221,Robert Byrd (Dem),Male,White,50-59,Republican,Moderate,,Catholic,No,No one does,Strongly disapprove,Strongly disapprove,No,Somewhat disapprove,Disapprove,White male,White male,45-59,50-64,18-64,30-59,Republican,,,Catholic,White Catholic,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Extremely Low Density Rural,Rural,Rural,Very downscale
13229.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.845681548118591,Robert Byrd (Dem),Male,White,50-59,Something else,Conservative,$50k-$75k,Other Christian,Yes,"Yes, I do",Somewhat disapprove,Somewhat approve,No,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Disapprove,Approve,Yes,Yes,I am (voter is member),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13249.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934577822685242,Robert Byrd (Dem),Female,White,18-24,Democratic,Liberal,Under $15k,Other Christian,Yes,No one does,No answer,Somewhat disapprove,Yes,Somewhat disapprove,Disapprove,White female,White female,18-29,18-24,18-64,18-29,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,No answer,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13251.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.881960451602936,John Raese (Rep),Male,White,60-64,Republican,Conservative,$100k-$150k,Catholic,No,No one does,Somewhat disapprove,Somewhat approve,Yes,Somewhat approve,Approve,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,Catholic,White Catholic,All others,All others,Disapprove,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13274.0,West Virginia,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.81063675880432,Robert Byrd (Dem),,White,,Democratic,Moderate,Under $15k,Protestant,No,No one does,Strongly disapprove,Strongly disapprove,No,Strongly approve,Approve,,Non-white,,,,,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Extremely Low Density Rural,Rural,Rural,Very downscale
13281.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.784308016300201,John Raese (Rep),Female,White,25-29,Republican,Conservative,$50k-$75k,Other Christian,Yes,No one does,Strongly approve,Strongly approve,Yes,Somewhat approve,Approve,White female,White female,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13286.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12261700630188,John Raese (Rep),Male,White,65-74,Republican,Conservative,$15k-$30k,Protestant,No,No one does,Strongly approve,Strongly approve,Yes,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13323.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.840041399002075,John Raese (Rep),Male,White,25-29,Republican,Moderate,$30k-$50k,Catholic,No,"Yes, someone else does",Somewhat disapprove,Somewhat approve,Yes,Somewhat disapprove,Disapprove,White male,White male,18-29,25-29,18-64,18-29,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,All others,All others,Disapprove,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13353.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.765368461608887,John Raese (Rep),Male,White,50-59,,Conservative,,Other Christian,No,No one does,Strongly approve,Somewhat approve,Yes,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13354.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.998318552970886,John Raese (Rep),Female,White,25-29,Republican,Conservative,$50k-$75k,Protestant,Yes,No one does,Strongly approve,Strongly approve,No,Somewhat disapprove,Disapprove,White female,White female,18-29,25-29,18-64,18-29,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13385.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.765368461608887,John Raese (Rep),Male,White,40-44,Republican,Conservative,$75k-$100k,Protestant,Yes,No one does,Strongly approve,Somewhat approve,No,Somewhat approve,Approve,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13403.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.974507987499237,Robert Byrd (Dem),Male,White,60-64,Democratic,Conservative,$50k-$75k,Catholic,No,"Yes, I do",Strongly disapprove,Somewhat approve,No,Strongly approve,Approve,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Disapprove,Approve,Yes,Yes,I am (voter is member),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13424.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.851501286029816,Robert Byrd (Dem),Female,White,50-59,Republican,Moderate,$30k-$50k,Something else,No,No one does,Strongly approve,Somewhat approve,Yes,Strongly approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Something else,White Something else,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13436.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.784308016300201,John Raese (Rep),Female,White,25-29,Republican,Conservative,$100k-$150k,Catholic,Yes,No one does,Strongly approve,Somewhat approve,No,Strongly approve,Approve,White female,White female,18-29,25-29,18-64,18-29,Republican,$50k or more,$100k or more,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13475.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.714589297771454,John Raese (Rep),Female,Asian,40-44,Republican,Conservative,$75k-$100k,Catholic,No,No one does,Somewhat disapprove,Somewhat disapprove,No,Somewhat approve,Approve,Non-white female,Non-white,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,Non-White,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),Asian,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13476.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.974507987499237,Robert Byrd (Dem),Male,White,75 or over,Republican,Moderate,$15k-$30k,Protestant,Yes,No one does,Somewhat approve,Somewhat disapprove,No,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13481.0,West Virginia,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24138927459717,Robert Byrd (Dem),Male,White,30-39,Republican,Moderate,$50k-$75k,Other Christian,No,No one does,Somewhat approve,Somewhat approve,No,Somewhat approve,Approve,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Monongahela River Valley,Low Density Rural,Rural,Rural,Very downscale
13518.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.714589297771454,John Raese (Rep),Female,White,30-39,Republican,Conservative,$75k-$100k,Protestant,Yes,No one does,Somewhat disapprove,Somewhat disapprove,Yes,Somewhat disapprove,Disapprove,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13526.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.789573967456818,Robert Byrd (Dem),Female,White,50-59,Independent,Moderate,$30k-$50k,Other Christian,No,No one does,Somewhat disapprove,Somewhat disapprove,No,Strongly approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13552.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24860370159149,Other,Female,White,50-59,Democratic,,Under $15k,None,Yes,No one does,No answer,Strongly disapprove,No Answer,No Answer,No Answer,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,None,White None,All others,White Evangelical Born Again Christians,No answer,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13557.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.62603759765625,Robert Byrd (Dem),Male,Black,50-59,Democratic,Conservative,,Something else,Yes,No one does,Strongly approve,Strongly disapprove,No,Strongly approve,Approve,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,,,Something else,Non-White,All others,All others,Approve,Disapprove,No,No,No (no union member in household),Black,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13569.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.665941119194031,Robert Byrd (Dem),Female,,45-49,Democratic,Moderate,$15k-$30k,Other Christian,Yes,No one does,Strongly approve,Somewhat approve,No,Strongly approve,Approve,,,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Approve,Approve,No,No,No (no union member in household),,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13583.0,West Virginia,39.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24138927459717,Robert Byrd (Dem),Male,White,30-39,Independent,Conservative,$15k-$30k,None,No,No one does,Strongly disapprove,Somewhat disapprove,Yes,Somewhat disapprove,Disapprove,White male,White male,30-44,30-39,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,None,White None,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Monongahela River Valley,Low Density Rural,Rural,Rural,Very downscale
13594.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.836736083030701,Robert Byrd (Dem),Male,White,50-59,Democratic,Moderate,$75k-$100k,Protestant,No,No one does,Strongly disapprove,Strongly disapprove,No,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13625.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05094003677368,Robert Byrd (Dem),Male,White,75 or over,Democratic,Liberal,$15k-$30k,Protestant,No,,No answer,No answer,No,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No answer,No answer,,,,White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13629.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.781221985816956,Robert Byrd (Dem),Female,White,45-49,Democratic,Liberal,$50k-$75k,None,No,No one does,Strongly disapprove,Strongly disapprove,Yes,Somewhat approve,Approve,White female,White female,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13630.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.845681548118591,Robert Byrd (Dem),Male,White,50-59,Independent,Conservative,$30k-$50k,Something else,No,No one does,Strongly approve,Somewhat approve,Yes,Strongly approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Something else,White Something else,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
13668.0,West Virginia,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.836736083030701,Robert Byrd (Dem),Male,White,45-49,Republican,Conservative,$50k-$75k,Protestant,Yes,"Yes, I do",Somewhat approve,Strongly approve,No,Strongly approve,Approve,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Approve,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,2.0,Strong Republican,Charleston/Huntington Areas,Suburb,60s Suburbs,Urban Perimeter,Very upscale
13685.0,West Virginia,1.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.912009477615356,Robert Byrd (Dem),Male,White,30-39,,Moderate,$50k-$75k,None,No,No one does,Strongly disapprove,Strongly disapprove,No,Somewhat approve,Approve,White male,White male,30-44,30-39,18-64,30-59,,$50k or more,Less than $100k,None,White None,All others,All others,Disapprove,Disapprove,No,No,No (no union member in household),White,Rural,Small Cities/Rural,1.0,Competitive,Appalachian Highlands,Low Density Rural,Rural,Rural,Very downscale
13696.0,West Virginia,76.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04813575744629,John Raese (Rep),Female,White,65-74,Republican,Conservative,$50k-$75k,Protestant,No,No one does,Somewhat approve,Somewhat approve,Yes,Somewhat approve,Approve,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Approve,Approve,No,No,No (no union member in household),White,Rural,Small Cities/Rural,2.0,Strong Republican,Appalachian Highlands,Low Density Rural,Rural,Rural,Downscale
