ID,WEIGHT,TXDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,ZIPCODE
277208387.0,1.96598887443542,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,,,,31.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,,,4.0,,Income inequality,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,,Omit,White,White,State questionnaire,White,White,White,Omit,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,Omit,Version 1,,,Can beat Donald Trump,78664.0
277208388.0,1.03000152111053,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,17.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,4.0,,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78664.0
277208389.0,1.04698431491852,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,,,,,31.0,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Omit,,,4.0,,Income inequality,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,,Omit,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,Omit,Version 1,,,Can beat Donald Trump,78664.0
277208390.0,2.03876209259033,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,17.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,4.0,,Income inequality,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78664.0
277208391.0,0.380369484424591,Elizabeth Warren,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,All others,Never,Never,Complete,,,,,,21.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Income inequality,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,Other,Other,State questionnaire,Other,Non-white,Other,Omit,South,Female,All other races,,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78741.0
277208392.0,2.57842993736267,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Occasionally,Once a week or more or Occasionally,Complete,,,,,,35.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,4.0,,Health care,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,78704.0
277208393.0,1.16386938095093,Other,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,33.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,2.0,,Race relations,No,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Warren,South,Female,Black women,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,Omit,Version 1,No,,Agrees with you on major issues,75052.0
277208394.0,2.97009682655334,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,,,,,,34.0,It is unfair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,6.0,,Race relations,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,78566.0
277208395.0,0.248333185911179,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,24.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,2.0,,Race relations,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,76039.0
277208396.0,0.255267024040222,Elizabeth Warren,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,24.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,2.0,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Warren,South,Female,Black women,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,76039.0
277208397.0,0.968492925167084,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,19.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,5.0,,Health care,No,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Bloomberg,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,79407.0
277208398.0,2.71714735031128,Joe Biden,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,4.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,,,1.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,75076.0
277208399.0,1.24048340320587,Joe Biden,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,4.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,1.0,,Race relations,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75076.0
277208400.0,1.84604156017303,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,4.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Yes,,,1.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,75076.0
277208401.0,2.14454483985901,Michael Bloomberg,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,4.0,It is unfair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,1.0,,Race relations,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,No,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Bloomberg,South,Female,Latino women,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,75076.0
277208402.0,3.01966094970703,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,4.0,It is unfair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,1.0,,Race relations,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Male,Latino men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75076.0
277208403.0,2.86542892456055,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,,,,,,4.0,It is unfair,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Yes,,,1.0,,Income inequality,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,No,Can unite the country,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,75076.0
277208404.0,0.763030886650085,Pete Buttigieg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,2.0,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Omit,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75052.0
277208405.0,1.07622683048248,Michael Bloomberg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,2.0,,Health care,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Somewhat liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75052.0
277208406.0,1.21875381469727,Pete Buttigieg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Occasionally,Once a week or more or Occasionally,Complete,,,,,,30.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,2.0,,Climate change,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-white,Asian,Buttigieg,South,Female,All other races,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,75052.0
277208407.0,0.899877607822418,Tulsi Gabbard,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,33.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,2.0,,Health care,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,Moderate or Conservative,Moderate,,No,Cares about people like me,White,White,State questionnaire,White,White,White,Gabbard,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,75052.0
277208408.0,1.71900737285614,Michael Bloomberg,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,All others,All others,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,30.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,2.0,,Climate change,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,All others,Somewhat liberal,Liberal,Liberal,,No,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-white,Asian,Sanders,South,Female,All other races,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75052.0
277208409.0,0.675926983356476,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,,,,,6.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,2.0,,Climate change,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,75052.0
277208410.0,1.00232434272766,Elizabeth Warren,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,2.0,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Warren,South,Male,Black men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,No,Version 1,Yes,,Agrees with you on major issues,75052.0
277208411.0,1.06201553344727,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,30.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,2.0,,Race relations,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,No,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Female,Latino women,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,75052.0
277208412.0,0.763030886650085,Pete Buttigieg,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,,,,,30.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Yes,,,2.0,,Climate change,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,75052.0
277208413.0,0.776203989982605,Michael Bloomberg,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,33.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Yes,,,2.0,,Income inequality,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Bloomberg,South,Male,Black men,,Suburbs,Suburbs,English,Texas,Other,Telephone survey,,,,,Yes,Version 1,Yes,,Agrees with you on major issues,75052.0
