ID,WEIGHT,MIDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPJT,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSDEM20B,LATINO,LGBT,MAJCRISISJT,MARRIED,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JT,REGION,SATBIDEN20,SATBIDEN20B,SATBLOOMBERG20,SATBLOOMBERG20B,SATSANDERS20,SATSANDERS20B,SATWARREN20,SATWARREN20B,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,UNIONHH12,VERSION,VOTENOV20,WHNCLINC,WINORISS20,WORK,WRKWOMEN,WRKWOMEN4,ZIPCODE
277228108.0,0.562334895133972,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Sanders,Call 1,7.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Race relations,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,51.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Support,Rural,Small Cities/Rural, Michigan,Other,Election day exit poll,In February,Earlier than that,Earlier than that,"Dissatisfied, but not angry",No,Version 2,Yes,No,Omit,Yes,All others,Working men,49236.0
277228109.0,0.72028511762619,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,2.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,4.0,,,,,,,Health care,No,,Sanders,No,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,48.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Non married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Can beat Donald Trump,,,,49509.0
277228111.0,1.13202261924744,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,6.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,4.0,,,,,,,Health care,No,,Biden,No,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,38.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,Midwest,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Omit,Omit,"Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Omit,Omit,Female,White women,Non married women,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,Version 1,,,Can beat Donald Trump,,,,49006.0
277228112.0,0.33377480506897,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Biden,Call 1,5.0,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,No,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,17.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,Midwest,,,,,,,,,Female,Black women,,Oppose,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,Just today,Last few days,In the last month,Angry,,Version 2,Yes,No,Agrees with you on major issues,Yes,Working women,Working women,48505.0
277228116.0,0.752008497714996,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,Biden,Call 1,11.0,Works well enough as is,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",Climate change,No,No,,,45+,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,135.0,,,Other,Asian,State questionnaire,Asian,Non-white,Asian,,Midwest,,,,,,,,,Female,All other races,,Oppose,Suburbs,Suburbs, Michigan,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,No,Version 2,Yes,No,Can beat Donald Trump,Yes,Working women,Working women,48188.0
277228117.0,2.13655948638916,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,11.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,2.0,,,,,,,Health care,No,,Sanders,Yes,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,92.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Married men,,Suburbs,Suburbs, Michigan,White suburban men,Election day exit poll,,,,,Yes,Version 1,,,Agrees with you on major issues,,,,48178.0
277228118.0,0.562964916229248,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,Sanders,Call 1,2.0,Needs a complete overhaul,,,,,,4.0,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Income inequality,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Something else,All others,Somewhat liberal,Liberal,Liberal,48.0,,,Other,American Indian,State questionnaire,Other,Non-white,American Indian,,Midwest,,,,,,,,,Male,All other races,,Support,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,No,Version 2,Yes,,Can beat Donald Trump,Yes,All others,Working men,49509.0
277228120.0,0.714801788330078,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 1,6.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,4.0,,,,,,,Health care,No,,Sanders,Yes,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,38.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,Yes,Version 1,,,Can beat Donald Trump,,,,49006.0
277228122.0,1.49035382270813,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Sanders,Call 1,11.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Conservative,Moderate or Conservative,Conservative,135.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Female,White women,,Support,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,No,Version 2,Yes,No,Agrees with you on major issues,Yes,Working women,Working women,48188.0
277228124.0,0.671761691570282,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Not complete,,Call 1,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,4.0,,,,,,,,No,,Gabbard,No,18-44,18-64,,,,,,,,,,48.0,Yes,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,Non married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,Version 1,,,,,,,49509.0
277228125.0,0.671761691570282,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Not complete,,Call 1,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,4.0,,,,,,,,No,,Gabbard,No,18-44,18-64,,,,,,,,,,48.0,Yes,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,Non married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,,Version 1,,,,,,,49509.0
277228127.0,0.525605916976929,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,6.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,4.0,,,,,,,Omit,No,,Biden,Yes,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,38.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,Black women,Married women,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Agrees with you on major issues,,,,49006.0
277228128.0,1.1756991147995,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Sanders,Call 1,11.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,2.0,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,92.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Female,White women,,Support,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,In February,Earlier than that,Earlier than that,Angry,Yes,Version 2,Yes,No,Agrees with you on major issues,Yes,Working women,Working women,48178.0
277228129.0,0.905992150306702,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,Biden,Call 1,11.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and non white",Health care,No,No,,,45+,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,135.0,,,Other,Other,State questionnaire,Other,Non-white,Other,,Midwest,,,,,,,,,Female,All other races,,Support,Suburbs,Suburbs, Michigan,Other,Election day exit poll,Just today,Last few days,In the last month,"Dissatisfied, but not angry",Yes,Version 2,Yes,No,Can beat Donald Trump,Yes,Working women,Working women,48188.0
277228133.0,0.734767854213715,Joe Biden,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Biden,Call 1,6.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,4.0,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Income inequality,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,38.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Oppose,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,No,Version 2,No,No,Can beat Donald Trump,Yes,All others,Working men,49006.0
277228136.0,1.19981825351715,Joe Biden,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Bloomberg,Call 1,11.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,,,,,,,Health care,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,135.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Female,White women,,Oppose,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,In the last few days,Last few days,In the last month,Angry,No,Version 2,Yes,No,Can beat Donald Trump,No,All others,Non-working women,48188.0
277228137.0,1.19981825351715,Joe Biden,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Bloomberg,Call 1,11.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,,,,,,,Health care,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,135.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Female,White women,,Oppose,Suburbs,Suburbs, Michigan,White suburban women,Election day exit poll,In the last few days,Last few days,In the last month,Angry,No,Version 2,Yes,No,Can beat Donald Trump,No,All others,Non-working women,48188.0
277228139.0,2.62393307685852,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,Call 1,11.0,Needs a complete overhaul,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,2.0,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,92.0,,,White,White,State questionnaire,White,White,White,,Midwest,,,,,,,,,Male,White men,,Oppose,Suburbs,Suburbs, Michigan,White suburban men,Election day exit poll,In February,Earlier than that,Earlier than that,Angry,No,Version 2,Yes,Yes,Can beat Donald Trump,No,All others,Non-working men,48178.0
277228140.0,0.650318562984467,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 1,6.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,4.0,,,,,,,Climate change,No,,Sanders,No,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,38.0,No,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,Midwest,"Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Non married men,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Agrees with you on major issues,,,,49006.0
277228142.0,0.797650992870331,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Bloomberg,Call 1,5.0,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,No,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,17.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,Midwest,,,,,,,,,Female,Black women,,Oppose,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",No,Version 2,Yes,No,Can beat Donald Trump,Yes,Working women,Working women,48505.0
277228146.0,1.02277910709381,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,Call 1,6.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,4.0,,,,,,,Income inequality,No,,Biden,Yes,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,38.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,Midwest,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,Black women,Married women,,"Cities 50,000-500,000","Cities over 50,000", Michigan,Other,Election day exit poll,,,,,No,Version 1,,,Can beat Donald Trump,,,,49006.0
