ID,WEIGHT,NVDPRS20,BACKSIDE,CALL,CDNUM,COUNTNV,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,GEOCODENVD,IAPARTYID,ISSDEM20CAU,LATINO,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVCAUCDEMNV,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMENV20,TIMEPRIFEWDAYS,TIMEPRIMTH,TWITTER,UNIONHH12,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65
276939368.0,1.14057850837708,Joe Biden,Complete,,3.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,1.0,Democrat,Health care,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Omit,Omit,Omit,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939367.0,1.14057850837708,Joe Biden,Complete,,1.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,1.0,Democrat,Health care,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"Yes, I attended a caucus before",Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939359.0,1.14057850837708,Joe Biden,Complete,,3.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Male,White men,Support,Suburbs,Suburbs,English,Nevada,White suburban men,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64
276939340.0,0.68158096075058,Joe Biden,Complete,,2.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,2.0,Democrat,Health care,No,Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Female,All other races,Support,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64
276939339.0,1.24174821376801,Joe Biden,Complete,,3.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64
276939331.0,1.33450388908386,Joe Biden,Complete,,4.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,1.0,Democrat,Foreign policy,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64
276939329.0,0.68158096075058,Joe Biden,Complete,,2.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,2.0,Democrat,Income inequality,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,In January,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49
276939313.0,0.68158096075058,Joe Biden,Complete,,2.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,2.0,Democrat,Foreign policy,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Somewhat liberal,Liberal,Liberal,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Nevada,White suburban women,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39
276939293.0,1.06130182743073,Joe Biden,Complete,,3.0,Yes,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939275.0,1.24174821376801,Joe Biden,Complete,,4.0,Yes,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64
276939274.0,1.33450388908386,Joe Biden,Complete,,1.0,Yes,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,Somewhat liberal,Liberal,Liberal,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Male,White men,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64
276939259.0,0.889078676700592,Joe Biden,Complete,,2.0,Yes,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,2.0,Democrat,Foreign policy,No,Democrat,Non-black Democrat,All Other,Democratic men,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Male,All other races,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24
276939219.0,1.24174821376801,Joe Biden,Complete,,4.0,Yes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,1.0,Democrat,Health care,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,Support,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,Yes,No,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39
276939216.0,1.50719726085663,Joe Biden,Complete,,1.0,Yes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Very liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29
276939193.0,1.33450388908386,Joe Biden,Complete,,3.0,Yes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,1.0,Democrat,Foreign policy,No,Democrat,Non-black Democrat,All Other,Democratic men,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Male,All other races,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49
276939157.0,1.61978113651276,Joe Biden,Complete,,3.0,Yes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,1.0,Democrat,Climate change,No,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29
276939146.0,1.50719726085663,Joe Biden,Complete,,3.0,Yes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,1.0,Democrat,Foreign policy,No,Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Very liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Female,All other races,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,Yes,No,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24
276939141.0,1.50732588768005,Joe Biden,Complete,,3.0,Yes,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,1.0,Democrat,Climate change,No,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",Black,Black,State questionnaire,Black,Non-white,Black,West,Female,Black women,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+
276939064.0,1.61978113651276,Joe Biden,Complete,,4.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,2.0,1.0,Democrat,Climate change,No,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Male,White men,Support,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24
276939055.0,0.626049995422363,Joe Biden,Complete,,2.0,Yes,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,2.0,Democrat,Health care,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,"Yes, I attended a caucus before",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Support,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,In January,Earlier than that,Earlier than that,No,No,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+
276939035.0,1.06130182743073,Joe Biden,Complete,,3.0,Yes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,2.0,1.0,Democrat,Climate change,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Very liberal,Liberal,Liberal,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Support,Suburbs,Suburbs,English,Nevada,White suburban women,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Omit,65+,60+,65 or over,45+,50+,60+,65+
276939025.0,1.06130182743073,Joe Biden,Complete,,4.0,Yes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,2.0,1.0,Democrat,Climate change,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Omit,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939024.0,0.827353298664093,Joe Biden,Complete,,2.0,Yes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,2.0,Democrat,Income inequality,No,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"Yes, I attended a caucus before",Black,Black,State questionnaire,Black,Non-white,Black,West,Female,Black women,Omit,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64
276939020.0,0.626049995422363,Joe Biden,Complete,,2.0,Yes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,1.0,2.0,Democrat,Foreign policy,No,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Male,White men,Omit,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939017.0,1.61978113651276,Joe Biden,Complete,,3.0,Yes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,1.0,Independent,Foreign policy,Yes,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Omit,Suburbs,Suburbs,English,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24
276939013.0,1.06130182743073,Joe Biden,Complete,,4.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,1.0,Democrat,Income inequality,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Very liberal,Liberal,Liberal,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Omit,Suburbs,Suburbs,English,Nevada,White suburban women,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939011.0,1.06130182743073,Joe Biden,Complete,,4.0,Yes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,1.0,Something else,Omit,No,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,Moderate,Moderate or Conservative,Moderate,,"No, this is my first caucus",White,White,State questionnaire,White,White,White,West,Female,White women,Omit,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939008.0,1.14057850837708,Joe Biden,Complete,,1.0,Yes,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,1.0,Democrat,Omit,,Democrat,Non-black Democrat,All Other,Democratic men,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Other,State questionnaire,Other,Non-white,Other,West,Male,All other races,Omit,"Cities over 500,000","Cities over 50,000",,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276939000.0,1.06130182743073,Joe Biden,Complete,,1.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,1.0,Democrat,Climate change,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Oppose,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276938998.0,0.582535982131958,Joe Biden,Complete,,2.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,2.0,Democrat,Income inequality,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000",,Nevada,Other,Telephone survey,Earlier this month,Earlier than that,In the last month,No,No,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276938984.0,2.30051255226135,Joe Biden,Complete,,1.0,No,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,1.0,Democrat,Income inequality,No,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,"Yes, I attended a caucus before",Black,Black,State questionnaire,Black,Non-white,Black,West,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,Yes,Yes,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29
276938982.0,1.02245163917542,Joe Biden,Complete,,2.0,No,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,2.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Oppose,Rural,Small Cities/Rural,English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,No,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276938981.0,0.889078676700592,Joe Biden,Complete,,2.0,No,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,2.0,Democrat,Foreign policy,Yes,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Very liberal,Liberal,Liberal,,"Yes, I attended a caucus before",Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Male,Latino men,Oppose,"Cities 50,000-500,000","Cities over 50,000",Spanish,Nevada,Other,Telephone survey,In January,Earlier than that,Earlier than that,No,Yes,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29
276938974.0,1.06130182743073,Joe Biden,Complete,,3.0,No,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,1.0,Democrat,Health care,No,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,Moderate,Moderate or Conservative,Moderate,,"Yes, I attended a caucus before",White,White,State questionnaire,White,White,White,West,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Omit,Omit,Omit,No,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+
276938971.0,1.50719726085663,Joe Biden,Complete,,3.0,No,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,1.0,Republican,Foreign policy,Yes,Republican,Non-black non-Democrat,All Republicans,Republican women,All others,Somewhat liberal,Liberal,Liberal,,"No, this is my first caucus",Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,Telephone survey,Before that,Earlier than that,Earlier than that,Yes,Yes,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29
