ID,WEIGHT,WADPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPJT,CALL,CDNUM,CORONAVIRUSWA,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,MAJCRISISJT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SATBIDEN20,SATBIDEN20B,SATBLOOMBERG20,SATBLOOMBERG20B,SATSANDERS20,SATSANDERS20B,SATWARREN20,SATWARREN20B,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIMTH,TIMEWA20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,ZIPCODE
277226711.0,0.536173939704895,Elizabeth Warren,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Warren,,7.0,Very concerned,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Climate change,No,No,Warren,Change to more liberal policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Angry,"Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Support,"Cities over 500,000","Cities over 50,000",Washington,Other,Telephone survey,Earlier than that,Last year,Angry,,Yes,Can beat Donald Trump,98116.0
277226712.0,0.489446222782135,Elizabeth Warren,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Sanders,,3.0,Somewhat concerned,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,4.0,Climate change,No,Yes,Warren,Change to more liberal policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Cares about people like me,White,White,State questionnaire,White,White,White,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Support,Rural,Small Cities/Rural,Washington,Other,Telephone survey,Earlier than that,In February,Omit,,Yes,Can beat Donald Trump,98644.0
277226713.0,0.899644494056702,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,1.0,Very concerned,Works well enough as is,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,1.0,Climate change,No,No,Biden,Change to more conservative policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Can bring needed change,White,White,State questionnaire,White,White,White,West,"Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Angry,"Dissastisfied, but not angry or Angry",Male,White men,Support,Suburbs,Suburbs,Washington,White suburban men,Telephone survey,Earlier than that,In February,"Dissatisfied, but not angry",,Yes,Can beat Donald Trump,98290.0
277226714.0,0.715521156787872,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,,,,Complete,Omit,,6.0,Very concerned,Needs minor changes,Never attended college,No college degree,High school graduate or less,,,4.0,Health care,No,No,Sanders,Omit,45+,65+,Independent/Something else,,,Independent men,Independent,,Moderate,Moderate or Conservative,Moderate,,Omit,,,State questionnaire,,,,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,,Omit,Suburbs,Suburbs,Washington,,Telephone survey,Omit,Omit,"Satisfied, but not enthusiastic",,No,Can beat Donald Trump,98367.0
277226715.0,1.3777779340744,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Biden,,8.0,Very concerned,Needs minor changes,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Race relations,No,No,Biden,Return to Barack Obama's policies,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Can unite the country,White,White,State questionnaire,White,White,White,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Oppose,Suburbs,Suburbs,Washington,White suburban women,Telephone survey,Earlier than that,In February,Angry,,Yes,Can beat Donald Trump,98002.0
277226716.0,0.53292328119278,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,10.0,Somewhat concerned,Needs a complete overhaul,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,3.0,Health care,No,No,Biden,Omit,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Support,Suburbs,Suburbs,Washington,White suburban women,Telephone survey,Earlier than that,Last year,Angry,,Yes,Can beat Donald Trump,98388.0
277226717.0,0.809820294380188,Elizabeth Warren,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Biden,,1.0,Somewhat concerned,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,1.0,Omit,No,No,Biden,Return to Barack Obama's policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Omit,White,White,State questionnaire,White,White,White,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Oppose,Suburbs,Suburbs,Washington,White suburban men,Telephone survey,In the last month,In March,Angry,,Yes,Can beat Donald Trump,98258.0
277226718.0,0.715521156787872,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Sanders,,3.0,Very concerned,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,4.0,Health care,No,No,Sanders,Change to more liberal policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Cares about people like me,White,White,State questionnaire,White,White,White,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,White men,Support,Suburbs,Suburbs,Washington,White suburban men,Telephone survey,Earlier than that,Last year,Angry,,Yes,Can beat Donald Trump,98632.0
277226719.0,1.1360889673233,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,9.0,Very concerned,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Health care,No,No,Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Cares about people like me,White,White,State questionnaire,White,White,White,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Omit,Suburbs,Suburbs,Washington,White suburban women,Telephone survey,Earlier than that,Last year,Angry,,Yes,Can beat Donald Trump,98032.0
277226720.0,0.776453673839569,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,1.0,Very concerned,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,Health care,No,No,Biden,Omit,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Can unite the country,White,White,State questionnaire,White,White,White,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Support,Suburbs,Suburbs,Washington,White suburban women,Telephone survey,Earlier than that,Last year,"Dissatisfied, but not angry",,Yes,Agrees with you on major issues,98290.0
277226721.0,1.37227189540863,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Bloomberg,,6.0,Very concerned,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Race relations,No,No,Biden,Change to more conservative policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Can unite the country,White,White,State questionnaire,White,White,White,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000",Washington,Other,Telephone survey,Earlier than that,In February,Angry,,Yes,Can beat Donald Trump,98406.0
277226722.0,0.665857374668121,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Biden,,2.0,Very concerned,Needs a complete overhaul,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,Race relations,No,No,Biden,Return to Barack Obama's policies,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Male,Black men,Support,Suburbs,Suburbs,Washington,Other,Telephone survey,Earlier than that,Last year,"Dissatisfied, but not angry",,Yes,Can beat Donald Trump,98201.0
277226723.0,3.10569524765015,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Warren,,10.0,Somewhat concerned,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Omit,No,No,Warren,Omit,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Very liberal,Liberal,Liberal,,Can bring needed change,White,White,State questionnaire,White,White,White,West,Omit,Omit,Omit,Omit,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Support,"Cities 10,000-50,000",Small Cities/Rural,Washington,Other,Telephone survey,Omit,Omit,Omit,,Yes,Agrees with you on major issues,98501.0
277226724.0,0.676203310489655,Elizabeth Warren,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Warren,,1.0,Somewhat concerned,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,Climate change,Yes,No,Warren,Return to Barack Obama's policies,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Angry,"Dissastisfied, but not angry or Angry","Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Male,Latino men,Support,Suburbs,Suburbs,Washington,Other,Telephone survey,Earlier than that,Last year,Angry,,Yes,Can beat Donald Trump,98034.0
277226725.0,1.20906412601471,Bernie Sanders,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Sanders,,5.0,Very concerned,Needs a complete overhaul,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,5.0,Health care,No,No,Sanders,Change to more liberal policies,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Very liberal,Liberal,Liberal,,Cares about people like me,White,White,State questionnaire,White,White,White,West,Angry,"Dissastisfied, but not angry or Angry",Angry,"Dissastisfied, but not angry or Angry",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic","Dissatisfied, but not angry","Dissastisfied, but not angry or Angry",Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000",Washington,Other,Telephone survey,Earlier than that,Last year,Angry,,No,Agrees with you on major issues,99212.0
277226726.0,0.776453673839569,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Biden,,2.0,Very concerned,Needs a complete overhaul,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,Income inequality,No,No,Biden,Omit,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Can unite the country,White,White,State questionnaire,White,White,White,West,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Omit,Omit,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Support,Suburbs,Suburbs,Washington,White suburban women,Telephone survey,In the last month,In March,Angry,,Yes,Can beat Donald Trump,98233.0
277226727.0,0.93022620677948,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Warren,,2.0,Somewhat concerned,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,1.0,Climate change,No,No,Warren,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Can unite the country,White,White,State questionnaire,White,White,White,West,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Omit,Omit,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Female,White women,Omit,"Cities 10,000-50,000",Small Cities/Rural,Washington,Other,Telephone survey,Omit,Omit,Angry,,Yes,Omit,98221.0
