ID,WEIGHT,TNDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GEOCODETND,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,ZIPCODE
277207296.0,1.44036817550659,Bernie Sanders,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,,,,,,No,,,5.0,4.0,,Health care,Yes,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Male,Latino men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,38002.0
277207297.0,1.51759266853333,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,,,,,9.0,It is fair,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,No,,,5.0,4.0,,Income inequality,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,38002.0
277207298.0,1.51759266853333,Bernie Sanders,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Occasionally,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,5.0,4.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,38002.0
277207299.0,1.03892767429352,Joe Biden,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is fair,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Yes,,,5.0,4.0,,Race relations,Yes,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Biden,South,Male,Latino men,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,Yes,Version 1,Yes,,Agrees with you on major issues,38004.0
277207300.0,1.51759266853333,Michael Bloomberg,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,5.0,4.0,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,38004.0
277207301.0,1.51759266853333,Michael Bloomberg,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,8.0,It is unfair,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Yes,,,5.0,4.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,38004.0
277207302.0,0.648111045360565,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,3.0,2.0,,Health care,No,,,45+,65+,,,,,,,,,,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207303.0,0.171322181820869,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,All others,All others,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Climate change,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-white,Asian,Sanders,South,Female,All other races,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207304.0,0.243270769715309,Elizabeth Warren,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Occasionally,Once a week or more or Occasionally,Complete,,,,,,7.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Income inequality,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Warren,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207305.0,0.648111045360565,Pete Buttigieg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Never,Never,Complete,,,,,,7.0,It is unfair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,3.0,2.0,,Health care,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,37027.0
277207306.0,0.394208669662476,Pete Buttigieg,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207307.0,0.341822177171707,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,3.0,2.0,,Health care,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,37027.0
277207308.0,0.171322181820869,Joe Biden,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Race relations,No,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,,No,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,37027.0
277207309.0,0.295225113630295,Pete Buttigieg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Climate change,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207310.0,0.171322181820869,Elizabeth Warren,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,All others,All others,Never,Never,Complete,,,,,,5.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Race relations,No,,,18-44,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,Other,Asian,State questionnaire,Asian,Non-white,Asian,Warren,South,Female,All other races,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,Yes,Version 1,No,,Agrees with you on major issues,37027.0
277207311.0,0.295225113630295,Pete Buttigieg,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,,,,,7.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,3.0,2.0,,Health care,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Buttigieg,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207312.0,0.394208669662476,Pete Buttigieg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Climate change,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207313.0,0.295225113630295,Pete Buttigieg,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Never,Never,Complete,,,,,,7.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Income inequality,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,No,Can unite the country,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207314.0,0.394208669662476,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Never,Never,Complete,,,,,,5.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,3.0,2.0,,Income inequality,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207315.0,0.295225113630295,Bernie Sanders,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,,,,,5.0,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,3.0,2.0,,Health care,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,,,,,No,Omit,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,Omit,Version 1,No,,Agrees with you on major issues,37027.0
277207316.0,0.394208669662476,Michael Bloomberg,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Occasionally,Once a week or more or Occasionally,Complete,,,,,,7.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Income inequality,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207317.0,0.394208669662476,Bernie Sanders,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Never,Never,Complete,,,,,,5.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,3.0,2.0,,Income inequality,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Very liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,No,Version 1,Yes,,Can beat Donald Trump,37027.0
277207318.0,0.32483497262001,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,7.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,37027.0
277207319.0,0.243270769715309,Pete Buttigieg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,3.0,2.0,,Climate change,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,Other,Other,State questionnaire,Other,Non-white,Other,Biden,South,Female,All other races,,Suburbs,Suburbs,Tennessee,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,37027.0
277207320.0,0.295225113630295,Michael Bloomberg,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,,,,,,5.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,3.0,2.0,,Omit,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Somewhat liberal,Liberal,Liberal,,No,Omit,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,,Suburbs,Suburbs,Tennessee,White suburban women,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,37027.0
277207321.0,0.295225113630295,Elizabeth Warren,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,3.0,2.0,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Warren,South,Male,White men,,Suburbs,Suburbs,Tennessee,White suburban men,Telephone survey,,,,,Yes,Version 1,Yes,,Can beat Donald Trump,37027.0
