ID,WEIGHT,VADPRS20,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLOOMBERG,FAVBUTTIGIEG,FAVKLOBUCHAR,FAVSANDERS,FAVWARREN2,FREECOLLEGE,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277210686.0,1.02608203887939,Joe Biden,Complete,Biden,,,,Call 1,3.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,Support,3.0,Health care,,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,91.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Support,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,23666.0
277210678.0,0.355877429246902,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 1,3.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Favorable,,3.0,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,83.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Bloomberg,South,Male,Black men,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,23321.0
277210671.0,1.78096091747284,Joe Biden,Complete,,The most important factor,A factor,Important,Call 1,8.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,,1.0,Race relations,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,24.0,No,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,22315.0
277210665.0,0.355877429246902,Joe Biden,Complete,,Not a factor at all,Not a factor,Not important,Call 1,3.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Favorable,,3.0,Race relations,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Somewhat liberal,Liberal,Liberal,91.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,23666.0
277210658.0,0.70723021030426,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 1,4.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Unfavorable,,4.0,Climate change,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,39.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24,23075.0
277222797.0,1.52223515510559,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 3,10.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Favorable,Unfavorable,Unfavorable,Favorable,Unfavorable,,5.0,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,32.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,22602.0
277210643.0,0.901953518390656,Joe Biden,Complete,Biden,,,,Call 1,8.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Support,1.0,Income inequality,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,81.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Last few days,In the last month,Just today,"Dissatisfied, but not angry",Version 2,Yes,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,22304.0
277210642.0,0.351706236600876,Joe Biden,Complete,,Not a factor at all,Not a factor,Not important,Call 1,3.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Unfavorable,Favorable,Favorable,Omit,Favorable,,3.0,Race relations,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,,,,83.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,23321.0
277215890.0,0.284826457500458,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 2,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,,5.0,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,65.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,Rural,Small Cities/Rural, Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,22664.0
277210637.0,1.02608203887939,Joe Biden,Complete,Biden,,,,Call 1,3.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,Support,3.0,Omit,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,91.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,23666.0
277222698.0,1.23398697376251,Joe Biden,Complete,,Not a factor at all,Not a factor,Not important,Call 3,11.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,,1.0,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,28.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,20120.0
277210620.0,0.391196370124817,Joe Biden,Complete,Biden,,,,Call 1,5.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Oppose,2.0,Income inequality,Yes,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,1.0,,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,South,Female,Latino women,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,Earlier than that,In the last month,In February,Angry,Version 2,Yes,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,22901.0
277210616.0,1.5446343421936,Joe Biden,Complete,Biden,,,,Call 1,8.0,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Support,1.0,Health care,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,24.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,22315.0
277221094.0,1.62241792678833,Joe Biden,Complete,,One of several important factors,A factor,Important,Call 3,5.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,,4.0,Race relations,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,54.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Rural,Small Cities/Rural, Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,24557.0
277222756.0,0.733271777629852,Joe Biden,Complete,Biden,,,,Call 3,10.0,Needs minor changes,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,Oppose,5.0,Climate change,No,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,32.0,,,White,White,State questionnaire,White,White,White,,South,Male,White men,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,Last few days,In the last month,Just today,Angry,Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,22602.0
277210608.0,0.436697840690613,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 1,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,,3.0,Race relations,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,111.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,23451.0
277210605.0,1.19030785560608,Joe Biden,Complete,,Not a factor at all,Not a factor,Not important,Call 1,10.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,,1.0,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,26.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,Suburbs,Suburbs, Virginia,White suburban women,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,20151.0
277210601.0,1.33511924743652,Joe Biden,Complete,Biden,,,,Call 1,8.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Oppose,1.0,Health care,No,No,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,81.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Last few days,In the last month,In the last few days,"Dissatisfied, but not angry",Version 2,Yes,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,22304.0
277210599.0,0.712396502494812,Joe Biden,Complete,,The most important factor,A factor,Important,Call 1,4.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,,4.0,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,39.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,23075.0
277210598.0,1.09358656406403,Joe Biden,Complete,Biden,,,,Call 1,3.0,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,Support,3.0,Climate change,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,91.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,23666.0
277210595.0,1.02608203887939,Joe Biden,Not complete,,The most important factor,A factor,Important,Call 1,3.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,3.0,,No,,,,,,,,,,,,83.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,,Suburbs,Suburbs, Virginia,Other,Election day exit poll,,,,,Version 1,,,65+,60+,65 or over,45+,50+,60+,65+,23321.0
277210592.0,1.73312437534332,Joe Biden,Complete,Biden,,,,Call 1,8.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Oppose,1.0,Health care,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,24.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Last few days,In the last month,Just today,Angry,Version 2,No,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,22315.0
277210586.0,1.08022141456604,Joe Biden,Complete,Biden,,,,Call 1,4.0,Works well enough as is,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,Oppose,4.0,Income inequality,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,16.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Last few days,In the last month,In the last few days,"Dissatisfied, but not angry",Version 2,No,Agrees with you on major issues,30-44,30-59,40-44,17-44,17-49,30-44,40-49,23237.0
277222730.0,1.44928765296936,Joe Biden,Complete,Biden,,,,Call 3,8.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Support,1.0,Race relations,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,24.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 2,Yes,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,22315.0
277210581.0,0.527463555335999,Joe Biden,Complete,Biden,,,,Call 1,7.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,,,,,,,,,Support,2.0,Health care,,No,Return to Barack Obama's policies,Republican,,,Republican women,Republican,,Moderate,Moderate or Conservative,Moderate,67.0,,,,,State questionnaire,,,,,South,Female,,Oppose,Suburbs,Suburbs, Virginia,,Election day exit poll,Last few days,In the last month,In the last few days,"Dissatisfied, but not angry",Version 2,Yes,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,22553.0
277210580.0,0.478783369064331,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 1,5.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Favorable,Favorable,Favorable,Favorable,Unfavorable,,2.0,Climate change,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,1.0,No,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Other,Election day exit poll,,,,,Version 1,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,22901.0
277210579.0,1.36251664161682,Joe Biden,Complete,,The most important factor,A factor,Important,Call 1,3.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,,3.0,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,101.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Bloomberg,South,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,23701.0
277210576.0,0.571941912174225,Joe Biden,Complete,,A minor factor,A factor,Not important,Call 1,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,,3.0,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,111.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Other,Election day exit poll,,,,,Version 1,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,23451.0
