ID,WEIGHT,SCDPRS20,ATTEND20,ATTEND20B,BACKSIDE,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,ECONCHANGE20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVBLOOMBERG,FAVBUTTIGIEG,FAVKLOBUCHAR,FAVSANDERS,FAVSTEYER,FAVWARREN2,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20SC,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMENH20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,VERSION,VETVOTER,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
276951932.0,1.74535274505615,Bernie Sanders,Never,Never,Complete,Not a factor at all,Not a factor,Not important,Call 1,6.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,5.0,Health care,No,No,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,29.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,29488.0
276951933.0,0.509835779666901,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,4.0,Needs a complete overhaul,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,1.0,Health care,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,107.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,29306.0
276951934.0,0.973962366580963,Joe Biden,,,Complete,,,,Call 1,7.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,4.0,Race relations,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Something else,All others,Conservative,Moderate or Conservative,Conservative,27.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Support,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 2,,Yes,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,29520.0
276951935.0,1.11706638336182,Pete Buttigieg,Occasionally,Once a week or more or Occasionally,Complete,One of several important factors,A factor,Important,Call 1,5.0,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,2.0,Health care,No,Yes,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,115.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Buttigieg,South,Male,White men,,Suburbs,Suburbs,South Carolina,White suburban men,Election day exit poll,,,,,Version 1,Yes,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,29708.0
276951937.0,0.92327356338501,Pete Buttigieg,,,Complete,,,,Call 1,2.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,3.0,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,79.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Oppose,Suburbs,Suburbs,South Carolina,White suburban women,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 2,,No,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,29072.0
276951938.0,0.485561549663544,Elizabeth Warren,,,Complete,,,,Call 1,4.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Unfavorable,Favorable,1.0,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,107.0,,,White,White,State questionnaire,White,White,White,,South,Female,White women,Support,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Version 2,,Yes,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,29306.0
276951939.0,1.14169132709503,Elizabeth Warren,Never,Never,Complete,A minor factor,A factor,Not important,Call 1,5.0,Needs minor changes,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,2.0,Health care,Yes,No,Change to more liberal policies,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,115.0,Yes,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Female,Latino women,,Suburbs,Suburbs,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,29708.0
276951940.0,1.65492987632751,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,7.0,Needs a complete overhaul,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,4.0,Health care,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,27.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,29520.0
276951941.0,1.11706638336182,Pete Buttigieg,,,Not complete,One of several important factors,A factor,Important,Call 1,5.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,2.0,,No,,,,,,,,,,,,115.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Suburbs,Suburbs,South Carolina,Other,Election day exit poll,,,,,Version 1,,,,65+,60+,65 or over,45+,50+,60+,65+,29708.0
276951942.0,0.327453881502151,Pete Buttigieg,Occasionally,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,4.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,1.0,Race relations,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,107.0,No,Can bring needed change,White,White,State questionnaire,White,White,White,Klobuchar,South,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24,29306.0
276951943.0,1.12566590309143,Bernie Sanders,,,Not complete,Not a factor at all,Not a factor,Not important,Call 1,5.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,2.0,,No,,,,,,,,,,,,115.0,No,,White,White,State questionnaire,White,White,White,,South,Female,White women,,Suburbs,Suburbs,South Carolina,White suburban women,Election day exit poll,,,,,Version 1,,,,45-65,30-59,50-59,45+,50+,45-59,50-64,29708.0
276951944.0,1.1003782749176,Tom Steyer,Once a week or more,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,4.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,1.0,Climate change,Yes,No,Change to more liberal policies,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,44.0,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Stever,South,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,29615.0
276951945.0,0.610525548458099,Elizabeth Warren,Never,Never,Complete,One of several important factors,A factor,Important,Call 1,6.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,5.0,Health care,No,No,Change to more liberal policies,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Very liberal,Liberal,Liberal,29.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Stever,South,Male,White men,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49,29488.0
276951946.0,0.545032560825348,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,6.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,3.0,Health care,No,No,Change to more liberal policies,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,Moderate or Conservative,Moderate,93.0,No,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,29209.0
276951947.0,0.365446299314499,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,A minor factor,A factor,Not important,Call 1,2.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,3.0,Health care,No,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,79.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,Suburbs,Suburbs,South Carolina,White suburban men,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,29072.0
276951948.0,1.5276894569397,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,1.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,5.0,Health care,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,15.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,Suburbs,Suburbs,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,29445.0
276951949.0,0.704485535621643,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,One of several important factors,A factor,Important,Call 1,7.0,Needs a complete overhaul,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,4.0,Health care,No,No,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,27.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,29520.0
276951950.0,0.975729405879974,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,A minor factor,A factor,Not important,Call 1,6.0,Needs a complete overhaul,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,3.0,Health care,No,No,Change to more liberal policies,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,93.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,29209.0
276951951.0,0.530817627906799,Pete Buttigieg,Never,Never,Complete,Not a factor at all,Not a factor,Not important,Call 1,5.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,2.0,Health care,No,No,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,115.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Klobuchar,South,Male,White men,,Suburbs,Suburbs,South Carolina,White suburban men,Election day exit poll,,,,,Version 1,No,,Agrees with you on major issues,45-65,30-59,45-49,45+,17-49,45-59,40-49,29708.0
276951952.0,0.610525548458099,Elizabeth Warren,Never,Never,Complete,Not a factor at all,Not a factor,Not important,Call 1,6.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,5.0,Omit,No,No,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,29.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Warren,South,Male,White men,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,Yes,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,29488.0
276951953.0,1.12350952625275,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Not a factor at all,Not a factor,Not important,Call 1,4.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,1.0,Health care,No,No,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,44.0,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Omit,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,29615.0
276951954.0,0.968016147613525,Tom Steyer,,,Complete,,,,Call 1,4.0,,,,,,,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Unfavorable,1.0,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,107.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,Support,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 2,,Yes,Omit,65+,60+,65 or over,45+,50+,60+,65+,29306.0
276951955.0,1.36729490756989,Joe Biden,,,Complete,,,,Call 1,6.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,3.0,Omit,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,93.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 2,,Yes,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,29209.0
276951956.0,1.78785157203674,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,One of several important factors,A factor,Important,Call 1,6.0,Needs a complete overhaul,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,5.0,Income inequality,No,No,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,29.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Stever,South,Female,Black women,,Rural,Small Cities/Rural,South Carolina,Other,Election day exit poll,,,,,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,29488.0
276951957.0,0.548827648162842,Amy Klobuchar,Never,Never,Complete,A minor factor,A factor,Not important,Call 1,5.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,2.0,Climate change,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,115.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,Suburbs,Suburbs,South Carolina,White suburban men,Election day exit poll,,,,,Version 1,Yes,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,29708.0
276951958.0,1.56488823890686,Joe Biden,,,Complete,,,,Call 1,1.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,5.0,Income inequality,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,Moderate or Conservative,Moderate,15.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,Oppose,Suburbs,Suburbs,South Carolina,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 2,,Yes,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,29445.0
276951959.0,1.50718629360199,Amy Klobuchar,Occasionally,Once a week or more or Occasionally,Complete,A minor factor,A factor,Not important,Call 1,2.0,Needs minor changes,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,3.0,Health care,No,No,Omit,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,79.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Klobuchar,South,Female,White women,,Suburbs,Suburbs,South Carolina,White suburban women,Election day exit poll,,,,,Version 1,No,,Omit,45-65,30-59,50-59,45+,50+,45-59,50-64,29072.0
276951960.0,0.707208514213562,Bernie Sanders,,,Complete,,,,Call 1,4.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,1.0,Health care,,,,Democrat,,,Democratic women,Democrat,,Moderate,Moderate or Conservative,Moderate,44.0,,,,,State questionnaire,,,,,South,Female,,Support,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 2,,Yes,Omit,45-65,30-59,50-59,45+,50+,45-59,50-64,29615.0
