ID,WEIGHT,NCDPRS20,ATTEND20,ATTEND20B,BACKSIDE,BEATTRUMPST,BREAK12PRI,BREAKFACT,BREAKIMP,CALL,CDNUM,DEMMONEY20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FACEBOOK,FAVSOCIALISM,FREECOLLEGE,GEOCODE,GUNOWNER12,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,TWITTER,VERSION,VETVOTER,VOTENOV20,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277206366.0,0.355688214302063,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27320.0
277206367.0,0.571898519992828,Michael Bloomberg,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27320.0
277206368.0,1.14740121364594,No preference,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,No,,,5.0,,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Buttigieg,South,Male,White men,,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,30-44,30-59,40-44,17-44,17-49,30-44,40-49,27017.0
277206369.0,0.829504549503326,No preference,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,5.0,,Race relations,Yes,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,No,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Sanders,South,Female,Latino women,,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27017.0
277206370.0,1.01352214813232,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,5.0,,Race relations,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27017.0
277206371.0,1.93040549755096,Michael Bloomberg,Occasionally,Once a week or more or Occasionally,Complete,,,,,,6.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,No,,,5.0,,Race relations,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Omit,South,Male,White men,,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27017.0
277206372.0,0.939076244831085,Tom Steyer,Never,Never,Complete,,,,,,6.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,5.0,,Climate change,Yes,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,No,Omit,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Klobuchar,South,Male,Latino men,,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,Yes,Version 1,Yes,,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24,27017.0
277206373.0,0.434594243764877,Pete Buttigieg,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is fair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
277206374.0,0.383885651826859,Elizabeth Warren,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,27106.0
277206375.0,0.383885651826859,Elizabeth Warren,Never,Never,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24,27106.0
277206376.0,0.383885651826859,Elizabeth Warren,Occasionally,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Yes,,,4.0,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
277206377.0,0.383885651826859,Elizabeth Warren,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,27106.0
277206378.0,0.383885651826859,Pete Buttigieg,Never,Never,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27106.0
277206379.0,0.434594243764877,Pete Buttigieg,Occasionally,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,4.0,,Income inequality,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
277206380.0,0.383885651826859,Michael Bloomberg,Never,Never,Complete,,,,,,12.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Climate change,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,27106.0
277206381.0,0.383885651826859,Elizabeth Warren,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Climate change,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,40-44,17-44,17-49,30-44,40-49,27106.0
277206382.0,0.645855069160461,Bernie Sanders,Never,Never,Complete,,,,,,5.0,It is unfair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24,27106.0
277206383.0,0.645855069160461,Pete Buttigieg,Never,Never,Complete,,,,,,12.0,It is unfair,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,No,,,4.0,,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,No,Can bring needed change,White,White,State questionnaire,White,White,White,Buttigieg,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24,27106.0
277206384.0,0.355688214302063,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,,,,,,12.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,,,4.0,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,27106.0
277206385.0,0.64744234085083,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,12.0,It is fair,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,No,,,4.0,,Health care,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Something else,All others,Somewhat liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,27106.0
277206386.0,0.448949187994003,Joe Biden,Never,Never,Complete,,,,,,12.0,It is unfair,,,,,,Yes,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,27106.0
277206387.0,0.645855069160461,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is unfair,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,No,,,4.0,,Race relations,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,27106.0
277206388.0,0.383885651826859,Elizabeth Warren,Never,Never,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27106.0
277206389.0,0.383885651826859,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Yes,,,4.0,,Income inequality,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27106.0
277206390.0,0.383885651826859,Bernie Sanders,Never,Never,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Moderate or Conservative,Conservative,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
277206391.0,0.383885651826859,Amy Klobuchar,Never,Never,Complete,,,,,,5.0,It is unfair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Warren,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,Yes,Version 1,No,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,27106.0
277206392.0,0.571898519992828,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,,,,,,5.0,It is fair,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,No,,,4.0,,Health care,Yes,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Biden,South,Female,Latino women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,27106.0
277206393.0,0.383885651826859,Michael Bloomberg,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,,,4.0,,Income inequality,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,27106.0
277206394.0,0.434594243764877,Michael Bloomberg,Occasionally,Once a week or more or Occasionally,Complete,,,,,,12.0,It is fair,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,No,,,4.0,,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Bloomberg,South,Male,White men,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Agrees with you on major issues,30-44,30-59,40-44,17-44,17-49,30-44,40-49,27106.0
277206395.0,0.571898519992828,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,,,,,,12.0,It is unfair,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,,,4.0,,Race relations,No,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,No,Version 1,No,,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,27106.0
