ID,ALDPRS20,WEIGHT,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20ST,REGION,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEST20,TRUMPANG,VERSION,VOTENOV20,WINORISS20,ZIPCODE
277211829.0,Michael Bloomberg,0.795090138912201,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Call 1,4.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Health care,No,No,Omit,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,36.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Bloomberg,South,Female,Black women,Oppose,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Agrees with you on major issues,35901.0
277211832.0,Joe Biden,0.890811920166016,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 1,7.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Health care,No,,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,95.0,,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Support,Rural,Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,Yes,Agrees with you on major issues,36756.0
277211833.0,Michael Bloomberg,2.40455842018127,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Climate change,No,,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,62.0,No,Cares about people like me,White,White,State questionnaire,White,White,White,Bloomberg,South,Female,White women,Oppose,Rural,Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,No,Can beat Donald Trump,36854.0
277211835.0,Joe Biden,0.966527462005615,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 1,6.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Health care,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,113.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Oppose,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Can beat Donald Trump,35401.0
277211836.0,Joe Biden,0.323181599378586,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Not complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,,No,,Return to Barack Obama's policies,18-44,18-64,,,,,,,,,,2.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,,Suburbs,Suburbs,Alabama,Other,Election day exit poll,Last few days,In the last month,In the last few days,,Version 1,,,36067.0
277211844.0,Joe Biden,0.767143130302429,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Call 1,4.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Race relations,No,No,Return to Barack Obama's policies,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,36.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Oppose,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Omit,35901.0
277211845.0,Joe Biden,3.25385451316833,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,4.0,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,1.0,Omit,No,No,Change to more conservative policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,23.0,Yes,Omit,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Oppose,Suburbs,Suburbs,Alabama,White suburban men,Election day exit poll,Earlier than that,In the last month,In February,Angry,Version 1,Yes,Omit,35674.0
277211846.0,Joe Biden,0.791061997413635,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,7.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Health care,No,,Omit,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Something else,All others,Somewhat liberal,Liberal,Liberal,107.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,Omit,Rural,Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,No,Agrees with you on major issues,36901.0
277211847.0,Joe Biden,0.92926025390625,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,Call 1,7.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,,No,,Return to Barack Obama's policies,45+,18-64,,,,,,,,,,95.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Rural,Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,,Version 1,,,36756.0
277211848.0,Joe Biden,0.362798511981964,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Not complete,Call 1,2.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,,No,,Return to Barack Obama's policies,45+,65+,,,,,,,,,,2.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,,Suburbs,Suburbs,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,,Version 1,,,36067.0
277211849.0,Joe Biden,1.30883014202118,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 1,7.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Race relations,No,No,Return to Barack Obama's policies,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,49.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Oppose,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,Yes,Agrees with you on major issues,35215.0
277211859.0,Joe Biden,0.735402405261993,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Call 1,4.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Race relations,No,No,Return to Barack Obama's policies,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,36.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Oppose,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Satisfied, but not enthusiastic",Version 1,Yes,Agrees with you on major issues,35901.0
277211862.0,Joe Biden,1.10175538063049,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 1,4.0,,,,,,1.0,Health care,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,23.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Oppose,Suburbs,Suburbs,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,Yes,Can beat Donald Trump,35674.0
277211864.0,Bernie Sanders,0.456077933311462,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Not complete,Call 1,7.0,,,,,,3.0,,No,,Return to Barack Obama's policies,45+,65+,,,,,,,,,,107.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Rural,Small Cities/Rural,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,,Version 1,,,36901.0
277211865.0,Joe Biden,0.506011664867401,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 1,6.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,Race relations,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,113.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Support,"Cities 50,000-500,000","Cities over 50,000",Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,"Dissatisfied, but not angry",Version 1,Yes,Agrees with you on major issues,35401.0
277211871.0,Joe Biden,0.323181599378586,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,2.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,Race relations,No,No,Return to Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,2.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Support,Suburbs,Suburbs,Alabama,Other,Election day exit poll,Earlier than that,Earlier than that,Before that,Angry,Version 1,Yes,Can beat Donald Trump,36067.0
