ID,WEIGHT,MSDPRS20,ATTEND20,ATTEND20B,BACKSIDE,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,ISSDEM20B,LATINO,LGBT,MARRIED,OBAMAPLCY20,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACERELDEM20JTB,REGION,SEX,SEXBYRACE,SEXWED,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEJT20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,VERSION,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
277229174.0,2.62860727310181,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,18.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,38654.0
277229175.0,3.80262351036072,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,2.0,Climate change,No,No,Yes,Change to more conservative policies,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,Moderate or Conservative,Moderate,48.0,No,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,Married women,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39567.0
277229176.0,1.10875153541565,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,2.0,Climate change,No,No,Yes,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,21.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,Married women,Support,Suburbs,Suburbs, Mississippi,White suburban women,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Omit,65+,60+,65 or over,45+,50+,60+,65+,39465.0
277229177.0,0.59612500667572,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Health care,,No,Yes,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,98.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,,,,,,,,39042.0
277229178.0,0.23935928940773,Bernie Sanders,,,Not complete,Call 1,3.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,,,,,,,,,,,,,,,60.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39305.0
277229180.0,0.510383725166321,Joe Biden,,,Not complete,Call 1,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,,,,,,,,,,,,,,,91.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,45-65,30-59,45-49,45+,17-49,45-59,40-49,38829.0
277229181.0,1.36894452571869,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,2.0,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,1.0,Race relations,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,4.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,38732.0
277229182.0,0.645374417304993,Bernie Sanders,,,Not complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,,Yes,,,,,,,,,,,,,18.0,Yes,,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,,South,Male,Latino men,,Oppose,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,45-65,30-59,50-59,45+,50+,45-59,50-64,38654.0
277229183.0,0.441964268684387,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,,,2.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,,,Democratic women,Democrat,,Moderate,Moderate or Conservative,Moderate,98.0,Yes,Cares about people like me,,,State questionnaire,,,,Sanders,South,Female,,Married women,Oppose,Suburbs,Suburbs, Mississippi,,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39042.0
277229184.0,1.10875153541565,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Climate change,No,No,Yes,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,21.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Sanders,South,Male,White men,Married men,Support,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39465.0
277229185.0,3.80262351036072,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Health care,No,No,Yes,Change to more conservative policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,48.0,No,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39567.0
277229186.0,1.36032891273499,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Race relations,No,No,No,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,91.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,38829.0
277229187.0,1.08450150489807,Joe Biden,,,Not complete,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,,No,,,,,,,,,,,,,48.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Male,Black men,,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,Version 1,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39567.0
277229188.0,0.764784276485443,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Income inequality,No,No,No,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Somewhat liberal,Liberal,Liberal,18.0,No,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Non married men,Support,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,In February,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,38654.0
277229189.0,0.483958333730698,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,2.0,Health care,No,No,Yes,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,98.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39042.0
277229190.0,0.607519567012787,Bernie Sanders,Never,Never,Complete,Call 1,4.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Race relations,No,Yes,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,21.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,Non married women,Support,Suburbs,Suburbs, Mississippi,White suburban women,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39465.0
277229191.0,1.42598378658295,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Climate change,No,No,Yes,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,88.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Warren,South,Male,White men,Married men,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39666.0
277229192.0,0.273012161254883,Bernie Sanders,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Health care,,No,No,Omit,,,,,,,Somewhat liberal,Liberal,Liberal,60.0,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,Non married women,Support,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39305.0
277229193.0,0.760250866413116,Joe Biden,,,Not complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,3.0,,No,,,,,,,,,,,,,18.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,,South,Female,Black women,,Support,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,,Version 1,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,38654.0
277229194.0,0.992883741855621,Bernie Sanders,Never,Never,Complete,Call 1,3.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,2.0,Climate change,No,No,No,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,98.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Sanders,South,Female,White women,Non married women,Support,Suburbs,Suburbs, Mississippi,White suburban women,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39042.0
277229195.0,0.838917374610901,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,1.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Income inequality,No,No,No,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,91.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Female,White women,Non married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,38829.0
277229196.0,2.74144458770752,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,4.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Health care,No,Yes,No,Return to Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,48.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Non married men,Oppose,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Earlier this month,Earlier than that,In the last month,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39567.0
277229197.0,0.330949336290359,Bernie Sanders,Occasionally,Once a week or more or Occasionally,Complete,Call 1,4.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Race relations,No,No,Yes,Return to Barack Obama's policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,21.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Sanders,South,Female,Black women,Married women,Omit,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,17-29,17-29,25-29,17-44,17-49,17-29,25-29,39465.0
277229198.0,0.302940458059311,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,2.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,3.0,Income inequality,No,No,No,Return to Barack Obama's policies,Republican,Black non-Democrat,All Republicans,Republican men,Republican,All others,Moderate,Moderate or Conservative,Moderate,3.0,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Non married men,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,39090.0
277229199.0,1.62106704711914,Joe Biden,Never,Never,Complete,Call 1,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Health care,No,No,Yes,Return to Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,18.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Oppose,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,In the last few days,Last few days,In the last month,Angry,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,38654.0
277229201.0,1.23621237277985,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,3.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,1.0,Health care,No,No,Yes,Change to more conservative policies,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,88.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Married women,Oppose,Rural,Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,"Dissatisfied, but not angry",Version 1,Agrees with you on major issues,45-65,60+,60-64,45+,50+,60+,50-64,39666.0
277229202.0,1.05303418636322,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,2.0,Health care,No,No,No,Return to Barack Obama's policies,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Somewhat liberal,Liberal,Liberal,98.0,Yes,Is a fighter,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Female,Black women,Non married women,Oppose,Suburbs,Suburbs, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,39042.0
277229203.0,3.80262351036072,Joe Biden,Once a week or more,Once a week or more or Occasionally,Complete,Call 1,4.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,2.0,Health care,No,No,Yes,Change to more liberal policies,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,48.0,Yes,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,Black,Biden,South,Male,Black men,Married men,Support,"Cities 10,000-50,000",Small Cities/Rural, Mississippi,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,39567.0
277229204.0,0.847763061523438,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Omit,No,No,Yes,Omit,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,21.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Support,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39465.0
277229205.0,0.847763061523438,Joe Biden,Occasionally,Once a week or more or Occasionally,Complete,Call 1,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,2.0,Omit,No,No,Yes,Omit,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,21.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,Biden,South,Male,White men,Married men,Support,Suburbs,Suburbs, Mississippi,White suburban men,Election day exit poll,Before that,Earlier than that,Earlier than that,Angry,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,39465.0
