ID,WEIGHT,AZDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMPMAR17,BIDENLIB,CALL,CDNUM,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVDEM20,FAVSANDERS,GEOCODE,IMMPOLICYDEM20,ISSDEM20B,LATINO,LGBT,MAJCRISISMAR17,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRIB,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SANDERSLIB,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIMEPRIMTH,TIMEWA20,TRUMPANG,VOTENOV20,WINORISS20,ZIPCODE
277278827.0,1.59000241756439,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Joe Biden,About right,,6.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Unfavorable,Only Sanders,Favorable,1.0,Bernie Sanders,Health care,Yes,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Not liberal enough,Female,Latino women,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In January,Angry,Yes,Agrees with you on major issues,85024.0
277278826.0,0.632879495620728,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Joe Biden,About right,,6.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Both,Favorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,,Yes,Can unite the country,Black,Black,State questionnaire,Black,Non-white,Black,West,Not liberal enough,Female,Black women,Oppose,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,Earlier than that,Last year,"Dissatisfied, but not angry",Yes,Agrees with you on major issues,85268.0
277278825.0,0.799190282821655,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Joe Biden,Not liberal enough,,5.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Climate change,No,No,Joe Biden,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,West,About right,Female,White women,Support,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85297.0
277278824.0,0.660914480686188,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Joe Biden,About right,,1.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Both,Favorable,3.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Not liberal enough,Female,White women,Oppose,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,85139.0
277278822.0,0.684777557849884,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,8.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Omit,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Omit,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Omit,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,Omit,Omit,Angry,Yes,Can beat Donald Trump,85373.0
277278820.0,0.549697697162628,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,Joe Biden,About right,,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Both,Favorable,3.0,Joe Biden,Health care,No,No,Joe Biden,Omit,45+,65+,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,About right,Female,All other races,Oppose,Rural,Small Cities/Rural,English,Arizona,Other,Telephone survey,Earlier than that,In February,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,86504.0
277278817.0,0.684777557849884,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,6.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Only Biden,Unfavorable,1.0,Joe Biden,Omit,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,,Yes,Has the right temperament,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In January,Angry,Yes,Can beat Donald Trump,85259.0
277278816.0,1.5885055065155,Joe Biden,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Joe Biden,About right,,1.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Only Biden,Unfavorable,3.0,Joe Biden,Health care,Yes,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Too liberal,Female,Latino women,Support,Rural,Small Cities/Rural,English,Arizona,Other,Telephone survey,Earlier than that,Last year,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,86032.0
277278815.0,1.03238952159882,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Joe Biden,About right,,9.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,West,Not liberal enough,Female,White women,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,Last year,Angry,Yes,Can beat Donald Trump,85014.0
277278814.0,0.680872738361359,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Joe Biden,Not liberal enough,,1.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Both,Favorable,3.0,Joe Biden,Income inequality,No,No,Joe Biden,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,About right,Male,White men,Support,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,86325.0
277278811.0,1.06356561183929,Joe Biden,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Joe Biden,About right,,7.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Climate change,No,Yes,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,About right,Male,White men,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85015.0
277278810.0,0.664704859256744,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,6.0,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85254.0
277278808.0,1.03238952159882,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,All others,All others,Complete,Joe Biden,About right,,6.0,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Only Biden,Omit,1.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,All others,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Too liberal,Female,All other races,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In January,Angry,Yes,Omit,85022.0
277278805.0,0.623882293701172,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,Omit,,1.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Both,Favorable,2.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Support,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,85739.0
277278802.0,0.846599638462067,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Joe Biden,About right,,1.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Both,Favorable,3.0,Joe Biden,Omit,Yes,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,,Yes,Omit,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Not liberal enough,Female,Latino women,Oppose,Suburbs,Suburbs,English,Arizona,Other,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,85122.0
277278800.0,0.425530314445496,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,4.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Only Biden,Unfavorable,3.0,Joe Biden,Omit,No,No,Joe Biden,Omit,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Oppose,"Cities 10,000-50,000",Small Cities/Rural,English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Omit,Can beat Donald Trump,86305.0
277278798.0,0.56629741191864,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,4.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Biden,Unfavorable,3.0,Joe Biden,Omit,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,West,About right,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,Last year,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,85364.0
277278796.0,0.527075171470642,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Joe Biden,About right,,1.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Both,Favorable,3.0,Bernie Sanders,Income inequality,No,No,Joe Biden,Omit,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Has the right temperament,White,White,State questionnaire,White,White,White,West,About right,Male,White men,Omit,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,86002.0
277278795.0,0.884591817855835,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,9.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Biden,Unfavorable,1.0,Joe Biden,Climate change,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Has the right temperament,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Oppose,Suburbs,Suburbs,English,Arizona,White suburban men,Telephone survey,In the last month,In March,"Dissatisfied, but not angry",Omit,Can beat Donald Trump,85224.0
277278793.0,0.884591817855835,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,6.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Both,Favorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Omit,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,In the last month,In March,Angry,Yes,Can beat Donald Trump,85254.0
277278791.0,0.960852682590485,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Joe Biden,About right,,3.0,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Both,Favorable,2.0,Joe Biden,Climate change,Yes,No,Joe Biden,Change to more liberal policies,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,Moderate or Conservative,Moderate,,Yes,Can unite the country,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Too liberal,Female,Latino women,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,Last year,Angry,Yes,Can beat Donald Trump,85714.0
277278790.0,0.549697697162628,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,About right,,2.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,3.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,Moderate or Conservative,Conservative,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Support,"Cities 10,000-50,000",Small Cities/Rural,English,Arizona,Other,Telephone survey,In the last month,In March,"Dissatisfied, but not angry",Yes,Can beat Donald Trump,85635.0
277278789.0,0.933556497097015,Joe Biden,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Joe Biden,About right,,2.0,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Only Biden,Unfavorable,2.0,Joe Biden,Health care,No,Yes,Joe Biden,Return to Barack Obama's policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,West,Too liberal,Male,White men,Oppose,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,Telephone survey,Earlier than that,In January,Angry,Yes,Can beat Donald Trump,85714.0
277278788.0,1.03238952159882,Joe Biden,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Joe Biden,About right,,8.0,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Biden,Unfavorable,1.0,Joe Biden,Health care,No,No,Joe Biden,Return to Barack Obama's policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,West,Too liberal,Female,White women,Oppose,Suburbs,Suburbs,English,Arizona,White suburban women,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,85374.0
277278787.0,0.56629741191864,Joe Biden,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Joe Biden,Omit,,4.0,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Biden,Unfavorable,3.0,Joe Biden,Health care,No,No,Omit,Return to Barack Obama's policies,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,,,,,Yes,Can unite the country,White,White,State questionnaire,White,White,White,West,Omit,Male,White men,Omit,Rural,Small Cities/Rural,English,Arizona,Other,Telephone survey,Earlier than that,In February,Angry,Yes,Can beat Donald Trump,85544.0
