ID,WEIGHT,NHDPRS20,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISS4,AGEISSA,AGEISSB,ATTEND20,ATTEND20B,BACKSIDE,BIDENLIB,BREAK12PRI,BREAKFACT,BREAKIMP,BUTTIGIEGLIB,CALL,CDNUM,DEMVOTE2016,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FREECOLLEGE,GEOCODE,GETAHEAD,GUNOWNER12,GUNPLCY20DEM,IMPEACH20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSDEM20,LATINO,LGBT,NEGATIVEDEM20,OBAMAPLCY20,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT20DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,REGNHDEM,SANDERSLIB,SANDVOTE20162020,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMENH20,TIMEPRIFEWDAYS,TIMEPRIMTH,TRUMPANG,TWITTER,UNIONHH12,VERSION,VETVOTER,VOTE2016B,VOTENOV20,WARRENLIBPRIM,WHNCLINC,WINORISS20,WOMENCAND
117572.0,1.14162850379944,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Not a factor at all,Not an important factor,Not a factor,,,Complete,,Not a factor at all,Not a factor,Not important,,Call 3,2.0,Bernie Sanders,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,2.0,,,,,,,,,,,Health care,Yes,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Moderate,Moderate or Conservative,Moderate,188.0,Yes,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Not registerd,,Supported Sanders in 2016 and 2020,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,,,,,No,,Version 1,No,Hillary Clinton,,,,,No difference
117570.0,0.879892289638519,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,,,Complete,,,,,,Call 3,1.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Support,4.0,Holding steady financially,No,Yes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Income inequality,No,,Joe Biden,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,66.0,,,White,White,State questionnaire,White,White,White,East,,,,Male,White men,Support,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,Just today,Last few days,In the last month,,,No,Version 2,,,,,Yes,Can beat Donald Trump,
117569.0,0.713204026222229,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Never,Never,Complete,Not liberal enough,,,,About right,Call 3,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,2.0,,,,Made no difference,,,,,,,,No,No,,Change to more liberal policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,188.0,Yes,,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,About right,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,,,,Angry,,,Version 3,,,Omit,About right,,,
117568.0,0.553618311882019,Andrew Yang,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,One of several important factors,An important factor,A factor,,,Complete,,One of several important factors,A factor,Important,,Call 3,1.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,1.0,,,,,,,,,,,Income inequality,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,70.0,Yes,Can unite the country,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,,Supported Clinton in 2016,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,,Yes,,Version 1,No,Hillary Clinton,,,,,Harder to beat Trump
117565.0,0.879892289638519,Bernie Sanders,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,,,Not complete,,A minor factor,A factor,Not important,,Call 3,1.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,4.0,,,,,,,,,,,,No,,,,18-44,18-64,,,,,,,,,,66.0,Yes,,White,White,State questionnaire,White,White,White,East,,,,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,,,,Version 1,,,,,,,
117562.0,1.16310453414917,Bernie Sanders,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Not a factor at all,Not an important factor,Not a factor,,,Complete,,One of several important factors,A factor,Important,,Call 3,2.0,Bernie Sanders,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,2.0,,,,,,,,,,,Health care,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,188.0,Yes,Omit,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,,Supported Sanders in 2016 and 2020,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,,,,,No,,Version 1,No,Hillary Clinton,,,,,Harder to beat Trump
117561.0,0.828473150730133,Andrew Yang,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Not a factor at all,Not an important factor,Not a factor,,,Complete,,A minor factor,A factor,Not important,,Call 3,1.0,Bernie Sanders,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,1.0,,,,,,,,,,,Health care,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Very liberal,Liberal,Liberal,70.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,,Supported Sanders in 2016 but not in 2020,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,,Yes,,Version 1,No,Other,,,,,Harder to beat Trump
117560.0,1.51089835166931,Elizabeth Warren,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,,,,,,Complete,,,,,,Call 3,1.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Support,4.0,Holding steady financially,Yes,Yes,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,No,,Omit,,45+,65+,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Somewhat liberal,Liberal,Liberal,66.0,,,Black,Black,State questionnaire,Black,Non-white,Black,East,,,,Male,Black men,Support,Suburbs,Suburbs,New Hampshire,Other,Election day exit poll,Before that,Earlier than that,Earlier than that,,,No,Version 2,,,,,No,Can beat Donald Trump,
117558.0,0.921087980270386,Elizabeth Warren,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,A minor factor,Not an important factor,A factor,,,Complete,,One of several important factors,A factor,Important,,Call 3,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,4.0,,,,,,,,,,,Health care,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Very liberal,Liberal,Liberal,66.0,Yes,Can bring needed change,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,,Supported Clinton in 2016,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,,No,,Version 1,No,Hillary Clinton,,,,,Harder to beat Trump
117557.0,0.77723217010498,Bernie Sanders,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,,,,Complete,,,,,,Call 3,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Support,2.0,Holding steady financially,No,Yes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Income inequality,No,,Elizabeth Warren,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,188.0,,,White,White,State questionnaire,White,White,White,East,,,,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,Just today,Last few days,In the last month,,,No,Version 2,,,,,No,Can beat Donald Trump,
117556.0,0.621916532516479,Andrew Yang,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,,,Complete,,,,,,Call 3,1.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Oppose,1.0,Getting ahead financially,No,Yes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Income inequality,No,,Omit,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,70.0,,,White,White,State questionnaire,White,White,White,East,,,,Male,White men,Oppose,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,Earlier this month,Earlier than that,In the last month,,,No,Version 2,,,,,No,Can beat Donald Trump,
117555.0,0.819935083389282,Elizabeth Warren,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Not a factor at all,Not an important factor,Not a factor,,,Complete,,One of several important factors,A factor,Important,,Call 3,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,4.0,,,,,,,,,,,Climate change,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Somewhat liberal,Liberal,Liberal,66.0,Yes,Is a fighter,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,,Supported Clinton in 2016,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,,No,,Version 1,No,Hillary Clinton,,,,,Harder to beat Trump
117553.0,0.634880721569061,Bernie Sanders,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,,Never,Never,Complete,About right,,,,Not liberal enough,Call 3,2.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,2.0,,,,Made no difference,,,,,,,,No,No,,Return to Barack Obama's policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,188.0,Yes,,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,About right,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Other,Election day exit poll,,,,Angry,,,Version 3,,,Yes,About right,,,
117552.0,1.37838041782379,Elizabeth Warren,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Never,Never,Complete,Not liberal enough,,,,Not liberal enough,Call 3,1.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,4.0,,,,Made no difference,,,,,,,,No,No,,Change to more liberal policies,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Very liberal,Liberal,Liberal,66.0,Yes,,White,White,State questionnaire,White,White,White,East,Registered as a Democrat,Too liberal,,Male,White men,,Suburbs,Suburbs,New Hampshire,White suburban men,Election day exit poll,,,,Angry,,,Version 3,,,Yes,About right,,,
117550.0,0.820827066898346,Andrew Yang,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,One of several important factors,An important factor,A factor,,,Complete,,One of several important factors,A factor,Important,,Call 3,1.0,Neither of these candidates,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,1.0,,,,,,,,,,,Income inequality,Yes,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,All others,Conservative,Moderate or Conservative,Conservative,70.0,No,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Not registerd,,Supported neither of them in 2016,Female,Latino women,,Suburbs,Suburbs,New Hampshire,Other,Election day exit poll,,,,,No,,Version 1,No,Other,,,,,No difference
117548.0,0.775679469108582,Amy Klobuchar,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,Never,Never,Complete,Too liberal,,,,Too liberal,Call 3,1.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,4.0,,,,Helped Trump's chances,,,,,,,,No,No,,Change to more conservative policies,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,Moderate or Conservative,Moderate,66.0,Yes,,White,White,State questionnaire,White,White,White,East,Registered as Undeclared/Independent,Too liberal,,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,Enthusiastic,,,Version 3,,,No,Too liberal,,,
117546.0,0.794887065887451,Amy Klobuchar,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,,Occasionally,Once a week or more or Occasionally,Complete,About right,,,,Too liberal,Call 3,1.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,4.0,,,,Made no difference,,,,,,,,No,No,,Return to Barack Obama's policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,Moderate or Conservative,Moderate,66.0,Yes,,White,White,State questionnaire,White,White,White,East,Registered as a Democrat,Too liberal,,Female,White women,,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,,,,Angry,,,Version 3,,,Yes,About right,,,
117545.0,0.66307669878006,Elizabeth Warren,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,,,,Complete,,,,,,Call 3,1.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Support,1.0,Falling behind financially,No,Yes,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,,Joe Biden,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Very liberal,Liberal,Liberal,70.0,,,White,White,State questionnaire,White,White,White,East,,,,Female,White women,Support,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,Before that,Earlier than that,Earlier than that,,,No,Version 2,,,,,No,Can beat Donald Trump,
117540.0,1.16078090667725,Amy Klobuchar,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,,,,Complete,,,,,,Call 3,1.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Support,4.0,Falling behind financially,Yes,No,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,,Joe Biden,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,66.0,,,White,White,State questionnaire,White,White,White,East,,,,Female,White women,Oppose,Suburbs,Suburbs,New Hampshire,White suburban women,Election day exit poll,In the last few days,Last few days,In the last month,,,No,Version 2,,,,,Yes,Can beat Donald Trump,
