ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SEN,GOV,HOU,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAH,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,RELIGN10,STIMULUS,TEAPARTY,TEAREASH,TRACK,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,AFGHANWAR2,ATTENDWKLY,BREAK10,CELLPHONE,CONGRESS4,ECONBLAME,FTVOTER,GAY,LANDPHONE,LIFE,NEC,OBAMAPOL,QRACEAK,QRACEHI,SAMESEXM,TAXCUTS10,BREAK10A,BREAK10B,CELLULAR,CONGRESS,NEC2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
881696.0, North Carolina,48.0,Call 1,Complete,Election day exit poll,0.711473882198334,The Democratic candidate,,The Republican candidate,Female,Other,40-44,Independent,Liberal,"Under $30,000",College graduate,No,,,,,About the same,Barack Obama was not a factor,"Dissatisfied, but not angry",,,Illegal immigration,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,30-44,30-59,18-44,30-44,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Independent/Something else,Independent Women,All others,Independents/Something else,American Indian,,,,No,,,,,,,,,No,,,,Not so good,,,,,"Continue them only for families who earn less than $250,000 a year",,,,,Not so good/Poor,National questionnaire,,Rural,Small Cities/Rural,2.0,1.0,South,Version 2,Low Density Rural,Rural,Rural,Downscale
884236.0,California,33.0,Call 1,Complete,Election day exit poll,0.636962831020355,The Democratic candidate,The Democratic candidate,The Democratic candidate,Female,Other,40-44,Something else,Liberal,"$30,000-$49,999",Postgraduate study,No,No,Yes,Favorable,Unfavorable,,,,,,,No,,,,Other,,,,,No,,Non black female,All other races,30-44,30-59,18-44,30-44,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,American Indian,Something else,Non-white,,No,All others,,,No,,Yes,,,,No,Yes,Worse than life today,,,,,,,,,Both regular land-line and cell phone service,,,National questionnaire,English,Suburbs,Suburbs,46.0,4.0,West,Version 4,Suburb,60s Suburbs,Urban Perimeter,Very upscale
887667.0,Florida,38.0,Call 2,Complete,Election day exit poll,0.795372009277344,Other,The Democratic candidate,The Democratic candidate,Male,Other,30-39,Independent,Moderate,"$30,000-$49,999",Postgraduate study,,,,,,About the same,Barack Obama was not a factor,"Dissatisfied, but not angry",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black male,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Good,,,,,Let them expire for all,,,,,Excellent/Good,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",11.0,3.0,South,Version 2,High Density Urban,Urban,Urban Core,Very upscale
889485.0, North Carolina,66.0,Call 2,Complete,Election day exit poll,0.806604206562042,The Republican candidate,,The Republican candidate,Female,Other,25-29,Republican,Conservative,"Under $30,000",Postgraduate study,No,,,,,Worse,Barack Obama was not a factor,"Dissatisfied, but not angry",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Republican,Republican Women,All others,Conservative Republicans,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,,Suburbs,Suburbs,9.0,3.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale
889862.0, North Carolina,26.0,Call 2,Complete,Election day exit poll,0.82477855682373,The Republican candidate,,The Republican candidate,Male,Other,40-44,Independent,Moderate,"$30,000-$49,999",College graduate,No,No,No,Unfavorable,Unfavorable,,,,,,,No,,,,Other,,,,,No,,Non black male,All other races,30-44,30-59,18-44,30-44,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Men without children,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,Something else,Non-white,,No,All others,,,Yes,,Yes,,,,Yes,Yes,Better than life today,,,,,,,,,Both regular land-line and cell phone service,,,National questionnaire,,"Cities 50,000-500,000","Cities over 50,000",4.0,2.0,South,Version 4,Suburb,Urban,Urban Core,Very upscale
890763.0, Michigan,56.0,Call 2,Complete,Election day exit poll,1.06565511226654,,The Republican candidate,The Republican candidate,Male,Other,65 or over,Republican,Conservative,"Under $30,000",Postgraduate study,No,,,,,About the same,Barack Obama was not a factor,"Satisfied, but not enthusiastic",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Positive,The economy,,,Republican,Republican Men,All others,Conservative Republicans,American Indian,,,,No,,,,,,,,,No,,,,Not so good,,,,,Let them expire for all,,,,,Not so good/Poor,National questionnaire,,Rural,Small Cities/Rural,1.0,5.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
894783.0,Wisconsin,96.0,Call 2,Complete,Election day exit poll,0.673267126083374,The Democratic candidate,The Democratic candidate,The Democratic candidate,Female,Other,65 or over,Independent,Liberal,"$30,000-$49,999",Postgraduate study,No,No,Yes,Unfavorable,Unfavorable,,,,,,,No,,,,Other christian,,,,,No,,Non black female,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,Other,Protestant/Other Non-Catholic Christian,Non-white,,No,All others,,,No,,Yes,,,,No,Yes,About the same,,,,,,,,,Both regular land-line and cell phone service,,,National questionnaire,,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 4,Suburb,Rural,Rural,Very downscale
897031.0,Texas,115.0,Call 2,Complete,Election day exit poll,0.882330894470215,,The Democratic candidate,The Democratic candidate,Female,Other,30-39,Independent,Moderate,"Under $30,000",College graduate,No,No,Yes,Favorable,Unfavorable,,,,,,,Yes,,,,Catholic,,,,,No,,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Independent/Something else,Independent Women,All others,Independents/Something else,American Indian,Catholic,Non-white,,No,All others,,,No,,Yes,,,,No,No,Worse than life today,,,,,,,,,Only cell phone service,,,National questionnaire,English,Rural,Small Cities/Rural,19.0,5.0,South,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale
899870.0,California,22.0,Call 2,Complete,Election day exit poll,1.12658584117889,The Republican candidate,The Republican candidate,The Republican candidate,Male,Other,65 or over,Independent,Conservative,"$30,000-$49,999",Postgraduate study,No,,,,,Worse,To express opposition to Barack Obama,Angry,,,The economy,,,,,,,,In favor of the Tea Party movement,,,,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,American Indian,,,,No,,,,,,,,,No,,,,Poor,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",29.0,4.0,West,Version 2,Suburb,Urban,Urban Core,Very upscale
900082.0,California,63.0,Call 2,Complete,Election day exit poll,0.507402062416077,The Democratic candidate,The Democratic candidate,The Democratic candidate,Female,Other,18-24,Democrat,Moderate,"Under $30,000",College graduate,No,,,,,,,,Government should do more to solve problems,,The economy,,Somewhat worried,Somewhat approve,,,,Strongly oppose,,,,Obama,Non black female,All other races,18-29,18-29,18-44,18-29,18-24,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,,,Oppose,No,,Non-Tea Party supporters and Democrats,,,Not a factor at all,,,,,,,,,,,,,,Not an important factor,Not a factor,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",48.0,5.0,West,Version 1,Suburb,Urban,Urban Core,Downscale
901586.0,Nevada,20.0,Call 2,Complete,Election day exit poll,0.947914958000183,The Republican candidate,The Republican candidate,The Republican candidate,Male,Other,65 or over,Something else,Conservative,"Under $30,000",Postgraduate study,No,,,,,Worse,To express opposition to Barack Obama,Angry,,,The economy,,,,,,,,In favor of the Tea Party movement,,,,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Poor,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,2.0,West,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
904991.0,Ohio,30.0,Call 3,Complete,Election day exit poll,0.668346524238586,The Republican candidate,The Republican candidate,The Republican candidate,Female,Other,50-59,Republican,Conservative,"$30,000-$49,999",College graduate,No,,,,,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,The economy,,,,,,,,In favor of the Tea Party movement,,,,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Republican,Republican Women,All others,Conservative Republicans,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,"Continue them only for families who earn less than $250,000 a year",,,,,Not so good/Poor,National questionnaire,,"Cities over 500,000","Cities over 50,000",7.0,4.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very downscale
906893.0,Delaware,43.0,Call 3,Complete,Election day exit poll,1.08751463890076,The Republican candidate,,The Republican candidate,Female,Other,18-24,Republican,Conservative,"Under $30,000",College graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,The economy,,Very worried,Somewhat disapprove,,,,Neutral,,,,Didn't vote,Non black female,All other races,18-29,18-29,18-44,18-29,18-24,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,,The economy,Worried,Disapprove,Republican,Republican Women,All others,Conservative Republicans,American Indian,,,Neutral,No,,Non-Tea Party supporters and Republicans,,,Not a factor at all,,,,,,,,,,,,,,Not an important factor,Not a factor,,,,National questionnaire,,Suburbs,Suburbs,1.0,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale
907689.0,Indiana,61.0,Call 3,Complete,Election day exit poll,1.24012768268585,The Democratic candidate,,The Democratic candidate,Female,Other,30-39,Democrat,Liberal,"$30,000-$49,999",College graduate,No,,,,,,,,Government should do more to solve problems,,The economy,,Somewhat worried,Strongly approve,,,,Strongly oppose,,,,Obama,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Liberal Democrats,Other,,,Oppose,No,,Non-Tea Party supporters and Democrats,,,One of several important factors,,,,,,,,,,,,,,An important factor,A factor,,,,National questionnaire,,Suburbs,Suburbs,1.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale
908296.0,Maine,55.0,Call 3,Complete,Election day exit poll,0.738105237483978,,The Democratic candidate,The Democratic candidate,Female,Other,60-64,Independent,Moderate,"Under $30,000",College graduate,No,,,,,Worse,To express support for Barack Obama,"Dissatisfied, but not angry",,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Independent/Something else,Independent Women,All others,Independents/Something else,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,Omit,,,,,Not so good/Poor,National questionnaire,,Rural,Small Cities/Rural,2.0,2.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale
909583.0,Oklahoma,13.0,Call 3,Complete,Election day exit poll,0.482237666845322,The Democratic candidate,The Democratic candidate,The Democratic candidate,Male,Other,25-29,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,,,,,,,,Government should do more to solve problems,,The economy,,Not at all worried,Strongly approve,,,,Strongly oppose,,,,Obama,Non black male,All other races,18-29,18-29,18-44,18-29,25-29,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Other,,,Oppose,No,,Non-Tea Party supporters and Democrats,,,Not a factor at all,,,,,,,,,,,,,,Not an important factor,Not a factor,,,,National questionnaire,,Suburbs,Suburbs,4.0,1.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
909701.0, Michigan,116.0,Call 3,Complete,Election day exit poll,0.70510196685791,,The Republican candidate,The Republican candidate,Female,Other,60-64,Republican,Conservative,"Under $30,000",College graduate,No,,,,,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,Health care,,,,,,,,The Tea Party movement was not a factor,,,,Non black female,All other races,45-65,60+,45+,60+,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,Something else,,,Republican,Republican Women,All others,Conservative Republicans,Other,,,,No,,,,,,,,,No,,,,Not so good,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,,Rural,Small Cities/Rural,8.0,3.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Downscale
910149.0,Massachusetts,19.0,Call 3,Complete,Election day exit poll,0.611522376537323,,The Republican candidate,The Republican candidate,Male,Other,45-49,Independent,Conservative,"$30,000-$49,999",College graduate,,No,No,Unfavorable,Unfavorable,,,,,,,No,,,,Catholic,,,,,Yes,,Non black male,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Men without children,,,,,Independent/Something else,Independent Men,All others,Independents/Something else,Other,Catholic,Non-white,,No,All others,,,No,,Yes,,,,Yes,No,Worse than life today,,,,,,,,,Only cell phone service,,,National questionnaire,,Suburbs,Suburbs,10.0,3.0,East,Version 4,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale
910240.0,Ohio,50.0,Call 3,Complete,Election day exit poll,0.937045633792877,The Republican candidate,The Republican candidate,The Republican candidate,Male,Other,18-24,Republican,Moderate,"Under $30,000",College graduate,No,,,,,Worse,Barack Obama was not a factor,Angry,,,The economy,,,,,,,,The Tea Party movement was not a factor,,,,Non black male,All other races,18-29,18-29,18-44,18-29,18-24,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Negative,The economy,,,Republican,Republican Men,All others,Moderate/Liberal Republicans,Other,,,,No,,,,,,,,,No,,,,Poor,,,,,Continue them for all,,,,,Not so good/Poor,National questionnaire,,Suburbs,Suburbs,1.0,5.0,Midwest,Version 2,Suburb,60s Suburbs,Urban Perimeter,Upscale
911194.0,Missouri,60.0,Call 3,Complete,Election day exit poll,0.476501107215881,The Republican candidate,,The Republican candidate,Female,Other,50-59,Republican,Conservative,"$30,000-$49,999",Postgraduate study,No,Yes,Yes,Unfavorable,Favorable,,,,,,,No,,,,Protestant,,,,,No,,Non black female,All other races,45-65,30-59,45+,45-59,50-64,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Republican,Republican Women,All others,Conservative Republicans,Other,Protestant/Other Non-Catholic Christian,Non-white,,No,All others,,,Yes,,Yes,,,,No,Yes,Worse than life today,,,,,,,,,Both regular land-line and cell phone service,,,National questionnaire,,Suburbs,Suburbs,7.0,5.0,Midwest,Version 4,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale
