ID,@2WAYGOVNJ,AGE,AGE3,AGE45,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BREAK09ANJ,BREAK09BNJ,BREAK09NJ,CALL,CDNUM,EDUC,EDUCCOLL,EDUCHS,EDUCWHITE,FAVCHRIS,FAVCHRIS2,FAVCORZ,FAVCORZ2,FAVDAGG,FAVDAGG2,FORCANDSNJ,FOROBAMAG,GEOCODE,GOVTDO,INC100K,INC50K,INCOME09,INCOME3,INCWHITE,ISSUE09NJ,LATINO,NECWORR2,NECWORRY,NJGOV09,OBAMA2,OBAMA4,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PROPTAXNJ,QLTNJ09,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME09,TIME3D09,TIME4,TIMEWK09,UNFRCHRIS,UNFRCORZ,UNFRNJ09,UNION4,UNIONHH,UNIONMEM,UNIONVOT,VERSION,VOTE05NJ,WHITEREL,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
4553322.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 1,10.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,38.0,,Shares my values,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,1.05564308166504
4553218.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,12.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,To express opposition to Barack Obama,4.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,60.0,,Can bring needed change,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.834828794002533
4553216.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,Complete,,,,Call 1,12.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,To express opposition to Barack Obama,4.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,60.0,,Is honest,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.834828794002533
4553208.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,12.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express opposition to Barack Obama,4.0,,Less than 100k,50k or more,"$50,000-$74,999",50 to 100 thousand,"Over $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,60.0,,Is honest,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.849730253219604
4553203.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,Latino 18-29,Latino 18-29,Complete,,,,Call 1,12.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,4.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and non white",Economy/Jobs,Yes,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Liberal,60.0,,Is honest,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.849730253219604
4553199.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,12.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,To express opposition to Barack Obama,4.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Property taxes,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,60.0,,Is honest,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.849730253219604
4553163.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,Complete,,,,Call 1,12.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,4.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,60.0,,Is honest,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,Yes,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0,0.849730253219604
4553083.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 1,6.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,To express support for Barack Obama,4.0,,Less than 100k,Less than 50k,"Under $15,000",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,73.0,,Is honest,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,7740.0,1.01954293251038
4552971.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,Complete,,,,Call 1,2.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,5.0,,100k or more,50k or more,"$100,000-$149,999",100 thousand or more,"Over $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,30.0,,Can bring needed change,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Town,Rural,Rural,Downscale,8226.0,0.68206113576889
4552867.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,13.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,51.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.950841188430786
4552862.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,2.0,High school graduate,No college degree,High school graduate or less,White no college degree,,,,,,,,Barack Obama was not a factor,5.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Disapprove,Strongly disapprove,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,103.0,,Can bring needed change,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,Yes,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8079.0,0.989441871643066
4552835.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 1,13.0,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,,,,,To express support for Barack Obama,1.0,,,,,,,Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Somewhat approve,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Non-White Democrats,Moderate,51.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,1.14218771457672
4552817.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,13.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,51.0,,Can bring needed change,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.967813432216644
4552809.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,Latino 18-29,Latino 18-29,Complete,,,,Call 1,13.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,Barack Obama was not a factor,1.0,,100k or more,50k or more,"$150,000-$199,999",100 thousand or more,"Over $50,000 and non white",Economy/Jobs,Yes,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,51.0,,Shares my values,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did not,Neither did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.967813432216644
4552777.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,Latino 18-29,Latino 18-29,Complete,,,,Call 1,13.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,To express support for Barack Obama,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and non white",Health care,Yes,Not worried,Not too worried,Jon Corzine,Approve,Somewhat approve,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Non-White Democrats,Liberal,51.0,,Can bring needed change,Hispanic/Latino,State questionnaire,Hispanic/Latino,East,,,Female,Non-black female,Latino women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.967813432216644
4552731.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,13.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Corruption in government,No,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,53.0,,Has the right experience,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,Yes,Extremely High Density Urban,,Urban Perimeter,Downscale,7086.0,2.09047698974609
4552704.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,Complete,,,,Call 1,11.0,College graduate,College graduate,More than High school graduate,White college degree,,,,,,,,To express support for Barack Obama,1.0,,Less than 100k,50k or more,"$75,000-$99,999",50 to 100 thousand,"Over $50,000 and white",Health care,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,35.0,,Shares my values,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7039.0,0.871032059192657
4552683.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 1,13.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,Barack Obama was not a factor,1.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Worried,Somewhat worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,51.0,,Can bring needed change,White,State questionnaire,White,East,,,Female,Non-black female,White women,White female,White female,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,7302.0,0.967813432216644
4552681.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 1,11.0,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,,,,To express support for Barack Obama,1.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Worried,Very worried,Jon Corzine,Approve,Somewhat approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,35.0,,Can bring needed change,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did not,Jon Corzine did,Only Corzine did,,,,,Version 2,,,No,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7039.0,1.0279688835144
4552582.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 1,9.0,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,,,,,,,Barack Obama was not a factor,2.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and non white",Health care,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,5.0,,Shares my values,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,Suburbs,Suburbs,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,No,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,7631.0,1.05452883243561
4557270.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 3,10.0,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,,,,,To express support for Barack Obama,1.0,,Less than 100k,Less than 50k,"Under $15,000",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Worried,Very worried,Jon Corzine,Approve,Strongly approve,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,38.0,,Has the right experience,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did not,Only Christie did,,,,,Version 2,,,No,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,0.878795087337494
4557256.0,Jon Corzine,18-29,18-29,18-44,18-29,18-24,18-24,Black 18-29,Black 18-29,Black 18-29,Not complete,,,,Call 3,10.0,College graduate,College graduate,More than High school graduate,Non white college degree,,,,,,,,,1.0,,,,,,,,No,,,Jon Corzine,Approve,Strongly approve,18-64,,,,,,,38.0,,,Black,State questionnaire,Black,East,,,Female,Black female,Black women,Non-white female,Non-white,"Cities 50,000-500,000","Cities over 50,000",New Jersey,Election day exit poll,,,,,,,,,,,,Version 2,,,,Extremely High Density Urban,Urban,Urban Core,Very downscale,7103.0,1.05564308166504
4557226.0,Jon Corzine,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,Complete,,,,Call 3,2.0,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,,,,,,,To express support for Barack Obama,5.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Less than 50 thousand,"Under $50,000 and white",Economy/Jobs,No,Not worried,Not too worried,Jon Corzine,Approve,Somewhat approve,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,30.0,,Can bring needed change,White,State questionnaire,White,East,,,Male,Non-black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,New Jersey,Election day exit poll,,,,,Chris Christie did,Jon Corzine did,Both did,,,,,Version 2,,,Yes,Town,Rural,Rural,Downscale,8226.0,0.670100033283234
