ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BREAK09AVA,BREAK09BVA,BREAK09VA,BRNAGAIN,CALL,CDNUM,DEEDSAMEND,DEEDSLIB,EDUC,EDUCCOLL,EDUCHS,EDUCWHITE,FOROBAMAG,GEOCODE,GOVTDO,INC100K,INC50K,INCOME09,INCOME3,INCWHITE,ISSUE09VA,LATINO,MCDONLLIB,MCDONLTHESIS,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,QRACEAI,QTYPE,RACE,RACEBRN,REGION,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHAREDEEDS,SHAREMCDONL,SHRVALVA,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME09,TIME3D09,TIME4,TIMEWK09,UNFRDEEDS,UNFRMCDONL,UNFRVA09,VAATG09,VAGOV09,VALGV09,VERSION,VOTE2008,WHNCLINC,WHTEVANG,WORK,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
4554458.0,65+,60+,45+,60+,65+,75+,,White 60+,White 65+,,,Not complete,,,,,Call 2,10.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,2.0,,,,,,,,No,,,,,Approve,Somewhat approve,65+,,,,,,,51.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Town,Rural,Rural,Upscale,22655.0,0.731695532798767
4554314.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,Not complete,An important factor,A factor,One of several important factors,,Call 2,10.0,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,2.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,67.0,Black,State questionnaire,Black,,South,Female,Black female,Black women,Non-white female,Non-white,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20176.0,0.813776731491089
4556852.0,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,,,Not complete,An important factor,A factor,One of several important factors,,Call 3,11.0,,,College graduate,College graduate,More than High school graduate,White college degree,,1.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,38.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,22182.0,0.83540278673172
4556843.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,Not a factor,Not a factor at all,,Call 3,11.0,,,College graduate,College graduate,More than High school graduate,White college degree,,1.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,38.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,22182.0,0.796140193939209
4551803.0,45-65,60+,45+,60+,50-64,60-64,,Latino 60+,Latino 45-64,,,Not complete,,,,,Call 1,1.0,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,2.0,,,,,,,,Yes,,,,,Approve,Strongly approve,18-64,,,,,,,42.0,White,State questionnaire,Hispanic/Latino,,South,Male,Non-black male,Latino men,Non-white male,Non-white,,,,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,20187.0,0.743890464305878
4552961.0,18-29,18-29,18-44,18-29,18-24,18-24,,Latino 18-29,Latino 18-29,,,Not complete,An important factor,A factor,One of several important factors,,Call 1,8.0,,,Some college or associate degree,No college degree,More than High school graduate,Non white no college degree,,1.0,Government should do more to solve problems,,,,,,,Yes,,,,,Approve,Strongly approve,18-64,,,,,,,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,South,Female,Non-black female,Latino women,Non-white female,Non-white,Deeds does,McDonnell does not,Only Deeds,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Sometime in September,Earlier than that,In September,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Extremely High Density Urban,Urban,Urban Core,Upscale,22204.0,0.84154886007309
4552901.0,30-44,30-59,18-44,30-44,30-39,30-39,,White 30-44,White 30-44,,,Not complete,Not a factor,Not a factor,Not a factor at all,,Call 1,8.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,1.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Somewhat approve,18-64,,,,,,,3.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does not,McDonnell does not,Neither of them,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Extremely High Density Urban,Urban,Urban Core,Upscale,22204.0,0.882991850376129
4552255.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,,,,,Call 1,3.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,5.0,,,,,,,,,,,,,Approve,Somewhat approve,18-64,,,,,,,107.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,High Density Urban,Urban,Urban Core,Downscale,23508.0,0.703792095184326
4552207.0,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Not complete,Not a factor,A factor,A minor factor,,Call 1,7.0,,,College graduate,College graduate,More than High school graduate,Non white college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,14.0,Black,State questionnaire,Black,,South,Male,Black male,Black men,Non-white male,Non-white,Deeds does,McDonnell does not,Only Deeds,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,In the last three days,Today or in the last three days,Today or in the last three days,In the last week,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,Urban,Urban Core,Downscale,23234.0,0.805722951889038
4552150.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,,,,,Call 1,5.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,3.0,,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,47.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,24137.0,0.831065535545349
4552055.0,65+,60+,45+,60+,65+,75+,,White 60+,White 65+,,,Not complete,,,,,Call 1,4.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,4.0,,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,24.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,23882.0,1.4187673330307
4551974.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,A factor,A minor factor,,Call 1,7.0,,,College graduate,College graduate,More than High school graduate,White college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,17.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.18960297107697
4551973.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,A factor,A minor factor,,Call 1,7.0,,,College graduate,College graduate,More than High school graduate,White college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,17.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.18960297107697
4551950.0,45-65,60+,45+,60+,50-64,60-64,Black 60+,Black 60+,Black 45-64,,,Not complete,,,,,Call 1,4.0,,,,,,,,4.0,,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,24.0,Black,State questionnaire,Black,,South,Male,Black male,Black men,Non-white male,Non-white,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Extremely Low Density Rural,Rural,Rural,Very downscale,23882.0,1.68043208122253
4551941.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,Not a factor,Not a factor at all,,Call 1,7.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Somewhat approve,18-64,,,,,,,17.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.18960297107697
4551877.0,30-44,30-59,18-44,30-44,40-49,40-44,,White 30-44,White 30-44,,,Not complete,Not a factor,A factor,A minor factor,,Call 1,7.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Somewhat approve,18-64,,,,,,,17.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,In the last three days,Today or in the last three days,Today or in the last three days,In the last week,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.18960297107697
4556676.0,30-44,30-59,18-44,30-44,30-39,30-39,Black 30-44,Black 30-44,Black 30-44,,,Not complete,An important factor,A factor,The single most important factor,,Call 3,7.0,,,College graduate,College graduate,More than High school graduate,Non white college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,56.0,Black,State questionnaire,Black,,South,Female,Black female,Black women,Non-white female,Non-white,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,60s Suburbs,Urban Perimeter,Downscale,23228.0,0.792461454868317
4556602.0,18-29,18-29,18-44,18-29,25-29,25-29,Black 18-29,Black 18-29,Black 18-29,,,Not complete,An important factor,A factor,The single most important factor,,Call 3,7.0,,,College graduate,College graduate,More than High school graduate,Non white college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,56.0,Black,State questionnaire,Black,,South,Female,Black female,Black women,Non-white female,Non-white,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Just today,Today or in the last three days,Today or in the last three days,In the last week,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,60s Suburbs,Urban Perimeter,Downscale,23228.0,0.75526750087738
4556538.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,A factor,A minor factor,,Call 3,1.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,4.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,52.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does,Both of them,Suburbs,Suburbs, Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,23062.0,0.839719772338867
4556407.0,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,,,Not complete,An important factor,A factor,The single most important factor,,Call 3,10.0,,,High school graduate,No college degree,High school graduate or less,White no college degree,,2.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,49.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Rural,Small Cities/Rural, Virginia,Election day exit poll,Earlier in October,Earlier than that,In October,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Low Density Rural,Rural,Rural,Downscale,22603.0,0.708928763866425
4556349.0,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,,,Not complete,An important factor,A factor,The single most important factor,,Call 3,7.0,,,College graduate,College graduate,More than High school graduate,Non white college degree,,4.0,Government should do more to solve problems,,,,,,,,,,,,Approve,Strongly approve,18-64,,,,,,,17.0,Black,State questionnaire,Black,,South,Male,Black male,Black men,Non-white male,Non-white,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.40900278091431
4556342.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,,,,,Call 3,1.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,2.0,,,,,,,,No,,,,,Approve,Somewhat approve,65+,,,,,,,42.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,20187.0,0.708928763866425
4556293.0,18-29,18-29,18-44,18-29,18-24,18-24,,White 18-29,White 18-29,,,Not complete,An important factor,A factor,One of several important factors,,Call 3,7.0,,,College graduate,College graduate,More than High school graduate,White college degree,,4.0,Omit,,,,,,,,,,,,Approve,Strongly approve,18-64,,,,,,,14.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Omit,Omit,Omit,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,Omit,Omit,Omit,Omit,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,Urban,Urban Core,Downscale,23234.0,0.680261611938477
4556131.0,45-65,30-59,45+,45-59,50-64,50-59,,White 45-59,White 45-64,,,Not complete,Not a factor,A factor,A minor factor,,Call 3,10.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,2.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,67.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20176.0,0.750407636165619
4556085.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,Not a factor,Not a factor,Not a factor at all,,Call 3,11.0,,,College graduate,College graduate,More than High school graduate,White college degree,,1.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,65+,,,,,,,27.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,22151.0,0.815979242324829
4556063.0,45-65,60+,45+,60+,50-64,60-64,,White 60+,White 45-64,,,Not complete,Not a factor,A factor,A minor factor,,Call 3,11.0,,,Postgraduate study,College graduate,More than High school graduate,White college degree,,1.0,Government should do more to solve problems,,,,,,,No,,,,,Approve,Strongly approve,18-64,,,,,,,27.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does,McDonnell does not,Only Deeds,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Stephen Shannon,R. Creigh Deeds,Jody Wagner,Version 1,,,,,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,22151.0,0.777629554271698
4554289.0,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,,,Not complete,,,,,Call 2,9.0,,,College graduate,College graduate,More than High school graduate,White college degree,,3.0,,,,,,,,No,,,,,Disapprove,Strongly disapprove,18-64,,,,,,,82.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,,,,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Ken Cuccinelli,R. Creigh Deeds,Jody Wagner,Version 2,,,,,Low Density Rural,Rural,Rural,Very downscale,24641.0,1.01633262634277
4556091.0,45-65,30-59,45+,45-59,40-49,45-49,,White 45-59,White 45-64,,,Not complete,,,,,Call 3,2.0,,,Did not complete high school,No college degree,High school graduate or less,White no college degree,,5.0,,,,,,,,No,,,,,Approve,Somewhat approve,18-64,,,,,,,117.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,,,,,,,,,Robert McDonnell,Jody Wagner,Version 2,,,,,Suburb,Urban,Urban Core,Upscale,23454.0,0.665010988712311
4554641.0,65+,60+,45+,60+,65+,65-74,,White 60+,White 65+,,,Not complete,Not a factor,Not a factor,Not a factor at all,,Call 2,7.0,,,Some college or associate degree,No college degree,More than High school graduate,White no college degree,,4.0,Government is doing too many things better left to businesses and individuals,,,,,,,No,,,,,Disapprove,Somewhat disapprove,65+,,,,,,,17.0,White,State questionnaire,White,,South,Female,Non-black female,White women,White female,White female,Deeds does not,McDonnell does,Only McDonnell,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Before that,Earlier than that,,,,Ken Cuccinelli,Robert McDonnell,Jody Wagner,Version 1,,,,,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0,1.78290450572968
4551989.0,18-29,18-29,18-44,18-29,25-29,25-29,,White 18-29,White 18-29,,,Not complete,,,,,Call 1,1.0,,,College graduate,College graduate,More than High school graduate,White college degree,,2.0,,,,,,,,No,,,,,Disapprove,Strongly disapprove,18-64,,,,,,,42.0,White,State questionnaire,White,,South,Male,Non-black male,White men,White male,White male,,,,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Ken Cuccinelli,R. Creigh Deeds,Bill Bolling,Version 2,,,,,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,20187.0,0.691766500473022
