STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,JBUSH,GORBSH3,HISPANIC,REL5,WEIGHT
10.0,1.0,11.0,FIRST CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,12.0,FIRST CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,13.0,FIRST CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,14.0,FIRST CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,15.0,FIRST CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,16.0,FIRST CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.614
10.0,1.0,17.0,FIRST CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,NORTH,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.543
10.0,1.0,18.0,SECOND CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,19.0,SECOND CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,20.0,SECOND CALL,65-74,FEMALE,MCCAIN,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.528
10.0,1.0,21.0,SECOND CALL,75+,MALE,MCCAIN,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,NORTH,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.542
10.0,1.0,22.0,SECOND CALL,45-49,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,23.0,SECOND CALL,45-49,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,24.0,SECOND CALL,18-24,MALE,BUSH,NO,YES,REPUBLICAN,NONE,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NONE,0.631
10.0,1.0,25.0,SECOND CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,26.0,SECOND CALL,75+,MALE,MCCAIN,NO,YES,INDEPENDENT,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,NORTH,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.542
10.0,1.0,27.0,SECOND CALL,65-74,MALE,MCCAIN,NO,NO,INDEPENDENT,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,PROTESTANT/OTHER CHRISTIAN,0.542
10.0,1.0,28.0,SECOND CALL,40-44,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,29.0,SECOND CALL,65-74,FEMALE,MCCAIN,NO,YES,INDEPENDENT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.528
10.0,1.0,30.0,SECOND CALL,25-29,MALE,KEYES,YES,YES,INDEPENDENT,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,18-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,,PROTESTANT/OTHER CHRISTIAN,0.504
10.0,1.0,31.0,THIRD CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,32.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,33.0,THIRD CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,SOMETHING ELSE,0.614
10.0,1.0,34.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,35.0,THIRD CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,1.0,36.0,THIRD CALL,45-49,MALE,MCCAIN,NO,NO,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.613
10.0,1.0,37.0,THIRD CALL,65-74,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.528
10.0,1.0,38.0,THIRD CALL,45-49,FEMALE,MCCAIN,NO,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,SOMETHING ELSE,0.597
10.0,1.0,39.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,40.0,THIRD CALL,45-49,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,OMITS,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,41.0,THIRD CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.614
10.0,1.0,42.0,THIRD CALL,50-59,MALE,MCCAIN,NO,NO,INDEPENDENT,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.613
10.0,1.0,43.0,THIRD CALL,45-49,FEMALE,MCCAIN,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,PROTESTANT/OTHER CHRISTIAN,0.597
10.0,1.0,44.0,THIRD CALL,25-29,FEMALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.491
10.0,1.0,45.0,THIRD CALL,25-29,MALE,MCCAIN,NO,NO,REPUBLICAN,JEWISH,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,NEITHER,NO,JEWISH,0.631
10.0,1.0,46.0,THIRD CALL,40-44,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.614
10.0,5.0,1.0,FIRST CALL,25-29,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,2.0,FIRST CALL,25-29,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.534
10.0,5.0,3.0,FIRST CALL,40-44,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.505
10.0,5.0,4.0,FIRST CALL,18-24,MALE,MCCAIN,NO,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.534
10.0,5.0,5.0,FIRST CALL,65-74,FEMALE,BUSH,NO,YES,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,BUSH,NO,CATHOLIC,0.446
10.0,5.0,6.0,FIRST CALL,18-24,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,7.0,FIRST CALL,25-29,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,CATHOLIC,0.534
10.0,5.0,8.0,FIRST CALL,40-44,MALE,MCCAIN,NO,OMITS,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,40-49,40-49,OMITS,FAVORABLE,OMITS,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,9.0,FIRST CALL,25-29,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,YES,CATHOLIC,0.509
10.0,5.0,10.0,FIRST CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,OMITS,NO,PROTESTANT/OTHER CHRISTIAN,0.505
10.0,5.0,11.0,FIRST CALL,75+,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,NORTH,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.459
10.0,5.0,12.0,SECOND CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.505
10.0,5.0,13.0,SECOND CALL,45-49,MALE,BUSH,YES,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,OMITS,OMITS,UNFAVORABLE,UNFAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,14.0,SECOND CALL,30-39,MALE,KEYES,YES,YES,INDEPENDENT,PROTESTANT,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.41500000000000004
10.0,5.0,15.0,SECOND CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,16.0,SECOND CALL,60-64,FEMALE,MCCAIN,NO,NO,INDEPENDENT,NONE,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,NONE,0.446
10.0,5.0,17.0,SECOND CALL,30-39,MALE,BUSH,NO,OMITS,REPUBLICAN,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,OMITS,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,18.0,THIRD CALL,25-29,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.534
10.0,5.0,19.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.505
10.0,5.0,20.0,THIRD CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.52
10.0,5.0,21.0,THIRD CALL,18-24,MALE,MCCAIN,NO,YES,REPUBLICAN,NONE,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NONE,0.534
10.0,5.0,22.0,THIRD CALL,30-39,MALE,KEYES,YES,YES,DEMOCRAT,SOMETHING ELSE,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,OMITS,UNFAVORABLE,FAVORABLE,BUSH,NO,SOMETHING ELSE,0.41500000000000004
10.0,5.0,23.0,THIRD CALL,40-44,FEMALE,BUSH,YES,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.505
10.0,5.0,24.0,THIRD CALL,50-59,MALE,BUSH,NO,YES,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,NONE,0.52
