QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,CANDSOK,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,CONFEDER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BORNSC,DEBATE,BEATDEM,WEIGHT
STATE,UPSTATE,41.0,1.0,11.0,SECOND CALL,45-49,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,YES,NEITHER,NO,YES,YES,LOYAL REPUBLICAN,YES,NO,NO,BUSH,0.656
STATE,UPSTATE,41.0,1.0,12.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,TODAY,SATISFIED WITH CANDIDATES,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,NO,BOTH,YES,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,BUSH,0.631
STATE,UPSTATE,41.0,1.0,13.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,0.631
STATE,UPSTATE,41.0,1.0,14.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,SATISFIED WITH CANDIDATES,MORAL VALUES,OMITS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,OMITS,REPUBLICAN,COLLEGE GRADUATE,OMITS,"$100,000 OR MORE",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,OMITS,OMITS,NO,YES,NO,OMITS,YES,NO,NO,BUSH,0.631
STATE,UPSTATE,41.0,1.0,15.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,YES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,0.781
STATE,UPSTATE,41.0,1.0,16.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,WORSE,TAX CUT,,COLLEGE GRADUATE,NO,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,60+,60+,,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,YES,NOT TIED TO PARTY LEADERS,YES,NO,YES,MCCAIN,0.746
STATE,UPSTATE,41.0,1.0,17.0,SECOND CALL,60-64,WHITE,MALE,MCCAIN,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,YES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,YES,NOT TIED TO PARTY LEADERS,YES,NO,YES,MCCAIN,0.776
STATE,UPSTATE,41.0,1.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,SOCIAL SECURITY/MEDICARE,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,OMITS,YES,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,0.746
STATE,UPSTATE,41.0,1.0,19.0,SECOND CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,0.746
STATE,UPSTATE,41.0,1.0,20.0,SECOND CALL,45-49,WHITE,FEMALE,MCCAIN,TODAY,SATISFIED WITH CANDIDATES,ABORTION,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,TAX CUT,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,NEITHER,YES,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,0.603
STATE,UPSTATE,41.0,1.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,0.746
STATE,UPSTATE,41.0,1.0,22.0,SECOND CALL,75+,WHITE,MALE,KEYES,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,UNFAVORABLE,NEITHER,YES,NEITHER,NO,NO,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,0.778
STATE,UPSTATE,41.0,1.0,23.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,ABORTION,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,0.626
STATE,UPSTATE,41.0,1.0,24.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BOTH,YES,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,0.656
STATE,UPSTATE,41.0,1.0,25.0,SECOND CALL,30-39,WHITE,FEMALE,KEYES,BEFORE THAT,LIKE SOMEONE ELSE TO ENTER,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NEITHER,YES,BUSH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,0.605
STATE,UPSTATE,41.0,1.0,26.0,SECOND CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,YES,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,BUSH,0.656
STATE,UPSTATE,41.0,1.0,27.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,OMITS,YES,NO,OMITS,NO,NO,NO,BUSH,0.781
STATE,UPSTATE,41.0,1.0,28.0,SECOND CALL,30-39,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,BOTH,OMITS,BOTH,NO,YES,NO,OMITS,YES,NO,NO,BUSH,0.656
STATE,UPSTATE,41.0,1.0,29.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,BOTH,YES,BOTH,YES,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,0.781
STATE,UPSTATE,41.0,1.0,30.0,SECOND CALL,50-59,WHITE,MALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,OMITS,YES,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,YES,OMITS,OMITS,OMITS,0.656
STATE,UPSTATE,41.0,1.0,31.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,YES,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,60+,60+,,50-64,50-64,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,0.781
STATE,UPSTATE,41.0,1.0,32.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,NEITHER,YES,BOTH,YES,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,YES,BUSH,0.631
STATE,UPSTATE,41.0,1.0,33.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,0.631
STATE,UPSTATE,41.0,1.0,34.0,SECOND CALL,30-39,WHITE,FEMALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,0.603
STATE,UPSTATE,41.0,1.0,35.0,SECOND CALL,45-49,WHITE,FEMALE,MCCAIN,BEFORE THAT,SATISFIED WITH CANDIDATES,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,OMITS,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,NO,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,0.603
STATE,UPSTATE,41.0,1.0,36.0,THIRD CALL,40-44,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,0.603
STATE,UPSTATE,41.0,1.0,37.0,THIRD CALL,18-24,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,0.731
STATE,UPSTATE,41.0,1.0,38.0,THIRD CALL,75+,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,YES,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,YES,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,0.812
STATE,UPSTATE,41.0,1.0,39.0,THIRD CALL,25-29,WHITE,MALE,KEYES,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,OMITS,"UNDER $15,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,NEITHER,NO,OMITS,YES,,YES,NOT TIED TO PARTY LEADERS,NO,YES,NO,OMITS,0.7010000000000001
STATE,UPSTATE,41.0,1.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,OMITS,OMITS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,NO,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,OMITS,OMITS,NO,,NO,OMITS,NO,NO,OMITS,BUSH,0.631
