AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,BCPERSON,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
40-49,19.0,1.0,14.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,1.272
18-24,19.0,1.0,15.0,THIRD CALL,18-24,BLACK,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.135
40-49,19.0,1.0,16.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,OMITS,NO,DEMOCRAT,NONE,"UNDER $15,000",,,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,BLACK,NONE,1.272
60+,19.0,1.0,17.0,THIRD CALL,65-74,BLACK,,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.041
30-39,19.0,1.0,18.0,THIRD CALL,30-39,BLACK,FEMALE,BRADLEY,DISAPPROVE,YES,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.606
60+,19.0,4.0,1.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.517
60+,19.0,4.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.453
40-49,19.0,4.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,SOMETHING ELSE,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,WHITE,SOMETHING ELSE,0.553
50-59,19.0,4.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.553
40-49,19.0,4.0,5.0,SECOND CALL,40-44,WHITE,MALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.797
40-49,19.0,4.0,6.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.6990000000000001
60+,19.0,4.0,7.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.517
60+,19.0,4.0,8.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.5710000000000001
30-39,19.0,4.0,9.0,SECOND CALL,30-39,WHITE,MALE,BRADLEY,APPROVE,NO,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.797
60+,19.0,4.0,10.0,SECOND CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.453
50-59,19.0,4.0,11.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,,WHITE,PROTESTANT/OTHER CHRISTIAN,0.553
40-49,19.0,4.0,12.0,THIRD CALL,40-44,OTHER,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,OTHER,JEWISH,0.631
30-39,19.0,4.0,13.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.553
60+,19.0,4.0,14.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.453
60+,19.0,4.0,15.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",MODERATE,MODERATE,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.453
60+,19.0,4.0,16.0,THIRD CALL,75+,WHITE,FEMALE,GORE,DISAPPROVE,NO,SOMETHING ELSE,PROTESTANT,"UNDER $15,000",,,65+,75+,STATE,CAJUN COUNTRY,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.453
40-49,19.0,4.0,17.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.631
60+,19.0,4.0,18.0,THIRD CALL,65-74,WHITE,MALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.517
60+,19.0,4.0,19.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,OMITS,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.453
60+,19.0,4.0,20.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.453
60+,19.0,4.0,21.0,THIRD CALL,65-74,WHITE,,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.517
40-49,19.0,4.0,22.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.553
60+,19.0,4.0,23.0,THIRD CALL,65-74,WHITE,MALE,BRADLEY,DISAPPROVE,YES,INDEPENDENT,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,INDEPENDENT/OTHER,65+,65-74,OMITS,OMITS,UNFAVORABLE,OMITS,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.652
40-49,19.0,4.0,24.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,DISAPPROVE,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.797
60+,19.0,7.0,1.0,FIRST CALL,75+,WHITE,,GORE,APPROVE,,DEMOCRAT,CATHOLIC,"UNDER $15,000",,,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,OMITS,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.421
60+,19.0,7.0,2.0,FIRST CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,OMITS,FAVORABLE,FAVORABLE,GORE,,WHITE,CATHOLIC,0.421
60+,19.0,7.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,FAVORABLE,GORE,,WHITE,CATHOLIC,0.481
25-29,19.0,7.0,4.0,FIRST CALL,25-29,HISPANIC/LATINO,FEMALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,YES,WHITE,CATHOLIC,0.41600000000000004
25-29,19.0,7.0,5.0,FIRST CALL,25-29,WHITE,MALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.581
40-49,19.0,7.0,6.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.516
40-49,19.0,7.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,NO,WHITE,CATHOLIC,0.651
50-59,19.0,7.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.516
30-39,19.0,7.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.516
60+,19.0,7.0,10.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,,,18-64,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.421
25-29,19.0,7.0,11.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.404
60+,19.0,7.0,12.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,,,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.481
30-39,19.0,7.0,13.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,DISAPPROVE,YES,SOMETHING ELSE,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.651
60+,19.0,7.0,14.0,SECOND CALL,60-64,WHITE,MALE,BRADLEY,DISAPPROVE,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.606
40-49,19.0,7.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,40-49,40-49,OMITS,FAVORABLE,OMITS,GORE,NO,WHITE,CATHOLIC,0.516
60+,19.0,7.0,16.0,SECOND CALL,75+,WHITE,MALE,GORE,APPROVE,,DEMOCRAT,CATHOLIC,"$30,000-$49,000",VERY LIBERAL,LIBERAL,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,OMITS,FAVORABLE,FAVORABLE,GORE,,WHITE,CATHOLIC,0.481
50-59,19.0,7.0,17.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.587
40-49,19.0,7.0,18.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.516
60+,19.0,7.0,19.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.421
50-59,19.0,7.0,20.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.587
60+,19.0,7.0,21.0,THIRD CALL,65-74,WHITE,,BRADLEY,DISAPPROVE,NO,REPUBLICAN,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.606
60+,19.0,7.0,22.0,THIRD CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,GORE,,WHITE,CATHOLIC,0.481
50-59,19.0,7.0,23.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.587
30-39,19.0,7.0,24.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,,MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.587
,19.0,7.0,25.0,THIRD CALL,,WHITE,,OTHER,OMITS,YES,,CATHOLIC,,,,,,STATE,CAJUN COUNTRY,,,,,FAVORABLE,FAVORABLE,OMITS,OMITS,NO,WHITE,CATHOLIC,1.0230000000000001
40-49,19.0,7.0,26.0,THIRD CALL,40-44,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.587
60+,19.0,7.0,27.0,THIRD CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.481
60+,19.0,7.0,28.0,THIRD CALL,65-74,WHITE,,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.481
