STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,SENOHD,REL5,WEIGHT
36.0,2.0,11.0,THIRD CALL,18-24,WHITE,FEMALE,BRADLEY,TODAY,OMITS,CAN WIN IN NOVEMBER,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,WORSE,YES,,HIGH SCHOOL GRADUATE,NONE,YES,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CENTRAL,18-29,18-24,,18-24,18-24,FAVORABLE,UNFAVORABLE,BUSH,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,NONE,1.5270000000000001
36.0,2.0,12.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CENTRAL,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,RADAKOVICH,CATHOLIC,0.876
36.0,2.0,13.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,TODAY,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NONE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,CENTRAL,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CORDAY,NONE,1.249
36.0,2.0,14.0,THIRD CALL,50-59,WHITE,FEMALE,OTHER,WITHIN LAST 3 DAYS,ECONOMY/JOBS,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,OMITS,NOT LIBERAL ENOUGH,STATE,COMPLETE,CENTRAL,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,RADAKOVICH,SOMETHING ELSE,3.781
36.0,2.0,15.0,THIRD CALL,50-59,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,OMITS,"$30,000-$49,000",OMITS,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,OMITS,STATE,COMPLETE,CENTRAL,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.969
36.0,2.0,16.0,THIRD CALL,30-39,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,CENTRAL,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,1.026
36.0,3.0,1.0,FIRST CALL,50-59,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.538
36.0,3.0,2.0,FIRST CALL,75+,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,75+,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,CELESTE,CATHOLIC,0.532
36.0,3.0,3.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,CATHOLIC,0.454
36.0,3.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,,CATHOLIC,0.521
36.0,3.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,TODAY,EDUCATION,OMITS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CELESTE,CATHOLIC,0.47200000000000003
36.0,3.0,6.0,FIRST CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,,CATHOLIC,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,CELESTE,CATHOLIC,0.532
36.0,3.0,7.0,FIRST CALL,60-64,,FEMALE,GORE,THIS YEAR,EDUCATION,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,,NO,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CELESTE,CATHOLIC,0.47200000000000003
36.0,3.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,,TODAY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,CATHOLIC,0.606
36.0,3.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,,NO,MODERATE,MODERATE,65+,18-74,BRADLEY,OMITS,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,OMITS,UNFAVORABLE,,PROTESTANT/OTHER CHRISTIAN,0.41300000000000003
36.0,3.0,10.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.47200000000000003
36.0,3.0,11.0,SECOND CALL,75+,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,65+,75+,FAVORABLE,UNFAVORABLE,BUSH,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,CATHOLIC,0.47200000000000003
36.0,3.0,12.0,SECOND CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,NOT COMPLETE,NORTHEAST,60+,60+,,65+,65-74,OMITS,OMITS,BUSH,MCCAIN,,OMITS,OMITS,OMITS,CELESTE,,0.45
36.0,3.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,OMITS,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CORDAY,PROTESTANT/OTHER CHRISTIAN,0.531
36.0,3.0,14.0,SECOND CALL,45-49,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.5680000000000001
36.0,3.0,15.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,BEFORE THAT,HEALTH CARE,HAS RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,NORTHEAST,60+,60+,,50-64,50-64,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,CELESTE,,0.47200000000000003
36.0,3.0,16.0,SECOND CALL,45-49,OTHER,MALE,BRADLEY,THIS YEAR,OMITS,OMITS,APPROVE,BOTH THE SAME,OMITS,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,MCMICKLE,PROTESTANT/OTHER CHRISTIAN,0.454
36.0,3.0,17.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,GORE PLAN BETTER,OMITS,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,NORTHEAST,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,,,0.487
36.0,3.0,18.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,YES,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,OTHER,NONE,0.521
36.0,3.0,19.0,SECOND CALL,45-49,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTHEAST,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.454
36.0,3.0,20.0,THIRD CALL,30-39,WHITE,MALE,GORE,THIS YEAR,HEALTH CARE,NEW IDEAS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CORDAY,CATHOLIC,0.705
36.0,3.0,21.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,WITHIN LAST WEEK,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CORDAY,CATHOLIC,0.626
36.0,3.0,22.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,OMITS,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,BRADLEY,OMITS,OMITS,STATE,COMPLETE,NORTHEAST,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,CELESTE,PROTESTANT/OTHER CHRISTIAN,0.43
36.0,3.0,23.0,THIRD CALL,30-39,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTHEAST,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,MCMICKLE,CATHOLIC,0.538
