STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,MCTEMPER,MIGRATE,BEATDEM,CAMPFIN,WEIGHT
3.0,202.0,11.0,FIRST CALL,40-44,FEMALE,2,BEFORE THAT,OMITS,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,NEITHER,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,YES,BUSH,HURT,0.215
3.0,202.0,12.0,FIRST CALL,30-39,FEMALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OMITS,"UNDER $15,000",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,OMITS,0.396
3.0,202.0,13.0,FIRST CALL,45-49,,1,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,NO,NO,LOYAL REPUBLICAN,YES,YES,YES,BUSH,HELP,0.33
3.0,202.0,14.0,FIRST CALL,40-44,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,NO,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HURT,0.388
3.0,202.0,15.0,FIRST CALL,50-59,MALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,HURT,0.322
3.0,202.0,16.0,SECOND CALL,45-49,FEMALE,2,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,YES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,HELP,0.215
3.0,202.0,17.0,SECOND CALL,65-74,MALE,1,BEFORE THAT,OMITS,,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,SAME,OMITS,REPUBLICAN,COLLEGE GRADUATE,NO,,YES,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,BUSH,NO,BUSH,YES,NO,LOYAL REPUBLICAN,YES,NO,NO,BUSH,HELP,0.338
3.0,202.0,18.0,SECOND CALL,65-74,MALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,YES,YES,LOYAL REPUBLICAN,NO,YES,NO,BUSH,HURT,0.338
3.0,202.0,19.0,SECOND CALL,50-59,FEMALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,HELP,0.33
3.0,202.0,20.0,SECOND CALL,30-39,FEMALE,1,THIS YEAR,OMITS,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,HURT,0.33
3.0,202.0,21.0,SECOND CALL,40-44,FEMALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,NEITHER,YES,NO,LOYAL REPUBLICAN,YES,NO,YES,BUSH,HURT,0.33
3.0,202.0,22.0,SECOND CALL,60-64,MALE,1,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,NO,NO,LOYAL REPUBLICAN,YES,NO,YES,BUSH,HURT,0.338
3.0,202.0,23.0,SECOND CALL,50-59,,3,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.388
3.0,202.0,24.0,SECOND CALL,30-39,MALE,3,TODAY,OMITS,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,OMITS,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,NEITHER,NO,BOTH,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,OMITS,HELP,0.388
3.0,202.0,25.0,SECOND CALL,50-59,FEMALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,OMITS,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,OMITS,HELP,0.33
3.0,202.0,26.0,SECOND CALL,50-59,FEMALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,WORSE,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,MCCAIN,HELP,0.396
3.0,202.0,27.0,SECOND CALL,65-74,FEMALE,1,WITHIN LAST 3 DAYS,,,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,NO,OMITS,NO,YES,NO,BUSH,HELP,0.34700000000000003
3.0,202.0,28.0,SECOND CALL,30-39,MALE,1,TODAY,,,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,OMITS,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,OMITS,OMITS,BOTH,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,OMITS,OMITS,0.322
3.0,202.0,29.0,SECOND CALL,75+,MALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,HELP,0.41300000000000003
3.0,202.0,30.0,SECOND CALL,65-74,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,OMITS,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,HELP,0.41300000000000003
3.0,202.0,31.0,SECOND CALL,60-64,FEMALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,YES,YES,BUSH,HELP,0.34700000000000003
3.0,202.0,32.0,SECOND CALL,18-24,FEMALE,1,BEFORE THAT,OMITS,OMITS,OMITS,YES,ILLEGAL IN MOST CASES,YES,BETTER,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,18-29,18-24,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,HURT,0.314
3.0,202.0,33.0,SECOND CALL,40-44,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,OMITS,NO,OMITS,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,OMITS,0.388
3.0,202.0,34.0,SECOND CALL,75+,MALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HELP,0.41300000000000003
3.0,202.0,35.0,SECOND CALL,60-64,MALE,2,BEFORE THAT,OMITS,OMITS,OMITS,NO,ILLEGAL IN ALL CASES,NO,WORSE,TAX CUT,SOMETHING ELSE,HIGH SCHOOL GRADUATE,NO,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,OMITS,YES,YES,NOT TIED TO PARTY LEADERS,YES,NO,NO,OMITS,OMITS,0.223
3.0,202.0,36.0,SECOND CALL,50-59,FEMALE,3,BEFORE THAT,,,OMITS,YES,LEGAL IN MOST CASES,OMITS,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,DESERT,45-59,50-59,,50-64,50-64,UNFAVORABLE,FAVORABLE,OMITS,OMITS,OMITS,,,OMITS,,OMITS,OMITS,OMITS,OMITS,0.396
3.0,202.0,37.0,SECOND CALL,75+,MALE,3,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.41300000000000003
3.0,202.0,38.0,SECOND CALL,75+,FEMALE,3,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,OMITS,OMITS,OMITS,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,OMITS,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,OMITS,0.421
3.0,202.0,39.0,SECOND CALL,40-44,MALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,HURT,0.322
3.0,202.0,40.0,SECOND CALL,50-59,FEMALE,1,TODAY,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,NO,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,HELP,0.33
3.0,202.0,41.0,SECOND CALL,50-59,FEMALE,2,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,NEITHER,YES,NEITHER,NO,NO,NOT TIED TO PARTY LEADERS,YES,NO,YES,BUSH,OMITS,0.215
3.0,202.0,42.0,THIRD CALL,25-29,MALE,3,THIS YEAR,OMITS,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,18-29,25-29,REPUBLICAN,25-29,25-29,UNFAVORABLE,FAVORABLE,MCCAIN,NO,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.371
3.0,202.0,43.0,THIRD CALL,45-49,FEMALE,1,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,OMITS,OMITS,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,BUSH,OMITS,0.33
3.0,202.0,44.0,THIRD CALL,30-39,MALE,3,THIS YEAR,OMITS,,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,OMITS,"$50,000-$74,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,OMITS,OMITS,OMITS,NO,NO,OMITS,YES,YES,NO,BUSH,HURT,0.388
3.0,202.0,45.0,THIRD CALL,25-29,MALE,3,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,18-29,25-29,REPUBLICAN,25-29,25-29,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,HELP,0.371
3.0,202.0,46.0,THIRD CALL,50-59,FEMALE,1,BEFORE THAT,OMITS,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OMITS,"$50,000-$74,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,BUSH,YES,OMITS,YES,NO,LOYAL REPUBLICAN,YES,NO,NO,BUSH,OMITS,0.33
3.0,202.0,47.0,THIRD CALL,30-39,MALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,YES,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,MCCAIN,YES,NO,LOYAL REPUBLICAN,YES,YES,YES,BUSH,HELP,0.322
