STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,STANDLIV,ISSUE,QUALITY,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,FINSIT,UNION,PARTYID,EDUC,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,RACEREL,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BCPERSON,INTERNET,STEC,RELPUB,BRADHLTH,WEIGHT
8.0,5.0,23.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,WILL RISE,EDUCATION,CAN WIN IN NOVEMBER,DISAPPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.042
8.0,5.0,24.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL FALL,OMITS,,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.083
8.0,5.0,25.0,THIRD CALL,40-44,WHITE,FEMALE,BRADLEY,BEFORE THAT,WILL RISE,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,NOT SO GOOD,NOT PUBLIC,NO,1.083
8.0,5.0,26.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,WITHIN LAST 3 DAYS,WILL FALL,ECONOMY/JOBS,,DISAPPROVE,NEITHER,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,SAME,YES,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,COMPLETE,KENT AND SUSSEX COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.042
8.0,5.0,27.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,OMITS,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,,YES,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,1.042
8.0,5.0,28.0,THIRD CALL,30-39,WHITE,MALE,BRADLEY,WITHIN LAST 3 DAYS,WILL RISE,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY BRADLEY,BOTH THE SAME,VERY IMPORTANT,CANDS PERSONAL QUALITIES,SAME,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,YES,GOOD,NOT PUBLIC,YES,1.042
8.0,5.0,29.0,THIRD CALL,50-59,WHITE,MALE,GORE,TODAY,WILL RISE,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,NOT IMPORTANT AT ALL,OMITS,OMITS,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,NOT COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,,50-64,50-64,OMITS,,OMITS,OMITS,YES,0.9500000000000001
8.0,5.0,30.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,TODAY,WILL FALL,CAMPAIGN FINANCE REFORM,STRONG LEADER,APPROVE,BOTH,BOTH THE SAME,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,NO,GOOD,NOT PUBLIC,YES,1.303
8.0,5.0,31.0,THIRD CALL,65-74,WHITE,MALE,GORE,THIS YEAR,WILL FALL,SS/MEDICARE,REPRESENTS CONSERVATIVE VALUES,APPROVE,BOTH,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,SAME,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,1.2530000000000001
8.0,5.0,32.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,WILL RISE,WORLD AFFAIRS,CAN WIN IN NOVEMBER,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,1.042
8.0,5.0,33.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,WILL RISE,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,YES,EXCELLENT,PUBLIC,NO,1.083
8.0,5.0,34.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,WILL RISE,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.988
8.0,5.0,35.0,THIRD CALL,30-39,WHITE,MALE,GORE,THIS YEAR,WILL RISE,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,APPROVE,BOTH,GORE PLAN BETTER,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.9500000000000001
8.0,5.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,WITHIN LAST WEEK,WILL RISE,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,APPROVE,NEITHER,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,YES,GOOD,NOT PUBLIC,YES,0.988
8.0,8.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,STRONG LEADER,APPROVE,BOTH,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.41500000000000004
8.0,8.0,2.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,OMITS,EDUCATION,STRONG LEADER,APPROVE,BOTH,GORE PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.438
8.0,8.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,WITHIN LAST WEEK,WILL RISE,OMITS,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,ONLY GORE,COMPLETE,KENT AND SUSSEX COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,NO,0.527
8.0,8.0,4.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,WORLD AFFAIRS,,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.431
8.0,8.0,5.0,FIRST CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,BOTH,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.438
8.0,8.0,6.0,FIRST CALL,25-29,WHITE,MALE,GORE,WITHIN LAST WEEK,WILL RISE,OMITS,STRONG LEADER,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,18-29,25-29,DEMOCRAT,25-29,25-29,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.41300000000000003
8.0,8.0,7.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,TODAY,WILL FALL,OMITS,STRONG LEADER,APPROVE,NEITHER,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.431
8.0,8.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,TODAY,WILL FALL,EDUCATION,STRONG LEADER,APPROVE,BOTH,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,YES,INDEPENDENT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,KENT AND SUSSEX COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,YES,0.41500000000000004
8.0,8.0,9.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL RISE,ECONOMY/JOBS,STANDS UP FOR BELIEFS,DISAPPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ONLY BRADLEY,COMPLETE,KENT AND SUSSEX COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.456
