AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,TXPSREFD,BCPERSON,GWMRCSRV,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
60+,44.0,12.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.655
60+,44.0,12.0,5.0,FIRST CALL,75+,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,OMITS,FAVORABLE,NO,GORE,YES,WHITE,CATHOLIC,1.317
60+,44.0,12.0,6.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,SOUTH,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,1.655
60+,44.0,12.0,7.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,60+,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,JEWISH,1.8760000000000001
18-24,44.0,12.0,8.0,SECOND CALL,18-24,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$100,000 OR MORE",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.292
40-49,44.0,12.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.2530000000000001
50-59,44.0,12.0,10.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.88
30-39,44.0,12.0,11.0,THIRD CALL,30-39,WHITE,MALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,1.285
40-49,44.0,12.0,12.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,NONE,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,NONE,1.2530000000000001
40-49,44.0,12.0,13.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.88
60+,44.0,12.0,14.0,THIRD CALL,65-74,HISPANIC/LATINO,,BRADLEY,DISAPPROVE,,INDEPENDENT,,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,YES,,,1.532
30-39,44.0,17.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.778
60+,44.0,17.0,2.0,FIRST CALL,75+,HISPANIC/LATINO,FEMALE,GORE,APPROVE,,DEMOCRAT,PROTESTANT,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,DEMOCRAT,65+,75+,OMITS,FAVORABLE,YES,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,1.869
40-49,44.0,17.0,3.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,NONE,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,NONE,1.568
40-49,44.0,17.0,4.0,FIRST CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.101
60+,44.0,17.0,5.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,YES,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.649
18-24,44.0,17.0,6.0,SECOND CALL,18-24,HISPANIC/LATINO,FEMALE,BRADLEY,APPROVE,NO,INDEPENDENT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,18-29,INDEPENDENT/OTHER,18-24,18-24,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.496
60+,44.0,17.0,7.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,2.662
25-29,44.0,17.0,8.0,SECOND CALL,25-29,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,NONE,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,18-29,INDEPENDENT/OTHER,25-29,25-29,FAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,NO,BUSH,NO,WHITE,NONE,1.616
40-49,44.0,17.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.778
60+,44.0,17.0,10.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,OMITS,NO,FAVORABLE,OMITS,GORE,NO,WHITE,CATHOLIC,3.093
50-59,44.0,17.0,11.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.568
60+,44.0,17.0,12.0,THIRD CALL,75+,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,DEMOCRAT,65+,75+,FAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.649
40-49,44.0,17.0,13.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,40-49,40-49,OMITS,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,1.249
40-49,44.0,17.0,14.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,YES,INDEPENDENT,CATHOLIC,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,1.778
40-49,44.0,17.0,15.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.101
18-24,44.0,17.0,16.0,THIRD CALL,18-24,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.1340000000000001
50-59,44.0,17.0,17.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,INDEPENDENT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.249
50-59,44.0,17.0,18.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.249
60+,44.0,17.0,19.0,THIRD CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.649
60+,44.0,17.0,20.0,THIRD CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,WHITE,CATHOLIC,1.649
60+,44.0,17.0,21.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,2.662
50-59,44.0,17.0,22.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,1.568
50-59,44.0,17.0,23.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,OMITS,NO,WHITE,SOMETHING ELSE,1.823
60+,44.0,17.0,24.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,YES,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,2.662
40-49,44.0,17.0,25.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,OMITS,GORE,NO,WHITE,CATHOLIC,1.568
60+,44.0,17.0,26.0,THIRD CALL,65-74,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,2.347
30-39,44.0,17.0,27.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.249
60+,44.0,19.0,1.0,FIRST CALL,65-74,BLACK,MALE,BRADLEY,APPROVE,NO,INDEPENDENT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,EAST,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,GORE,NO,BLACK,CATHOLIC,1.806
60+,44.0,19.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,EAST,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,3.278
30-39,44.0,19.0,3.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,NO,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.6520000000000001
60+,44.0,19.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,EAST,60+,DEMOCRAT,65+,65-74,FAVORABLE,OMITS,OMITS,UNFAVORABLE,OMITS,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,3.278
50-59,44.0,19.0,5.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.415
50-59,44.0,19.0,6.0,FIRST CALL,50-59,OTHER,MALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,NONE,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,NO,BUSH,NO,OTHER,NONE,1.6520000000000001
50-59,44.0,19.0,7.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,YES,BUSH,NO,WHITE,SOMETHING ELSE,1.6520000000000001
60+,44.0,19.0,8.0,FIRST CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,EAST,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,,WHITE,PROTESTANT/OTHER CHRISTIAN,3.081
50-59,44.0,19.0,9.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,APPROVE,NO,INDEPENDENT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,NO,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.6520000000000001
60+,44.0,19.0,10.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,,VERY LIBERAL,LIBERAL,65+,18-74,STATE,EAST,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,SOMETHING ELSE,3.278
40-49,44.0,19.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,APPROVE,NO,INDEPENDENT,SOMETHING ELSE,,MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,NO,WHITE,SOMETHING ELSE,1.758
60+,44.0,19.0,12.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,OTHER,DISAPPROVE,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,EAST,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,1.6300000000000001
40-49,44.0,19.0,13.0,SECOND CALL,40-44,WHITE,MALE,BRADLEY,APPROVE,NO,REPUBLICAN,SOMETHING ELSE,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,40-49,40-49,UNFAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,NO,NEITHER,NO,WHITE,SOMETHING ELSE,1.6520000000000001
30-39,44.0,19.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.758
40-49,44.0,19.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,,MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.571
40-49,44.0,19.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,OTHER,DISAPPROVE,YES,INDEPENDENT,SOMETHING ELSE,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,NEITHER,NO,WHITE,SOMETHING ELSE,1.587
40-49,44.0,19.0,17.0,SECOND CALL,40-44,WHITE,FEMALE,OTHER,DISAPPROVE,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.587
30-39,44.0,19.0,18.0,SECOND CALL,30-39,WHITE,FEMALE,OTHER,DISAPPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,NO,WHITE,SOMETHING ELSE,1.587
30-39,44.0,19.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,DISAPPROVE,YES,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.571
