AGEABC,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,TXPSREFD,GWMRCSRV,GORBSH3,HISPANIC,REL5,WEIGHT
25-29,44.0,207.0,12.0,FIRST CALL,25-29,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.28300000000000003
60+,44.0,207.0,13.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.294
60+,44.0,207.0,14.0,FIRST CALL,75+,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.294
60+,44.0,207.0,15.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,YES,CATHOLIC,0.355
50-59,44.0,207.0,16.0,SECOND CALL,50-59,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
40-49,44.0,207.0,17.0,SECOND CALL,45-49,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
40-49,44.0,207.0,18.0,SECOND CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
30-39,44.0,207.0,19.0,SECOND CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
40-49,44.0,207.0,20.0,SECOND CALL,40-44,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
50-59,44.0,207.0,21.0,SECOND CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,NO,YES,BUSH,NO,CATHOLIC,0.271
60+,44.0,207.0,22.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,OMITS,YES,YES,BUSH,NO,CATHOLIC,0.294
40-49,44.0,207.0,23.0,SECOND CALL,40-44,MALE,BUSH,NO,YES,INDEPENDENT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,SOMETHING ELSE,0.271
40-49,44.0,207.0,24.0,SECOND CALL,40-44,MALE,BUSH,NO,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,YES,CATHOLIC,0.328
60+,44.0,207.0,25.0,SECOND CALL,60-64,MALE,MCCAIN,NO,NO,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,YES,NEITHER,NO,CATHOLIC,0.28600000000000003
30-39,44.0,207.0,26.0,SECOND CALL,30-39,MALE,BUSH,NO,YES,INDEPENDENT,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,NONE,0.271
40-49,44.0,207.0,27.0,SECOND CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,OMITS,BUSH,YES,CATHOLIC,0.328
40-49,44.0,207.0,28.0,SECOND CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
40-49,44.0,207.0,29.0,SECOND CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
50-59,44.0,207.0,30.0,SECOND CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
30-39,44.0,207.0,31.0,SECOND CALL,30-39,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,FAVORABLE,OMITS,YES,BUSH,YES,PROTESTANT/OTHER CHRISTIAN,0.35100000000000003
18-24,44.0,207.0,32.0,SECOND CALL,18-24,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.264
40-49,44.0,207.0,33.0,THIRD CALL,45-49,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,40-49,40-49,OMITS,FAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
30-39,44.0,207.0,34.0,THIRD CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,OMITS,OMITS,OMITS,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
50-59,44.0,207.0,35.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
50-59,44.0,207.0,36.0,THIRD CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
60+,44.0,207.0,37.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.294
30-39,44.0,207.0,38.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
50-59,44.0,207.0,39.0,THIRD CALL,50-59,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.271
30-39,44.0,207.0,40.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
40-49,44.0,207.0,41.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,OMITS,YES,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
30-39,44.0,207.0,42.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.291
30-39,44.0,207.0,43.0,THIRD CALL,30-39,FEMALE,MCCAIN,NO,NO,SOMETHING ELSE,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,YES,NO,GORE,NO,PROTESTANT/OTHER CHRISTIAN,0.28200000000000003
18-24,44.0,207.0,44.0,THIRD CALL,18-24,FEMALE,BUSH,NO,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,FAVORABLE,YES,NO,BUSH,NO,SOMETHING ELSE,0.28300000000000003
60+,44.0,212.0,1.0,FIRST CALL,65-74,,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,CATHOLIC,1.486
40-49,44.0,212.0,2.0,FIRST CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.28
18-24,44.0,212.0,3.0,FIRST CALL,18-24,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.335
60+,44.0,212.0,4.0,FIRST CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.486
50-59,44.0,212.0,5.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",,,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.371
60+,44.0,212.0,6.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
60+,44.0,212.0,7.0,FIRST CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,FAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.486
60+,44.0,212.0,8.0,FIRST CALL,75+,FEMALE,BUSH,NO,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,NO,OMITS,NO,PROTESTANT/OTHER CHRISTIAN,1.486
60+,44.0,212.0,9.0,FIRST CALL,75+,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
60+,44.0,212.0,10.0,FIRST CALL,75+,,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
60+,44.0,212.0,11.0,FIRST CALL,60-64,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
50-59,44.0,212.0,12.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.371
60+,44.0,212.0,13.0,FIRST CALL,75+,,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,SOUTH,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,OMITS,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.486
60+,44.0,212.0,14.0,FIRST CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
60+,44.0,212.0,15.0,FIRST CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
50-59,44.0,212.0,16.0,FIRST CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,,PROTESTANT/OTHER CHRISTIAN,1.371
40-49,44.0,212.0,17.0,FIRST CALL,40-44,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,CATHOLIC,1.28
50-59,44.0,212.0,18.0,SECOND CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,CATHOLIC,1.28
60+,44.0,212.0,19.0,SECOND CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,OMITS,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
40-49,44.0,212.0,20.0,SECOND CALL,45-49,MALE,MCCAIN,YES,NO,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.24
40-49,44.0,212.0,21.0,SECOND CALL,45-49,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,OMITS,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.371
60+,44.0,212.0,22.0,SECOND CALL,65-74,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,NO,BUSH,YES,CATHOLIC,1.676
50-59,44.0,212.0,23.0,SECOND CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,YES,CATHOLIC,1.6560000000000001
60+,44.0,212.0,24.0,SECOND CALL,65-74,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.387
60+,44.0,212.0,25.0,SECOND CALL,65-74,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.486
60+,44.0,212.0,26.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.486
