BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,ASHCROFT,PREVPRI,VETVOTER,CARNAHAN,BEATDEM,REL5,WEIGHT
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,11.0,SECOND CALL,75+,,BUSH,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NEITHER,FAVORABLE,NO,YES,FAVORABLE,BUSH,CATHOLIC,0.868
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,12.0,SECOND CALL,25-29,FEMALE,BUSH,TODAY,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,DEMOCRAT,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BUSH,NO,BOTH,UNFAVORABLE,NO,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.033
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,13.0,SECOND CALL,45-49,,MCCAIN,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,UNFAVORABLE,NO,NO,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.964
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,14.0,SECOND CALL,25-29,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,OMITS,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,MCCAIN,OMITS,YES,YES,OMITS,MCCAIN,CATHOLIC,1.166
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,15.0,SECOND CALL,25-29,FEMALE,MCCAIN,TODAY,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,NO,BOTH,FAVORABLE,NO,NO,FAVORABLE,MCCAIN,CATHOLIC,1.1
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,16.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,FAVORABLE,YES,YES,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.964
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,17.0,SECOND CALL,60-64,FEMALE,MCCAIN,BEFORE THAT,ABORTION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,UNFAVORABLE,YES,NO,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.924
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,18.0,SECOND CALL,60-64,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,FAVORABLE,NO,YES,FAVORABLE,BUSH,CATHOLIC,0.919
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,19.0,SECOND CALL,40-44,MALE,BUSH,WITHIN LAST WEEK,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,OMITS,YES,OMITS,FAVORABLE,YES,NO,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,20.0,SECOND CALL,60-64,,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,OMITS,ONLY REPUBLICANS,BUSH,MCCAIN,OMITS,BUSH,OMITS,OMITS,FAVORABLE,YES,YES,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.868
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,21.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,NONE,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,BOTH,FAVORABLE,YES,YES,FAVORABLE,BUSH,NONE,0.919
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,22.0,SECOND CALL,25-29,FEMALE,BUSH,THIS YEAR,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,MCCAIN,FAVORABLE,NO,NO,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.033
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,23.0,SECOND CALL,50-59,FEMALE,BUSH,BEFORE THAT,EDUCATION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,YES,BOTH,OMITS,YES,NO,OMITS,BUSH,CATHOLIC,0.854
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,24.0,SECOND CALL,50-59,MALE,MCCAIN,TODAY,EDUCATION,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,TOO CONSERVATIVE,OMITS,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,YES,OMITS,FAVORABLE,NO,YES,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.964
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,25.0,THIRD CALL,45-49,MALE,BUSH,TODAY,EDUCATION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,TOO CONSERVATIVE,BUSH,NO,BUSH,FAVORABLE,NO,NO,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,26.0,THIRD CALL,30-39,MALE,BUSH,TODAY,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN ALL CASES,YES,TAX CUT,OMITS,,COLLEGE GRADUATE,OTHER CHRISTIAN,"$75,000-$99,999",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,NO,OMITS,FAVORABLE,YES,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,27.0,THIRD CALL,40-44,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,OMITS,FAVORABLE,OMITS,ALL VOTERS,OMITS,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,NO,MCCAIN,UNFAVORABLE,YES,YES,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.964
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,28.0,THIRD CALL,65-74,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,NO,MCCAIN,FAVORABLE,YES,NO,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.98
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,29.0,THIRD CALL,30-39,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,BUSH,OMITS,NO,NO,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,30.0,THIRD CALL,30-39,FEMALE,MCCAIN,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,FAVORABLE,NO,NO,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.91
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,31.0,THIRD CALL,30-39,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,OMITS,BUSH,OMITS,NEITHER,FAVORABLE,YES,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,32.0,THIRD CALL,30-39,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,MCCAIN,OMITS,YES,NO,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.854
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,33.0,THIRD CALL,45-49,MALE,BUSH,BEFORE THAT,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,OMITS,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,FAVORABLE,YES,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,34.0,THIRD CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,FAVORABLE,YES,NO,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.91
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,35.0,THIRD CALL,60-64,FEMALE,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NEITHER,NO,BOTH,FAVORABLE,YES,NO,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.924
