QTYPE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,WEIGHT,GEOCODE,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BUSHENGL,BEATDEM,CAMPFIN
STATE,23.0,6.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,NO,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,1.0,SOUTHWEST,BOTH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,12.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,TODAY,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,OMITS,OMITS,1.169,SOUTHWEST,BUSH,OMITS,OMITS,NO,NO,LOYAL REPUBLICAN,NO,SOMEWHAT,OMITS,OMITS
STATE,23.0,6.0,13.0,FIRST CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,MILITARY RECORD,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,1.103,SOUTHWEST,MCCAIN,NO,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,14.0,FIRST CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,SOMETHING ELSE,,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,FAVORABLE,1.103,SOUTHWEST,BOTH,NO,NEITHER,YES,,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,MCCAIN,HELP
STATE,23.0,6.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,1.0,SOUTHWEST,BUSH,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,GREAT DEAL,BUSH,HELP
STATE,23.0,6.0,16.0,SECOND CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,TAXES,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,1.199,SOUTHWEST,BOTH,NO,BOTH,YES,YES,LOYAL REPUBLICAN,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,17.0,SECOND CALL,75+,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,1.103,SOUTHWEST,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,18.0,SECOND CALL,60-64,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,1.103,SOUTHWEST,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,19.0,SECOND CALL,40-44,WHITE,MALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,YES,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,0.9440000000000001,SOUTHWEST,MCCAIN,NO,NEITHER,NO,NO,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HURT
STATE,23.0,6.0,20.0,SECOND CALL,65-74,WHITE,FEMALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,1.076,SOUTHWEST,MCCAIN,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,MCCAIN,HURT
STATE,23.0,6.0,21.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,1.199,SOUTHWEST,BUSH,YES,BUSH,YES,YES,LOYAL REPUBLICAN,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,22.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BEFORE THAT,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BOTH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,YES,SOMEWHAT,BUSH,HURT
STATE,23.0,6.0,23.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,1.169,SOUTHWEST,BOTH,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,BUSH,HELP
STATE,23.0,6.0,24.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,1.169,SOUTHWEST,BOTH,YES,BUSH,NO,NO,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,BUSH,HELP
STATE,23.0,6.0,25.0,SECOND CALL,60-64,WHITE,MALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,1.199,SOUTHWEST,BUSH,YES,BUSH,YES,YES,LOYAL REPUBLICAN,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,26.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,1.076,SOUTHWEST,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,6.0,27.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,0.9440000000000001,SOUTHWEST,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HURT
STATE,23.0,6.0,28.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,WORLD AFFAIRS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,NO,"$15,000-$29,000",YES,,,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,1.169,SOUTHWEST,BUSH,OMITS,BOTH,YES,NO,LOYAL REPUBLICAN,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,29.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,OMITS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,1.0,SOUTHWEST,NEITHER,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,30.0,SECOND CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT A TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,NO,SAME,TAX CUT,NO,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,YES,"UNDER $15,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,0.9440000000000001,SOUTHWEST,MCCAIN,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,GREAT DEAL,MCCAIN,HELP
STATE,23.0,6.0,31.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,1.0,SOUTHWEST,BUSH,NO,BUSH,NO,NO,LOYAL REPUBLICAN,YES,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,32.0,SECOND CALL,65-74,WHITE,,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"UNDER $15,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,1.199,SOUTHWEST,BOTH,OMITS,BUSH,YES,YES,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,33.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,BEFORE THAT,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,1.0,SOUTHWEST,BUSH,YES,BOTH,YES,NO,LOYAL REPUBLICAN,YES,NOT MUCH,BUSH,HELP
STATE,23.0,6.0,34.0,SECOND CALL,40-44,WHITE,MALE,BUSH,WITHIN LAST WEEK,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,NO,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,1.026,SOUTHWEST,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,YES,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,35.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,TODAY,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,1.0,SOUTHWEST,BUSH,NO,BOTH,NO,NO,LOYAL REPUBLICAN,YES,NOT AT ALL,BUSH,HURT
STATE,23.0,6.0,36.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,YES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,1.026,SOUTHWEST,BOTH,YES,NEITHER,YES,NO,LOYAL REPUBLICAN,YES,NOT AT ALL,BUSH,HELP
STATE,23.0,6.0,37.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,WORSE,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,1.103,SOUTHWEST,NEITHER,NO,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,OMITS
STATE,23.0,6.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,1.0,SOUTHWEST,BOTH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,YES,GREAT DEAL,MCCAIN,HELP
STATE,23.0,6.0,39.0,THIRD CALL,45-49,WHITE,MALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BUSH,YES,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,YES,SOMEWHAT,BUSH,HELP
STATE,23.0,6.0,40.0,THIRD CALL,40-44,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,0.92,SOUTHWEST,MCCAIN,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,BUSH,OMITS
STATE,23.0,6.0,41.0,THIRD CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,YES,,HIGH SCHOOL GRADUATE,OMITS,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,,40-49,40-49,FAVORABLE,UNFAVORABLE,1.026,SOUTHWEST,BOTH,OMITS,OMITS,YES,YES,OMITS,NO,NOT MUCH,BUSH,HURT
