STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,HISPANIC,REL5,HILLARY,GIULIANI,WEIGHT,QRACE
33.0,5.0,11.0,SECOND CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,RACE RELATIONS,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,FAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,0.676,WHITE
33.0,5.0,12.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,EDUCATION,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,OMITS,"$30,000-$49,000",OMITS,MODERATE,MODERATE,18-64,18-74,NEITHER,OMITS,NOT LIBERAL ENOUGH,2,COMPLETE,RURAL UPSTATE,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,0.716,WHITE
33.0,5.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,TODAY,OMITS,HAS RIGHT EXPERIENCE,DISAPPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,WORSE,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,OMITS,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,OMITS,ABOUT RIGHT,OMITS,2,COMPLETE,RURAL UPSTATE,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,OMITS,GORE,GORE,YES,FAVORABLE,OMITS,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,OMITS,1.06,WHITE
33.0,5.0,14.0,SECOND CALL,25-29,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NONE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,2,COMPLETE,RURAL UPSTATE,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,NONE,UNFAVORABLE,FAVORABLE,1.1480000000000001,WHITE
33.0,5.0,15.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,OMITS,"$75,000-$99,999",OMITS,MODERATE,MODERATE,18-64,18-74,NEITHER,TOO LIBERAL,ABOUT RIGHT,2,COMPLETE,RURAL UPSTATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,0.716,WHITE
33.0,6.0,1.0,FIRST CALL,65-74,HISPANIC/LATINO,,GORE,OMITS,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,OMITS,OMITS,2,NOT COMPLETE,NEW YORK CITY,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,,,FAVORABLE,OMITS,2.436,HISPANIC
33.0,6.0,2.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,GORE,OMITS,SOCIAL SECURITY/MEDICARE,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,OMITS,TOO LIBERAL,2,NOT COMPLETE,NEW YORK CITY,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,2.436,
33.0,6.0,3.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,WITHIN LAST 3 DAYS,ECONOMY/JOBS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,YES,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NEW YORK CITY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,,CATHOLIC,FAVORABLE,UNFAVORABLE,1.8860000000000001,HISPANIC
33.0,6.0,4.0,SECOND CALL,60-64,BLACK,MALE,GORE,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,NOT LIBERAL ENOUGH,OMITS,2,COMPLETE,NEW YORK CITY,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,2.436,BLACK
33.0,6.0,5.0,SECOND CALL,50-59,HISPANIC/LATINO,MALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,2,NOT COMPLETE,NEW YORK CITY,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,2.001,HISPANIC
33.0,6.0,6.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,APPROVE,GORE PLAN BETTER,OMITS,OMITS,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,OMITS,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,2,COMPLETE,NEW YORK CITY,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,OMITS,GORE,GORE,YES,UNFAVORABLE,UNFAVORABLE,FAVORABLE,YES,CATHOLIC,FAVORABLE,UNFAVORABLE,1.8860000000000001,HISPANIC
33.0,6.0,7.0,SECOND CALL,,HISPANIC/LATINO,MALE,GORE,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,,,OMITS,OMITS,OMITS,2,NOT COMPLETE,NEW YORK CITY,,,,,,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,2.001,HISPANIC
33.0,6.0,8.0,SECOND CALL,,HISPANIC/LATINO,FEMALE,GORE,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,DEMOCRAT,,,OMITS,,OMITS,,,,,OMITS,OMITS,OMITS,2,COMPLETE,NEW YORK CITY,,,DEMOCRAT,,,OMITS,OMITS,GORE,GORE,YES,OMITS,OMITS,OMITS,,,FAVORABLE,UNFAVORABLE,1.8860000000000001,HISPANIC
33.0,6.0,9.0,SECOND CALL,50-59,HISPANIC/LATINO,,GORE,OMITS,OMITS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,OMITS,OMITS,OMITS,,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,OMITS,,OMITS,,,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,2,COMPLETE,NEW YORK CITY,45-59,50-59,DEMOCRAT,50-64,50-64,OMITS,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,,CATHOLIC,FAVORABLE,UNFAVORABLE,1.8860000000000001,HISPANIC
33.0,6.0,10.0,SECOND CALL,65-74,HISPANIC/LATINO,MALE,GORE,TODAY,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,OMITS,,OMITS,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,OMITS,2,COMPLETE,NEW YORK CITY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,OMITS,GORE,GORE,YES,FAVORABLE,OMITS,FAVORABLE,YES,CATHOLIC,FAVORABLE,OMITS,2.436,WHITE
33.0,6.0,11.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,GORE,TODAY,SOCIAL SECURITY/MEDICARE,NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"UNDER $15,000",OMITS,MODERATE,MODERATE,18-64,18-74,GORE,TOO LIBERAL,NOT LIBERAL ENOUGH,2,COMPLETE,NEW YORK CITY,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,YES,CATHOLIC,FAVORABLE,UNFAVORABLE,2.436,HISPANIC
33.0,6.0,12.0,SECOND CALL,65-74,HISPANIC/LATINO,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,OMITS,OMITS,2,COMPLETE,NEW YORK CITY,60+,60+,,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,,FAVORABLE,UNFAVORABLE,OMITS,,,FAVORABLE,UNFAVORABLE,2.436,HISPANIC
33.0,6.0,13.0,SECOND CALL,45-49,HISPANIC/LATINO,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,"$15,000-$29,000",OMITS,,,18-64,18-74,GORE,OMITS,OMITS,2,COMPLETE,NEW YORK CITY,45-59,40-49,,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,,UNFAVORABLE,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,2.001,HISPANIC
33.0,6.0,14.0,SECOND CALL,65-74,BLACK,,BRADLEY,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,2,NOT COMPLETE,NEW YORK CITY,60+,60+,,65+,65-74,OMITS,OMITS,GORE,MCCAIN,,OMITS,OMITS,OMITS,NO,,FAVORABLE,UNFAVORABLE,2.445,BLACK
33.0,6.0,15.0,SECOND CALL,75+,HISPANIC/LATINO,FEMALE,GORE,OMITS,SOCIAL SECURITY/MEDICARE,OMITS,APPROVE,OMITS,OMITS,OMITS,OMITS,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,OMITS,"UNDER $15,000",OMITS,,,65+,75+,OMITS,OMITS,OMITS,2,COMPLETE,NEW YORK CITY,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,OMITS,FAVORABLE,FAVORABLE,YES,CATHOLIC,OMITS,OMITS,2.2960000000000003,
33.0,6.0,16.0,SECOND CALL,65-74,HISPANIC/LATINO,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,2,COMPLETE,NEW YORK CITY,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,GORE,GORE,NO,FAVORABLE,OMITS,FAVORABLE,YES,CATHOLIC,FAVORABLE,UNFAVORABLE,2.2960000000000003,HISPANIC
33.0,6.0,17.0,SECOND CALL,,,,GORE,OMITS,SOCIAL SECURITY/MEDICARE,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,,,OMITS,OMITS,OMITS,2,NOT COMPLETE,NEW YORK CITY,,,,,,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,,,FAVORABLE,OMITS,1.3820000000000001,
33.0,6.0,18.0,SECOND CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,TODAY,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,NO,"UNDER $15,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,2,COMPLETE,NEW YORK CITY,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,2.199,HISPANIC
33.0,6.0,19.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,OMITS,WORSE,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,2,COMPLETE,NEW YORK CITY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,FAVORABLE,UNFAVORABLE,FAVORABLE,YES,,FAVORABLE,UNFAVORABLE,2.001,HISPANIC
33.0,6.0,20.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,BRADLEY,TODAY,RACE RELATIONS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,2,NOT COMPLETE,NEW YORK CITY,45-59,50-59,,50-64,50-64,OMITS,OMITS,BUSH,MCCAIN,,OMITS,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,1.8940000000000001,HISPANIC
33.0,6.0,21.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,BRADLEY,TODAY,RACE RELATIONS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,2,NOT COMPLETE,NEW YORK CITY,45-59,50-59,,50-64,50-64,OMITS,OMITS,BUSH,MCCAIN,,OMITS,OMITS,OMITS,YES,,FAVORABLE,UNFAVORABLE,1.8940000000000001,HISPANIC
33.0,6.0,22.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,GORE,WITHIN LAST WEEK,OMITS,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"UNDER $15,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,2,COMPLETE,NEW YORK CITY,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,YES,NONE,FAVORABLE,UNFAVORABLE,2.001,HISPANIC
33.0,6.0,23.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,TODAY,HEALTH CARE,HAS RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ABOUT RIGHT,OMITS,2,NOT COMPLETE,NEW YORK CITY,60+,60+,,65+,65-74,OMITS,OMITS,GORE,OMITS,,OMITS,OMITS,OMITS,NO,,FAVORABLE,OMITS,2.2960000000000003,BLACK
33.0,6.0,24.0,THIRD CALL,40-44,BLACK,FEMALE,BRADLEY,THIS YEAR,RACE RELATIONS,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,2,COMPLETE,NEW YORK CITY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,1.8940000000000001,BLACK
33.0,6.0,25.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,TODAY,OMITS,HAS RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,2,NOT COMPLETE,NEW YORK CITY,30-44,30-39,,30-39,30-39,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,NO,,FAVORABLE,UNFAVORABLE,1.8860000000000001,BLACK
