QRACE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYREPS,REALWIN,GORE,BRADLEY,BEATDEM,GAY,HISPANIC,REL5,REGCA,NOVCHOIC,WEIGHT,BACKSIDE,GEOCODE
WHITE,5.0,5.0,24.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,INDEPENDENT,,,"$75,000-$99,999",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,3.099,COMPLETED,BAY AREA
WHITE,5.0,5.0,27.0,SECOND CALL,50-59,WHITE,MALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,INDEPENDENT,,,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,,,BUSH,MCCAIN,,BOTH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,3.432,COMPLETED,BAY AREA
WHITE,5.0,5.0,33.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,GREAT DEAL,1,,,FAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.689,COMPLETED,BAY AREA
WHITE,5.0,5.0,35.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,OMITS,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.861,COMPLETED,BAY AREA
,5.0,5.0,50.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,YES,REPUBLICAN,,,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,NO,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,YES,,REPUBLICAN,NOT SATISFIED,3.223,COMPLETED,BAY AREA
WHITE,5.0,5.0,51.0,THIRD CALL,50-59,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,3.689,COMPLETED,BAY AREA
WHITE,5.0,5.0,55.0,THIRD CALL,60-64,WHITE,MALE,MCCAIN,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.099,COMPLETED,BAY AREA
WHITE,5.0,5.0,60.0,THIRD CALL,50-59,WHITE,MALE,BUSH,,TAXES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,YES,SOMEWHAT,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.432,COMPLETED,BAY AREA
ASIAN,5.0,5.0,68.0,THIRD CALL,18-24,ASIAN,MALE,BUSH,,TAXES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.432,COMPLETED,BAY AREA
ASIAN,5.0,5.0,69.0,THIRD CALL,50-59,ASIAN,FEMALE,BUSH,,TAXES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,OMITS,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,FAVORABLE,UNFAVORABLE,BUSH,NO,NO,,REPUBLICAN,,3.861,COMPLETED,BAY AREA
ASIAN,5.0,5.0,70.0,THIRD CALL,65-74,ASIAN,MALE,MCCAIN,,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,3.099,COMPLETED,BAY AREA
WHITE,5.0,5.0,72.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.099,COMPLETED,BAY AREA
WHITE,5.0,6.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,,TAXES,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.452,COMPLETED,BAY AREA
HISPANIC,5.0,6.0,11.0,THIRD CALL,40-44,HISPANIC/LATINO,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,OMITS,REPUBLICAN,,,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,NEITHER,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,YES,,REPUBLICAN,SATISFIED,1.049,COMPLETED,BAY AREA
ASIAN,5.0,6.0,12.0,THIRD CALL,50-59,ASIAN,MALE,BUSH,WITHIN LAST WEEK,,,OMITS,,,,BETTER,,,OMITS,REPUBLICAN,,,"$75,000-$99,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,OMITS,,BUSH,OMITS,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,1.211,COMPLETED,BAY AREA
,5.0,6.0,13.0,THIRD CALL,45-49,,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,1.211,COMPLETED,BAY AREA
HISPANIC,5.0,6.0,22.0,THIRD CALL,40-44,HISPANIC/LATINO,MALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,YES,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.049,COMPLETED,BAY AREA
,5.0,6.0,25.0,THIRD CALL,40-44,,FEMALE,BUSH,,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,OMITS,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,,"$100,000 OR MORE",YES,,,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,OMITS,,,ABOUT RIGHT,,,,NO,GREAT DEAL,1,,,OMITS,OMITS,BUSH,NO,,,REPUBLICAN,,1.452,COMPLETED,BAY AREA
WHITE,5.0,7.0,1.0,FIRST CALL,45-49,WHITE,FEMALE,KEYES,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,WORSE,,YES,YES,INDEPENDENT,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,BUSH,MCCAIN,,NEITHER,NEITHER,YES,,,2, KEYES,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.619,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,SAME,,YES,OMITS,REPUBLICAN,,,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.421,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,INDEPENDENT,,,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.421,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,9.0,FIRST CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,YES,NO,,REPUBLICAN,SATISFIED,0.41500000000000004,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,10.0,FIRST CALL,45-49,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,NO,REPUBLICAN,,,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,BOTH,OMITS,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.41500000000000004,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,11.0,FIRST CALL,45-49,WHITE,MALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.41500000000000004,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,12.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,,OMITS,,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,OMITS,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,0.467,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,18.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,,TAXES,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,FAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.467,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,19.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.41500000000000004,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,20.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,SOMEWHAT,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.41500000000000004,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,21.0,FIRST CALL,60-64,WHITE,MALE,BUSH,,MORAL VALUES,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,YES,,STRENGTHEN SOCIAL SECURITY,,OMITS,,,,,OMITS,,,18-64,18-74,STATE,60+,60+,,50-64,50-64,OMITS,OMITS,OMITS,,,OMITS,,,,,NOT AT ALL,1,,,OMITS,OMITS,OMITS,,,,REPUBLICAN,,0.451,NOT COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,22.0,SECOND CALL,75+,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.451,COMPLETED,CENTRAL VALLEY/NORTH
WHITE,5.0,7.0,23.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,GORE,MCCAIN,,NEITHER,NEITHER,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.421,COMPLETED,CENTRAL VALLEY/NORTH
