STATE,PCT,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GOREBUSH,GOREMCAN,PREVPRID,GUNHH,GUNCHOIC,THRDCAND,GORE,BRADLEY,BCPERSON,REGDEMCO,MEXICAN,QRACE,REL5,WEIGHT
6.0,2.0,4.0,THIRD CALL,50-59,HISPANIC/LATINO,MALE,GORE,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,DENVER/BOULDER,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,0.896
6.0,2.0,5.0,THIRD CALL,50-59,WHITE,MALE,UNCOMMITTED,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,MCCAIN,YES,YES,PROTECT GUN RIGHTS,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.182
6.0,2.0,6.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,30-44,30-39,DEMOCRAT,30-39,30-39,GORE,GORE,NO,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.869
6.0,2.0,7.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,OMITS,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,OMITS,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,0.861
6.0,2.0,8.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,NONE,0.869
6.0,2.0,9.0,THIRD CALL,65-74,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICAN,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,INDEPENDENT/OTHER,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,SOMETHING ELSE,1.061
6.0,2.0,10.0,THIRD CALL,50-59,HISPANIC/LATINO,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,0.896
6.0,2.0,11.0,THIRD CALL,,BLACK,FEMALE,GORE,THIS YEAR,OMITS,OMITS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,OMITS,"$75,000-$99,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,,,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,,,DEMOCRAT,,,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.861
6.0,2.0,12.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,INDEPENDENT/OTHER,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,,FAVORABLE,OMITS,UNFAVORABLE,OMITS,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.02
6.0,2.0,13.0,THIRD CALL,40-44,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.904
6.0,10.0,1.0,SECOND CALL,65-74,WHITE,MALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.819
6.0,10.0,2.0,SECOND CALL,25-29,BLACK,,BRADLEY,WITHIN LAST 3 DAYS,EDUCATION,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,OMITS,SAME,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,YES,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,1.393
6.0,10.0,3.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.748
6.0,10.0,4.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,GORE,BEFORE THAT,EDUCATION,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,30-44,30-39,DEMOCRAT,30-39,30-39,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,1.868
6.0,10.0,5.0,THIRD CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,OMITS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,,NO,VERY LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,OMITS,COMPLETE,DENVER/BOULDER,60+,60+,INDEPENDENT/OTHER,65+,65-74,GORE,OMITS,NO,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,OMITS,FAVORABLE,OMITS,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.212
6.0,10.0,6.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,WITHIN LAST 3 DAYS,OMITS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,NO,,COLLEGE GRADUATE,PROTESTANT,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,30-44,30-39,,30-39,30-39,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,OMITS,DEMOCRAT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,1.797
6.0,10.0,7.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,DENVER/BOULDER,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,2.108
6.0,12.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,YES,"UNDER $15,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.838
6.0,12.0,2.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,OMITS,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,OMITS,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,OMITS,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.838
6.0,12.0,3.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,INDEPENDENT/OTHER,50-64,50-64,GORE,GORE,YES,NO,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.969
6.0,12.0,4.0,SECOND CALL,60-64,WHITE,MALE,GORE,BEFORE THAT,EDUCATION,CAN WIN IN NOVEMBER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.9570000000000001
6.0,12.0,5.0,SECOND CALL,75+,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,75+,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,75+,GORE,GORE,YES,YES,PROTECT GUN RIGHTS,,FAVORABLE,OMITS,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.9570000000000001
6.0,12.0,6.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,OMITS,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,YES,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.838
6.0,12.0,7.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,INDEPENDENT/OTHER,65+,65-74,GORE,GORE,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.969
6.0,12.0,8.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,OMITS,OMITS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,,PROTESTANT,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,65-74,GORE,MCCAIN,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.969
