QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,DEMVOTE,ISSUE,QUALITY,CLINTON,UNION,PARTYID,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,CAUCUS,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,BCPERSON,INTERNET,WEIGHT
STATE,EAST,16.0,7.0,8.0,FIRST CALL,45-49,FEMALE,GORE,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,,FAVORABLE,NO,0.797
STATE,EAST,16.0,7.0,9.0,FIRST CALL,60-64,MALE,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,60+,60+,DEMOCRAT,50-64,50-64,NO,FAVORABLE,NO,0.797
STATE,EAST,16.0,8.0,1.0,SECOND CALL,65-74,MALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,OMITS,NO,2.203
STATE,EAST,16.0,8.0,2.0,SECOND CALL,45-49,MALE,GORE,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,45-59,40-49,DEMOCRAT,40-49,40-49,NO,FAVORABLE,YES,2.203
STATE,EAST,16.0,8.0,3.0,SECOND CALL,40-44,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,YES,DEMOCRAT,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,NO,30-44,40-49,DEMOCRAT,40-49,40-49,YES,FAVORABLE,YES,2.203
STATE,EAST,16.0,8.0,4.0,SECOND CALL,65-74,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,DISAPPROVE,NO,DEMOCRAT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,UNFAVORABLE,YES,2.203
STATE,EAST,16.0,8.0,5.0,SECOND CALL,65-74,FEMALE,UNCOMMITTED,SOCIAL SECURITY/MEDICARE,OMITS,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,UNFAVORABLE,YES,3.0420000000000003
STATE,EAST,16.0,9.0,1.0,SECOND CALL,40-44,FEMALE,GORE,HAS RIGHT EXPERIENCE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,NO,30-44,40-49,DEMOCRAT,40-49,40-49,YES,UNFAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,2.0,SECOND CALL,30-39,FEMALE,BRADLEY,OMITS,STANDS UP FOR BELIEFS,APPROVE,NO,REPUBLICAN,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,,FAVORABLE,,0.933
STATE,EAST,16.0,9.0,3.0,SECOND CALL,30-39,FEMALE,GORE,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,30-44,30-39,DEMOCRAT,30-39,30-39,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,4.0,SECOND CALL,30-39,FEMALE,GORE,HAS RIGHT EXPERIENCE,HAS RIGHT EXPERIENCE,APPROVE,YES,DEMOCRAT,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,YES,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,5.0,SECOND CALL,50-59,FEMALE,BRADLEY,HEALTH CARE,HAS RIGHT EXPERIENCE,DISAPPROVE,NO,REPUBLICAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,45-59,50-59,DEMOCRAT,50-64,50-64,NO,UNFAVORABLE,NO,0.933
STATE,EAST,16.0,9.0,6.0,SECOND CALL,50-59,MALE,BRADLEY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,NO,REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,45-59,50-59,DEMOCRAT,50-64,50-64,NO,UNFAVORABLE,YES,0.933
STATE,EAST,16.0,9.0,7.0,SECOND CALL,50-59,,UNCOMMITTED,OMITS,OMITS,APPROVE,NO,INDEPENDENT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,UNFAVORABLE,YES,1.1320000000000001
STATE,EAST,16.0,9.0,8.0,SECOND CALL,45-49,MALE,GORE,WORLD AFFAIRS,HAS RIGHT EXPERIENCE,DISAPPROVE,YES,REPUBLICAN,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,,UNFAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,9.0,SECOND CALL,60-64,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,YES,60+,60+,DEMOCRAT,50-64,50-64,YES,UNFAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,10.0,SECOND CALL,50-59,FEMALE,GORE,HEALTH CARE,HAS RIGHT EXPERIENCE,APPROVE,YES,,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,50-59,,50-64,50-64,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,11.0,SECOND CALL,50-59,MALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,12.0,SECOND CALL,30-39,MALE,UNCOMMITTED,HAS RIGHT EXPERIENCE,CAN WIN IN NOVEMBER,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,,FAVORABLE,YES,1.1320000000000001
STATE,EAST,16.0,9.0,13.0,SECOND CALL,30-39,MALE,UNCOMMITTED,HAS RIGHT EXPERIENCE,CAN WIN IN NOVEMBER,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,NO,30-44,30-39,DEMOCRAT,30-39,30-39,NO,OMITS,YES,1.1320000000000001
STATE,EAST,16.0,9.0,14.0,SECOND CALL,65-74,MALE,GORE,OMITS,NEW IDEAS,APPROVE,NO,DEMOCRAT,,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,15.0,SECOND CALL,50-59,FEMALE,GORE,HEALTH CARE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,YES,UNFAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,16.0,SECOND CALL,45-49,MALE,BRADLEY,HEALTH CARE,NOT TYPICAL POLITICIAN,APPROVE,NO,REPUBLICAN,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,45-59,40-49,DEMOCRAT,40-49,40-49,NO,FAVORABLE,YES,0.933
STATE,EAST,16.0,9.0,17.0,SECOND CALL,45-49,FEMALE,GORE,HEALTH CARE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,45-59,40-49,DEMOCRAT,40-49,40-49,YES,FAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,18.0,SECOND CALL,50-59,FEMALE,GORE,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,YES,FAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,19.0,SECOND CALL,25-29,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,18-29,25-29,DEMOCRAT,25-29,25-29,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,20.0,SECOND CALL,45-49,FEMALE,BRADLEY,HAS RIGHT EXPERIENCE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,NO,45-59,40-49,DEMOCRAT,40-49,40-49,,FAVORABLE,NO,0.933
STATE,EAST,16.0,9.0,21.0,SECOND CALL,65-74,FEMALE,GORE,HEALTH CARE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,22.0,SECOND CALL,30-39,FEMALE,BRADLEY,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,YES,REPUBLICAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,,UNFAVORABLE,NO,0.933
STATE,EAST,16.0,9.0,23.0,SECOND CALL,60-64,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,NO,INDEPENDENT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,OMITS,NO,0.8190000000000001
STATE,EAST,16.0,9.0,24.0,SECOND CALL,65-74,FEMALE,GORE,HEALTH CARE,STRONG LEADER,APPROVE,NO,DEMOCRAT,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,YES,FAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,25.0,SECOND CALL,50-59,MALE,GORE,OMITS,OMITS,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,26.0,SECOND CALL,45-49,FEMALE,GORE,WORLD AFFAIRS,CAN WIN IN NOVEMBER,APPROVE,YES,DEMOCRAT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,YES,45-59,40-49,DEMOCRAT,40-49,40-49,,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,9.0,27.0,SECOND CALL,40-44,MALE,GORE,HAS RIGHT EXPERIENCE,HAS RIGHT EXPERIENCE,DISAPPROVE,YES,DEMOCRAT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,NO,30-44,40-49,DEMOCRAT,40-49,40-49,,UNFAVORABLE,NO,0.8190000000000001
STATE,EAST,16.0,9.0,28.0,SECOND CALL,65-74,,GORE,OMITS,HAS RIGHT EXPERIENCE,APPROVE,NO,DEMOCRAT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,NO,OMITS,NO,0.8190000000000001
STATE,EAST,16.0,9.0,29.0,SECOND CALL,50-59,MALE,UNCOMMITTED,WORLD AFFAIRS,STRONG LEADER,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,,FAVORABLE,YES,1.1320000000000001
STATE,EAST,16.0,9.0,30.0,SECOND CALL,75+,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,NO,DEMOCRAT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,YES,60+,60+,DEMOCRAT,65+,75+,NO,OMITS,NO,0.8190000000000001
STATE,EAST,16.0,9.0,31.0,SECOND CALL,75+,,GORE,OMITS,LOYAL DEMOCRAT,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,YES,60+,60+,DEMOCRAT,65+,75+,NO,FAVORABLE,YES,0.8190000000000001
STATE,EAST,16.0,14.0,1.0,SECOND CALL,50-59,FEMALE,UNCOMMITTED,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,YES,45-59,50-59,DEMOCRAT,50-64,50-64,,FAVORABLE,YES,3.7600000000000002
STATE,EAST,16.0,14.0,2.0,SECOND CALL,18-24,FEMALE,GORE,HAS RIGHT EXPERIENCE,STANDS UP FOR BELIEFS,APPROVE,NO,REPUBLICAN,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,NO,18-29,18-24,DEMOCRAT,18-24,18-24,NO,FAVORABLE,YES,2.724
STATE,EAST,16.0,14.0,3.0,SECOND CALL,50-59,FEMALE,GORE,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,NO,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,YES,2.724
STATE,EAST,16.0,14.0,4.0,SECOND CALL,30-39,MALE,BRADLEY,OMITS,NOT TYPICAL POLITICIAN,APPROVE,NO,DEMOCRAT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,YES,UNFAVORABLE,YES,3.102
STATE,EAST,16.0,14.0,5.0,SECOND CALL,30-39,FEMALE,BRADLEY,HAS RIGHT EXPERIENCE,NEW IDEAS,APPROVE,NO,REPUBLICAN,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,YES,30-44,30-39,DEMOCRAT,30-39,30-39,,FAVORABLE,YES,3.102
STATE,EAST,16.0,14.0,6.0,SECOND CALL,50-59,MALE,GORE,HAS RIGHT EXPERIENCE,STRONG LEADER,APPROVE,NO,INDEPENDENT,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,NO,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,FAVORABLE,YES,2.724
STATE,EAST,16.0,15.0,1.0,FIRST CALL,60-64,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,YES,60+,60+,DEMOCRAT,50-64,50-64,,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,2.0,FIRST CALL,60-64,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,YES,DEMOCRAT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,YES,60+,60+,DEMOCRAT,50-64,50-64,,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,3.0,FIRST CALL,50-59,MALE,GORE,HAS RIGHT EXPERIENCE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,NO,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,4.0,FIRST CALL,65-74,FEMALE,GORE,HEALTH CARE,NEW IDEAS,APPROVE,NO,DEMOCRAT,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,5.0,FIRST CALL,30-39,FEMALE,BRADLEY,HAS RIGHT EXPERIENCE,HAS RIGHT EXPERIENCE,APPROVE,NO,INDEPENDENT,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NO,UNFAVORABLE,YES,1.492
STATE,EAST,16.0,15.0,6.0,FIRST CALL,45-49,FEMALE,UNCOMMITTED,HAS RIGHT EXPERIENCE,OMITS,APPROVE,NO,INDEPENDENT,"$30,000-$49,000",,,18-64,18-74,NO,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,YES,OMITS,YES,1.81
STATE,EAST,16.0,15.0,7.0,FIRST CALL,65-74,FEMALE,GORE,SOCIAL SECURITY/MEDICARE,LOYAL DEMOCRAT,APPROVE,NO,DEMOCRAT,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,YES,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,8.0,FIRST CALL,65-74,FEMALE,BRADLEY,OMITS,STRONG LEADER,APPROVE,NO,DEMOCRAT,"UNDER $15,000",,,65+,18-74,NO,60+,60+,DEMOCRAT,65+,65-74,,OMITS,NO,1.492
STATE,EAST,16.0,15.0,9.0,FIRST CALL,65-74,,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,NO,DEMOCRAT,,MODERATE,MODERATE,65+,18-74,YES,60+,60+,DEMOCRAT,65+,65-74,NO,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,10.0,FIRST CALL,60-64,FEMALE,GORE,OMITS,OMITS,OMITS,,DEMOCRAT,,,,18-64,18-74,NO,60+,60+,DEMOCRAT,50-64,50-64,OMITS,OMITS,YES,1.311
STATE,EAST,16.0,15.0,11.0,FIRST CALL,75+,,GORE,OMITS,NEW IDEAS,APPROVE,YES,DEMOCRAT,,SOMEWHAT LIBERAL,LIBERAL,65+,75+,NO,60+,60+,DEMOCRAT,65+,75+,NO,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,12.0,FIRST CALL,50-59,MALE,GORE,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,NO,DEMOCRAT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,45-59,50-59,DEMOCRAT,50-64,50-64,NO,FAVORABLE,NO,1.311
STATE,EAST,16.0,15.0,13.0,FIRST CALL,45-49,MALE,BRADLEY,HAS RIGHT EXPERIENCE,NEW IDEAS,APPROVE,NO,INDEPENDENT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,YES,FAVORABLE,YES,1.492
STATE,EAST,16.0,15.0,14.0,FIRST CALL,,MALE,GORE,OMITS,OMITS,OMITS,,,,,,,,OMITS,,,,,,OMITS,OMITS,,1.311
