STATE,PREC,SEQ,OTHPRIDI,OVER65,OVER75,REGDEM,BACKSIDE,GEOCODE,AGE4,AGEABC,AGE65,AGE75,OTHERPRI,REFORMVT,BEATREP,CALL,AGE9,SEX,DEMVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ADSGORE,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,ADSBRAD,DEMSEEN,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,PARTY,DEBATES,GORE,BRADLEY,BCPERSON,INTERNET,STEC,ETAX,NEWWAYS,MARRIED,CHILD,RELPUB,DESCRIBE,IMPRESS,ELIFE,BRADHLTH,SOTUNION,REL5,WEIGHT
30.0,1.0,11.0,"YES, FOR MCCAIN",,,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,,,,,"YES, FOR MCCAIN",OMITS,OMITS,CALL 2,,,GORE,,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,FAVORABLE,NO,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,,,GREAT DEAL,,,,0.899
30.0,1.0,12.0,"YES, FOR MCCAIN",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,"YES, FOR MCCAIN",NO,GORE,CALL 2,45-49,FEMALE,GORE,WITHIN LAST WEEK,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"UNDER $15,000",YES,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,GREAT DEAL,,,CATHOLIC,0.899
30.0,1.0,13.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,MALE,GORE,,SATISFIED WITH CANDS,WILL RISE,,,,APPROVE,GORE,,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,SAME,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,,,"$30,000-$49,000",,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,FAVORABLE,,EXCELLENT,,,NO,YES,,,,,NO,NO,,0.9570000000000001
30.0,1.0,14.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,MALE,BRADLEY,,WOULD LIKE SOMEONE ELSE,WILL FALL,,NOT A TYPICAL POLITICIAN,,DISAPPROVE,BRADLEY,,VERY IMPORTANT,CAND'S PERSONAL QUALITIES,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$50,000-$74,999",,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,NO,,0.736
30.0,1.0,15.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,SS/ MEDICARE,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,GORE'S PLAN,SOMEWHAT IMPORTANT,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,YES,,,,,NO,NO,,0.899
30.0,1.0,16.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL FALL,EDUCATION,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,YES,,0.899
30.0,1.0,17.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,STANDS UP FOR BELIEFS,,APPROVE,,,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$100,000 OR MORE",,MODERATE,MODERATE,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,EXCELLENT,,,YES,NO,,,,,NO,YES,,0.899
30.0,1.0,18.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.6910000000000001
30.0,1.0,19.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,,,,CALL 3,40-44,FEMALE,BRADLEY,,,,,,,,,BOTH ABOUT THE SAME,NOT IMPORTANT AT ALL,,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,MODERATE,MODERATE,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,NOT SO GOOD,,,YES,YES,,,,,NO,,,0.6910000000000001
30.0,1.0,20.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,NOT A TYPICAL POLITICIAN,,APPROVE,BRADLEY,BOTH ABOUT THE SAME,SOMEWHAT IMPORTANT,CAND'S POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,,,"UNDER $15,000",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,UNFAVORABLE,,NOT SO GOOD,,,NO,NO,,,,,NO,NO,,0.6910000000000001
30.0,1.0,21.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 3,50-59,MALE,BRADLEY,,WOULD LIKE SOMEONE ELSE,WILL FALL,SS/ MEDICARE,STANDS UP FOR BELIEFS,,DISAPPROVE,BRADLEY,BRADLEY'S PLAN,VERY IMPORTANT,CAND'S PERSONAL QUALITIES,,,WORSE,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"UNDER $15,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,YES,NO,,0.736
30.0,1.0,22.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 3,50-59,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,WORLD AFFAIRS,STANDS UP FOR BELIEFS,,APPROVE,BOTH,BRADLEY'S PLAN,NOT IMPORTANT AT ALL,CAND'S POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,,,"UNDER $15,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,,,GOOD,,,NO,NO,,,,,NO,YES,,0.6910000000000001
30.0,1.0,23.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,HEALTH CARE,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,UNFAVORABLE,,NOT SO GOOD,,,YES,NO,,,,,NO,YES,,0.6910000000000001
30.0,1.0,24.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,STRONG LEADER,,APPROVE,BOTH,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,YES,,0.899
30.0,1.0,25.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 3,50-59,,GORE,,SATISFIED WITH CANDS,WILL RISE,SS/ MEDICARE,STRONG LEADER,,DISAPPROVE,GORE,GORE'S PLAN,VERY IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,UNFAVORABLE,UNFAVORABLE,,EXCELLENT,,,YES,NO,,,,,YES,YES,,0.9570000000000001
30.0,1.0,26.0,NO,65+,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,65+,65-74,NO,NO,BRADLEY,CALL 3,65-74,FEMALE,BRADLEY,WITHIN LAST WEEK,,,,,NO,DISAPPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$50,000-$74,999",YES,VERY LIBERAL,LIBERAL,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,NO,,YES,NO,PUBLICLY DISCUSSED,STRONGLY FAVOR MY CAND,NEWSPAPERS,NOT AT ALL,,,PROTESTANT/OTHER CHRISTIAN,0.9440000000000001
30.0,1.0,27.0,,18-64,18-74,NOT REGISTERED,COMPLETE,RURAL NORTH,18-29,18-24,18-24,18-24,"YES, FOR MCCAIN",NO,BRADLEY,CALL 3,18-24,MALE,BRADLEY,WITHIN LAST WEEK,,,,,NO,APPROVE,,,,,YES,THREE OR MORE,,,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"UNDER $15,000",NO,MODERATE,MODERATE,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,NO,,YES,NEW WAYS,NO,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,TELEVISION,GOOD AMOUNT,,,PROTESTANT/OTHER CHRISTIAN,0.777
30.0,1.0,28.0,,65+,75+,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,65+,75+,NO,YES,GORE,CALL 3,75+,MALE,GORE,THIS YEAR,,,,,NO,APPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,PROTESTANT,YES,"$15,000-$29,999",NO,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,TELEVISION,NOT AT ALL,,,PROTESTANT/OTHER CHRISTIAN,1.307
30.0,1.0,29.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,NO,YES,GORE,CALL 3,40-44,MALE,GORE,WITHIN LAST WEEK,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,COLLEGE GRADUATE,JEWISH,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,NOT TOO CLOSELY,,,FAVORABLE,YES,,YES,NEW WAYS,YES,NO,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,GREAT DEAL,,,JEWISH,0.9570000000000001
30.0,1.0,30.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,NO,YES,BRADLEY,CALL 3,50-59,FEMALE,BRADLEY,THIS YEAR,,,,,NO,DISAPPROVE,,,,,NO,THREE OR MORE,,,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$15,000-$29,999",YES,MODERATE,MODERATE,INDEPENDENT/OTHER,NOT TOO CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,INTERNET,GREAT DEAL,,,PROTESTANT/OTHER CHRISTIAN,0.6910000000000001
30.0,1.0,31.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,50-64,50-64,NO,NO,BRADLEY,CALL 3,60-64,FEMALE,BRADLEY,THIS YEAR,,,,,NO,APPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,CATHOLIC,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,RADIO,LITTLE,,,CATHOLIC,0.9440000000000001
30.0,1.0,32.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,50-64,50-64,"YES, FOR MCCAIN",NO,GORE,CALL 3,60-64,FEMALE,GORE,THIS YEAR,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,COLLEGE GRADUATE,JEWISH,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,VERY CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,,GREAT DEAL,,,JEWISH,1.227
30.0,1.0,33.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,NO,NO,GORE,CALL 3,50-59,FEMALE,GORE,BEFORE THAT,,,,,YES,APPROVE,,,,,NO,NONE,,,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,DISLIKE OTHER CANDIDATE,TELEVISION,GREAT DEAL,,,CATHOLIC,0.899
30.0,1.0,34.0,"YES, FOR MCCAIN",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,18-29,25-29,25-29,25-29,"YES, FOR MCCAIN",NO,BRADLEY,CALL 3,25-29,FEMALE,BRADLEY,THIS YEAR,,,,,YES,APPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,FAMILIAR APPROACH,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,TELEVISION,GREAT DEAL,,,PROTESTANT/OTHER CHRISTIAN,0.729
30.0,1.0,35.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,"YES, FOR MCCAIN",NO,GORE,CALL 3,50-59,FEMALE,GORE,TODAY,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,PROTESTANT,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,NEW WAYS,NO,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,NEWSPAPERS,GREAT DEAL,,,PROTESTANT/OTHER CHRISTIAN,0.899
30.0,1.0,36.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,"YES, FOR MCCAIN",NO,OMITS,CALL 3,50-59,FEMALE,BRADLEY,WITHIN 3 DAYS,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,FAMILIAR APPROACH,YES,YES,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,NEWSPAPERS,GREAT DEAL,,,PROTESTANT/OTHER CHRISTIAN,0.6910000000000001
30.0,1.0,37.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,NO,NO,GORE,CALL 3,50-59,MALE,GORE,THIS YEAR,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,SOMETHING ELSE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,TELEVISION,GREAT DEAL,,,SOMETHING ELSE,0.9570000000000001
30.0,2.0,1.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,50-59,50-64,50-64,,,,CALL 1,50-59,MALE,BRADLEY,,WOULD LIKE SOMEONE ELSE,WILL RISE,EDUCATION,NOT A TYPICAL POLITICIAN,,APPROVE,BRADLEY,BRADLEY'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,,,"$100,000 OR MORE",,MODERATE,MODERATE,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.7010000000000001
30.0,2.0,2.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,40-49,40-49,40-49,,,,CALL 1,40-44,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,MODERATE,MODERATE,DEMOCRAT,,FAVORABLE,UNFAVORABLE,FAVORABLE,,GOOD,,,NO,NO,,,,,NO,YES,,0.8220000000000001
