BUSHUNFR,VETVOTER,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,TIME,NONPVOTE,CLINTON,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,MCRRIGHT,VERSION,ONLYDEMS,ONLYREPS,REALWIN,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,SENCA,PROP22,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,WEIGHT
NO,,5.0,2.0,11.0,SECOND CALL,50-59,BLACK,MALE,BEFORE THAT,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,DEMOCRAT,,,NO,"$50,000-$74,999",NO,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,45-59,50-59,DEMOCRAT,50-64,50-64,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG PARTY REGISTERED VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.855
NO,,5.0,2.0,12.0,SECOND CALL,30-39,ASIAN,FEMALE,WITHIN LAST WEEK,BRADLEY,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,SOMETHING ELSE,,,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,BUSH,MCCAIN,,BOTH,BOTH,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,ASIAN,,DEMOCRAT,NOT SATISFIED,0.6970000000000001
YES,,5.0,2.0,13.0,SECOND CALL,65-74,WHITE,FEMALE,BEFORE THAT,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,DEMOCRAT,,,YES,"$30,000-$49,000",NO,YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,65-74,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,OMITS,,,FAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,SATISFIED,1.186
OMITS,,5.0,2.0,14.0,SECOND CALL,75+,BLACK,FEMALE,THIS YEAR,GORE,OMITS,OMITS,,,,BETTER,,YES,DEMOCRAT,,,OMITS,,OMITS,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,ABOUT RIGHT,OMITS,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,75+,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,OMITS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,OMITS,1.167
YES,,5.0,2.0,15.0,SECOND CALL,40-44,WHITE,MALE,WITHIN LAST 3 DAYS,MCCAIN,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$30,000-$49,000",YES,YES,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,OTHER,SATISFIED,0.8300000000000001
OMITS,NO,5.0,2.0,16.0,SECOND CALL,40-44,BLACK,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,OMITS,,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$30,000-$49,000",,OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT MUCH,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,0.706
YES,NO,5.0,2.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,,BRADLEY,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$100,000 OR MORE",,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,0.625
YES,NO,5.0,2.0,18.0,SECOND CALL,45-49,WHITE,FEMALE,,BRADLEY,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,INDEPENDENT,POST GRADUATE STUDY,NONE,,"$50,000-$74,999",,YES,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,NONE,DEMOCRAT,,0.625
YES,NO,5.0,2.0,19.0,SECOND CALL,25-29,BLACK,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$100,000 OR MORE",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,18-29,25-29,DEMOCRAT,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,0.66
NO,NO,5.0,2.0,20.0,SECOND CALL,25-29,WHITE,FEMALE,,GORE,,OMITS,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,,"$50,000-$74,999",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,18-29,25-29,DEMOCRAT,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,0.671
NO,NO,5.0,2.0,22.0,SECOND CALL,50-59,WHITE,MALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$50,000-$74,999",,NO,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,45-59,50-59,DEMOCRAT,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,SOMEWHAT,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,YES,FEINSTEIN,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,0.78
NO,NO,5.0,2.0,23.0,SECOND CALL,18-24,BLACK,FEMALE,,GORE,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,,TAX CUT,,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,,"$30,000-$49,000",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,BAY AREA,18-29,18-24,DEMOCRAT,18-24,18-24,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,0.66
YES,YES,5.0,2.0,24.0,SECOND CALL,65-74,WHITE,MALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,,"$30,000-$49,000",,YES,MODERATE,MODERATE,65+,18-74,,,STATE,COMPLETED,BAY AREA,60+,60+,DEMOCRAT,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,1.159
YES,NO,5.0,2.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,OMITS,,SOMETHING ELSE,COLLEGE GRADUATE,NONE,,"$50,000-$74,999",,YES,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,BAY AREA,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,SOMEWHAT,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,WHITE,NONE,DEMOCRAT,,0.717
NO,NO,5.0,2.0,26.0,SECOND CALL,40-44,WHITE,FEMALE,,BRADLEY,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,NONE,,"$30,000-$49,000",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,BAY AREA,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT MUCH,WHITE,,,,FAVORABLE,FAVORABLE,,BUSH,NO,FEINSTEIN,NO,NO,WHITE,NONE,DEMOCRAT,,0.625
NO,NO,5.0,2.0,28.0,SECOND CALL,45-49,BLACK,FEMALE,,KEYES,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,,TAX CUT,,INDEPENDENT,COLLEGE GRADUATE,NONE,,"$100,000 OR MORE",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,BAY AREA,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,,NO,BLACK,NONE,OTHER,,0.754
OMITS,,5.0,2.0,29.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,GORE,OMITS,OMITS,,,,OMITS,,,,,,OMITS,,OMITS,OMITS,,,18-64,18-74,OMITS,OMITS,STATE,COMPLETED,BAY AREA,18-29,25-29,,25-29,25-29,,,,GORE,GORE,,OMITS,NEITHER,YES,,YELLOW,GORE,OMITS,OMITS,,,OMITS,,,,,YES,HISPANIC/LATINO,,DEMOCRAT,OMITS,0.735
YES,,5.0,2.0,30.0,THIRD CALL,50-59,BLACK,FEMALE,BEFORE THAT,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,YES,"$50,000-$74,999",NO,YES,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,45-59,50-59,DEMOCRAT,50-64,50-64,,,,GORE,GORE,,BOTH,OMITS,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG PARTY REGISTERED VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.786
OMITS,,5.0,2.0,31.0,THIRD CALL,50-59,WHITE,FEMALE,WITHIN LAST WEEK,NADER,OMITS,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,SOMETHING ELSE,,,OMITS,"UNDER $15,000",OMITS,OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,BAY AREA,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG PARTY REGISTERED VOTERS,,,OMITS,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,0.385
OMITS,,5.0,2.0,32.0,THIRD CALL,18-24,OTHER,FEMALE,WITHIN LAST WEEK,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,18-29,18-24,DEMOCRAT,18-24,18-24,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,OTHER,,DEMOCRAT,NOT SATISFIED,0.652
NO,,5.0,2.0,33.0,THIRD CALL,18-24,WHITE,FEMALE,TODAY,NADER,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,INDEPENDENT,,,NO,"$15,000-$29,000",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,BAY AREA,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,,,,GORE,GORE,,NEITHER,NEITHER,NO,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG ALL VOTERS,,,UNFAVORABLE,,YES,,,NO,WHITE,,OTHER,NOT SATISFIED,0.36
YES,,5.0,2.0,34.0,THIRD CALL,40-44,OTHER,FEMALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,INDEPENDENT,,,YES,"$50,000-$74,999",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,KEYES,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,NO,OTHER,,OTHER,SATISFIED,0.799
NO,,5.0,2.0,35.0,THIRD CALL,40-44,WHITE,FEMALE,WITHIN LAST 3 DAYS,MCCAIN,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$75,000-$99,999",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,BAY AREA,30-44,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,MCCAIN,MCCAIN,NO,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,0.764
NO,,5.0,2.0,36.0,THIRD CALL,30-39,BLACK,FEMALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,DEMOCRAT,,,YES,"$50,000-$74,999",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETED,BAY AREA,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,NEITHER,MCCAIN,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,NOT SATISFIED,0.786
NO,,5.0,2.0,37.0,THIRD CALL,30-39,WHITE,FEMALE,TODAY,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,SOMETHING ELSE,,,NO,"$30,000-$49,000",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,BAY AREA,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,NO,WHITE,,OTHER,NOT SATISFIED,0.6970000000000001
NO,,5.0,2.0,38.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,THIS YEAR,GORE,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,NO,"UNDER $15,000",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,BAY AREA,18-29,18-24,DEMOCRAT,18-24,18-24,,,,GORE,GORE,,NEITHER,NEITHER,NO,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,UNFAVORABLE,,YES,,,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,0.735
OMITS,,5.0,2.0,39.0,THIRD CALL,30-39,BLACK,FEMALE,THIS YEAR,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,NO,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,OMITS,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,STATE,COMPLETED,BAY AREA,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,BOTH,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.786
YES,,5.0,2.0,40.0,THIRD CALL,25-29,WHITE,FEMALE,BEFORE THAT,NADER,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,SOMETHING ELSE,,,NO,"UNDER $15,000",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,BAY AREA,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,OMITS,,,,,NO,WHITE,,OTHER,NOT SATISFIED,0.36
OMITS,,5.0,2.0,41.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,INDEPENDENT,,,OMITS,"$50,000-$74,999",OMITS,OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,OMITS,STATE,COMPLETED,BAY AREA,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,,,,GORE,GORE,,NEITHER,OMITS,NO,,YELLOW,GORE,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,0.735
