QTYPE,VETVOTER,GEOCODE,BUSHUNFR,STR8TALK,BEATDEM,REFORMER,MCSAYDO,INTERNET,LOYALREP,MCCONSRV,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,WEIGHT
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,13.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE THAT,MORAL VALUES,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.534
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,14.0,FIRST CALL,75+,WHITE,MALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.534
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,OMITS,47.0,2.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.268
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,16.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,OMITS,BUSH,GORE,1.547
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,17.0,FIRST CALL,45-49,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,TAXES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.113
STATE,NO,EAST/RICHMOND,YES,MCCAIN,OMITS,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,18.0,FIRST CALL,75+,WHITE,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$75,000-$99,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.358
STATE,YES,EAST/RICHMOND,OMITS,MCCAIN,MCCAIN,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,19.0,FIRST CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$75,000-$99,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.348
STATE,NO,EAST/RICHMOND,YES,NEITHER,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,2.0,20.0,FIRST CALL,60-64,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,OMITS,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.348
STATE,,EAST/RICHMOND,OMITS,OMITS,OMITS,OMITS,NO,,NOT TIED TO PARTY LEADERS,OMITS,47.0,2.0,21.0,SECOND CALL,18-24,WHITE,MALE,BUSH,OMITS,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,OMITS,NO,LEGAL IN ALL CASES,NO,OMITS,OMITS,,,,OMITS,,,18-64,18-74,NOT COMPLETE,18-29,18-24,,18-24,18-24,OMITS,OMITS,ONLY REPUBLICANS,OMITS,OMITS,1.281
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,22.0,SECOND CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.258
STATE,YES,EAST/RICHMOND,YES,MCCAIN,MCCAIN,BOTH,NO,NO,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,2.0,23.0,SECOND CALL,40-44,WHITE,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.104
STATE,YES,EAST/RICHMOND,OMITS,NEITHER,BUSH,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,NOT CONSERVATIVE ENOUGH,47.0,2.0,24.0,SECOND CALL,50-59,,MALE,MCCAIN,BEFORE THAT,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,SAME,OMITS,INDEPENDENT,,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.104
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,25.0,SECOND CALL,25-29,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,1.1340000000000001
STATE,NO,EAST/RICHMOND,OMITS,MCCAIN,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,26.0,SECOND CALL,18-24,WHITE,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$75,000-$99,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,1.125
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,MORAL VALUES,OMITS,YES,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,OMITS,BUSH,MCCAIN,1.547
STATE,NO,EAST/RICHMOND,YES,NEITHER,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,NOT CONSERVATIVE ENOUGH,47.0,2.0,28.0,SECOND CALL,30-39,WHITE,MALE,KEYES,WITHIN LAST WEEK,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.123
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,29.0,SECOND CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,INDEPENDENT,COLLEGE GRADUATE,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.258
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,30.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.104
STATE,,EAST/RICHMOND,OMITS,OMITS,OMITS,OMITS,NO,,NOT TIED TO PARTY LEADERS,OMITS,47.0,2.0,31.0,SECOND CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,OMITS,OMITS,OMITS,NO,LEGAL IN MOST CASES,NO,OMITS,OMITS,,,,OMITS,,,65+,18-74,NOT COMPLETE,60+,60+,,65+,65-74,OMITS,OMITS,ALL VOTERS,OMITS,OMITS,1.358
STATE,NO,EAST/RICHMOND,NO,MCCAIN,MCCAIN,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,32.0,THIRD CALL,50-59,WHITE,FEMALE,MCCAIN,TODAY,WORLD AFFAIRS,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.113
STATE,YES,EAST/RICHMOND,NO,MCCAIN,MCCAIN,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,33.0,THIRD CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.348
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,34.0,THIRD CALL,18-24,WHITE,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,18-29,18-24,REPUBLICAN,18-24,18-24,OMITS,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.125
STATE,YES,EAST/RICHMOND,NO,MCCAIN,BUSH,BOTH,NO,NO,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,2.0,35.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.104
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,NO,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,36.0,THIRD CALL,50-59,WHITE,FEMALE,KEYES,WITHIN LAST 3 DAYS,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.1320000000000001
STATE,NO,EAST/RICHMOND,YES,NEITHER,MCCAIN,NEITHER,OMITS,YES,NOT TIED TO PARTY LEADERS,NOT CONSERVATIVE ENOUGH,47.0,2.0,37.0,THIRD CALL,18-24,WHITE,FEMALE,KEYES,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,OMITS,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,18-29,18-24,REPUBLICAN,18-24,18-24,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.153
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,38.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.268
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,39.0,THIRD CALL,45-49,WHITE,MALE,BUSH,BEFORE THAT,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,OMITS,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.258
