MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,11.0,FIRST CALL,60-64,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.2590000000000001
NOT AT ALL,,COMPLETED,RURAL UPSTATE,33.0,5.0,12.0,FIRST CALL,65-74,,MORE THAN ONE CANDIDATE,BEFORE THAT,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,OMITS,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,,NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,TOO CONSERVATIVE,BUSH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.233
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,13.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.2590000000000001
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,14.0,FIRST CALL,40-44,MALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,0.9590000000000001
NOT AT ALL,,COMPLETED,RURAL UPSTATE,33.0,5.0,15.0,FIRST CALL,75+,,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.211
GREAT DEAL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,16.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.2590000000000001
NOT AT ALL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,17.0,SECOND CALL,18-24,MALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,MCCAIN,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,0.998
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,18.0,SECOND CALL,40-44,FEMALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BOTH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,HI REP,1.143
NOT AT ALL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,19.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.188
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,20.0,SECOND CALL,45-49,MALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,MCCAIN,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,HI REP,1.188
NOT AT ALL,NO,NOT COMPLETED,RURAL UPSTATE,33.0,5.0,21.0,SECOND CALL,60-64,MALE,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,60+,60+,,50-64,50-64,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,HI REP,1.237
GREAT DEAL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,22.0,SECOND CALL,30-39,MALE,BUSH,TODAY,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.188
NOT MUCH,YES,COMPLETED,RURAL UPSTATE,33.0,5.0,23.0,SECOND CALL,50-59,MALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,0.8200000000000001
GREAT DEAL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,24.0,SECOND CALL,40-44,FEMALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,MCCAIN,MCCAIN,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.123
NOT AT ALL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,25.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,NONE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,GORE,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,NONE,FAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.167
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,26.0,SECOND CALL,30-39,FEMALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,HI REP,1.143
NOT MUCH,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,27.0,SECOND CALL,60-64,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.191
SOMEWHAT,,COMPLETED,RURAL UPSTATE,33.0,5.0,28.0,SECOND CALL,65-74,MALE,BUSH,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,MCCAIN,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,OMITS,UPSTATE RURAL,HI REP,1.2590000000000001
OMITS,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,29.0,SECOND CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.188
NOT MUCH,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,30.0,SECOND CALL,45-49,MALE,BUSH,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.188
OMITS,,COMPLETED,RURAL UPSTATE,33.0,5.0,31.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,OMITS,OMITS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,REPUBLICAN,,OTHER CHRISTIAN,,OMITS,,,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,OMITS,OMITS,BUSH,OMITS,OMITS,BUSH,OMITS,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,OMITS,OMITS,NOT MUCH,UPSTATE RURAL,HI REP,1.2590000000000001
NOT MUCH,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,32.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.188
GREAT DEAL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,33.0,SECOND CALL,60-64,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,BUSH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.2590000000000001
