QTYPE,VETERAN,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,ISSUE,QUALITY,PARTYID,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,CAUCUS,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,INTERNET,WEIGHT
STATE,YES,16.0,243.0,25.0,SECOND CALL,50-59,MALE,KEYES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,EAST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,NO,1.282
STATE,YES,16.0,247.0,1.0,SECOND CALL,50-59,,MCCAIN,NO,SOCIAL SECURITY/MEDICARE,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,,MODERATE,MODERATE,18-64,18-74,YES,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,NO,0.539
STATE,YES,16.0,247.0,2.0,SECOND CALL,30-39,MALE,FORBES,NO,TAXES,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,YES,0.623
STATE,YES,16.0,247.0,3.0,SECOND CALL,65-74,MALE,FORBES,YES,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,YES,NO,0.623
STATE,,16.0,247.0,4.0,SECOND CALL,65-74,FEMALE,FORBES,YES,OMITS,OMITS,STRONG REPUBLICAN,,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,WEST,60+,60+,REPUBLICAN,65+,65-74,YES,,0.623
STATE,YES,16.0,247.0,5.0,SECOND CALL,65-74,MALE,FORBES,NO,OMITS,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,WEST,60+,60+,REPUBLICAN,65+,65-74,YES,NO,0.623
STATE,YES,16.0,247.0,6.0,SECOND CALL,65-74,FEMALE,FORBES,NO,OMITS,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.623
STATE,NO,16.0,247.0,7.0,SECOND CALL,60-64,MALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,WEST,60+,60+,REPUBLICAN,50-64,50-64,NO,NO,0.623
STATE,YES,16.0,247.0,8.0,SECOND CALL,65-74,MALE,BUSH,NO,TAXES,CAN WIN IN NOVEMBER,NOT STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,YES,0.522
STATE,,16.0,247.0,9.0,SECOND CALL,75+,FEMALE,BUSH,OMITS,OMITS,OMITS,STRONG REPUBLICAN,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,YES,WEST,60+,60+,REPUBLICAN,65+,75+,,NO,0.522
STATE,YES,16.0,247.0,10.0,SECOND CALL,75+,FEMALE,BUSH,OMITS,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,YES,WEST,60+,60+,REPUBLICAN,65+,75+,YES,,0.522
STATE,YES,16.0,247.0,11.0,SECOND CALL,75+,MALE,BUSH,NO,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,YES,WEST,60+,60+,REPUBLICAN,65+,75+,NO,NO,0.522
STATE,YES,16.0,247.0,12.0,SECOND CALL,75+,MALE,BUSH,YES,OMITS,CARES ABOUT AVERAGE AMERICAN,NOT STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,65+,75+,NO,WEST,60+,60+,REPUBLICAN,65+,75+,NO,NO,0.522
STATE,NO,16.0,247.0,13.0,SECOND CALL,50-59,MALE,BUSH,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,0.522
STATE,YES,16.0,247.0,14.0,SECOND CALL,75+,,BUSH,NO,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,YES,WEST,60+,60+,REPUBLICAN,65+,75+,YES,,0.522
STATE,YES,16.0,247.0,15.0,SECOND CALL,75+,,BUSH,YES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",MODERATE,MODERATE,65+,75+,NO,WEST,60+,60+,REPUBLICAN,65+,75+,NO,NO,0.522
STATE,NO,16.0,247.0,16.0,SECOND CALL,60-64,FEMALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STRONG LEADER,STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,NO,NO,0.522
STATE,,16.0,247.0,17.0,SECOND CALL,50-59,,FORBES,YES,TAXES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,NO,0.623
STATE,NO,16.0,247.0,18.0,SECOND CALL,25-29,MALE,FORBES,NO,MORAL VALUES,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,WEST,18-29,25-29,REPUBLICAN,25-29,25-29,NO,NO,0.623
STATE,YES,16.0,247.0,19.0,SECOND CALL,45-49,FEMALE,FORBES,NO,TAXES,HAS THE RIGHT EXPERIENCE,INDEPENDENT,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,WEST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,,NO,0.623
STATE,NO,16.0,247.0,20.0,SECOND CALL,40-44,FEMALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.623
STATE,NO,16.0,247.0,21.0,SECOND CALL,45-49,FEMALE,FORBES,NO,TAXES,STRONG LEADER,INDEPENDENT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,NO,WEST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,NO,0.623
STATE,YES,16.0,247.0,22.0,SECOND CALL,75+,FEMALE,FORBES,OMITS,SOCIAL SECURITY/MEDICARE,CARES ABOUT AVERAGE AMERICAN,INDEPENDENT,,MODERATE,MODERATE,65+,75+,NO,WEST,60+,60+,INDEPENDENT/OTHER,65+,75+,NO,NO,0.623
STATE,YES,16.0,247.0,23.0,SECOND CALL,50-59,FEMALE,FORBES,YES,TAXES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,NO,0.623
STATE,YES,16.0,247.0,24.0,SECOND CALL,40-44,MALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,INDEPENDENT,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,YES,YES,0.623
STATE,NO,16.0,247.0,25.0,SECOND CALL,25-29,MALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,18-29,25-29,REPUBLICAN,25-29,25-29,YES,YES,0.623
STATE,NO,16.0,247.0,26.0,SECOND CALL,40-44,,FORBES,NO,OMITS,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.623
STATE,NO,16.0,247.0,27.0,SECOND CALL,65-74,FEMALE,FORBES,YES,ABORTION,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.623
STATE,YES,16.0,247.0,28.0,SECOND CALL,60-64,FEMALE,FORBES,OMITS,ABORTION,STRONG LEADER,STRONG REPUBLICAN,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,YES,YES,0.623
STATE,NO,16.0,247.0,29.0,SECOND CALL,30-39,FEMALE,BAUER,YES,EDUCATION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,YES,NO,0.621
STATE,NO,16.0,247.0,30.0,SECOND CALL,25-29,MALE,BAUER,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,18-29,25-29,REPUBLICAN,25-29,25-29,YES,YES,0.621
STATE,YES,16.0,247.0,31.0,SECOND CALL,65-74,,KEYES,OMITS,MORAL VALUES,STANDS UP FOR BELIEFS,,,,,65+,18-74,YES,WEST,60+,60+,,65+,65-74,NO,NO,0.509
STATE,NO,16.0,247.0,32.0,SECOND CALL,30-39,MALE,KEYES,YES,MORAL VALUES,STRONG LEADER,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,YES,NO,0.509
STATE,NO,16.0,247.0,33.0,SECOND CALL,30-39,MALE,KEYES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,YES,0.509
STATE,NO,16.0,247.0,34.0,SECOND CALL,30-39,FEMALE,KEYES,NO,MORAL VALUES,CARES ABOUT AVERAGE AMERICAN,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,,YES,0.509
STATE,NO,16.0,247.0,35.0,SECOND CALL,45-49,FEMALE,KEYES,NO,EDUCATION,STRONG LEADER,NOT STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,YES,YES,0.509
STATE,YES,16.0,247.0,36.0,SECOND CALL,40-44,FEMALE,KEYES,NO,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,NO,WEST,30-44,40-49,REPUBLICAN,40-49,40-49,,YES,0.509
STATE,NO,16.0,247.0,37.0,SECOND CALL,45-49,MALE,KEYES,NO,ABORTION,REPRESENTS CONSERVATIVE VALUES,INDEPENDENT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,YES,NO,0.509
STATE,YES,16.0,247.0,38.0,SECOND CALL,40-44,MALE,MCCAIN,NO,OMITS,HAS THE RIGHT EXPERIENCE,INDEPENDENT,"UNDER $30,000",MODERATE,MODERATE,18-64,18-74,NO,WEST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,NO,0.539
STATE,YES,16.0,247.0,39.0,SECOND CALL,50-59,FEMALE,MCCAIN,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,INDEPENDENT,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,WEST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,YES,0.539
STATE,YES,16.0,247.0,40.0,SECOND CALL,75+,FEMALE,MCCAIN,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,NO,WEST,60+,60+,REPUBLICAN,65+,75+,NO,NO,0.539
STATE,YES,16.0,247.0,41.0,SECOND CALL,,FEMALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,,,YES,WEST,,,REPUBLICAN,,,NO,YES,0.522
STATE,YES,16.0,247.0,42.0,SECOND CALL,50-59,MALE,BUSH,YES,OMITS,OMITS,STRONG REPUBLICAN,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,0.522
STATE,YES,16.0,247.0,43.0,SECOND CALL,75+,,BUSH,OMITS,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"UNDER $30,000",MODERATE,MODERATE,65+,75+,YES,WEST,60+,60+,REPUBLICAN,65+,75+,NO,NO,0.522
STATE,YES,16.0,250.0,1.0,FIRST CALL,65-74,FEMALE,FORBES,YES,TAXES,UNDERSTANDS COMPLEX ISSUE,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,CENTRAL,60+,60+,REPUBLICAN,65+,65-74,NO,NO,3.354
STATE,YES,16.0,250.0,2.0,FIRST CALL,65-74,,FORBES,YES,MORAL VALUES,STRONG LEADER,NOT STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,CENTRAL,60+,60+,REPUBLICAN,65+,65-74,NO,NO,3.354
STATE,NO,16.0,250.0,3.0,FIRST CALL,60-64,MALE,FORBES,OMITS,TAXES,STRONG LEADER,STRONG REPUBLICAN,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,CENTRAL,60+,60+,REPUBLICAN,50-64,50-64,NO,NO,3.354
STATE,NO,16.0,250.0,4.0,FIRST CALL,40-44,MALE,FORBES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,CENTRAL,30-44,40-49,REPUBLICAN,40-49,40-49,,YES,3.354
STATE,YES,16.0,250.0,5.0,FIRST CALL,50-59,FEMALE,FORBES,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,NOT STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,CENTRAL,45-59,50-59,REPUBLICAN,50-64,50-64,YES,NO,3.354
STATE,NO,16.0,250.0,6.0,FIRST CALL,30-39,FEMALE,FORBES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,CENTRAL,30-44,30-39,REPUBLICAN,30-39,30-39,NO,YES,3.354
STATE,YES,16.0,250.0,7.0,FIRST CALL,45-49,FEMALE,KEYES,YES,ABORTION,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,CENTRAL,45-59,40-49,REPUBLICAN,40-49,40-49,NO,NO,5.3340000000000005
STATE,YES,16.0,250.0,8.0,FIRST CALL,45-49,MALE,KEYES,YES,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,CENTRAL,45-59,40-49,REPUBLICAN,40-49,40-49,NO,NO,5.3340000000000005
STATE,YES,16.0,250.0,9.0,FIRST CALL,65-74,MALE,BUSH,NO,TAXES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,65+,18-74,YES,CENTRAL,60+,60+,REPUBLICAN,65+,65-74,YES,NO,4.0360000000000005
STATE,YES,16.0,256.0,1.0,SECOND CALL,30-39,MALE,FORBES,NO,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,YES,0.44
STATE,NO,16.0,256.0,2.0,SECOND CALL,45-49,FEMALE,BUSH,NO,TAXES,HAS THE RIGHT EXPERIENCE,STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.368
STATE,NO,16.0,256.0,3.0,SECOND CALL,45-49,FEMALE,FORBES,NO,TAXES,STRONG LEADER,STRONG REPUBLICAN,"$30,000-$49,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,YES,YES,0.44
STATE,NO,16.0,256.0,4.0,SECOND CALL,50-59,MALE,BUSH,NO,TAXES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,0.368
STATE,NO,16.0,256.0,5.0,SECOND CALL,65-74,FEMALE,BUSH,YES,MORAL VALUES,STRONG LEADER,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.368
STATE,YES,16.0,256.0,6.0,SECOND CALL,65-74,MALE,BUSH,YES,MORAL VALUES,STRONG LEADER,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,YES,NO,0.368
STATE,YES,16.0,256.0,7.0,SECOND CALL,60-64,MALE,BUSH,NO,TAXES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,NO,YES,0.368
STATE,YES,16.0,256.0,8.0,SECOND CALL,60-64,FEMALE,FORBES,NO,WORLD AFFAIRS,STRONG LEADER,NOT STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,60+,60+,REPUBLICAN,50-64,50-64,YES,YES,0.44
STATE,NO,16.0,256.0,9.0,SECOND CALL,50-59,MALE,BUSH,NO,TAXES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,YES,,0.368
STATE,NO,16.0,256.0,10.0,SECOND CALL,45-49,MALE,FORBES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$30,000-$49,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.44
STATE,YES,16.0,256.0,11.0,SECOND CALL,60-64,MALE,BUSH,NO,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,YES,YES,0.368
STATE,NO,16.0,256.0,12.0,SECOND CALL,45-49,,BUSH,NO,TAXES,STRONG LEADER,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,YES,YES,0.368
STATE,YES,16.0,256.0,13.0,SECOND CALL,65-74,FEMALE,BUSH,YES,MORAL VALUES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.368
STATE,YES,16.0,256.0,14.0,SECOND CALL,65-74,MALE,BUSH,YES,MORAL VALUES,STANDS UP FOR BELIEFS,INDEPENDENT,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,INDEPENDENT/OTHER,65+,65-74,NO,NO,0.368
STATE,YES,16.0,256.0,15.0,SECOND CALL,40-44,MALE,MCCAIN,NO,EDUCATION,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.379
STATE,NO,16.0,256.0,16.0,SECOND CALL,60-64,FEMALE,BUSH,NO,EDUCATION,STANDS UP FOR BELIEFS,INDEPENDENT,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,NO,WEST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,YES,0.368
STATE,YES,16.0,256.0,17.0,SECOND CALL,50-59,FEMALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STRONG LEADER,INDEPENDENT,"$75,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,YES,WEST,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,NO,0.368
STATE,YES,16.0,256.0,18.0,SECOND CALL,45-49,FEMALE,BUSH,YES,TAXES,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.368
STATE,YES,16.0,256.0,19.0,SECOND CALL,60-64,MALE,BAUER,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,INDEPENDENT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,YES,0.438
STATE,YES,16.0,256.0,20.0,SECOND CALL,60-64,MALE,BUSH,NO,WORLD AFFAIRS,CARES ABOUT AVERAGE AMERICAN,NOT STRONG REPUBLICAN,"$30,000-$49,999",MODERATE,MODERATE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,NO,NO,0.368
STATE,NO,16.0,256.0,21.0,SECOND CALL,45-49,MALE,BUSH,YES,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,YES,WEST,45-59,40-49,REPUBLICAN,40-49,40-49,NO,YES,0.368
STATE,YES,16.0,256.0,22.0,SECOND CALL,50-59,MALE,FORBES,NO,WORLD AFFAIRS,CARES ABOUT AVERAGE AMERICAN,NOT STRONG REPUBLICAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,,NO,0.44
STATE,YES,16.0,256.0,23.0,SECOND CALL,50-59,MALE,BUSH,NO,TAXES,STRONG LEADER,NOT STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,YES,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,0.368
STATE,NO,16.0,256.0,24.0,SECOND CALL,30-39,FEMALE,KEYES,YES,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,NO,0.359
STATE,NO,16.0,256.0,25.0,SECOND CALL,40-44,MALE,KEYES,YES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$75,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,40-49,REPUBLICAN,40-49,40-49,YES,NO,0.359
STATE,YES,16.0,256.0,26.0,SECOND CALL,40-44,MALE,KEYES,YES,TAXES,OMITS,INDEPENDENT,"UNDER $30,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,YES,YES,0.359
STATE,YES,16.0,256.0,27.0,SECOND CALL,60-64,FEMALE,BUSH,NO,WORLD AFFAIRS,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,YES,YES,0.368
STATE,YES,16.0,256.0,28.0,SECOND CALL,65-74,FEMALE,BUSH,YES,MORAL VALUES,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"UNDER $30,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,WEST,60+,60+,REPUBLICAN,65+,65-74,NO,NO,0.368
STATE,NO,16.0,256.0,29.0,SECOND CALL,30-39,FEMALE,FORBES,OMITS,ABORTION,REPRESENTS CONSERVATIVE VALUES,STRONG REPUBLICAN,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,30-44,30-39,REPUBLICAN,30-39,30-39,NO,YES,0.44
STATE,YES,16.0,256.0,30.0,SECOND CALL,50-59,MALE,FORBES,NO,MORAL VALUES,STANDS UP FOR BELIEFS,NOT STRONG REPUBLICAN,"$75,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,YES,0.44
STATE,NO,16.0,256.0,31.0,SECOND CALL,50-59,FEMALE,BUSH,NO,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,STRONG REPUBLICAN,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,WEST,45-59,50-59,REPUBLICAN,50-64,50-64,NO,NO,0.368
STATE,YES,16.0,256.0,32.0,SECOND CALL,60-64,FEMALE,BUSH,NO,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,STRONG REPUBLICAN,"$75,000 OR MORE",MODERATE,MODERATE,18-64,18-74,YES,WEST,60+,60+,REPUBLICAN,50-64,50-64,,YES,0.368
