AGEABC,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,GORBSH3,HISPANIC,REL5,WEIGHT
30-39,19.0,4.0,10.0,FIRST CALL,30-39,MALE,KEYES,YES,YES,REPUBLICAN,CATHOLIC,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.716
40-49,19.0,4.0,11.0,FIRST CALL,45-49,FEMALE,MCCAIN,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.682
50-59,19.0,4.0,12.0,FIRST CALL,50-59,MALE,KEYES,YES,YES,REPUBLICAN,SOMETHING ELSE,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,SOMETHING ELSE,0.716
60+,19.0,4.0,13.0,FIRST CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,NONE,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,NONE,0.847
40-49,19.0,4.0,14.0,FIRST CALL,45-49,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
60+,19.0,4.0,15.0,FIRST CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.834
60+,19.0,4.0,16.0,FIRST CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.834
40-49,19.0,4.0,17.0,FIRST CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,NONE,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,NONE,0.895
40-49,19.0,4.0,18.0,FIRST CALL,45-49,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
60+,19.0,4.0,19.0,SECOND CALL,75+,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.834
60+,19.0,4.0,20.0,SECOND CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,NONE,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,NONE,0.847
50-59,19.0,4.0,21.0,SECOND CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
60+,19.0,4.0,22.0,SECOND CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.847
50-59,19.0,4.0,23.0,SECOND CALL,50-59,,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
30-39,19.0,4.0,24.0,SECOND CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,SOMETHING ELSE,,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,YES,SOMETHING ELSE,0.719
30-39,19.0,4.0,25.0,SECOND CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
40-49,19.0,4.0,26.0,SECOND CALL,45-49,FEMALE,BUSH,YES,YES,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
30-39,19.0,4.0,27.0,SECOND CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.895
60+,19.0,4.0,28.0,SECOND CALL,75+,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,65+,75+,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.847
60+,19.0,4.0,29.0,SECOND CALL,65-74,FEMALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.667
18-24,19.0,4.0,30.0,SECOND CALL,18-24,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.677
40-49,19.0,4.0,31.0,SECOND CALL,45-49,,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
60+,19.0,4.0,32.0,SECOND CALL,65-74,,BUSH,OMITS,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,OMITS,BUSH,NO,CATHOLIC,0.834
60+,19.0,4.0,33.0,SECOND CALL,75+,,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.847
50-59,19.0,4.0,34.0,SECOND CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.895
60+,19.0,4.0,35.0,SECOND CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.834
30-39,19.0,4.0,36.0,SECOND CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
50-59,19.0,4.0,37.0,SECOND CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
30-39,19.0,4.0,38.0,THIRD CALL,30-39,FEMALE,MCCAIN,NO,NO,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NEITHER,NO,PROTESTANT/OTHER CHRISTIAN,1.682
40-49,19.0,4.0,39.0,THIRD CALL,40-44,,MCCAIN,NO,NO,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,NEITHER,NO,PROTESTANT/OTHER CHRISTIAN,1.682
25-29,19.0,4.0,40.0,THIRD CALL,25-29,MALE,KEYES,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.541
30-39,19.0,4.0,41.0,THIRD CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
25-29,19.0,4.0,42.0,THIRD CALL,25-29,FEMALE,BUSH,YES,NO,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,25-29,25-29,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.667
40-49,19.0,4.0,43.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
30-39,19.0,4.0,44.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
50-59,19.0,4.0,45.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
50-59,19.0,4.0,46.0,THIRD CALL,50-59,,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
40-49,19.0,4.0,47.0,THIRD CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.895
30-39,19.0,4.0,48.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
25-29,19.0,4.0,49.0,THIRD CALL,25-29,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.667
50-59,19.0,4.0,50.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,BUSH,NO,,0.882
30-39,19.0,4.0,51.0,THIRD CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.895
60+,19.0,4.0,52.0,THIRD CALL,65-74,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.834
60+,19.0,4.0,53.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.847
18-24,19.0,4.0,54.0,THIRD CALL,18-24,MALE,BUSH,OMITS,YES,DEMOCRAT,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,DEMOCRAT,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.677
60+,19.0,4.0,55.0,THIRD CALL,60-64,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.847
30-39,19.0,4.0,56.0,THIRD CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
50-59,19.0,4.0,57.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,SOMETHING ELSE,0.882
30-39,19.0,4.0,58.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
60+,19.0,4.0,59.0,THIRD CALL,60-64,,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.834
25-29,19.0,4.0,60.0,THIRD CALL,25-29,MALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,SOMETHING ELSE,0.677
30-39,19.0,4.0,61.0,THIRD CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,SOMETHING ELSE,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,SOMETHING ELSE,0.882
25-29,19.0,4.0,62.0,THIRD CALL,25-29,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.667
30-39,19.0,4.0,63.0,THIRD CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,,0.895
40-49,19.0,4.0,64.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
40-49,19.0,4.0,65.0,THIRD CALL,40-44,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
40-49,19.0,4.0,66.0,THIRD CALL,40-44,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.882
40-49,19.0,4.0,67.0,THIRD CALL,40-44,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,0.882
60+,19.0,7.0,1.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,BUSH,NO,CATHOLIC,1.714
60+,19.0,7.0,2.0,FIRST CALL,60-64,FEMALE,BUSH,OMITS,YES,REPUBLICAN,OTHER CHRISTIAN,"$15,000-$29,000",,,18-64,18-74,STATE,CAJUN COUNTRY,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.688
