BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,SSMARRY,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,SSPART,BEATDEM,REL5,WEIGHT
NOT COMPLETED,GREEN MOUNTAINS,46.0,2.0,20.0,THIRD CALL,,,MCCAIN,WITHIN LAST 3 DAYS,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,,,STATE,,,,,,OMITS,OMITS,OMITS,OMITS,OMITS,MCCAIN,OMITS,NO,OMITS,YES,OMITS,YES,,NO,OMITS,,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,21.0,THIRD CALL,60-64,MALE,MCCAIN,TODAY,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,GORE,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,3.023
COMPLETED,GREEN MOUNTAINS,46.0,2.0,22.0,THIRD CALL,65-74,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,NONE,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,YES,YES,MCCAIN,NONE,3.023
COMPLETED,GREEN MOUNTAINS,46.0,2.0,23.0,THIRD CALL,18-24,FEMALE,MCCAIN,WITHIN LAST WEEK,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,TOO CONSERVATIVE,YES,MCCAIN,YES,NEITHER,NO,NO,YES,BUSH,CATHOLIC,3.23
COMPLETED,GREEN MOUNTAINS,46.0,2.0,24.0,THIRD CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,YES,NEITHER,YES,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,2.886
COMPLETED,GREEN MOUNTAINS,46.0,2.0,25.0,THIRD CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,OMITS,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,OMITS,NO,OMITS,NO,OMITS,YES,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,2.77
COMPLETED,GREEN MOUNTAINS,46.0,2.0,26.0,THIRD CALL,45-49,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,NEITHER,YES,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,27.0,THIRD CALL,60-64,FEMALE,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,OMITS,OMITS,NO,OMITS,NO,OMITS,NO,NO,NO,OMITS,CATHOLIC,2.886
COMPLETED,GREEN MOUNTAINS,46.0,2.0,28.0,THIRD CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,MCCAIN,YES,MCCAIN,YES,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,2.9010000000000002
COMPLETED,GREEN MOUNTAINS,46.0,2.0,29.0,THIRD CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,SOMETHING ELSE,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,BOTH,YES,MCCAIN,YES,NO,NO,BUSH,SOMETHING ELSE,2.77
COMPLETED,GREEN MOUNTAINS,46.0,2.0,30.0,THIRD CALL,65-74,MALE,KEYES,TODAY,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,NEITHER,YES,YES,YES,BUSH,CATHOLIC,2.574
COMPLETED,GREEN MOUNTAINS,46.0,2.0,31.0,THIRD CALL,50-59,FEMALE,MCCAIN,TODAY,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,OMITS,BOTH,YES,NO,YES,BUSH,CATHOLIC,2.77
COMPLETED,GREEN MOUNTAINS,46.0,2.0,32.0,THIRD CALL,30-39,FEMALE,BUSH,WITHIN LAST 3 DAYS,TAXES,OMITS,OMITS,NO,LEGAL IN ALL CASES,YES,OMITS,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,OMITS,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,OMITS,NO,OMITS,OMITS,BUSH,YES,NO,NO,OMITS,PROTESTANT/OTHER CHRISTIAN,3.055
COMPLETED,GREEN MOUNTAINS,46.0,2.0,33.0,THIRD CALL,40-44,FEMALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,OMITS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,NO,MCCAIN,OMITS,OMITS,,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,3.055
COMPLETED,GREEN MOUNTAINS,46.0,2.0,34.0,THIRD CALL,50-59,,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$100,000 OR MORE",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,OMITS,YES,NO,NO,MCCAIN,CATHOLIC,3.055
COMPLETED,GREEN MOUNTAINS,46.0,2.0,35.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BOTH,YES,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,3.1990000000000003
COMPLETED,GREEN MOUNTAINS,46.0,2.0,36.0,THIRD CALL,45-49,FEMALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,OMITS,ALL VOTERS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,NO,BUSH,NO,BUSH,YES,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,3.055
COMPLETED,GREEN MOUNTAINS,46.0,2.0,37.0,THIRD CALL,45-49,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BUSH,YES,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,3.055
