STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,STANDLIV,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,VOTE96,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,MCAINVET,EDUC,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,VETERAN,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,INTERNET,DESTEC,STR8TALK,BEATDEM,CAMPFIN,WEIGHT
8.0,202.0,11.0,FIRST CALL,30-39,FEMALE,BUSH,THIS YEAR,WILL FALL,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,3,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,OMITS,"$50,000-$74,999",OMITS,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,NO,GOOD,NEITHER,BUSH,HELP THE POLITICAL PROCESS,1.008
8.0,202.0,12.0,FIRST CALL,40-44,MALE,BUSH,THIS YEAR,WILL RISE,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,6,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,REPUBLICAN,40-49,40-49,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,13.0,FIRST CALL,65-74,FEMALE,BUSH,THIS YEAR,WILL RISE,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,OMITS,NO,3,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,NEITHER,BUSH,HELP THE POLITICAL PROCESS,1.194
8.0,202.0,14.0,FIRST CALL,25-29,FEMALE,BUSH,TODAY,WILL RISE,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,GOOD,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.981
8.0,202.0,15.0,FIRST CALL,45-49,MALE,BUSH,BEFORE THAT,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,NO,EXCELLENT,NEITHER,OMITS,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,16.0,FIRST CALL,25-29,FEMALE,MCCAIN,THIS YEAR,WILL RISE,EDUCATION,CARES ABOUT AVERAGE AMERICAN,CANDS POSITIONS ON ISSUES,NO,6,LEGAL IN MOST CASES,NO,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,YES,"$100,000 OR MORE",NO,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,GOOD,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.875
8.0,202.0,17.0,FIRST CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,WILL RISE,SOCIAL SECURTY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,OMITS,"$100,000 OR MORE",YES,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,EXCELLENT,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,18.0,FIRST CALL,45-49,MALE,BUSH,THIS YEAR,WILL RISE,EDUCATION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,3,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,NO,EXCELLENT,NEITHER,OMITS,HELP THE POLITICAL PROCESS,0.996
8.0,202.0,19.0,FIRST CALL,30-39,MALE,FORBES,WITHIN LAST WEEK,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,6,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.872
8.0,202.0,20.0,FIRST CALL,50-59,FEMALE,FORBES,WITHIN LAST 3 DAYS,WILL RISE,TAXES,CARES ABOUT AVERAGE AMERICAN,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$15,000-$29,000",NO,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NO,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.882
8.0,202.0,21.0,FIRST CALL,40-44,MALE,FORBES,THIS YEAR,WILL RISE,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN ALL CASES,NO,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,,NO,"$50,000-$74,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,REPUBLICAN,40-49,40-49,NO,EXCELLENT,OMITS,OMITS,HURT THE POLITICAL PROCESS,0.872
8.0,202.0,22.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,WILL RISE,OMITS,HAS THE RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,2,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,NO,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.008
8.0,202.0,23.0,FIRST CALL,60-64,FEMALE,BUSH,WITHIN LAST WEEK,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,4,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,NO,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.194
8.0,202.0,24.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,WILL RISE,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,1,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,YES,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.008
8.0,202.0,25.0,FIRST CALL,60-64,MALE,MCCAIN,WITHIN LAST WEEK,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,NO,EXCELLENT,NEITHER,BUSH,HELP THE POLITICAL PROCESS,1.052
8.0,202.0,26.0,FIRST CALL,45-49,FEMALE,FORBES,THIS YEAR,WILL RISE,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,3,OMITS,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,OMITS,"$30,000-$49,000",OMITS,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,NO,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.882
8.0,202.0,27.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.887
8.0,202.0,28.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,GOOD,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.887
8.0,202.0,29.0,FIRST CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,WILL RISE,SOCIAL SECURTY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,YES,"$50,000-$74,999",NO,NO,MODERATE,MODERATE,65+,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,GOOD,MCCAIN,MCCAIN,HURT THE POLITICAL PROCESS,1.065
8.0,202.0,30.0,FIRST CALL,25-29,MALE,BUSH,THIS YEAR,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,1,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$75,000-$99,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.97
8.0,202.0,31.0,FIRST CALL,25-29,MALE,BUSH,THIS YEAR,WILL RISE,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,2,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,GOOD,BUSH,BUSH,HURT THE POLITICAL PROCESS,0.97
8.0,202.0,32.0,FIRST CALL,50-59,MALE,FORBES,THIS YEAR,WILL RISE,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,NO,EXCELLENT,NEITHER,,HELP THE POLITICAL PROCESS,0.872
8.0,202.0,33.0,FIRST CALL,45-49,FEMALE,BUSH,WITHIN LAST WEEK,WILL RISE,TAXES,CARES ABOUT AVERAGE AMERICAN,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,YES,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,,BUSH,BUSH,OMITS,1.008
8.0,202.0,34.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,WILL RISE,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,4,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,OMITS,"$100,000 OR MORE",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,REPUBLICAN,40-49,40-49,YES,EXCELLENT,MCCAIN,BUSH,HURT THE POLITICAL PROCESS,0.996
8.0,202.0,35.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,WILL RISE,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,3,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,NO,EXCELLENT,BUSH,BUSH,HURT THE POLITICAL PROCESS,1.194
8.0,202.0,36.0,SECOND CALL,75+,MALE,BUSH,THIS YEAR,WILL RISE,SOCIAL SECURTY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,3,OMITS,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,VERY IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,,NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.18
8.0,202.0,37.0,SECOND CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,6,LEGAL IN MOST CASES,OMITS,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,VERY IMPORTANT,SOME COLLEGE OR ASSOCIATES,YES,"$75,000-$99,999",OMITS,YES,MODERATE,MODERATE,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,YES,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,1.065
8.0,202.0,38.0,SECOND CALL,65-74,FEMALE,MCCAIN,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,OMITS,"$50,000-$74,999",YES,OMITS,MODERATE,MODERATE,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,1.065
8.0,202.0,39.0,SECOND CALL,45-49,FEMALE,BUSH,WITHIN LAST WEEK,WILL FALL,MORAL VALUES,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,4,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,1.008
8.0,202.0,40.0,SECOND CALL,40-44,FEMALE,BUSH,THIS YEAR,WILL FALL,EDUCATION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,REPUBLICAN,40-49,40-49,YES,GOOD,BUSH,BUSH,HURT THE POLITICAL PROCESS,1.008
8.0,202.0,41.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,WILL RISE,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN MOST CASES,NO,SAME,TAX CUT,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.898
8.0,202.0,42.0,SECOND CALL,30-39,FEMALE,BUSH,THIS YEAR,WILL RISE,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,1.008
8.0,202.0,43.0,SECOND CALL,60-64,MALE,BUSH,TODAY,WILL RISE,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,1.18
8.0,202.0,44.0,SECOND CALL,50-59,FEMALE,BUSH,WITHIN LAST 3 DAYS,WILL FALL,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,6,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,VERY IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$100,000 OR MORE",YES,YES,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,NO,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.008
