STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,REGDEMRI,REL5,WEIGHT
40.0,2.0,11.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,HEALTH CARE,STANDS UP FOR BELIEFS,OMITS,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,WORSE,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,1187.0,UNFAVORABLE,OMITS,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,OMITS,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.187
40.0,2.0,12.0,FIRST CALL,75+,WHITE,FEMALE,GORE,WITHIN LAST WEEK,RACE RELATIONS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,JEWISH,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,RURAL/REST OF STATE,60+,60+,DEMOCRAT,65+,75+,2203.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,JEWISH,2.203
40.0,2.0,13.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,YES,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,1191.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,SOMETHING ELSE,1.191
40.0,2.0,14.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,BEFORE THAT,HEALTH CARE,NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,RURAL/REST OF STATE,30-44,30-39,,30-39,30-39,1191.0,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,DEMOCRAT,,1.191
40.0,2.0,15.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,1532.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.532
40.0,2.0,16.0,SECOND CALL,45-49,WHITE,MALE,BRADLEY,WITHIN LAST 3 DAYS,HEALTH CARE,STRONG LEADER,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,WORSE,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,1191.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.191
40.0,2.0,17.0,SECOND CALL,18-24,WHITE,MALE,BRADLEY,THIS YEAR,HEALTH CARE,OMITS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,COLLEGE GRADUATE,JEWISH,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,1206.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,JEWISH,1.206
40.0,2.0,18.0,SECOND CALL,75+,WHITE,FEMALE,BRADLEY,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,JEWISH,YES,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,75+,BRADLEY,OMITS,OMITS,STATE,COMPLETE,RURAL/REST OF STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,1532.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,,JEWISH,1.532
40.0,2.0,19.0,SECOND CALL,18-24,WHITE,MALE,BRADLEY,WITHIN LAST 3 DAYS,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,1206.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,NO,UNFAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,SOMETHING ELSE,1.206
40.0,2.0,20.0,SECOND CALL,60-64,WHITE,MALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,60+,60+,DEMOCRAT,50-64,50-64,2211.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,2.211
40.0,2.0,21.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,DEMOCRAT,50-64,50-64,1707.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.707
40.0,2.0,22.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,RURAL/REST OF STATE,45-59,40-49,DEMOCRAT,40-49,40-49,1707.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.707
40.0,2.0,23.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,DISAPPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,RURAL/REST OF STATE,30-44,40-49,DEMOCRAT,40-49,40-49,1707.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,1.707
40.0,2.0,24.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$75,000-$99,999",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,30-44,30-39,DEMOCRAT,30-39,30-39,1187.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.187
40.0,2.0,25.0,THIRD CALL,40-44,WHITE,MALE,GORE,WITHIN LAST 3 DAYS,OMITS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,OMITS,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,1713.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,SOMETHING ELSE,1.713
40.0,2.0,26.0,THIRD CALL,30-39,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,30-44,30-39,DEMOCRAT,30-39,30-39,1191.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.191
40.0,2.0,27.0,THIRD CALL,50-59,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,DEMOCRAT,50-64,50-64,1713.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,1.713
40.0,2.0,28.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,BEFORE THAT,OMITS,HAS RIGHT EXPERIENCE,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,DEMOCRAT,50-64,50-64,1191.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.191
40.0,2.0,29.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,DEMOCRAT,50-64,50-64,1187.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.187
40.0,2.0,30.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,BEFORE THAT,ECONOMY/JOBS,NOT TYPICAL POLITICIAN,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,40-49,DEMOCRAT,40-49,40-49,1191.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,1.191
40.0,2.0,31.0,THIRD CALL,40-44,WHITE,FEMALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,30-44,40-49,DEMOCRAT,40-49,40-49,1187.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.187
40.0,2.0,32.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,1187.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,CATHOLIC,1.187
40.0,2.0,33.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,JEWISH,NO,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,1191.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,JEWISH,1.191
40.0,2.0,34.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,30-44,30-39,DEMOCRAT,30-39,30-39,1187.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,1.187
40.0,2.0,35.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,JEWISH,OMITS,"$75,000-$99,999",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,RURAL/REST OF STATE,45-59,50-59,DEMOCRAT,50-64,50-64,1187.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,JEWISH,1.187
40.0,2.0,36.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,TODAY,OMITS,OMITS,APPROVE,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,SOMETHING ELSE,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,OMITS,STATE,COMPLETE,RURAL/REST OF STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,1191.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,1.191
