BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,CELLUCI,BEATDEM,REGREPMA,REL5,WEIGHT
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,11.0,FIRST CALL,60-64,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,OMITS,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,GORE,OMITS,BOTH,NO,NEITHER,YES,NO,NOT MUCH,BUSH,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,2.008
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,12.0,FIRST CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,DEMOCRAT,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,NO,NO,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,CATHOLIC,1.984
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,13.0,FIRST CALL,60-64,MALE,MCCAIN,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,OMITS,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,YES,YES,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,CATHOLIC,2.089
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,14.0,FIRST CALL,65-74,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,YES,YES,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,2.089
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,15.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.863
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,16.0,SECOND CALL,65-74,,BUSH,THIS YEAR,OMITS,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,NO,BUSH,,NO,NOT MUCH,BUSH,,CATHOLIC,2.114
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,17.0,SECOND CALL,60-64,FEMALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,BUSH,YES,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,CATHOLIC,2.008
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,18.0,SECOND CALL,40-44,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,NO,MCCAIN,YES,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,SOMETHING ELSE,1.7690000000000001
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,19.0,SECOND CALL,45-49,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,CATHOLIC,1.7690000000000001
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,20.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,OTHER CHRISTIAN,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.79
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,21.0,THIRD CALL,50-59,FEMALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.045
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,22.0,THIRD CALL,60-64,FEMALE,BUSH,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,OMITS,YES,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NO,NEITHER,NO,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,2.008
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,23.0,THIRD CALL,30-39,MALE,KEYES,WITHIN LAST WEEK,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,NOT AT ALL,MCCAIN,REPUBLICAN,CATHOLIC,1.101
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,24.0,THIRD CALL,45-49,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.863
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,25.0,THIRD CALL,30-39,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,NOT AT ALL,MCCAIN,REPUBLICAN,CATHOLIC,1.7690000000000001
NOT COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,26.0,THIRD CALL,30-39,MALE,MCCAIN,TODAY,MORAL VALUES,STRONG LEADER,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,NOT AT ALL,OMITS,UNENROLLED/INDEPENDENT,,1.863
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,27.0,THIRD CALL,65-74,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,OMITS,GORE,TOO CONSERVATIVE,NEITHER,YES,BOTH,YES,YES,NOT MUCH,BUSH,REPUBLICAN,CATHOLIC,2.114
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,28.0,THIRD CALL,60-64,MALE,MCCAIN,BEFORE THAT,ABORTION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,DEMOCRAT,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,YES,GREAT DEAL,MCCAIN,UNENROLLED/INDEPENDENT,CATHOLIC,2.089
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,29.0,THIRD CALL,40-44,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,,NOT AT ALL,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.8860000000000001
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,30.0,THIRD CALL,30-39,FEMALE,MCCAIN,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,OMITS,OMITS,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NOT AT ALL,OMITS,UNENROLLED/INDEPENDENT,CATHOLIC,1.7690000000000001
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,31.0,THIRD CALL,65-74,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS POSITIONS ON ISSUES,OMITS,OMITS,NO,OMITS,YES,,POST GRADUATE STUDY,,,NO,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,,NOT AT ALL,MCCAIN,REPUBLICAN,,1.984
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,32.0,THIRD CALL,45-49,MALE,MCCAIN,BEFORE THAT,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,NOT AT ALL,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.863
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,33.0,THIRD CALL,65-74,FEMALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,NOT AT ALL,BUSH,UNENROLLED/INDEPENDENT,CATHOLIC,2.008
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,34.0,THIRD CALL,60-64,FEMALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,OMITS,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,NOT AT ALL,MCCAIN,UNENROLLED/INDEPENDENT,CATHOLIC,1.984
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,35.0,THIRD CALL,50-59,FEMALE,MCCAIN,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,YES,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,NO,NO,NOT AT ALL,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.7690000000000001
COMPLETED,NORHT/SOUTH SHORES,22.0,1.0,36.0,THIRD CALL,50-59,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,YES,NO,SOMEWHAT,MCCAIN,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.7690000000000001
