QTYPE,STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,GWCONSRV,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,PREVPRI,VETVOTER,RELUTAH7,THRDCAND,WARWEST,RELUTAH6,MCRRIGHT,BEATDEM,REGREPUT,WEIGHT
STATE,45.0,1.0,11.0,FIRST CALL,60-64,FEMALE,BUSH,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,267.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,DOES NOT AFFECT STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,MCCAIN,REPUBLICAN,0.267
STATE,45.0,1.0,12.0,FIRST CALL,40-44,MALE,MCCAIN,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,30-44,40-49,INDEPENDENT/OTHER,NOT CONSERVATIVE ENOUGH,308.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NO,CATHOLIC,WOULD CONSIDER THIRD PARTY CANDIDATE,HURTS STATE,CATHOLIC,NOT AT ALL,MCCAIN,UNDECLARED/INDEPENDENT,0.308
STATE,45.0,1.0,13.0,FIRST CALL,65-74,MALE,BUSH,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,ABOUT RIGHT,248.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,NO,MORMON/LATTER DAY SAINTS,WOULD CONSIDER THIRD PARTY CANDIDATE,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.248
STATE,45.0,1.0,14.0,FIRST CALL,18-24,MALE,KEYES,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,18-29,18-24,REPUBLICAN,NOT CONSERVATIVE ENOUGH,313.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NO,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.313
STATE,45.0,1.0,15.0,FIRST CALL,60-64,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,ABOUT RIGHT,248.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HELPS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.248
STATE,45.0,1.0,16.0,FIRST CALL,50-59,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,WEST/PROVO,45-59,50-59,INDEPENDENT/OTHER,ABOUT RIGHT,311.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,UNDECLARED/INDEPENDENT,0.311
STATE,45.0,1.0,17.0,FIRST CALL,75+,MALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,75+,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,TOO CONSERVATIVE,248.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,NEITHER,NO,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,UNDECLARED/INDEPENDENT,0.248
STATE,45.0,1.0,18.0,FIRST CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,DEMOCRAT,ABOUT RIGHT,284.0,UNFAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,NEITHER,,NO,MORMON/LATTER DAY SAINTS,SATISFIED,DOES NOT AFFECT STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,UNDECLARED/INDEPENDENT,0.28400000000000003
STATE,45.0,1.0,19.0,SECOND CALL,65-74,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,NOT CONSERVATIVE ENOUGH,284.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,MCCAIN,REPUBLICAN,0.28400000000000003
STATE,45.0,1.0,20.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,NOT CONSERVATIVE ENOUGH,264.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,YES,OTHER CHRISTIAN,SATISFIED,DOES NOT AFFECT STATE,PROTESTANT/OTHER CHRISTIAN,NOT MUCH,MCCAIN,REPUBLICAN,0.264
STATE,45.0,1.0,21.0,SECOND CALL,60-64,MALE,KEYES,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,SOMETHING ELSE,COLLEGE GRADUATE,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,NOT CONSERVATIVE ENOUGH,268.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,YES,PROTESTANT,SATISFIED,DOES NOT AFFECT STATE,PROTESTANT/OTHER CHRISTIAN,NOT AT ALL,BUSH,REPUBLICAN,0.268
STATE,45.0,1.0,22.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,OMITS,,,65+,18-74,NOT COMPLETE,WEST/PROVO,60+,60+,,OMITS,248.0,OMITS,OMITS,BUSH,OMITS,OMITS,BUSH,,,,OMITS,OMITS,,GREAT DEAL,OMITS,REPUBLICAN,0.248
STATE,45.0,1.0,23.0,SECOND CALL,75+,,BUSH,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,OMITS,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,248.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,ABOUT RIGHT,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.248
STATE,45.0,1.0,24.0,SECOND CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,30-44,30-39,REPUBLICAN,NOT CONSERVATIVE ENOUGH,311.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.311
STATE,45.0,1.0,25.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,WEST/PROVO,60+,60+,INDEPENDENT/OTHER,ABOUT RIGHT,267.0,FAVORABLE,FAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,UNDECLARED/INDEPENDENT,0.267
STATE,45.0,1.0,26.0,SECOND CALL,75+,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,267.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.267
STATE,45.0,1.0,27.0,SECOND CALL,75+,MALE,BUSH,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,248.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,NO,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.248
STATE,45.0,1.0,28.0,SECOND CALL,65-74,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,267.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.267
STATE,45.0,1.0,29.0,SECOND CALL,65-74,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,248.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.248
STATE,45.0,1.0,30.0,SECOND CALL,75+,MALE,BUSH,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,OMITS,OMITS,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,OMITS,248.0,OMITS,OMITS,BUSH,OMITS,OMITS,BUSH,YES,NO,,OMITS,HURTS STATE,,NOT MUCH,BUSH,REPUBLICAN,0.248
STATE,45.0,1.0,31.0,SECOND CALL,65-74,,BUSH,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,267.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.267
STATE,45.0,1.0,32.0,SECOND CALL,45-49,,BUSH,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,45-59,40-49,REPUBLICAN,ABOUT RIGHT,289.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.289
STATE,45.0,1.0,33.0,SECOND CALL,65-74,MALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,NOT CONSERVATIVE ENOUGH,248.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,MCCAIN,REPUBLICAN,0.248
STATE,45.0,1.0,34.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,WEST/PROVO,30-44,40-49,REPUBLICAN,ABOUT RIGHT,289.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,YES,OTHER CHRISTIAN,SATISFIED,HURTS STATE,PROTESTANT/OTHER CHRISTIAN,SOMEWHAT,BUSH,REPUBLICAN,0.289
STATE,45.0,1.0,35.0,SECOND CALL,65-74,,BUSH,THIS YEAR,EDUCATION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$75,000-$99,999",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,WEST/PROVO,60+,60+,REPUBLICAN,ABOUT RIGHT,267.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.267
