QTYPE,BUSHUNFR,GEOCODE,STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,PREVPRI,VETVOTER,GUNHH,GUNCHOIC,THRDCAND,RRFAV,MCRRIGHT,BEATDEM,REGREPCO,MEXICAN,REL5,WEIGHT
STATE,OMITS,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,11.0,THIRD CALL,65-74,FEMALE,BUSH,WITHIN LAST 3 DAYS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,SOMETHING ELSE,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",OMITS,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,GORE,OMITS,NEITHER,NO,NO,NO,REDUCE VIOLENCE,NOT SATISFIED,UNFAVORABLE,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.8760000000000001
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,12.0,THIRD CALL,40-44,MALE,BUSH,THIS YEAR,EDUCATION,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.643
STATE,OMITS,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,13.0,THIRD CALL,50-59,MALE,MCCAIN,BEFORE THAT,OMITS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,OMITS,,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,YES,YES,OMITS,NOT SATISFIED,FAVORABLE,NOT MUCH,MCCAIN,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.607
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,14.0,THIRD CALL,25-29,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,YES,NO,REDUCE VIOLENCE,NOT SATISFIED,UNFAVORABLE,NOT AT ALL,MCCAIN,REPUBLICAN,NO,SOMETHING ELSE,1.28
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,15.0,THIRD CALL,75+,FEMALE,MCCAIN,TODAY,TAXES,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,YES,PROTESTANT/OTHER CHRISTIAN,1.835
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,16.0,THIRD CALL,30-39,FEMALE,BUSH,WITHIN LAST 3 DAYS,ABORTION,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.516
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,17.0,THIRD CALL,45-49,FEMALE,KEYES,BEFORE THAT,ABORTION,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,TOO CONSERVATIVE,MCCAIN,NO,NO,YES,REDUCE VIOLENCE,NOT SATISFIED,FAVORABLE,NOT MUCH,OMITS,UNDECLARED/INDEPENDENT,NO,CATHOLIC,0.5650000000000001
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,18.0,THIRD CALL,25-29,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NONE,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NO,NO,PROTECT GUN RIGHTS,NOT SATISFIED,UNFAVORABLE,GREAT DEAL,MCCAIN,REPUBLICAN,NO,NONE,1.3880000000000001
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,19.0,THIRD CALL,60-64,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,SOMEWHAT,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.8760000000000001
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,1.0,20.0,THIRD CALL,25-29,MALE,KEYES,BEFORE THAT,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,NO,CATHOLIC,0.528
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,1.0,FIRST CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,ABORTION,OMITS,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,GREAT DEAL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.314
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,2.0,FIRST CALL,30-39,FEMALE,BUSH,THIS YEAR,WORLD AFFAIRS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,SOMEWHAT,BUSH,REPUBLICAN,NO,CATHOLIC,1.212
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,3.0,FIRST CALL,65-74,,KEYES,TODAY,MORAL VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,BUSH,YES,NO,,PROTECT GUN RIGHTS,NOT SATISFIED,FAVORABLE,GREAT DEAL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,0.606
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,4.0,SECOND CALL,30-39,,BUSH,THIS YEAR,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,YES,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,SOMEWHAT,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.212
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,5.0,THIRD CALL,30-39,MALE,MCCAIN,TODAY,EDUCATION,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,BOTH,YES,NO,NO,REDUCE VIOLENCE,SATISFIED,UNFAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,YES,PROTESTANT/OTHER CHRISTIAN,1.285
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,6.0,THIRD CALL,25-29,MALE,BUSH,THIS YEAR,TAXES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,NO,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,GREAT DEAL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.135
STATE,OMITS,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,7.0,THIRD CALL,40-44,FEMALE,BUSH,BEFORE THAT,OMITS,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,TAX CUT,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,YES,PROTECT GUN RIGHTS,SATISFIED,OMITS,NOT AT ALL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.212
STATE,OMITS,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,8.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,OMITS,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,OMITS,MCCAIN,YES,YES,YES,PROTECT GUN RIGHTS,NOT SATISFIED,OMITS,NOT AT ALL,OMITS,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.285
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,9.0,THIRD CALL,45-49,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,YES,NO,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.212
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,10.0,THIRD CALL,50-59,MALE,BUSH,THIS YEAR,EDUCATION,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,YES,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT AT ALL,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.314
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,11.0,THIRD CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,YES,PROTECT GUN RIGHTS,SATISFIED,FAVORABLE,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.314
STATE,NO,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,12.0,THIRD CALL,50-59,MALE,BUSH,THIS YEAR,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,YES,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,NOT MUCH,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.314
STATE,YES,"DENVER, ADAMS, AND BOULDER COUNTIES",6.0,2.0,13.0,THIRD CALL,50-59,MALE,BUSH,TODAY,ABORTION,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,SOMEWHAT,BUSH,REPUBLICAN,NO,PROTESTANT/OTHER CHRISTIAN,1.314
