STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,BUSHKNOW,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYDEMS,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,REGION,WEIGHT
5.0,2.0,13.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,YES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,1070.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,1.07
5.0,2.0,14.0,SECOND CALL,75+,BLACK,FEMALE,GORE,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,,,BETTER,YES,DEMOCRAT,,,OMITS,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,ABOUT RIGHT,OMITS,COMPLETE,60+,60+,DEMOCRAT,65+,75+,817.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,OMITS,OTHERS,0.8170000000000001
5.0,2.0,16.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,770.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT MUCH,WHITE,,UNFAVORABLE,FAVORABLE,,BUSH,NO,,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.77
5.0,2.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$100,000 OR MORE",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,742.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,0.742
5.0,2.0,18.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,INDEPENDENT,POST GRADUATE STUDY,NONE,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,742.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.742
5.0,2.0,19.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$100,000 OR MORE",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,658.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.658
5.0,2.0,20.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,,,,,OMITS,LEGAL IN ALL CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,859.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,0.859
5.0,2.0,22.0,SECOND CALL,50-59,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,1349.0,UNFAVORABLE,FAVORABLE,,,,NO,SOMEWHAT,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,YES,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,1.349
5.0,2.0,23.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,,,,,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,,"$30,000-$49,000",,MODERATE,MODERATE,18-64,18-74,,,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,658.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.658
5.0,2.0,24.0,SECOND CALL,65-74,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,,"$30,000-$49,000",,MODERATE,MODERATE,65+,18-74,,,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,1434.0,UNFAVORABLE,UNFAVORABLE,,,,YES,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,1.434
5.0,2.0,25.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,SOMETHING ELSE,COLLEGE GRADUATE,NONE,,"$50,000-$74,999",,MODERATE,MODERATE,18-64,18-74,,,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,1007.0,UNFAVORABLE,UNFAVORABLE,,,,NO,SOMEWHAT,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,NONE,DEMOCRAT,,OTHERS,1.0070000000000001
5.0,2.0,26.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,NONE,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,742.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT MUCH,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.742
5.0,2.0,29.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,WITHIN LAST WEEK,OMITS,OMITS,OMITS,OMITS,,,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,OMITS,COMPLETE,18-29,25-29,,25-29,25-29,658.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,OMITS,,,YES,HISPANIC/LATINO,,DEMOCRAT,OMITS,OTHERS,0.658
5.0,2.0,30.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BEFORE THAT,EDUCATION,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,770.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.77
5.0,2.0,32.0,THIRD CALL,18-24,OTHER,FEMALE,BRADLEY,WITHIN LAST WEEK,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,YES,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,634.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,UNFAVORABLE,,NO,NO,OTHER,,DEMOCRAT,NOT SATISFIED,OTHERS,0.634
5.0,2.0,36.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,770.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,NOT SATISFIED,OTHERS,0.77
5.0,2.0,38.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,RACE RELATIONS,CAN WIN IN NOVEMBER,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,NO,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,658.0,,,GORE,GORE,NO,,,YELLOW,GORE,,,UNFAVORABLE,,YES,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,OTHERS,0.658
5.0,2.0,39.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,,,SAME,NO,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,770.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.77
5.0,2.0,41.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,ABORTION,NOT TYPICAL POLITICAN,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,YES,INDEPENDENT,,,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,658.0,,,GORE,GORE,NO,,,YELLOW,GORE,,,FAVORABLE,,YES,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,OTHERS,0.658
5.0,2.0,42.0,THIRD CALL,50-59,ASIAN,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,NO,ASIAN,,DEMOCRAT,NOT SATISFIED,OTHERS,1.0070000000000001
5.0,2.0,43.0,THIRD CALL,18-24,BLACK,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,YES,,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,658.0,,,GORE,GORE,NO,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.658
5.0,2.0,45.0,THIRD CALL,18-24,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,YES,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,634.0,,,GORE,GORE,NO,,,YELLOW,BRADLEY,,,FAVORABLE,,YES,NO,WHITE,,DEMOCRAT,NOT SATISFIED,OTHERS,0.634
5.0,2.0,46.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,770.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,OTHERS,0.77
5.0,2.0,48.0,THIRD CALL,18-24,ASIAN,FEMALE,BRADLEY,BEFORE THAT,RACE RELATIONS,NOT TYPICAL POLITICAN,OMITS,CANDS PERSONAL QUALITIES,,,OMITS,,,,,OMITS,,OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,OMITS,OMITS,COMPLETE,18-29,18-24,,18-24,18-24,634.0,,,GORE,GORE,NO,,,YELLOW,BRADLEY,,,OMITS,,,NO,ASIAN,,DEMOCRAT,OMITS,OTHERS,0.634
5.0,2.0,51.0,THIRD CALL,18-24,ASIAN,MALE,GORE,WITHIN LAST WEEK,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,YES,"$75,000-$99,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,1151.0,,,GORE,GORE,NO,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,ASIAN,,DEMOCRAT,SATISFIED,OTHERS,1.151
5.0,2.0,52.0,THIRD CALL,18-24,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,634.0,,,GORE,GORE,NO,,,YELLOW,BRADLEY,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,NOT SATISFIED,OTHERS,0.634
5.0,2.0,53.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,TODAY,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,YES,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,1.0070000000000001
5.0,2.0,55.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,,,YES,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,568.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,UNFAVORABLE,,YES,YES,HISPANIC/LATINO,,DEMOCRAT,NOT SATISFIED,OTHERS,0.5680000000000001
5.0,2.0,57.0,THIRD CALL,45-49,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,1031.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,1.031
5.0,2.0,58.0,THIRD CALL,30-39,ASIAN,MALE,GORE,BEFORE THAT,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,,,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,1349.0,,,GORE,GORE,NO,,,YELLOW,GORE,,,UNFAVORABLE,,YES,NO,ASIAN,,DEMOCRAT,NOT SATISFIED,OTHERS,1.349
5.0,2.0,59.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,TODAY,OMITS,CAN WIN IN NOVEMBER,OMITS,OMITS,,,SAME,,DEMOCRAT,,,OMITS,"$30,000-$49,000",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,OMITS,OMITS,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,OMITS,,YES,NO,WHITE,,DEMOCRAT,OMITS,OTHERS,1.0070000000000001
5.0,2.0,60.0,THIRD CALL,50-59,OTHER,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,YES,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,OTHER,,DEMOCRAT,SATISFIED,OTHERS,1.0070000000000001
5.0,2.0,61.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,1070.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,1.07
5.0,2.0,62.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,YES,SOMETHING ELSE,,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,1007.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,NOT SATISFIED,OTHERS,1.0070000000000001
5.0,2.0,65.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,TODAY,EDUCATION,CAN WIN IN NOVEMBER,DISAPPROVE,CANDS PERSONAL QUALITIES,,,WORSE,NO,DEMOCRAT,,,NO,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,1007.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,NOT SATISFIED,OTHERS,1.0070000000000001
