STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,RACEREL,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,GORE,BRADLEY,BCPERSON,REL5,WEIGHT,PREVPRID
11.0,2.0,11.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,OMITS,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NEW REPUBLICANS,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.516,YES
11.0,2.0,12.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NONE,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NEW REPUBLICANS,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,NONE,0.526,YES
11.0,2.0,13.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,YES,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NEW REPUBLICANS,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,CATHOLIC,0.481,YES
11.0,2.0,14.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,NEW REPUBLICANS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,SOMETHING ELSE,0.481,YES
11.0,2.0,15.0,THIRD CALL,75+,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,NEW REPUBLICANS,60+,60+,,65+,75+,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.526,
11.0,2.0,16.0,THIRD CALL,30-39,WHITE,MALE,GORE,OMITS,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,NEW REPUBLICANS,30-44,30-39,,30-39,30-39,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.516,
11.0,2.0,17.0,THIRD CALL,45-49,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$75,000-$99,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,NEW REPUBLICANS,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.516,YES
11.0,2.0,18.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,NOT TYPICAL POLITICAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,NEW REPUBLICANS,30-44,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.5660000000000001,
11.0,2.0,19.0,THIRD CALL,25-29,WHITE,MALE,GORE,TODAY,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,OMITS,"$30,000-$49,000",OMITS,MODERATE,MODERATE,18-64,18-74,BOTH,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NEW REPUBLICANS,18-29,25-29,DEMOCRAT,25-29,25-29,OMITS,OMITS,GORE,GORE,FAVORABLE,OMITS,OMITS,PROTESTANT/OTHER CHRISTIAN,0.524,YES
11.0,11.0,1.0,FIRST CALL,40-44,BLACK,MALE,UNCOMITTED,TODAY,EDUCATION,HAS NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,30-44,40-49,,40-49,40-49,OMITS,OMITS,BUSH,GORE,OMITS,OMITS,OMITS,,0.0,
11.0,11.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,HEALTH CARE,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,1.0130000000000001,
11.0,11.0,3.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,BEFORE THAT,EDUCATION,HAS THE RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,30-44,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.971,
11.0,11.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.978,
11.0,11.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.627,
11.0,11.0,6.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,THIS YEAR,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.9590000000000001,YES
11.0,11.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,30-44,30-39,,30-39,30-39,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.627,
11.0,11.0,8.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,65+,65-74,OMITS,OMITS,GORE,MCCAIN,OMITS,OMITS,OMITS,,1.002,
11.0,11.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,HEALTH CARE,HAS THE RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,OMITS,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,1.002,
11.0,11.0,10.0,FIRST CALL,65-74,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,GORE,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,CATHOLIC,0.978,YES
11.0,11.0,11.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.627,
11.0,11.0,12.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,HAS NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,OMITS,OMITS,OMITS,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,MCCAIN,OMITS,OMITS,OMITS,,0.62,
11.0,11.0,13.0,SECOND CALL,40-44,WHITE,MALE,BRADLEY,WITHIN LAST 3 DAYS,OMITS,NOT TYPICAL POLITICAN,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,30-44,40-49,,40-49,40-49,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,0.612,
11.0,11.0,14.0,SECOND CALL,40-44,BLACK,MALE,UNCOMITTED,TODAY,EDUCATION,HAS NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,30-44,40-49,,40-49,40-49,OMITS,OMITS,BUSH,GORE,OMITS,OMITS,OMITS,,0.0,
11.0,11.0,15.0,SECOND CALL,50-59,WHITE,MALE,UNCOMITTED,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,MCCAIN,OMITS,OMITS,OMITS,,0.0,
11.0,11.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,ABORTION,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,OMITS,STATE,NOT COMPLETE,ATLANTA AREA,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,1.0130000000000001,
11.0,11.0,17.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,65+,65-74,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,1.002,
11.0,11.0,18.0,THIRD CALL,60-64,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.978,
11.0,11.0,19.0,THIRD CALL,45-49,BLACK,FEMALE,GORE,TODAY,EDUCATION,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,ATLANTA AREA,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.971,
11.0,11.0,20.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,BEFORE THAT,RACE RELATIONS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,ATLANTA AREA,30-44,40-49,,40-49,40-49,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.971,
11.0,12.0,1.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,YES,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,ATLANTA AREA,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.1340000000000001,YES
11.0,12.0,2.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,WITHIN LAST 3 DAYS,EDUCATION,CAN WIN IN NOVEMBER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,18-64,18-74,BOTH,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,ATLANTA AREA,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,UNFAVORABLE,OMITS,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.1340000000000001,YES
11.0,12.0,3.0,FIRST CALL,45-49,WHITE,MALE,UNCOMITTED,WITHIN LAST 3 DAYS,EDUCATION,OMITS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,BOTH,OMITS,OMITS,STATE,COMPLETE,ATLANTA AREA,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.0,YES
11.0,12.0,4.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.182,YES
11.0,12.0,5.0,SECOND CALL,60-64,BLACK,MALE,GORE,WITHIN LAST WEEK,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,ATLANTA AREA,60+,60+,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,1.095,
