BUSHKNOW,OTHPRIRI,GEOCODE,OTHERPRI,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ISSVQUAL,REPSEEN,RELRIGHT,VOTE96,ABORTION,FINSIT,SSTAX,BUSHDAD,PARTYID,MCAINVET,ATTEND,EDUC,RELIGION,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,VETERAN,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,BUSH,MCCAIN,FORBES,INTERNET,NHSTEC,STR8TALK,ETAX,MARRIED,CHILD,REFORMVT,RELPUB,DESCRIBE,BEATDEM,ELIFE,CAMPFIN,BRNAGAIN,REGREP,REL5,WEIGHT
,,Rural north,No,30.0,1.0,11.0,Call 1,25-29,Male,Keyes,,,Will rise,,,,None,,,,Same,Tax cut,Not important at all,Republican,Not important at all,,Some college/Associate,,,,,,Very conservative,Conservative,No,18-64,18-74,Complete,18-29,25-29,Republican,25-29,25-29,Somewhat closely,Unfavorable,Unfavorable,Favorable,Yes,Good,Neither,No,,,Yes,,Strongly favor my candidate,OMITS,Good amount,Help,,Republican,,2.202
,,Rural north,No,30.0,1.0,12.0,Call 1,30-39,Male,Bush,,,Will rise,,,,None,,,,Same,Strengthen Social Security,Somewhat important,Republican,Somewhat important,,College graduate,,,"$50,000 - $74,999",,,Somewhat conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,Somewhat closely,Favorable,Favorable,Unfavorable,No,Excellent,Both,No,,,No,,Strongly favor my candidate,Bush,Little,Help,,Republican,,1.516
,No,Rural north,No,30.0,1.0,13.0,Call 1,65-74,Male,McCain,,,Will rise,,,,None,,,,Better,Tax cut,Not too important,Independent,Somewhat important,,College graduate,,,"$30,000 - $49,999",,,Moderate,Moderate,"Yes, voter is a veteran",65 and over,18-74,Complete,60 and over,60 and over,Independent/Other,65 and over,65-74,Somewhat closely,Favorable,Favorable,Favorable,Yes,Good,McCain,No,,,Yes,,Like my candidate with reservations,McCain,Good amount,Help,,Undeclared/Independent,,1.673
,,Rural north,No,30.0,1.0,14.0,Call 1,50-59,Female,Forbes,,,Will fall,,,,None,,,,Worse,Tax cut,Not too important,Republican,Somewhat important,,Some college/Associate,,,"$30,000 - $49,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Not too closely,Favorable,Favorable,Favorable,No,Good,Neither,No,,,No,,Strongly favor my candidate,McCain,Great deal,Help,,Republican,,1.223
,No,Rural north,No,30.0,1.0,15.0,Call 1,40-44,Male,McCain,,,Will rise,,,,None,,,,Better,OMITS,Not too important,Independent,Somewhat important,,Some college/Associate,,,"$50,000 - $74,999",,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,Somewhat closely,Favorable,Favorable,Favorable,Yes,Excellent,McCain,No,,,No,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,1.21
,No,Rural north,No,30.0,1.0,16.0,Call 1,30-39,Male,Forbes,,,Will rise,,,,None,,,,Better,Tax cut,Somewhat important,Independent,Somewhat important,,College graduate,,,"$75,000 - $99,999",,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Not too closely,Unfavorable,Unfavorable,Favorable,Yes,Good,Neither,No,,,Yes,,Strongly favor my candidate,,Great deal,Help,,Undeclared/Independent,,1.3
,,Rural north,No,30.0,1.0,17.0,Call 1,30-39,Female,Forbes,,,Will fall,,,,None,,,,Better,Tax cut,Very important,Independent,Not important at all,,Some college/Associate,,,"$30,000 - $49,999",,,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Not too closely,Unfavorable,Favorable,Favorable,Yes,Good,McCain,No,,,Yes,,Dislike other candidate,McCain,Great deal,Help,,Republican,,1.223
,,Rural north,No,30.0,1.0,18.0,Call 1,60-64,Male,McCain,,,OMITS,,,,None,,,,,Strengthen Social Security,Not important at all,,Somewhat important,,,,,,,,,,,18-64,18-74,Not complete,60 and over,60 and over,,50-64,50-64,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,,,Yes,,Dislike other candidate,McCain,OMITS,Hurt,,,,1.673
,,Rural north,No,30.0,1.0,19.0,Call 1,50-59,Male,McCain,,,Will rise,,,,Three or more,,,,Worse,Strengthen Social Security,Not important at all,Republican,Very important,,College graduate,,,"$50,000 - $74,999",,,Somewhat conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Very closely,Favorable,Favorable,Favorable,Yes,Excellent,McCain,No,,,No,,Strongly favor my candidate,McCain,Great deal,OMITS,,Republican,,1.21
Yes,,Rural north,,30.0,1.0,20.0,Call 2,60-64,Male,McCain,Within 3 days,Satisfied with candidates,,Moral values,Can win in November,My candidates personal qualities,,No,Buchanan,Illegal in most cases,,,,Republican,,Never,College graduate,None,No,"$15,000-$29,999",Yes,No,Very conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,60 and over,60 and over,Republican,50-64,50-64,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,None,1.673
Yes,,Rural north,,30.0,1.0,21.0,Call 2,30-39,Male,Bush,Today,Would like someone else,,Taxes,Stands up for beliefs,My candidates positions on the issues,,Yes,Did not vote,Legal in all cases,,,,Something else,,Once a week,Did not complete high school,None,Yes,"$15,000-$29,999",OMITS,OMITS,Somewhat conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,None,1.516
Yes,,Rural north,,30.0,1.0,22.0,Call 2,30-39,Female,Bauer,Within last week,Would like someone else,,OMITS,Represents conservative values,My candidates positions on the issues,,Yes,Forbes,Illegal in all cases,,,,Something else,,More than once a week,College graduate,Other Christian,OMITS,"$30,000 - $49,999",Yes,Yes,Very conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,Yes,Undeclared/Independent,Protestant/Other Christian,0.498
No,,Rural north,,30.0,1.0,23.0,Call 2,50-59,Female,McCain,Within 3 days,Would like someone else,,Social Security/Medicare,Strong leader,My candidates personal qualities,,No,Other,Legal in most cases,,,,Independent,,Few times a year,Some college/Associate,Other Christian,No,"$50,000 - $74,999",No,No,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Undeclared/Independent,Protestant/Other Christian,1.1380000000000001
,,Rural north,"Yes, for Gore",30.0,1.0,24.0,Call 2,50-59,Female,McCain,,,Will rise,,,,None,,,,Better,Strengthen Social Security,Not important at all,Independent,Somewhat important,,High school graduate,,,,,,Moderate,Moderate,No,18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,Not too closely,OMITS,OMITS,OMITS,No,Good,McCain,No,,,No,,Strongly favor my candidate,McCain,Little,Help,,,,1.1380000000000001
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,1.0,25.0,Call 2,45-49,Male,McCain,,,Will rise,,,,None,,,,Better,Strengthen Social Security,Not important at all,Independent,Very important,,College graduate,,,"$50,000 - $74,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,Somewhat closely,Unfavorable,Favorable,Favorable,Yes,Good,McCain,No,,,Yes,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,1.21
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,1.0,26.0,Call 2,30-39,Female,McCain,,,Will rise,,,,None,,,,Better,Tax cut,Not important at all,Independent,Somewhat important,,Some college/Associate,,,"$30,000 - $49,999",,,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Very closely,Unfavorable,Favorable,Unfavorable,No,Good,McCain,No,,,No,,Like my candidate with reservations,McCain,Not at all,Help,,Undeclared/Independent,,1.1380000000000001
,,Rural north,No,30.0,1.0,27.0,Call 2,45-49,Male,Bush,,,Will fall,,,,None,,,,Better,Tax cut,Not too important,Republican,Somewhat important,,Some college/Associate,,,"$75,000 - $99,999",,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,45-59,40-49,Republican,40-49,40-49,Very closely,Favorable,Favorable,Favorable,Yes,Good,Both,No,,,Yes,,Like my candidate with reservations,Bush,Great deal,Hurt,,Republican,,1.516
No,,Rural north,,30.0,1.0,28.0,Call 3,18-24,Female,McCain,Within last week,Satisfied with candidates,,World affairs,Cares about average American,My candidates positions on the issues,,No,Did not vote,Legal in most cases,,,,Independent,,Once a week,High school graduate,Catholic,Yes,"$15,000-$29,999",Yes,No,Moderate,Moderate,No,18-64,18-74,Complete,18-29,18-24,Independent/Other,18-24,18-24,,,,,,,,,No,No,,Keep to themselves,,,,,No,Not registered,Catholic,1.457
Yes,,Rural north,,30.0,1.0,29.0,Call 3,40-44,Male,Keyes,This year,Satisfied with candidates,,Taxes,Stands up for beliefs,My candidates positions on the issues,,Yes,Dole,Illegal in most cases,,,,Republican,,Few times a month,High school graduate,Catholic,No,"$30,000 - $49,999",No,No,Very conservative,Conservative,No,18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Republican,Catholic,1.72
No,,Rural north,,30.0,1.0,30.0,Call 3,50-59,Female,McCain,This year,OMITS,,Moral values,Represents conservative values,OMITS,,No,Did not vote,OMITS,,,,Independent,,Few times a year,Some college/Associate,Protestant,OMITS,,OMITS,OMITS,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Protestant/Other Christian,1.1380000000000001
No,,Rural north,,30.0,1.0,31.0,Call 3,45-49,Male,McCain,Within last week,Satisfied with candidates,,Campaign finance reform,Cares about average American,OMITS,,No,,Legal in all cases,,,,,,OMITS,,,OMITS,,OMITS,OMITS,,,,18-64,18-74,Not complete,45-59,40-49,,40-49,40-49,,,,,,,,,,,,OMITS,,,,,OMITS,,,1.21
No,,Rural north,,30.0,1.0,32.0,Call 3,40-44,Female,Forbes,Before that,Satisfied with candidates,,Campaign finance reform,Stands up for beliefs,My candidates personal qualities,,No,,Illegal in most cases,,,,Republican,,Never,Did not complete high school,Other Christian,Yes,"$15,000-$29,999",OMITS,OMITS,Moderate,Moderate,No,18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Protestant/Other Christian,1.223
Yes,,Rural north,,30.0,1.0,33.0,Call 3,65-74,Male,Bush,This year,OMITS,,Social Security/Medicare,Can win in November,My candidates positions on the issues,,No,Did not vote,Legal in most cases,,,,Independent,,Once a week,Post graduate study,Catholic,No,"$100,000 or more",No,No,Somewhat conservative,Conservative,No,65 and over,18-74,Complete,60 and over,60 and over,Independent/Other,65 and over,65-74,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Catholic,2.098
,No,Rural north,No,30.0,1.0,34.0,Call 3,40-44,Male,Keyes,,,Will rise,,,,One,,,,Better,Strengthen Social Security,Not important at all,Independent,Very important,,Some college/Associate,,,"$30,000 - $49,999",,,Very conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,Somewhat closely,Favorable,Favorable,Unfavorable,Yes,Excellent,McCain,No,,,No,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,1.72
Yes,,Concord and Connecticut Valley,,30.0,2.0,1.0,Call 1,30-39,Female,McCain,This year,Satisfied with candidates,,Taxes,Stands up for beliefs,My candidates positions on the issues,,No,Dole,Legal in all cases,,,,Republican,,Never,Did not complete high school,Catholic,OMITS,"$30,000 - $49,999",Yes,OMITS,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Republican,Catholic,0.755
No,,Concord and Connecticut Valley,,30.0,2.0,2.0,Call 1,30-39,Female,McCain,Within last week,Satisfied with candidates,,Education,Stands up for beliefs,My candidates personal qualities,,No,Other,Illegal in most cases,,,,Independent,,Once a week,Post graduate study,Catholic,Yes,"$30,000 - $49,999",No,No,Somewhat liberal,Liberal,"Yes, voter is a veteran",18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,No,Yes,,Keep to themselves,,,,,No,Undeclared/Independent,Catholic,0.755
OMITS,,Concord and Connecticut Valley,,30.0,2.0,3.0,Call 1,65-74,Female,McCain,Within 3 days,Satisfied with candidates,,Social Security/Medicare,Stands up for beliefs,My candidates personal qualities,,No,Dole,Legal in most cases,,,,Republican,,Once a week,Post graduate study,Protestant,OMITS,"$15,000-$29,999",OMITS,OMITS,Moderate,Moderate,"Yes, someone else in household",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,0.785
Yes,,Concord and Connecticut Valley,,30.0,2.0,4.0,Call 1,65-74,,Bush,Within last week,Satisfied with candidates,,Abortion,Stands up for beliefs,My candidates personal qualities,,Yes,Other,Illegal in all cases,,,,Republican,,More than once a week,Post graduate study,Catholic,OMITS,"$15,000-$29,999",Yes,OMITS,Very conservative,Conservative,"Yes, voter is a veteran",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Republican,Catholic,1.018
No,,Concord and Connecticut Valley,,30.0,2.0,5.0,Call 1,30-39,Male,McCain,This year,Satisfied with candidates,,Moral values,Stands up for beliefs,My candidates positions on the issues,,OMITS,Other,OMITS,,,,Republican,,Few times a month,Post graduate study,Catholic,Yes,"$50,000 - $74,999",OMITS,OMITS,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Republican,Catholic,0.772
No,,Concord and Connecticut Valley,,30.0,2.0,6.0,Call 1,45-49,Female,McCain,This year,Satisfied with candidates,,World affairs,Strong leader,My candidates personal qualities,,No,Other,Illegal in most cases,,,,Independent,,Few times a year,High school graduate,Protestant,No,"$50,000 - $74,999",No,No,Moderate,Moderate,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Undeclared/Independent,Protestant/Other Christian,0.755
Yes,,Concord and Connecticut Valley,,30.0,2.0,7.0,Call 1,50-59,,Bush,Within last week,Satisfied with candidates,,Social Security/Medicare,Can win in November,My candidates personal qualities,,No,Dole,Legal in most cases,,,,Republican,,Few times a year,Post graduate study,Protestant,No,"$100,000 or more",OMITS,OMITS,Somewhat conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.0030000000000001
No,,Concord and Connecticut Valley,,30.0,2.0,8.0,Call 1,45-49,Male,McCain,This year,Satisfied with candidates,,World affairs,Understands complex issues,My candidates positions on the issues,,No,Dole,Legal in all cases,,,,Republican,,Once a week,College graduate,Protestant,No,"$30,000 - $49,999",Yes,No,Somewhat conservative,Conservative,No,18-64,18-74,Complete,45-59,40-49,Republican,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Republican,Protestant/Other Christian,0.772
Yes,,Concord and Connecticut Valley,,30.0,2.0,9.0,Call 1,30-39,Male,McCain,Today,Satisfied with candidates,,Taxes,Stands up for beliefs,My candidates positions on the issues,,Yes,Dole,Legal in most cases,,,,Independent,,Few times a month,High school graduate,Catholic,Yes,"$15,000-$29,999",Yes,Yes,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,No,No,,Keep to themselves,,,,,No,Undeclared/Independent,Catholic,0.772
OMITS,,Concord and Connecticut Valley,,30.0,2.0,10.0,Call 1,30-39,Female,Forbes,Within 3 days,Satisfied with candidates,,Moral values,Cares about average American,My candidates personal qualities,,No,Did not vote,OMITS,,,,Republican,,Few times a month,High school graduate,Protestant,OMITS,"$30,000 - $49,999",OMITS,OMITS,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Not registered,Protestant/Other Christian,0.981
,,Concord and Connecticut Valley,No,30.0,2.0,11.0,Call 1,30-39,Female,McCain,,,Will rise,,,,None,,,,Same,Strengthen Social Security,Not too important,Independent,Not too important,,High school graduate,,,"$15,000-$29,999",,,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Somewhat closely,Favorable,Favorable,Unfavorable,No,Good,McCain,No,,,Yes,,Like my candidate with reservations,Bush,Little,Help,,Republican,,0.755
,No,Concord and Connecticut Valley,No,30.0,2.0,12.0,Call 1,60-64,Female,McCain,,,Will rise,,,,None,,,,Worse,Strengthen Social Security,Not important at all,Independent,Very important,,Some college/Associate,,,,,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,Very closely,Unfavorable,Favorable,Favorable,Yes,Good,McCain,No,,,No,,Like my candidate with reservations,McCain,Great deal,Help,,Undeclared/Independent,,0.785
,,Concord and Connecticut Valley,"Yes, for Gore",30.0,2.0,13.0,Call 1,65-74,Male,McCain,,,Will rise,,,,One,,,,Same,Strengthen Social Security,Not too important,Independent,Somewhat important,,Some college/Associate,,,"$50,000 - $74,999",,,Somewhat liberal,Liberal,No,65 and over,18-74,Complete,60 and over,60 and over,Independent/Other,65 and over,65-74,Somewhat closely,Favorable,Favorable,Unfavorable,No,Poor,McCain,Yes,,,Yes,,Like my candidate with reservations,Bush,Great deal,Help,,Republican,,0.803
,,Concord and Connecticut Valley,No,30.0,2.0,14.0,Call 1,60-64,,Bush,,,Will rise,,,,One,,,,Worse,Strengthen Social Security,Somewhat important,Republican,Somewhat important,,Some college/Associate,,,"$30,000 - $49,999",,,Somewhat conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,60 and over,60 and over,Republican,50-64,50-64,Somewhat closely,Favorable,Unfavorable,Favorable,No,Excellent,Bush,Yes,,,No,,Strongly favor my candidate,Bush,Good amount,Help,,Republican,,1.018
,No,Concord and Connecticut Valley,No,30.0,2.0,15.0,Call 1,30-39,Male,Forbes,,,Will rise,,,,None,,,,Same,Tax cut,Not important at all,Republican,Not important at all,,High school graduate,,,"$50,000 - $74,999",,,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,Somewhat closely,Favorable,Favorable,Favorable,No,Excellent,Neither,No,,,No,,Dislike other candidate,Bush,Great deal,Help,,Undeclared/Independent,,1.0030000000000001
,No,Concord and Connecticut Valley,No,30.0,2.0,16.0,Call 1,45-49,Male,Forbes,,,Will rise,,,,None,,,,Better,Tax cut,Not important at all,Something else,Somewhat important,,Post graduate study,,,"$50,000 - $74,999",,,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,Not closely at all,Unfavorable,Favorable,Favorable,Yes,Good,McCain,No,,,No,,Strongly favor my candidate,McCain,Great deal,Hurt,,Undeclared/Independent,,1.0030000000000001
,,Concord and Connecticut Valley,No,30.0,2.0,17.0,Call 1,30-39,Female,McCain,,,Will rise,,,,None,,,,Same,Tax cut,Not too important,Republican,Somewhat important,,High school graduate,,,"$50,000 - $74,999",,,Somewhat liberal,Liberal,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,Somewhat closely,Favorable,Favorable,Unfavorable,Yes,Excellent,McCain,No,,,No,,Strongly favor my candidate,Bush,Great deal,Help,,Republican,,0.755
,,Concord and Connecticut Valley,No,30.0,2.0,18.0,Call 1,40-44,Male,Bush,,,Will rise,,,,Two,,,,Better,Strengthen Social Security,Not too important,Republican,Somewhat important,,College graduate,,,"$75,000 - $99,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,Somewhat closely,Favorable,Favorable,Unfavorable,Yes,Good,Both,No,,,No,,Strongly favor my candidate,Bush,Good amount,Help,,Republican,,1.0030000000000001
,,Concord and Connecticut Valley,"Yes, for Bradley",30.0,2.0,19.0,Call 1,18-24,Male,McCain,,,Will rise,,,,Three or more,,,,Better,Strengthen Social Security,Not important at all,Independent,Not too important,,Some college/Associate,,,"Under $15,000",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,18-29,18-24,Independent/Other,18-24,18-24,Very closely,Favorable,Favorable,Unfavorable,Yes,Excellent,McCain,No,,,Yes,,Like my candidate with reservations,Bush,Good amount,Help,,Republican,,0.767
,,Concord and Connecticut Valley,No,30.0,2.0,20.0,Call 1,50-59,Female,Forbes,,,Will fall,,,,None,,,,Better,Strengthen Social Security,Not too important,Independent,Somewhat important,,Post graduate study,,,"$30,000 - $49,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,Not too closely,Favorable,Favorable,Favorable,Yes,Good,McCain,Yes,,,No,,Strongly favor my candidate,,Great deal,Help,,Republican,,0.981
