ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,ISSUE,NEC,iraqtrps,gwbangr,gaymrrge,barbangr,kerryms,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1065802.0,Mississippi,63.0,Call 1,Backside complete,1.12354123592377,John Kerry,Male,Black,No,50-59,Democrat,Very liberal,College graduate,"Under $15,000",About the same,No one does,Other Christian,Once a week,Yes,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,John Edwards,Somewhat,Taken more jobs from your state,Somewhat confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,3.0,39301.0
1065814.0,Mississippi,101.0,Call 1,Backside complete,0.632001519203186,Howard Dean,Female,Black,No,25-29,Democrat,,High school graduate,,About the same,No one does,None,Omit,No,The situation in Iraq,Good,Withdraw some troops,Angry,Gay couples allowed to legally form civil unions,Angry,Very likely,Bob Graham,A lot,Had no effect on jobs in your state,Somewhat confident,18-29,18-29,25-29,Omit,All others/Omits,No college degree,,Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,,None,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065815.0,Mississippi,63.0,Call 1,Backside complete,1.12354123592377,John Kerry,Male,Hispanic/Latino,Yes,50-59,,Somewhat liberal,Some college or associate degree,"Under $15,000",About the same,No one does,Protestant,More than once a week,No,Health care/Medicare,Not so good,Withdraw all troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Very likely,John Edwards,A lot,Had no effect on jobs in your state,Not too confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Not too/not at all confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,3.0,39301.0
1065828.0,Mississippi,121.0,Call 1,Backside complete,1.83433067798615,John Kerry,Male,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",Worse today,No one does,Protestant,Once a week,Yes,Economy/Jobs,Poor,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Dissatisfied, but not angry",Not too likely,John Edwards,A lot,Taken more jobs from your state,Somewhat confident,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White male,No,No,Very/somewhat confident,White,Jackson & Delta,Rural,Small cities and Rural,3.0,39669.0
1065829.0,Mississippi,101.0,Call 1,Backside complete,1.34461224079132,John Edwards,Female,Black,No,30-39,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,No one does,Other Christian,More than once a week,No,Education,Good,Withdraw some troops,Angry,Gay couples allowed to legally form civil unions,Angry,Somewhat likely,John Edwards,Somewhat,Taken more jobs from your state,Very confident,30-44,30-44,30-39,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065830.0,Mississippi,63.0,Call 1,Backside complete,1.08331739902496,John Kerry,Female,Black,No,50-59,Democrat,Somewhat liberal,Some college or associate degree,"Under $15,000",About the same,No one does,Catholic,More than once a week,No,Economy/Jobs,Good,Keep the same number of troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Dissatisfied, but not angry",Very likely,Dick Gephardt,A lot,Had no effect on jobs in your state,Somewhat confident,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Liberal,Catholic,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,3.0,39301.0
1065831.0,Mississippi,2.0,Call 1,Backside complete,1.48999094963074,John Kerry,Female,White,No,45-49,Democrat,Moderate,Postgraduate study,"$75,000-$99,999",About the same,No one does,Protestant,Once a week,No,Economy/Jobs,Not so good,Keep the same number of troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Not too likely,John Edwards,Somewhat,Taken more jobs from your state,Very confident,45-64,45-59,40-49,Weekly,Protestant/Attend Weekly,College degree,"$50,000 or more",Send more/Keep the same number of troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White female,No,No,Very/somewhat confident,White,Northeast,Rural,Small cities and Rural,1.0,38834.0
1065832.0,Mississippi,2.0,Call 1,Backside complete,1.76395678520203,John Kerry,Male,White,,65-74,Democrat,Somewhat liberal,Some college or associate degree,"$30,000-$49,999",Omit,No one does,Protestant,A few times a month,Yes,Economy/Jobs,Not so good,Send more troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Somewhat likely,John Edwards,Somewhat,Created more jobs in your state,Somewhat confident,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White male,No,No,Very/somewhat confident,White,Northeast,Rural,Small cities and Rural,1.0,38834.0
1065834.0,Mississippi,37.0,Call 1,Backside complete,1.46436309814453,John Kerry,Female,Black,,45-49,Democrat,Moderate,College graduate,"$15,000-$29,999",Worse today,No one does,Other Christian,A few times a month,No,Education,Poor,Withdraw all troops,Angry,No legal recognition of gay couples' relationships,Angry,Very likely,Hillary Clinton,A lot,Taken more jobs from your state,Not too confident,45-64,45-59,40-49,Occasionally,Protestant/Do not attend weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Not too/not at all confident,Black,Jackson & Delta,"City: 50,000 to 500,000","City over 50,000",2.0,39204.0
1065841.0,Mississippi,80.0,Call 1,Backside complete,0.716867864131927,John Kerry,Male,Black,No,50-59,Democrat,Very conservative,High school graduate,"Under $15,000",Worse today,No one does,None,A few times a year,No,Education,Poor,Withdraw some troops,Angry,No legal recognition of gay couples' relationships,Angry,Not too likely,Wesley Clark,A lot,Created more jobs in your state,Very confident,45-64,45-59,50-64,Occasionally,All others/Omits,No college degree,"Under $50,000",Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Conservative,None,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,2.0,39046.0
1065846.0,Mississippi,101.0,Call 1,Backside complete,0.728560626506805,Howard Dean,Male,Black,No,25-29,Democrat,Somewhat liberal,College graduate,"$15,000-$29,999",Better today,No one does,Something else,Once a week,No,The situation in Iraq,Good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Dissatisfied, but not angry",Somewhat likely,Hillary Clinton,Somewhat,Had no effect on jobs in your state,Somewhat confident,18-29,18-29,25-29,Weekly,All others/Omits,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Liberal,Something else,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065850.0,Mississippi,37.0,Call 1,Backside complete,1.6144700050354,Al Sharpton,Male,Black,No,30-39,Independent,Somewhat liberal,College graduate,"$15,000-$29,999",Worse today,No one does,Something else,A few times a year,No,Education,Not so good,Send more troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Not too likely,John Edwards,Not much,Taken more jobs from your state,Very confident,30-44,30-44,30-39,Occasionally,All others/Omits,College degree,"Under $50,000",Send more/Keep the same number of troops,Not too/Not at all likely,Not much/Not at all,Not so good/Poor,18-64,Independent,Liberal,Something else,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Jackson & Delta,"City: 50,000 to 500,000","City over 50,000",2.0,39204.0
1065853.0,Mississippi,80.0,Call 1,Backside complete,0.716867864131927,John Kerry,Male,Black,No,40-44,Democrat,Moderate,Postgraduate study,"$15,000-$29,999",Worse today,No one does,Something else,More than once a week,No,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Dissatisfied, but not angry",Not too likely,John Edwards,A lot,Taken more jobs from your state,Somewhat confident,30-44,30-44,40-49,Weekly,All others/Omits,College degree,"Under $50,000",Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Something else,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,2.0,39046.0
1065859.0,Mississippi,101.0,Call 1,Backside complete,0.632001519203186,Howard Dean,Female,Black,No,18-24,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",About the same,No one does,Something else,Once a week,No,Health care/Medicare,Good,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Very likely,Hillary Clinton,Somewhat,Had no effect on jobs in your state,Somewhat confident,18-29,18-29,18-24,Weekly,All others/Omits,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Moderate,Something else,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065860.0,Mississippi,101.0,Call 1,Backside complete,1.25358605384827,Howard Dean,Female,White,No,40-44,,,,,Omit,,,Omit,,Taxes,Omit,Withdraw some troops,Angry,Omit,Angry,Very likely,Wesley Clark,Not much,Created more jobs in your state,Omit,30-44,30-44,40-49,Omit,All others/Omits,,,Withdraw some/all troops,Very/somewhat likely,Not much/Not at all,Omit,18-64,,,,All others/Omits,White female,,,Omit,White,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065864.0,Mississippi,37.0,Call 1,Backside complete,1.51873528957367,John Kerry,Male,Black,No,50-59,Democrat,Somewhat liberal,Some college or associate degree,"Under $15,000",Better today,No one does,Protestant,Once a week,No,Health care/Medicare,Good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Very likely,John Edwards,Somewhat,Taken more jobs from your state,Somewhat confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Jackson & Delta,"City: 50,000 to 500,000","City over 50,000",2.0,39204.0
1065867.0,Mississippi,121.0,Call 1,Backside complete,1.83433067798615,John Kerry,Female,White,No,60-64,Democrat,Moderate,Some college or associate degree,"$75,000-$99,999",Worse today,"Yes, I do",Catholic,A few times a year,Yes,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Somewhat likely,John Edwards,A lot,Taken more jobs from your state,Very confident,45-64,60 or over,50-64,Occasionally,Catholic/Do not attend weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,White female,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,White,Jackson & Delta,Rural,Small cities and Rural,3.0,39669.0
1065868.0,Mississippi,41.0,Call 1,Backside complete,0.926962196826935,John Kerry,Female,Hispanic/Latino,Yes,30-39,Something Else,Very liberal,High school graduate,"Under $15,000",Better today,No one does,Other Christian,A few times a month,No,The situation in Iraq,Excellent,Withdraw all troops,Angry,Gay couples allowed to legally marry,"Dissatisfied, but not angry",Very likely,Wesley Clark,A lot,Taken more jobs from your state,Very confident,30-44,30-44,30-39,Occasionally,Protestant/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Independent,Liberal,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,39038.0
1065874.0,Mississippi,80.0,Call 1,Backside complete,0.597208619117737,John Kerry,Female,Black,No,25-29,Democrat,Moderate,Postgraduate study,"$30,000-$49,999",Better today,No one does,Other Christian,Once a week,No,Health care/Medicare,Not so good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Somewhat likely,Hillary Clinton,Somewhat,Taken more jobs from your state,Somewhat confident,18-29,18-29,25-29,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,2.0,39046.0
1065880.0,Mississippi,101.0,Call 1,Backside complete,0.758632004261017,Howard Dean,Male,Black,No,30-39,Democrat,,,,Omit,No one does,,Omit,,Economy/Jobs,Omit,Withdraw all troops,Angry,No legal recognition of gay couples' relationships,Angry,Very likely,Hillary Clinton,Omit,Created more jobs in your state,Omit,30-44,30-44,30-39,Omit,All others/Omits,,,Withdraw some/all troops,Very/somewhat likely,Omit,Omit,18-64,Democrat,,,All others/Omits,Non-white male,No,No,Omit,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065881.0,Mississippi,121.0,Call 1,Backside complete,1.83433067798615,John Kerry,Male,White,No,18-24,Republican,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,Other Christian,Once a week,Yes,The situation in Iraq,Poor,Withdraw some troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,Enthusaistic,Not too likely,Wesley Clark,Not much,Taken more jobs from your state,Somewhat confident,18-29,18-29,18-24,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Not too/Not at all likely,Not much/Not at all,Not so good/Poor,18-64,Republican,Moderate,Protestant/Other Christian,White Protestant/Other Christian,White male,No,No,Very/somewhat confident,White,Jackson & Delta,Rural,Small cities and Rural,3.0,39669.0
1065882.0,Mississippi,2.0,Call 1,Backside not complete,1.83433067798615,Did not vote,,,,,,,,,,,,,,Omit,,Omit,Omit,,Omit,Omit,Omit,,Omit,,,,,,,,,Omit,Omit,,,,,,,,,,,,,Northeast,Rural,Small cities and Rural,1.0,38834.0
1065884.0,Mississippi,37.0,Call 1,Backside complete,1.72868263721466,John Kerry,Male,Black,No,65-74,Democrat,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,Other Christian,Once a week,No,Economy/Jobs,Good,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,Enthusaistic,Very likely,John Edwards,A lot,Taken more jobs from your state,Somewhat confident,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Jackson & Delta,"City: 50,000 to 500,000","City over 50,000",2.0,39204.0
1065886.0,Mississippi,41.0,Call 1,Backside complete,0.926962196826935,John Kerry,Female,Black,No,50-59,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",About the same,No one does,Protestant,More than once a week,No,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Not too likely,Hillary Clinton,A lot,Taken more jobs from your state,Not too confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Withdraw some/all troops,Not too/Not at all likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Not too/not at all confident,Black,Jackson & Delta,Rural,Small cities and Rural,2.0,39038.0
1065887.0,Mississippi,68.0,Call 1,Backside not complete,1.30092871189117,John Edwards,Male,White,,60-64,,,,,,,,,,Health care/Medicare,,Withdraw all troops,Angry,,"Dissatisfied, but not angry",Very likely,Hillary Clinton,,Taken more jobs from your state,,45-64,60 or over,50-64,,,,,Withdraw some/all troops,Very/somewhat likely,,,18-64,,,,,White male,,,,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,38801.0
1065891.0,Mississippi,80.0,Call 1,Backside complete,0.621858477592468,John Kerry,Female,Black,No,30-39,Democrat,Very conservative,College graduate,"$15,000-$29,999",Better today,No one does,Other Christian,More than once a week,No,Economy/Jobs,Not so good,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Very likely,Wesley Clark,A lot,Taken more jobs from your state,Somewhat confident,30-44,30-44,30-39,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Conservative,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Southeast,"City: 10,000 to 49,999",Small cities and Rural,2.0,39046.0
1065894.0,Mississippi,101.0,Call 1,Backside not complete,1.25358605384827,Howard Dean,Female,White,No,45-49,,,,,,,,,,Taxes,,Withdraw some troops,"Dissatisfied, but not angry",,"Dissatisfied, but not angry",Somewhat likely,Dick Gephardt,,Created more jobs in your state,,45-64,45-59,40-49,,,,,Withdraw some/all troops,Very/somewhat likely,,,18-64,,,,,White female,,,,White,Jackson & Delta,Rural,Small cities and Rural,2.0,38646.0
1065899.0,Mississippi,37.0,Call 1,Backside complete,1.6144700050354,Al Sharpton,Male,Black,No,30-39,Democrat,Somewhat liberal,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,Other Christian,A few times a year,Yes,Economy/Jobs,Poor,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Somewhat likely,Hillary Clinton,Somewhat,Had no effect on jobs in your state,Not too confident,30-44,30-44,30-39,Occasionally,Protestant/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Not too/not at all confident,Black,Jackson & Delta,"City: 50,000 to 500,000","City over 50,000",2.0,39204.0
1065901.0,Mississippi,41.0,Call 1,Backside complete,1.60980868339539,Did not vote,Female,White,No,40-44,Democrat,Somewhat conservative,Postgraduate study,"$30,000-$49,999",About the same,No one does,None,Once a week,No,Economy/Jobs,Good,Send more troops,Angry,No legal recognition of gay couples' relationships,Enthusaistic,Somewhat likely,Hillary Clinton,A lot,Created more jobs in your state,Very confident,30-44,30-44,40-49,Weekly,All others/Omits,College degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,18-64,Democrat,Conservative,None,White None,White female,No,No,Very/somewhat confident,White,Jackson & Delta,Rural,Small cities and Rural,2.0,39038.0
