ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,FlagVPri,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
995246.0,Georgia,1.0,Call 1,Backside complete,2.12771916389465,John Edwards,Female,White,No,18-24,Democrat,Somewhat conservative,Some college or associate degree,"$75,000-$99,999",Worse today,"Yes, someone else does",Protestant,Today,Economy/Jobs,He cares about people like me,Omit,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Edwards,No,Creates more jobs in your state,Both candidates,Today's presidential primary,18-29,18-29,18-24,Omit,No college degree,No,"$50,000 or more",18-64,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,South,Rural,Small cities and Rural,1.0,31513.0
995258.0,Georgia,131.0,Call 1,Backside not complete,1.26117074489594,John Edwards,Male,White,No,50-59,,,,,,,,Before that,Economy/Jobs,He cares about people like me,,"Satisfied, but not enthusiastic",,,Satisfied only if Edwards is the nominee,Only John Edwards,,,Only John Kerry,,45-64,45-59,50-64,,,,,18-64,,,,,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,,,White,Central,Suburbs,Suburbs,1.0,31780.0
995262.0,Georgia,68.0,Call 1,Backside not complete,1.35037541389465,John Kerry,Female,Black,No,75 or over,,,,,,,,In the last three days,Health care/Medicare,He has a positive message,,"Dissatisfied, but not angry",,,Satisfied only if Kerry is the nominee,Only John Kerry,,,Only John Edwards,,65 or over,60 or over,65 or over,,,,,65 or over,,,,,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,,,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995266.0,Georgia,1.0,Call 1,Backside complete,2.01493835449219,John Edwards,Male,White,No,65-74,Democrat,Very liberal,College graduate,"$30,000-$49,999",Better today,No one does,Protestant,In the last month,Economy/Jobs,He cares about people like me,Somewhat important,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Edwards,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,College degree,No,"Under $50,000",65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,No,No,White,South,Rural,Small cities and Rural,1.0,31513.0
995273.0,Georgia,136.0,Call 1,Backside complete,0.619057595729828,John Kerry,Male,Black,No,45-49,Democrat,Very liberal,High school graduate,"$30,000-$49,999",Worse today,No one does,Other Christian,Today,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,Today's presidential primary,45-64,45-59,40-49,Very/somewhat important,No college degree,Yes,"Under $50,000",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,Black,Central,Rural,Small cities and Rural,8.0,30240.0
995276.0,Georgia,131.0,Call 1,Backside complete,0.635061264038086,Al Sharpton,Female,Black,No,25-29,Democrat,Somewhat liberal,Postgraduate study,"$15,000-$29,999",Better today,No one does,Other Christian,In the last month,Health care/Medicare,He stands up for what he believes,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Omit,No,Takes more jobs from your state,Only John Kerry,,18-29,18-29,25-29,Very/somewhat important,College degree,No,"Under $50,000",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Omit,Omit,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Central,Suburbs,Suburbs,1.0,31780.0
995280.0,Georgia,37.0,Call 1,Backside complete,0.696535050868988,John Edwards,Female,White,No,65-74,Republican,Moderate,College graduate,"$50,000-$74,999",About the same,No one does,Protestant,Before that,Health care/Medicare,He has a positive message,Somewhat important,Enthusaistic,Omit,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,,65 or over,60 or over,65 or over,Very/somewhat important,College degree,No,"$50,000 or more",65 or over,Republican,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30907.0
995281.0,Georgia,68.0,Call 1,Backside complete,1.41517376899719,Al Sharpton,Female,Black,No,25-29,Democrat,Somewhat liberal,College graduate,"$75,000-$99,999",Worse today,No one does,Other Christian,Today,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Edwards,Today's presidential primary,18-29,18-29,25-29,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white female,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995283.0,Georgia,1.0,Call 1,Backside complete,1.93591606616974,John Edwards,Male,White,No,50-59,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Protestant,In the last week,Economy/Jobs,He cares about people like me,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,Today's presidential primary,45-64,45-59,50-64,Not too/not at all important,No college degree,Yes,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,South,Rural,Small cities and Rural,1.0,31513.0
995293.0,Georgia,136.0,Call 1,Backside complete,0.681019365787506,John Kerry,Female,Black,No,45-49,Democrat,Very liberal,High school graduate,"$30,000-$49,999",Worse today,No one does,Other Christian,Before that,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,Today's presidential primary,45-64,45-59,40-49,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Central,Rural,Small cities and Rural,8.0,30240.0
995294.0,Georgia,37.0,Call 1,Backside complete,2.11821484565735,Dennis Kucinich,Male,White,No,75 or over,Republican,Very conservative,College graduate,"$50,000-$74,999",About the same,No one does,Protestant,Today,National security/Terrorism,Omit,Not too important,Omit,Omit,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Omit,Neither candidate,Today's presidential primary,65 or over,60 or over,65 or over,Not too/not at all important,College degree,No,"$50,000 or more",65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30907.0
995299.0,Georgia,68.0,Call 1,Backside complete,1.35037541389465,John Kerry,Female,Black,No,65-74,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,No one does,Other Christian,Today,Economy/Jobs,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995302.0,Georgia,131.0,Call 1,Backside complete,1.39866280555725,John Edwards,Female,,No,75 or over,Democrat,Moderate,College graduate,"$30,000-$49,999",About the same,No one does,Protestant,Before that,The war in Iraq,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Both candidates,Omit,Takes more jobs from your state,Both candidates,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Omit,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,,Central,Suburbs,Suburbs,1.0,31780.0
995303.0,Georgia,1.0,Call 1,Backside complete,2.01493835449219,John Edwards,Male,White,No,65-74,Democrat,Moderate,High school graduate,,Better today,"Yes, someone else does",Something else,In the last month,The war in Iraq,He can defeat George W. Bush,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,Today's presidential primary,65 or over,60 or over,65 or over,Not too/not at all important,No college degree,No,,65 or over,Democrat,Moderate,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,South,Rural,Small cities and Rural,1.0,31513.0
995306.0,Georgia,35.0,Call 1,Backside complete,0.837724983692169,John Kerry,Male,White,No,75 or over,Democrat,Very conservative,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",Protestant,In the last month,Health care/Medicare,He cares about people like me,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,Yes,Takes more jobs from your state,Only John Kerry,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Yes,"Under $50,000",65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30809.0
995315.0,Georgia,37.0,Call 1,Backside not complete,0.596642434597015,John Edwards,,White,No,75 or over,,,,,,,,Today,Omit,Omit,,"Satisfied, but not enthusiastic",,,Satisfied only if Edwards is the nominee,Only John Edwards,,,Only John Edwards,,65 or over,60 or over,65 or over,,,,,65 or over,,,,,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Edwards/Neither,,,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30907.0
995317.0,Georgia,131.0,Call 1,Backside complete,1.38740181922913,John Edwards,Female,White,,50-59,Democrat,Somewhat conservative,High school graduate,"$50,000-$74,999",About the same,No one does,Protestant,Before that,Economy/Jobs,He has a positive message,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,Today's presidential primary,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Central,Suburbs,Suburbs,1.0,31780.0
995321.0,Georgia,68.0,Call 1,Backside complete,1.35037541389465,John Kerry,Female,Black,No,60-64,Democrat,Moderate,Did not complete high school,"Under $15,000",Better today,No one does,,In the last week,Health care/Medicare,He cares about people like me,Very important,Omit,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,Today's presidential primary,45-64,60 or over,50-64,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995322.0,Georgia,35.0,Call 1,Backside complete,0.837724983692169,John Kerry,Male,White,No,60-64,Democrat,Moderate,High school graduate,"$50,000-$74,999",About the same,"Yes, I do",Other Christian,In the last month,Economy/Jobs,He has the right experience,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,Today's presidential primary,45-64,60 or over,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30809.0
995326.0,Georgia,1.0,Call 1,Backside complete,2.12261581420898,John Edwards,Female,White,No,65-74,Republican,Very liberal,Some college or associate degree,"$30,000-$49,999",Better today,No one does,Protestant,Before that,Omit,He cares about people like me,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Only John Edwards,No,Takes more jobs from your state,Only John Edwards,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Republican,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,No,No,White,South,Rural,Small cities and Rural,1.0,31513.0
995338.0,Georgia,136.0,Call 1,Backside complete,0.762701809406281,John Kerry,Female,Black,,65-74,,Very liberal,High school graduate,,Omit,,,In the last week,Economy/Jobs,Omit,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Omits,Omit,Omit,Creates more jobs in your state,Omit,,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Omit,,65 or over,,Liberal,,All others/Omits,Omit,Omit,Non-white female,Omit,Omit,Today/Last 3 days/Last week,Omit,Omit,,,Black,Central,Rural,Small cities and Rural,8.0,30240.0
995339.0,Georgia,131.0,Call 1,Backside complete,1.55380892753601,John Edwards,Female,White,No,65-74,Democrat,Moderate,College graduate,"$50,000-$74,999",About the same,No one does,Protestant,Today,Economy/Jobs,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Neither candidate,Today's presidential primary,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Yes,"$50,000 or more",65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,Suburbs,Suburbs,1.0,31780.0
995340.0,Georgia,37.0,Call 1,Backside complete,0.667346179485321,John Kerry,Female,White,No,75 or over,Democrat,Somewhat liberal,High school graduate,,Worse today,No one does,Catholic,In the last three days,Omit,Omit,Somewhat important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,Today's presidential primary,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,,65 or over,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,Central,"City: 10,000 to 49,999",Small cities and Rural,9.0,30907.0
995344.0,Georgia,68.0,Call 1,Backside not complete,0.85823118686676,John Kerry,Female,,,,,,,,,,,Today,Health care/Medicare,Omit,,Omit,,,Satisfied only if Kerry is the nominee,Omit,,,Only John Kerry,,,,,,,,,,,,,,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,,Omit,Omit,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,,,,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
