ID,STANUM,PRECINCT,VERSION,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,FTVOTEP,VISITWEB,GUNOWNER,REGISTNH,TIMEDP,ISSUE,QUAL,NEC,IRAQAPP,BREAKING,BUSHANGR,BEATBUSH,BUSHTAX,CIVUNION,DEANTEMP,ECONWORR,FAVCLRK,FAVDEAN,FAVEDWR,FAVKERR,FAVLIEB,FAVMCCA,IRAQSAFE,TERRWORR,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,ECOWORR2,ftever,FTPRIM,iraq2,MILHH,MILVOTER,NEC2,OVER65,PARTY,PHIL3,REL5,SEXRACE,TERWORR2,TIMEDP2,UNIONHH,UNIONMEM,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
598595.0,New Hampshire,71.0,Version 1,Call 1,Backside complete,1.22508728504181,John Kerry,Male,White,No,50-59,Independent,Moderate,Postgraduate study,,,No one does,No one has,Jewish,A few times a year,Have voted in presidential primary before,Never,No,,In the last three days,Economy/Jobs,,Not so good,Strongly disapprove,Not at all important,Angry,He can defeat George W. Bush in November,,Favor,Yes,,,,,,,,,,45-64,45-59,50-64,Occasionally,All others/Omits,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Independent,Moderate,Jewish,White male,,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03064
598596.0,New Hampshire,74.0,Version 1,Call 1,Backside not complete,0.990289568901062,John Kerry,Female,White,No,45-49,,,,,,,,,,,Never,,,In the last month,Health care/Medicare,,,,,Angry,Omit,,,Yes,,,,,,,,,,45-64,45-59,40-49,,,,,,,,,,,18-64,,,,White female,,Last month/Before that,,,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03060
598597.0,New Hampshire,7.0,Version 2,Call 1,Backside complete,1.3259049654007,Wesley Clark,Male,White,No,45-49,Independent,Somewhat liberal,,"$100,000 or more",Better today,"Yes, I do",,,,,,,Registered Undeclared/Independent,In the last week,,He stands up for what he believes,Not so good,,Not too important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Very worried,Favorable,Unfavorable,Favorable,Favorable,Favorable,Unfavorable,No,Not too worried,45-64,45-59,40-49,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Independent,Liberal,,White male,Not too/not at all worried,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,South,Suburbs,Suburbs,1.0,03110
598598.0,New Hampshire,5.0,Version 2,Call 1,Backside complete,1.10680603981018,Howard Dean,Male,White,No,60-64,Democrat,Moderate,,"$100,000 or more",Better today,No one does,,,,,,,Registered Democrat,Before that,,He would shake things up in Washington,Not so good,,Somewhat important,Angry,,Canceled only for the wealthy,,,Very worried,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,No,Somewhat worried,45-64,60 or over,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Moderate,,White male,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,Rural North,Rural,Small cities and Rural,1.0,03225
598599.0,New Hampshire,55.0,Version 1,Call 1,Backside not complete,1.04686963558197,Joe Lieberman,Male,White,No,60-64,,,,,,,,,,,Never,,,In the last three days,National security/Terrorism,,,,,"Satisfied, but not enthusiastic",He agrees with you on the major issues,,,Yes,,,,,,,,,,45-64,60 or over,50-64,,,,,,,,,,,18-64,,,,White male,,Last 3 days/Last week,,,White,South,Suburbs,Suburbs,1.0,03053
598600.0,New Hampshire,42.0,Version 1,Call 1,Backside complete,0.84715324640274,John Kerry,Female,White,No,60-64,Democrat,Very liberal,College graduate,"$50,000-$74,999",,No one does,"Yes, someone else has",Protestant,Once a week,Have voted in presidential primary before,Never,No,,In the last month,Health care/Medicare,,Poor,Strongly disapprove,Not too important,Angry,He can defeat George W. Bush in November,,Favor,No,,,,,,,,,,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,College degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",Someone else in household has,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White female,,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598601.0,New Hampshire,62.0,Version 2,Call 1,Backside complete,0.89530622959137,John Kerry,Male,White,No,75 or over,Democrat,Moderate,,"Under $15,000",Worse today,No one does,,,,,,,Registered Democrat,Before that,,Omit,Poor,,Very important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Very worried,Favorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,No,Not too worried,65 or over,60 or over,65 or over,,,,Very/somewhat worried,,,,,,Not so good/Poor,65 or over,Democrat,Moderate,,White male,Not too/not at all worried,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598602.0,New Hampshire,71.0,Version 2,Call 1,Backside complete,0.990289568901062,John Kerry,Female,White,No,50-59,Democrat,Very liberal,,"$100,000 or more",About the same,No one does,,,,,,,Registered Undeclared/Independent,In the last week,,He stands up for what he believes,Poor,,Not at all important,Angry,,Canceled only for the wealthy,,,Very worried,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,No,Somewhat worried,45-64,45-59,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White female,Very/somewhat worried,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03064
598603.0,New Hampshire,74.0,Version 2,Call 1,Backside complete,0.778732657432556,Howard Dean,Female,White,,75 or over,Democrat,Moderate,,"$30,000-$49,999",Worse today,No one does,,,,,,,Registered Democrat,Before that,,Omit,Good,,Very important,Angry,,Canceled only for the wealthy,,,Somewhat worried,Favorable,Favorable,Favorable,Unfavorable,Favorable,Unfavorable,Yes,Somewhat worried,65 or over,60 or over,65 or over,,,,Very/somewhat worried,,,,,,Excellent/Good,65 or over,Democrat,Moderate,,White female,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03060
598604.0,New Hampshire,63.0,Version 1,Call 1,Backside complete,1.18949329853058,Joe Lieberman,Male,White,No,50-59,Republican,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",,No one does,No one has,Catholic,Once a week,Have voted in presidential primary before,Rarely,No,,In the last week,The war in Iraq,,Good,Somewhat approve,Very important,Enthusaistic,He agrees with you on the major issues,,Oppose,No,,,,,,,,,,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Strongly/Somewhat approve,No veteran in household,No veteran in household,Excellent/Good,18-64,Republican,Conservative,Catholic,White male,,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03109
598605.0,New Hampshire,75.0,Version 1,Call 1,Backside complete,0.802975594997406,Howard Dean,Female,White,No,40-44,Independent,Somewhat liberal,Some college or associate degree,"$75,000-$99,999",,No one does,No one has,None,Never,Have voted in presidential primary before,Occasionally,No,,In the last three days,Health care/Medicare,,Not so good,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,,Favor,Yes,,,,,,,,,,30-44,30-44,40-49,Never,All others/Omits,No college degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Independent,Liberal,None,White female,,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03062
598606.0,New Hampshire,7.0,Version 2,Call 1,Backside complete,1.53324162960052,John Kerry,Male,White,No,25-29,Democrat,Somewhat liberal,,"$75,000-$99,999",About the same,No one does,,,,,,,Registered Democrat,In the last month,,He can defeat George W. Bush,Not so good,,Somewhat important,Angry,,Canceled only for the wealthy,,,Somewhat worried,Unfavorable,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,No,Somewhat worried,18-29,18-29,25-29,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White male,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,1.0,03110
598607.0,New Hampshire,5.0,Version 2,Call 1,Backside complete,0.578896880149841,Dennis Kucinich,Male,White,No,50-59,Independent,,,,About the same,No one does,,,,,,,Registered Undeclared/Independent,Before that,,He has the right experience,Poor,,Not too important,Angry,,Canceled for all Americans,,,Very worried,Unfavorable,Unfavorable,Favorable,Favorable,Unfavorable,Unfavorable,No,Somewhat worried,45-64,45-59,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Independent,,,White male,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,Rural North,Rural,Small cities and Rural,1.0,03225
598608.0,New Hampshire,63.0,Version 2,Call 1,Backside complete,1.18949329853058,Joe Lieberman,Male,White,No,45-49,Republican,Somewhat conservative,,"$50,000-$74,999",About the same,No one does,,,,,,,Registered Undeclared/Independent,Before that,,He has a positive message,Good,,Not too important,"Satisfied, but not enthusiastic",,Canceled only for the wealthy,,,Not too worried,Unfavorable,Unfavorable,Favorable,Unfavorable,Favorable,Favorable,Yes,Somewhat worried,45-64,45-59,40-49,,,,Not too/not at all worried,,,,,,Excellent/Good,18-64,Republican,Conservative,,White male,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03109
598609.0,New Hampshire,69.0,Version 2,Call 1,Backside complete,0.904581487178802,Wesley Clark,Female,White,No,30-39,Democrat,Somewhat liberal,,"$50,000-$74,999",About the same,No one does,,,,,,,Registered Democrat,In the last month,,He stands up for what he believes,Not so good,,Very important,"Dissatisfied, but not angry",,Canceled for all Americans,,,Somewhat worried,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,No,Somewhat worried,30-44,30-44,30-39,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White female,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03063
598610.0,New Hampshire,42.0,Version 1,Call 1,Backside complete,0.878791451454163,John Edwards,Male,White,No,65-74,Independent,Moderate,High school graduate,"$50,000-$74,999",,No one does,No one has,Catholic,Once a week,Have voted in presidential primary before,Frequently,Yes,,In the last three days,Corporate reform,,Good,Strongly approve,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,,Oppose,No,,,,,,,,,,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Strongly/Somewhat approve,No veteran in household,No veteran in household,Excellent/Good,65 or over,Independent,Moderate,Catholic,White male,,Last 3 days/Last week,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598611.0,New Hampshire,75.0,Version 2,Call 1,Backside complete,0.681987345218658,,Female,White,No,50-59,Independent,Moderate,,,About the same,No one does,,,,,,,Registered Undeclared/Independent,In the last week,,He stands up for what he believes,Not so good,,Not too important,Angry,,Canceled for all Americans,,,Very worried,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,Favorable,No,Somewhat worried,45-64,45-59,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Independent,Moderate,,White female,Very/somewhat worried,Last 3 days/Last week,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03062
598612.0,New Hampshire,71.0,Version 1,Call 1,Backside complete,0.963370203971863,Howard Dean,Male,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",,"Yes, I do","Yes, I have",Protestant,Never,Have voted in presidential primary before,Never,Yes,,In the last three days,Health care/Medicare,,Not so good,Somewhat approve,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,,Favor,Yes,,,,,,,,,,65 or over,60 or over,65 or over,Never,Protestant/Do not attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White male,,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03064
598613.0,New Hampshire,74.0,Version 1,Call 1,Backside complete,0.92121410369873,John Edwards,Male,White,No,25-29,Independent,Very liberal,High school graduate,"$50,000-$74,999",,"Yes, I do","Yes, someone else has",Catholic,Once a week,Have voted in presidential primary before,Rarely,Yes,,In the last week,Taxes,,Not so good,Strongly approve,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,,Oppose,Yes,,,,,,,,,,18-29,18-29,25-29,Weekly,Catholic/Attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Strongly/Somewhat approve,"Yes, I have or someone in household has",Someone else in household has,Not so good/Poor,18-64,Independent,Liberal,Catholic,White male,,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03060
598614.0,New Hampshire,5.0,Version 1,Call 1,Backside complete,1.47493457794189,John Kerry,Female,White,No,30-39,Democrat,Somewhat liberal,Some college or associate degree,"Under $15,000",,"Yes, someone else does","Yes, someone else has",Protestant,A few times a year,Have voted in presidential primary before,Rarely,No,,In the last week,Economy/Jobs,,Not so good,Somewhat approve,Very important,Angry,He agrees with you on the major issues,,Oppose,Omit,,,,,,,,,,30-44,30-44,30-39,Occasionally,Protestant/Do not attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Strongly/Somewhat approve,"Yes, I have or someone in household has",Someone else in household has,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White female,,Last 3 days/Last week,"Yes, I am or someone in household is",Someone else in household is,White,Rural North,Rural,Small cities and Rural,1.0,03225
598615.0,New Hampshire,42.0,Version 2,Call 1,Backside complete,0.585287511348724,Howard Dean,Female,White,No,75 or over,Democrat,Somewhat liberal,,"$15,000-$29,999",Worse today,No one does,,,,,,,Registered Democrat,In the last three days,,He stands up for what he believes,Not so good,,Very important,Angry,,Canceled only for the wealthy,,,Somewhat worried,Unfavorable,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,No,Not too worried,65 or over,60 or over,65 or over,,,,Very/somewhat worried,,,,,,Not so good/Poor,65 or over,Democrat,Liberal,,White female,Not too/not at all worried,Last 3 days/Last week,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598616.0,New Hampshire,62.0,Version 1,Call 1,Backside not complete,0.657078087329865,John Edwards,Male,White,No,65-74,,,,,,,,,,,Never,,,In the last three days,Health care/Medicare,,,,,Enthusaistic,He can defeat George W. Bush in November,,,No,,,,,,,,,,65 or over,60 or over,65 or over,,,,,,,,,,,65 or over,,,,White male,,Last 3 days/Last week,,,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598617.0,New Hampshire,7.0,Version 2,Call 1,Backside complete,1.37279152870178,Joe Lieberman,Male,White,No,30-39,Independent,Somewhat conservative,,"$100,000 or more",Better today,No one does,,,,,,,Registered Undeclared/Independent,In the last week,,He stands up for what he believes,Good,,Not too important,"Satisfied, but not enthusiastic",,Left entirely in place,,,Somewhat worried,Unfavorable,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,Yes,Very worried,30-44,30-44,30-39,,,,Very/somewhat worried,,,,,,Excellent/Good,18-64,Independent,Conservative,,White male,Very/somewhat worried,Last 3 days/Last week,No union member in household,No union member in household,White,South,Suburbs,Suburbs,1.0,03110
598618.0,New Hampshire,5.0,Version 2,Call 1,Backside complete,1.47493457794189,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,,"$15,000-$29,999",Worse today,"Yes, I do",,,,,,,Registered Democrat,In the last three days,,He has a positive message,Poor,,Very important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Very worried,Favorable,Unfavorable,Favorable,Favorable,Unfavorable,Favorable,No,Very worried,45-64,45-59,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,Liberal,,White female,Very/somewhat worried,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,Rural North,Rural,Small cities and Rural,1.0,03225
598619.0,New Hampshire,55.0,Version 2,Call 1,Backside complete,0.986386775970459,Joe Lieberman,Female,White,No,50-59,Independent,Somewhat liberal,,"$100,000 or more",About the same,No one does,,,,,,,Registered Democrat,In the last month,,He has the right experience,Not so good,,Not too important,"Dissatisfied, but not angry",,Canceled only for the wealthy,,,Not too worried,Favorable,Favorable,Unfavorable,Favorable,Favorable,Favorable,Yes,Somewhat worried,45-64,45-59,50-64,,,,Not too/not at all worried,,,,,,Not so good/Poor,18-64,Independent,Liberal,,White female,Very/somewhat worried,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,1.0,03053
598620.0,New Hampshire,69.0,Version 1,Call 1,Backside not complete,0.904581487178802,Wesley Clark,Female,White,No,50-59,,,,,,,,,,,Rarely,,,In the last month,Economy/Jobs,,,,,Angry,He agrees with you on the major issues,,,No,,,,,,,,,,45-64,45-59,50-64,,,,,,,,,,,18-64,,,,White female,,Last month/Before that,,,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03063
598621.0,New Hampshire,42.0,Version 1,Call 1,Backside complete,0.843982696533203,Howard Dean,Male,White,No,30-39,Independent,Very liberal,High school graduate,"$15,000-$29,999",,No one does,No one has,Other Christian,A few times a year,Have voted in presidential primary before,Rarely,No,,In the last month,Economy/Jobs,,Not so good,Strongly disapprove,Very important,Angry,He can defeat George W. Bush in November,,Favor,Yes,,,,,,,,,,30-44,30-44,30-39,Occasionally,Protestant/Do not attend weekly,No college degree,,Have voted before,Have voted in a presidential primary before,Somewhat/Strongly disapprove,No veteran in household,No veteran in household,Not so good/Poor,18-64,Independent,Liberal,Protestant/Other Christian,White male,,Last month/Before that,No union member in household,No union member in household,White,South,Suburbs,Suburbs,2.0,03244
598622.0,New Hampshire,62.0,Version 2,Call 1,Backside complete,0.89530622959137,John Kerry,Male,White,No,60-64,Democrat,,,"$30,000-$49,999",Worse today,"Yes, I do",,,,,,,Registered Democrat,In the last week,,He can defeat George W. Bush,Poor,,Somewhat important,Angry,,Canceled only for the wealthy,,,Very worried,Favorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,No,Somewhat worried,45-64,60 or over,50-64,,,,Very/somewhat worried,,,,,,Not so good/Poor,18-64,Democrat,,,White male,Very/somewhat worried,Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",1.0,03103
598623.0,New Hampshire,71.0,Version 1,Call 1,Backside complete,0.744656085968018,John Edwards,Female,White,No,25-29,Independent,Moderate,Postgraduate study,,,No one does,"Yes, someone else has",,Omit,"Have voted before, but not in a presidential primary",Frequently,Yes,,Before that,Omit,,Not so good,Omit,Not too important,Angry,Omit,,Omit,Omit,,,,,,,,,,18-29,18-29,25-29,Omit,All others/Omits,College degree,,Have voted before,First time voting in a presidential primary,Omit,"Yes, I have or someone in household has",Someone else in household has,Not so good/Poor,18-64,Independent,Moderate,,White female,,Last month/Before that,No union member in household,No union member in household,White,Industrial Areas,"City: 50,000 to 500,000","City over 50,000",2.0,03064
