ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994933.0,Massachusetts,100.0,Call 1,Backside complete,0.440584868192673,John Kerry,Female,White,No,50-59,Democrat,Moderate,Postgraduate study,,About the same,"Yes, someone else does",Catholic,No,Before that,Economy/Jobs,He stands up for what he believes,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,College degree,No,,18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994938.0,Massachusetts,35.0,Call 1,Backside complete,1.27828884124756,John Kerry,Male,White,No,65-74,Independent,Moderate,College graduate,"$75,000-$99,999",Worse today,No one does,Catholic,No,Before that,Economy/Jobs,He has the right experience,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,College degree,No,"$50,000 or more",65 or over,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,9.0,02027
994948.0,Massachusetts,14.0,Call 1,Backside complete,0.837739586830139,John Kerry,Male,White,No,30-39,Democrat,Very liberal,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,Catholic,Yes,Before that,The war in Iraq,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Omit,Only John Kerry,30-44,30-44,30-39,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",9.0,02114
994949.0,Massachusetts,100.0,Call 1,Backside complete,0.445446819067001,John Kerry,Male,White,No,30-39,Democrat,Somewhat liberal,Postgraduate study,"$30,000-$49,999",Worse today,"Yes, I do",Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,Yes,Takes more jobs from your state,Only John Kerry,30-44,30-44,30-39,Not too/not at all important,College degree,Yes,"Under $50,000",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994964.0,Massachusetts,116.0,Call 1,Backside complete,0.683920443058014,John Kerry,Female,White,No,40-44,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Worse today,No one does,Jewish,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City: 10,000 to 49,999",Small cities and Rural,7.0,01890
994971.0,Massachusetts,14.0,Call 1,Backside complete,1.06764268875122,John Kerry,Male,Black,No,18-24,Democrat,Very liberal,College graduate,"$30,000-$49,999",About the same,No one does,Protestant,No,Before that,Economy/Jobs,He has the right experience,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Creates more jobs in your state,Only John Kerry,18-29,18-29,18-24,Not too/not at all important,College degree,No,"Under $50,000",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Boston area,"City over 500,000","City over 50,000",9.0,02114
994973.0,Massachusetts,100.0,Call 1,Backside complete,0.535978257656097,John Kerry,Female,White,No,65-74,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,No one does,Catholic,No,Today,Economy/Jobs,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994986.0,Massachusetts,35.0,Call 1,Backside complete,1.05077910423279,John Kerry,Male,White,No,50-59,Independent,Somewhat liberal,College graduate,"$100,000 or more",Better today,No one does,Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Independent,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,9.0,02027
994987.0,Massachusetts,14.0,Call 1,Backside complete,0.828595876693726,John Kerry,Female,White,No,45-49,Democrat,Very liberal,Postgraduate study,"$50,000-$74,999",Better today,No one does,None,No,In the last month,The war in Iraq,He has the right experience,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Creates more jobs in your state,Both candidates,45-64,45-59,40-49,Not too/not at all important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",9.0,02114
994996.0,Massachusetts,100.0,Call 1,Backside complete,0.440584868192673,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Worse today,No one does,Catholic,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,No,Omit,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
995000.0,Massachusetts,35.0,Call 1,Backside complete,1.0393100976944,John Kerry,Female,Hispanic/Latino,Yes,50-59,Independent,Moderate,College graduate,"$50,000-$74,999",Worse today,No one does,Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Independent,Moderate,Catholic,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,9.0,02027
995010.0,Massachusetts,116.0,Call 1,Backside complete,0.683920443058014,John Kerry,Female,White,No,40-44,Democrat,Moderate,College graduate,"$100,000 or more",Better today,No one does,Protestant,,In the last month,The war in Iraq,He has the right experience,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Has no effect on jobs in your state,Only John Kerry,30-44,30-44,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City: 10,000 to 49,999",Small cities and Rural,7.0,01890
995013.0,Massachusetts,7.0,Call 1,Backside complete,1.16152191162109,John Edwards,Female,White,No,50-59,Democrat,Very liberal,College graduate,"$50,000-$74,999",About the same,No one does,Catholic,No,In the last month,Economy/Jobs,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,5.0,01821
995014.0,Massachusetts,100.0,Call 1,Backside complete,0.440584868192673,John Kerry,Female,White,No,40-44,Democrat,Somewhat conservative,College graduate,"$75,000-$99,999",Worse today,No one does,Catholic,No,In the last week,Omit,He has the right experience,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,30-44,30-44,40-49,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Conservative,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
995021.0,Massachusetts,35.0,Call 1,Backside complete,1.27828884124756,John Kerry,Male,White,No,75 or over,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,"Yes, someone else does",Catholic,No,Before that,Taxes,He cares about people like me,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",No,White,East,Suburbs,Suburbs,9.0,02027
995032.0,Massachusetts,116.0,Call 1,Backside complete,0.915818810462952,John Edwards,Male,White,No,40-44,Democrat,Very liberal,Postgraduate study,"$100,000 or more",Better today,No one does,None,No,Before that,Economy/Jobs,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Neither candidate,No,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,None,White None,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Boston area,"City: 10,000 to 49,999",Small cities and Rural,7.0,01890
