ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,dpres,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,issue,NEC,iraqtrps,gwbangr,gaymrrge,blncangr,kerryla,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1065806.0,Louisiana,85.0,Call 1,Backside complete,1.11418950557709,Did not vote,Female,Black,No,25-29,Democrat,Somewhat liberal,Postgraduate study,"$30,000-$49,999",About the same,No one does,Protestant,More than once a week,No,Education,Not so good,Withdraw some troops,Angry,Gay couples allowed to legally form civil unions,Enthusaistic,Very likely,Hillary Clinton,Somewhat,Taken more jobs from your state,Not too confident,17-29,17-29,25-29,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Not too/not at all confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065813.0,Louisiana,84.0,Call 1,Backside complete,1.38150751590729,Dennis Kucinich,Female,White,No,50-59,Democrat,Very liberal,Some college or associate degree,"$30,000-$49,999",About the same,"Yes, someone else does",Jewish,A few times a year,No,Omit,Poor,Withdraw some troops,Angry,Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Somewhat likely,Omit,Somewhat,Omit,Somewhat confident,45-64,45-59,50-64,Occasionally,All others/Omits,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Jewish,White Jewish,White female,"Yes, I am or someone in household is",No,Very/somewhat confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065816.0,Louisiana,85.0,Call 1,Backside complete,1.20428872108459,John Kerry,Female,Black,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$50,000-$74,999",About the same,No one does,Catholic,More than once a week,No,National security/Terrorism,Not so good,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,Enthusaistic,Somewhat likely,Mary Landrieu,A lot,Taken more jobs from your state,Very confident,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Catholic,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065820.0,Louisiana,69.0,Call 1,Backside not complete,1.10651648044586,John Kerry,Male,Black,,40-44,,,,,,,,,,The situation in Iraq,,Withdraw all troops,"Dissatisfied, but not angry",,Enthusaistic,Very likely,Mary Landrieu,,Taken more jobs from your state,,30-44,30-44,40-49,,,,,Withdraw some/all troops,Very/somewhat likely,,,17-64,,,,,Non-white male,,,,Black,Cajun country,"City: 50,000 to 500,000","City over 50,000",7.0,70501.0
1065826.0,Louisiana,84.0,Call 1,Backside complete,1.26767241954803,John Kerry,Female,Black,No,50-59,Independent,Moderate,Did not complete high school,"Under $15,000",About the same,No one does,Something else,A few times a year,No,Economy/Jobs,Not so good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,Hillary Clinton,Somewhat,Omit,Somewhat confident,45-64,45-59,50-64,Occasionally,All others/Omits,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Independent,Moderate,Something else,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065833.0,Louisiana,57.0,Call 1,Backside complete,0.481715500354767,John Kerry,Female,Black,No,50-59,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,Protestant,More than once a week,No,Economy/Jobs,Not so good,Keep the same number of troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,Enthusaistic,Very likely,Hillary Clinton,Not much,Had no effect on jobs in your state,Somewhat confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,Not much/Not at all,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
1065840.0,Louisiana,69.0,Call 1,Backside not complete,1.1599178314209,John Kerry,Female,Black,No,50-59,,,,,,,,,,Education,,Withdraw all troops,Angry,,"Satisfied, but not enthusiastic",Very likely,Hillary Clinton,,Taken more jobs from your state,,45-64,45-59,50-64,,,,,Withdraw some/all troops,Very/somewhat likely,,,17-64,,,,,Non-white female,,,,Black,Cajun country,"City: 50,000 to 500,000","City over 50,000",7.0,70501.0
1065848.0,Louisiana,84.0,Call 1,Backside complete,1.7910989522934,John Kerry,Female,White,No,60-64,Democrat,Very liberal,High school graduate,"$75,000-$99,999",Worse today,No one does,Protestant,Never,No,Economy/Jobs,Not so good,Withdraw some troops,Angry,Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Somewhat likely,John Edwards,A lot,Had no effect on jobs in your state,Very confident,45-64,60 or over,50-64,Never,Protestant/Do not attend weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,White female,No,No,Very/somewhat confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065849.0,Louisiana,57.0,Call 1,Backside complete,0.587816774845123,John Kerry,Female,Black,,60-64,Independent,Moderate,High school graduate,"$30,000-$49,999",Worse today,No one does,Something else,More than once a week,No,Omit,Poor,Withdraw all troops,Angry,No legal recognition of gay couples' relationships,Enthusaistic,Very likely,Wesley Clark,Not much,Taken more jobs from your state,Very confident,45-64,60 or over,50-64,Weekly,All others/Omits,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,Not much/Not at all,Not so good/Poor,17-64,Independent,Moderate,Something else,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
1065851.0,Louisiana,123.0,Call 1,Backside complete,1.89095854759216,Other,Male,,No,50-59,Republican,Somewhat liberal,Some college or associate degree,"$100,000 or more",Better today,No one does,Catholic,More than once a week,No,National security/Terrorism,Good,Send more troops,Enthusaistic,No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Not at all likely,Mary Landrieu,Not at all,Had no effect on jobs in your state,Somewhat confident,45-64,45-59,50-64,Weekly,Catholic/Attend weekly,No college degree,"$50,000 or more",Send more/Keep the same number of troops,Not too/Not at all likely,Not much/Not at all,Excellent/Good,17-64,Republican,Liberal,Catholic,All others/Omits,,No,No,Very/somewhat confident,,Cajun country,"City: 10,000 to 49,999",Small cities and Rural,3.0,70380.0
1065854.0,Louisiana,69.0,Call 1,Backside complete,1.1599178314209,John Kerry,Female,Black,No,45-49,Democrat,Moderate,College graduate,"$15,000-$29,999",About the same,No one does,Other Christian,More than once a week,No,Health care/Medicare,Not so good,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,Enthusaistic,Very likely,Mary Landrieu,Somewhat,Had no effect on jobs in your state,Very confident,45-64,45-59,40-49,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,Cajun country,"City: 50,000 to 500,000","City over 50,000",7.0,70501.0
1065863.0,Louisiana,57.0,Call 1,Backside complete,0.481715500354767,John Kerry,Female,Black,No,30-39,Democrat,Very liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Something else,More than once a week,No,Omit,Not so good,Withdraw all troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,Enthusaistic,Very likely,John Edwards,A lot,Omit,Somewhat confident,30-44,30-44,30-39,Weekly,All others/Omits,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Something else,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
1065865.0,Louisiana,84.0,Call 1,Backside complete,1.38150751590729,Dennis Kucinich,Female,White,No,30-39,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",About the same,No one does,None,Never,No,Omit,Good,Withdraw all troops,Angry,Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Somewhat likely,Omit,A lot,Omit,Somewhat confident,30-44,30-44,30-39,Never,All others/Omits,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,17-64,Democrat,Liberal,None,White None,White female,No,No,Very/somewhat confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065866.0,Louisiana,123.0,Call 1,Backside complete,1.56340110301971,John Kerry,Male,White,No,65-74,Democrat,Very liberal,Some college or associate degree,"$30,000-$49,999",About the same,"Yes, I do",Catholic,A few times a month,No,Economy/Jobs,Not so good,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Enthusaistic,Somewhat likely,Bob Graham,A lot,Taken more jobs from your state,Very confident,65 or over,60 or over,65 or over,Occasionally,Catholic/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,White Catholic,White male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,White,Cajun country,"City: 10,000 to 49,999",Small cities and Rural,3.0,70380.0
1065869.0,Louisiana,91.0,Call 1,Backside complete,1.77382242679596,John Kerry,Male,White,No,50-59,Independent,Moderate,Some college or associate degree,"$100,000 or more",Worse today,No one does,None,Never,No,The situation in Iraq,Poor,Withdraw all troops,Angry,Gay couples allowed to legally marry,"Dissatisfied, but not angry",Somewhat likely,John Edwards,A lot,Taken more jobs from your state,Not too confident,45-64,45-59,50-64,Never,All others/Omits,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Independent,Moderate,None,White None,White male,No,No,Not too/not at all confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70124.0
1065870.0,Louisiana,128.0,Call 1,Backside complete,1.64599001407623,John Kerry,Female,Black,,60-64,Democrat,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,"Yes, I do",Catholic,More than once a week,No,Health care/Medicare,Poor,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,Enthusaistic,Very likely,Wesley Clark,A lot,Taken more jobs from your state,Somewhat confident,45-64,60 or over,50-64,Weekly,Catholic/Attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Catholic,All others/Omits,Non-white female,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,Protestant North,Rural,Small cities and Rural,1.0,74058.0
1065878.0,Louisiana,84.0,Call 1,Backside complete,1.89095854759216,Other,Female,White,No,30-39,Democrat,,College graduate,"$50,000-$74,999",Worse today,No one does,None,A few times a year,No,Economy/Jobs,Poor,Send more troops,Angry,Gay couples allowed to legally marry,"Dissatisfied, but not angry",Very likely,Wesley Clark,Somewhat,Taken more jobs from your state,Very confident,30-44,30-44,30-39,Occasionally,All others/Omits,College degree,"$50,000 or more",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,,None,White None,White female,No,No,Very/somewhat confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065879.0,Louisiana,84.0,Call 1,Backside complete,1.51618075370789,Did not vote,Female,Black,No,60-64,Republican,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,Protestant,More than once a week,No,Economy/Jobs,Good,Keep the same number of troops,"Satisfied, but not enthusiastic",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Not at all likely,Mary Landrieu,Not at all,Taken more jobs from your state,Very confident,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Not too/Not at all likely,Not much/Not at all,Excellent/Good,17-64,Republican,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065883.0,Louisiana,57.0,Call 1,Backside complete,0.481715500354767,John Kerry,Female,Black,No,30-39,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",Better today,No one does,Protestant,More than once a week,No,Health care/Medicare,Poor,Withdraw all troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Dissatisfied, but not angry",Very likely,John Edwards,Somewhat,Taken more jobs from your state,Somewhat confident,30-44,30-44,30-39,Weekly,Protestant/Attend Weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
1065885.0,Louisiana,123.0,Call 1,Backside complete,1.40524649620056,John Edwards,Male,White,,50-59,Independent,Somewhat liberal,Postgraduate study,"$100,000 or more",Worse today,No one does,Catholic,A few times a year,No,Economy/Jobs,Poor,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Satisfied, but not enthusiastic",Somewhat likely,Hillary Clinton,Somewhat,Taken more jobs from your state,Very confident,45-64,45-59,50-64,Occasionally,Catholic/Do not attend weekly,College degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Independent,Liberal,Catholic,White Catholic,White male,No,No,Very/somewhat confident,White,Cajun country,"City: 10,000 to 49,999",Small cities and Rural,3.0,70380.0
1065892.0,Louisiana,69.0,Call 1,Backside complete,1.10651648044586,John Kerry,Male,Black,No,45-49,Democrat,Moderate,High school graduate,"Under $15,000",About the same,No one does,Other Christian,More than once a week,Yes,Health care/Medicare,Not so good,Keep the same number of troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,Dick Gephardt,Somewhat,Taken more jobs from your state,Very confident,45-64,45-59,40-49,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Cajun country,"City: 50,000 to 500,000","City over 50,000",7.0,70501.0
1065897.0,Louisiana,84.0,Call 1,Backside complete,1.26767241954803,John Kerry,Female,Black,No,50-59,Democrat,Very liberal,College graduate,"$15,000-$29,999",About the same,No one does,Something else,A few times a year,No,Economy/Jobs,Not so good,Withdraw all troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,Enthusaistic,Very likely,Mary Landrieu,A lot,Taken more jobs from your state,Somewhat confident,45-64,45-59,50-64,Occasionally,All others/Omits,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Something else,All others/Omits,Non-white female,No,No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065898.0,Louisiana,57.0,Call 1,Backside complete,0.477611631155014,John Kerry,Male,Black,No,50-59,Democrat,Moderate,High school graduate,"$30,000-$49,999",Worse today,"Yes, I do",Protestant,Once a week,Yes,Economy/Jobs,Poor,Keep the same number of troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,"Satisfied, but not enthusiastic",Very likely,Hillary Clinton,A lot,Taken more jobs from your state,Very confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
1065900.0,Louisiana,123.0,Call 1,Backside complete,1.3502345085144,John Kerry,Male,Black,,65-74,Democrat,Moderate,College graduate,"Under $15,000",About the same,No one does,Protestant,More than once a week,No,Economy/Jobs,Not so good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,Enthusaistic,Somewhat likely,Omit,A lot,Taken more jobs from your state,Somewhat confident,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Cajun country,"City: 10,000 to 49,999",Small cities and Rural,3.0,70380.0
1065904.0,Louisiana,127.0,Call 1,Backside complete,0.620806813240051,John Kerry,Male,White,No,45-49,Democrat,Moderate,High school graduate,"$75,000-$99,999",About the same,No one does,Catholic,A few times a year,No,Economy/Jobs,Not so good,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,Enthusaistic,Somewhat likely,John Edwards,A lot,Taken more jobs from your state,Very confident,45-64,45-59,40-49,Occasionally,Catholic/Do not attend weekly,No college degree,"$50,000 or more",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Catholic,White Catholic,White male,No,No,Very/somewhat confident,White,Protestant North,"City: 10,000 to 49,999",Small cities and Rural,1.0,70448.0
1065911.0,Louisiana,57.0,Call 1,Backside complete,1.89095854759216,Other,Male,Black,No,60-64,Democrat,Somewhat liberal,Some college or associate degree,"$50,000-$74,999",Worse today,"Yes, I do",Protestant,Once a week,No,Economy/Jobs,Poor,Send more troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,Wesley Clark,A lot,Created more jobs in your state,Very confident,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,No college degree,"$50,000 or more",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70058.0
