ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,issue,qual,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,satkerry,AGE,AGE60,AGE65,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
665461.0,Missouri,39.0,Call 1,Backside complete,1.69185900688171,John Edwards,Female,White,No,50-59,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",About the same,"Yes, I do",No one has,Protestant,Once a week,Employed full-time,Rarely,Today,Health care/Medicare,He stands up for what he believes,Not so good,Somewhat disapprove,Somewhat important,Angry,He agrees with you on the major issues, Somewhat satisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665463.0,Missouri,88.0,Call 1,Backside complete,0.859302759170532,John Edwards,Female,White,No,65-74,Democrat,Somewhat liberal,Some college or associate degree,"$30,000-$49,999",Worse today,"Yes, someone else does","Yes, someone else has",Catholic,More than once a week,Not working and not looking for work,Never,In the last three days,Economy/Jobs,He stands up for what he believes,Not so good,Somewhat disapprove,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Somewhat dissatisfied,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,White Catholic,Somewhat/very dissatisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665464.0,Missouri,23.0,Call 1,Backside complete,1.76266205310822,John Kerry,Male,White,No,50-59,Democrat,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",About the same,No one does,"Yes, I have",Other Christian,Once a week,Employed full-time,Rarely,In the last week,Health care/Medicare,He has the right experience,Good,Somewhat approve,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,Not too/Not at all important,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,18-64,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665475.0,Missouri,88.0,Call 1,Backside not complete,0.879663467407227,John Kerry,Male,White,No,65-74,,,,,,,,,,,Occasionally,In the last week,Health care/Medicare,He can defeat George W. Bush,,,,Angry,,Very satisfied,65 or over,60 or over,65 or over,,,,,,,,,,65 or over,,,,,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,,,Frequently/Occasionally,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665478.0,Missouri,39.0,Call 1,Backside complete,1.44882071018219,John Kerry,Female,White,No,65-74,Democrat,,High school graduate,,About the same,No one does,No one has,,Omit,Employed part-time,Rarely,In the last three days,Health care/Medicare,He can defeat George W. Bush,Not so good,Somewhat approve,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,65 or over,60 or over,65 or over,Omit,All others/Omits,Not too/Not at all important,No college degree,Employed women,Strongly/Somewhat approve,No,No,Not so good/Poor,65 or over,Democrat,,,All others/Omits,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665480.0,Missouri,112.0,Call 1,Backside complete,1.76266205310822,Dick Gephardt,Male,Other,No,30-39,Independent,Moderate,College graduate,"$30,000-$49,999",About the same,No one does,No one has,Catholic,Once a week,Employed full-time,Never,Before that,Omit,He cares about people like me,Not so good,Somewhat approve,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues, Somewhat satisfied,30-44,30-44,30-39,Weekly,Catholic/Attend weekly,Not too/Not at all important,College degree,All others/Omits,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Independent,Moderate,Catholic,All others/Omits,Very/somewhat satisfied,Non-white male,Last month/Before that,No,No,Rarely/Never,Other,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665481.0,Missouri,23.0,Call 1,Backside complete,1.76266205310822,John Kerry,Female,White,No,50-59,Democrat,Somewhat conservative,Some college or associate degree,"Under $15,000",About the same,No one does,No one has,,Omit,Not working and looking for work,Never,In the last month,Economy/Jobs,He has a positive message,Poor,Strongly approve,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,45-64,45-59,50-64,Omit,All others/Omits,Not too/Not at all important,No college degree,Unemployed women,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Conservative,,All others/Omits,Very/somewhat satisfied,White female,Last month/Before that,No,No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665493.0,Missouri,39.0,Call 1,Backside not complete,1.59720504283905,John Edwards,Female,White,No,75 or over,,,,,,,,,,,Never,Before that,Economy/Jobs,He stands up for what he believes,,,,"Dissatisfied, but not angry",, Somewhat satisfied,65 or over,60 or over,65 or over,,,,,,,,,,65 or over,,,,,Very/somewhat satisfied,White female,Last month/Before that,,,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665498.0,Missouri,88.0,Call 1,Backside not complete,0.879663467407227,John Kerry,Male,White,No,75 or over,,,,,,,,,,,Never,In the last week,Economy/Jobs,He can defeat George W. Bush,,,,"Dissatisfied, but not angry",,Very satisfied,65 or over,60 or over,65 or over,,,,,,,,,,65 or over,,,,,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,,,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665506.0,Missouri,112.0,Call 1,Backside complete,0.461475342512131,Howard Dean,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,"$50,000-$74,999",Worse today,No one does,No one has,Other Christian,A few times a month,Employed full-time,Frequently,Before that,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,Not at all important,Angry,Omit,Somewhat dissatisfied,45-64,45-59,50-64,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White male,Last month/Before that,No,No,Frequently/Occasionally,White,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665516.0,Missouri,23.0,Call 1,Backside complete,1.76266205310822,John Kerry,Female,White,No,25-29,Democrat,Moderate,College graduate,"$30,000-$49,999",About the same,"Yes, someone else does","Yes, someone else has",Other Christian,Omit,Employed full-time,Rarely,In the last week,Education,He has a positive message,Not so good,Somewhat approve,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very dissatisfied,18-29,18-29,25-29,Omit,All others/Omits,Not too/Not at all important,College degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665519.0,Missouri,88.0,Call 1,Backside complete,1.01176571846008,John Kerry,Male,White,No,50-59,Democrat,Moderate,Did not complete high school,"$30,000-$49,999",About the same,"Yes, I do",No one has,Catholic,A few times a year,Employed full-time,Never,In the last month,Economy/Jobs,He has the right experience,Not so good,Somewhat approve,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,45-64,45-59,50-64,Occasionally,Catholic/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665525.0,Missouri,39.0,Call 1,Backside complete,1.13070130348206,Howard Dean,Female,White,No,30-39,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,"Yes, someone else has",Something else,A few times a year,Not working and looking for work,Rarely,Before that,Health care/Medicare,He stands up for what he believes,Poor,Somewhat disapprove,Not at all important,Angry,He can defeat George W. Bush in November, Somewhat satisfied,30-44,30-44,30-39,Occasionally,All others/Omits,Not too/Not at all important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,Something else,White Something else,Very/somewhat satisfied,White female,Last month/Before that,No,No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665528.0,Missouri,112.0,Call 1,Backside complete,0.441172778606415,John Edwards,Male,White,,18-24,Independent,Very liberal,Did not complete high school,"$15,000-$29,999",Better today,No one does,No one has,Something else,A few times a year,Employed full-time,Never,In the last week,The war in Iraq,He cares about people like me,Good,Somewhat disapprove,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues, Somewhat satisfied,18-29,18-29,18-24,Occasionally,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Excellent/Good,18-64,Independent,Liberal,Something else,White Something else,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665533.0,Missouri,23.0,Call 1,Backside complete,1.76266205310822,John Kerry,Male,White,No,25-29,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,"Yes, someone else does","Yes, someone else has",None,Never,Employed full-time,Never,Today,Taxes,He has a positive message,Not so good,Somewhat approve,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues, Somewhat satisfied,18-29,18-29,25-29,Never,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,None,White None,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665539.0,Missouri,39.0,Call 1,Backside complete,1.58771479129791,John Edwards,Male,White,No,65-74,Democrat,Very liberal,High school graduate,"$75,000-$99,999",About the same,No one does,"Yes, I have",None,Never,Not working and not looking for work,Never,In the last three days,Health care/Medicare,He cares about people like me,Not so good,Somewhat approve,Not too important,"Dissatisfied, but not angry",He can defeat George W. Bush in November, Somewhat satisfied,65 or over,60 or over,65 or over,Never,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Liberal,None,White None,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665547.0,Missouri,120.0,Call 1,Backside complete,1.76266205310822,Howard Dean,Female,White,,75 or over,Democrat,Moderate,College graduate,"Under $15,000",About the same,"Yes, someone else does","Yes, I have",Protestant,Once a week,Not working and not looking for work,Never,In the last week,Economy/Jobs,He stands up for what he believes,Not so good,Somewhat approve,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,Very/somewhat important,College degree,Unemployed women,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,Southwest,Rural,Small cities and Rural,8.0,65704.0
665555.0,Missouri,112.0,Call 1,Backside complete,0.444563746452332,John Kerry,Female,White,No,50-59,Independent,Somewhat liberal,College graduate,"$30,000-$49,999",Worse today,No one does,"Yes, someone else has",Protestant,Once a week,Employed full-time,Never,In the last week,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665563.0,Missouri,88.0,Call 1,Backside complete,0.879663467407227,John Kerry,Male,White,,60-64,Democrat,Moderate,High school graduate,"$50,000-$74,999",Worse today,"Yes, I do","Yes, I have",Catholic,A few times a year,Employed full-time,Never,In the last month,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,Omit,Angry,He can defeat George W. Bush in November,Very satisfied,45-64,60 or over,50-64,Occasionally,Catholic/Do not attend weekly,Omit,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
