ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BUSHANGR,BEATBUSH,gaymrrge,suppdean,REPLTAX,satkerry,TRADE,AGE,AGE60,AGE65,COLLEDUC,DEANDFCT,INC50K,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
824269.0,Wisconsin,4.0,Call 2,Backside complete,0.684676289558411,Did not vote,Male,White,No,65-74,Republican,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",Better today,No one does,"Yes, I have",Catholic,Before that,Health care/Medicare,He stands up for what he believes,Good,Strongly approve,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Somewhat dissatisfied,Creates more jobs in your state,65 or over,60 or over,65 or over,No college degree,Yes,"$50,000 or more",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,65 or over,Republican,Conservative,Catholic,White Catholic,Very/Somewhat dissatisfied,White male,Last month/Before that,No,No,White,Northeast,"City: 50,000 to 500,000","City over 50,000",8.0,54302.0
824551.0,Wisconsin,51.0,Call 3,Backside complete,0.842478811740875,Did not vote,Female,White,No,40-44,Independent,Moderate,College graduate,"$75,000-$99,999",Worse today,No one does,No one has,Catholic,Before that,Taxes,Omit,Good,Somewhat approve,Enthusaistic,Omit,Gay couples allowed to legally form civil unions,No,Left entirely in place,Omit,Takes more jobs from your state,30-44,30-44,40-49,College degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Independent,Moderate,Catholic,White Catholic,Omit,White female,Last month/Before that,No,No,White,Milwaukee,"City over 500,000","City over 50,000",5.0,53211.0
824605.0,Wisconsin,49.0,Call 3,Backside complete,0.677334308624268,Did not vote,Female,Black,No,45-49,Independent,Somewhat conservative,Some college or associate degree,"$50,000-$74,999",Better today,No one does,"Yes, someone else has",Other Christian,Today,Taxes,He has the right experience,Not so good,Somewhat disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Repealed for all Americans,Omit,Has no effect on jobs in your state,45-64,45-59,40-49,No college degree,Yes,"$50,000 or more",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Conservative,Protestant/Other Christian,All others/Omits,Omit,Non-white female,Today/Last 3 days/Last week,No,No,Black,Milwaukee,"City over 500,000","City over 50,000",4.0,53208.0
825067.0,Wisconsin,3.0,Call 3,Backside complete,0.718686819076538,Did not vote,Female,White,No,60-64,Something Else,Moderate,Some college or associate degree,"$100,000 or more",About the same,No one does,"Yes, someone else has",Catholic,Today,The war in Iraq,He has the right experience,Good,Strongly approve,Enthusaistic,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,No,Left entirely in place,Somewhat satisfied,Takes more jobs from your state,45-64,60 or over,50-64,No college degree,Yes,"$50,000 or more",Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Independent,Moderate,Catholic,White Catholic,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,White,Northeast,"City: 50,000 to 500,000","City over 50,000",8.0,54303.0
823110.0,Wisconsin,79.0,Call 1,Backside complete,0.712769210338593,Wesley Clark,Female,White,No,60-64,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,No one has,None,In the last three days,Taxes,He cares about people like me,Not so good,Omit,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,No,Repealed for all Americans,Very dissatisfied,Has no effect on jobs in your state,45-64,60 or over,50-64,No college degree,No,"Under $50,000",Omit,No,No,Not so good/Poor,18-64,Independent,Moderate,None,White None,Very/Somewhat dissatisfied,White female,Today/Last 3 days/Last week,No,No,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53051.0
823474.0,Wisconsin,88.0,Call 1,Backside complete,0.840859711170197,Wesley Clark,Male,White,No,75 or over,Democrat,Somewhat conservative,Did not complete high school,"Under $15,000",Worse today,No one does,"Yes, I have",Protestant,Before that,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Yes,Repealed for all Americans,Very satisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,Yes,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Last month/Before that,No,No,White,Northeast,"City: 50,000 to 500,000","City over 50,000",6.0,54904.0
823512.0,Wisconsin,11.0,Call 1,Backside complete,1.01453936100006,Wesley Clark,Female,White,No,30-39,Democrat,Somewhat liberal,College graduate,,About the same,"Yes, someone else does",No one has,Protestant,In the last week,Education,He has the right experience,Not so good,Strongly disapprove,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Yes,Repealed only for the wealthy,Very satisfied,Takes more jobs from your state,30-44,30-44,30-39,College degree,Yes,,Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,White,South,Rural,Small cities and Rural,2.0,53901.0
823592.0,Wisconsin,75.0,Call 1,Backside complete,0.464723736047745,Wesley Clark,Male,White,No,45-49,Independent,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,"Yes, someone else has",Other Christian,Before that,National security/Terrorism,He stands up for what he believes,Poor,Somewhat disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Omit,No,Repealed only for the wealthy,Very satisfied,Takes more jobs from your state,45-64,45-59,40-49,No college degree,No,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Last month/Before that,No,No,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53045.0
823707.0,Wisconsin,43.0,Call 1,Backside complete,1.74407482147217,Wesley Clark,Male,Black,No,30-39,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",No one has,Something else,In the last month,Health care/Medicare,He can defeat George W. Bush,Not so good,Strongly disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Yes,Repealed for all Americans,Somewhat satisfied,Takes more jobs from your state,30-44,30-44,30-39,No college degree,Yes,"Under $50,000",Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Democrat,Moderate,Something else,All others/Omits,Very/Somewhat satisfied,Non-white male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Black,Milwaukee,"City over 500,000","City over 50,000",4.0,53208.0
823715.0,Wisconsin,75.0,Call 1,Backside complete,0.464723736047745,Wesley Clark,Male,White,No,45-49,Independent,Somewhat conservative,Postgraduate study,"$50,000-$74,999",Worse today,No one does,"Yes, someone else has",Catholic,Today,National security/Terrorism,He has the right experience,Good,Somewhat disapprove,"Satisfied, but not enthusiastic",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,No,Left entirely in place,Somewhat dissatisfied,Creates more jobs in your state,45-64,45-59,40-49,College degree,No,"$50,000 or more",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Independent,Conservative,Catholic,White Catholic,Very/Somewhat dissatisfied,White male,Today/Last 3 days/Last week,No,No,White,Milwaukee vicinity,Suburbs,Suburbs,5.0,53045.0
823759.0,Wisconsin,13.0,Call 1,Backside complete,1.03258299827576,Wesley Clark,Male,White,No,60-64,Independent,Moderate,Postgraduate study,"$30,000-$49,999",About the same,No one does,No one has,None,Today,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Yes,Repealed only for the wealthy,Very satisfied,Takes more jobs from your state,45-64,60 or over,50-64,College degree,Yes,"Under $50,000",Somewhat/Strongly disapprove,No,No,Not so good/Poor,18-64,Independent,Moderate,None,White None,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,White,South,"City: 50,000 to 500,000","City over 50,000",2.0,53711.0
823772.0,Wisconsin,62.0,Call 1,Backside complete,0.725940227508545,Wesley Clark,Female,Other,No,60-64,Independent,,Postgraduate study,"$50,000-$74,999",Worse today,No one does,"Yes, I have and someone else has",Catholic,Before that,The war in Iraq,He stands up for what he believes,Poor,Somewhat disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Omit,Repealed for all Americans,Somewhat dissatisfied,Takes more jobs from your state,45-64,60 or over,50-64,College degree,Omit,"$50,000 or more",Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,18-64,Independent,,Catholic,All others/Omits,Very/Somewhat dissatisfied,Non-white female,Last month/Before that,No,No,Other,South,Suburbs,Suburbs,1.0,53105.0
823834.0,Wisconsin,18.0,Call 2,Backside complete,0.5993492603302,Wesley Clark,Male,White,No,75 or over,Independent,Moderate,High school graduate,"$15,000-$29,999",About the same,"Yes, I do",No one has,Protestant,Today,The war in Iraq,He has the right experience,Not so good,Strongly approve,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Repealed for all Americans,Somewhat satisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,No,"Under $50,000",Strongly/Somewhat approve,No,No,Not so good/Poor,65 or over,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,Milwaukee vicinity,"City: 10,000 to 49,999",Small cities and Rural,6.0,53098.0
823901.0,Wisconsin,14.0,Call 2,Backside complete,0.919426321983337,Wesley Clark,Female,White,No,50-59,Independent,Somewhat conservative,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,"Yes, someone else has",Protestant,In the last week,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Repealed only for the wealthy,Somewhat satisfied,Creates more jobs in your state,45-64,45-59,50-64,No college degree,No,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,White,South,"City: 50,000 to 500,000","City over 50,000",2.0,53711.0
823988.0,Wisconsin,85.0,Call 2,Backside complete,0.881585896015167,Wesley Clark,Male,White,No,45-49,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,"Yes, someone else does",No one has,Catholic,In the last month,Economy/Jobs,He stands up for what he believes,Poor,Somewhat approve,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Yes,Repealed only for the wealthy,Somewhat dissatisfied,Takes more jobs from your state,45-64,45-59,40-49,No college degree,Yes,"Under $50,000",Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/Somewhat dissatisfied,White male,Last month/Before that,"Yes, I am or someone in household is",No,White,Northeast,Suburbs,Suburbs,6.0,54952.0
824055.0,Wisconsin,29.0,Call 2,Backside complete,1.74407482147217,Wesley Clark,Male,White,No,75 or over,Democrat,Moderate,High school graduate,,Worse today,No one does,"Yes, someone else has",Other Christian,In the last week,Taxes,He cares about people like me,Not so good,Somewhat disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Yes,Repealed only for the wealthy,Somewhat satisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,Yes,,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,White,Northwest,Rural,Small cities and Rural,3.0,54635.0
824184.0,Wisconsin,31.0,Call 2,Backside complete,0.910073161125183,Wesley Clark,Male,White,No,60-64,Republican,Somewhat conservative,Postgraduate study,"$30,000-$49,999",About the same,"Yes, I do",No one has,Protestant,In the last week,Health care/Medicare,He stands up for what he believes,Good,Strongly approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Takes more jobs from your state,45-64,60 or over,50-64,College degree,No,"Under $50,000",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,White,South,Suburbs,Suburbs,1.0,53143.0
824499.0,Wisconsin,5.0,Call 3,Backside complete,0.923567235469818,Wesley Clark,Male,White,No,65-74,Something Else,Somewhat conservative,Some college or associate degree,"$100,000 or more",About the same,No one does,"Yes, I have",Catholic,In the last month,Health care/Medicare,He stands up for what he believes,Not so good,Somewhat approve,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Repealed for all Americans,Somewhat dissatisfied,Takes more jobs from your state,65 or over,60 or over,65 or over,No college degree,No,"$50,000 or more",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Independent,Conservative,Catholic,White Catholic,Very/Somewhat dissatisfied,White male,Last month/Before that,No,No,White,Northeast,Suburbs,Suburbs,8.0,54115.0
824501.0,Wisconsin,65.0,Call 3,Backside complete,0.861118018627167,Wesley Clark,Female,Hispanic/Latino,Yes,25-29,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Better today,"Yes, someone else does",No one has,Catholic,Today,Taxes,He can defeat George W. Bush,Good,Somewhat disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Yes,Repealed only for the wealthy,Somewhat satisfied,Has no effect on jobs in your state,18-29,18-29,25-29,No college degree,Yes,"Under $50,000",Somewhat/Strongly disapprove,No,No,Excellent/Good,18-64,Democrat,Moderate,Catholic,All others/Omits,Very/Somewhat satisfied,Non-white female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Hispanic/Latino,South,"City: 50,000 to 500,000","City over 50,000",1.0,53403.0
824529.0,Wisconsin,5.0,Call 3,Backside complete,1.01165592670441,Wesley Clark,Male,White,No,40-44,Republican,Very conservative,College graduate,"$100,000 or more",Better today,No one does,"Yes, someone else has",Protestant,Today,The war in Iraq,He cares about people like me,Excellent,Strongly approve,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,No,Left entirely in place,Very dissatisfied,Creates more jobs in your state,30-44,30-44,40-49,College degree,No,"$50,000 or more",Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,Today/Last 3 days/Last week,No,No,White,Northeast,Suburbs,Suburbs,8.0,54115.0
824585.0,Wisconsin,5.0,Call 3,Backside complete,1.01213181018829,Wesley Clark,Female,White,No,45-49,Democrat,Moderate,High school graduate,"$50,000-$74,999",About the same,"Yes, someone else does",No one has,Catholic,In the last month,Economy/Jobs,He has a positive message,Poor,Somewhat approve,"Dissatisfied, but not angry",He agrees with you on the major issues,Omit,Yes,Repealed for all Americans,Very satisfied,Has no effect on jobs in your state,45-64,45-59,40-49,No college degree,Yes,"$50,000 or more",Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/Somewhat satisfied,White female,Last month/Before that,"Yes, I am or someone in household is",No,White,Northeast,Suburbs,Suburbs,8.0,54115.0
